"alg-geom/9401001",,"David Eisenbud and Bernd Sturmfels","Binomial Ideals","44 pages, PlainTeX",,,,"alg-geom math.AC math.AG",,"  We investigate the structure of ideals generated by binomials (polynomials
with at most two terms) and the schemes and varieties associated to them. The
class of binomial ideals contains many classical examples from algebraic
geometry, and it has numerous applications within and beyond pure mathematics.
The ideals defining toric varieties are precisely the binomial prime ideals.
Our main results concern primary decomposition: If $I$ is a binomial ideal then
the radical, associated primes, and isolated primary components of $I$ are
again binomial, and $I$ admits primary decompositions in terms of binomial
primary ideals. A geometric characterization is given for the affine algebraic
sets that can be defined by binomials. Our structural results yield
sparsity-preserving algorithms for finding the radical and primary
decomposition of a binomial ideal.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 21:56:00 GMT""}]","2008-02-03"
"astro-ph/9401014",,"Andrew R Liddle and David H Lyth","Observational Constraints on the Spectral Index","11 pages. Revised version with an extended text and comments on
  damped Lyman alpha systems. Latex file for the text, plus a ps file for the
  two figures",,,"LANCS-TH 9319","astro-ph hep-ph",,"  We address the possibility of bounding the spectral index $n$ of primordial
density fluctuations, using both the cosmic microwave background (cmb)
anisotropy and data on galaxies and clusters. Each piece of galaxy and cluster
data is reduced to a value of $\sigma(R)$ (the linearly evolved {\em rms}
density contrast with top hat smoothing on scale $R$) which allows data on
different scales to be readily compared. As a preliminary application, we
normalise the spectrum using the ten degree variance of the COBE data, and then
compare the prediction with a limited sample of low energy data, for the MDM
model with various values of $n$, $\Omega_\nu$ and $h$. With $h=.5$, the data
constrain the spectral index to the range $0.7\lsim n \lsim 1.2$. If
gravitational waves contribute to the cmb anisotropy with relative strength
$R=6(1-n)$ (as in some models of inflation), the lower limit on $n$ is
increased to about $0.85$. The uncertainty in $h$ widens this band by about
$0.1$ at either end.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 16:01:00 GMT""},{""version"":""v2"",""created"":""Fri, 6 May 1994 10:45:00 GMT""}]","2008-02-03"
"astro-ph/9401015","Edward L. Wright","E. L. Wright, G. F. Smoot, C. L. Bennett and P. M. Lubin","Angular Power Spectrum of the Microwave Background Anisotropy seen by
  the COBE Differential Microwave Radiometer","22 pages of LaTex using aaspp.sty and epsf.sty with appended
  Postscript figures, COBE Preprint 94-02","Astrophys.J.436:443-451,1994","10.1086/174919",,"astro-ph",,"  The angular power spectrum estimator developed by Peebles (1973) and Hauser &
Peebles (1973) has been modified and applied to the 2 year maps produced by the
COBE DMR. The power spectrum of the real sky has been compared to the power
spectra of a large number of simulated random skies produced with noise equal
to the observed noise and primordial density fluctuation power spectra of power
law form, with $P(k) \propto k^n$. Within the limited range of spatial scales
covered by the COBE DMR, corresponding to spherical harmonic indices $3 \leq
\ell \lsim 30$, the best fitting value of the spectral index is $n =
1.25^{+0.4}_{-0.45}$ with the Harrison-Zeldovich value $n = 1$ approximately
0.5$\sigma$ below the best fit. For $3 \leq \ell \lsim 19$, the best fit is $n
= 1.46^{+0.39}_{-0.44}$. Comparing the COBE DMR $\Delta T/T$ at small $\ell$ to
the $\Delta T/T$ at $\ell \approx 50$ from degree scale anisotropy experiments
gives a smaller range of acceptable spectral indices which includes $n = 1$.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 16:14:02 GMT""},{""version"":""v2"",""created"":""Mon, 16 May 1994 18:24:37 GMT""}]","2009-09-25"
"astro-ph/9401016","Avi Loeb","Daniel J. Eisenstein and Abraham Loeb (Harvard Univ.)","Origin of Quasar Progenitors from the Collapse of Low-Spin Cosmological
  Perturbations","18 pages and one file of 3 figures, uuencoded compressed tarred
  Postscript. Final extended version, accepted to the Astrophysical Journal
  (4/10/95 issue)","Astrophys.J.443:11,1995","10.1086/175498",,"astro-ph",,"  We show that seeds for quasar black holes could have originated from the
initial cosmological collapse of overdense regions with unusually small
rotation. The gas in these rare regions collapses into a compact disk that
shrinks on a short viscous time scale. Using an analytical model, we calculate
the low-spin tail of the probability distribution of angular momenta for
objects that collapse out of a Gaussian random field of initial density
perturbations. The population of low-spin systems is significant for any viable
power spectrum of primordial density perturbations. Most objects form just
above the cosmological Jeans mass (\sim 10^5 M_sun) at high redshifts z>10. In
the standard cold dark matter cosmology, the comoving density of 10^{6-7} M_sun
objects with viscous evolution times shorter than 10^{6-7} years is about
10^{-3} (h/0.5)^3 Mpc^{-3}, comparable to the local density of bright galaxies.
The seed black holes tend to reside within larger mass systems that collapse
later and supply the gas needed for the bright quasar activity.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 18:56:30 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 1994 19:20:18 GMT""}]","2009-09-25"
"astro-ph/9401017","Luigi Guzzo","Enzo Branchini, Luigi Guzzo & Riccardo Valdarnini","Modelling the Power Spectrum of Density Fluctuations: A Phenomenological
  Approach","ApJL in press, 10 pages in plain TeX, 3 figures available from
  guzzo@astmim.mi.astro.it, SISSA 110/93/A","Astrophys.J. 424 (1994) L5","10.1086/187261",,"astro-ph",,"  We show how, based on considerations on the observed form of the galaxy
2-point spatial correlation function xi(r), a very simplified -- yet
surprisingly effective -- model for the linear density fluctuations power
spectrum can be constructed. We first relate the observed large-scale shape of
xi(r) to a power-law form for the power spectrum, P(k)\propto k^{-2.2}. For a
plausible value of the bias parameter b = 1/sigma_8 ~ 1.8, one has (delta_rho /
rho)_{rms} ~ 1 r ~ 3.5/h Mpc, suggesting that the change of slope observed in
xi(r) around this scale marks the transition between the linear and nonlinear
gravitational regimes. Under this working hypothesis, we use a simple
analytical form to fit the large-scale correlations constraints together with
the COBE CMB anisotropy measurement, thus constructing a simple
phenomenological model for the linear power spectrum. Despite its simplicity,
the model fits remarkably well directly estimated power spectra from different
optical galaxy samples, and when evolved through an N-body simulation it
provides a good match to the observed galaxy correlations. One of the most
interesting features of the model is the small-scale one-dimensional velocity
dispersion produced: sigma_{1d} = 450 Km s^{-1} at 0.5/h Mpc and sigma_{1d} =
350 Km s^{-1} for separations larger than ~ 2/h Mpc.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 14:30:47 GMT""}]","2009-10-22"
"cond-mat/9401019",,"M. Sigrist, T.M. Rice and F.C. Zhang","Superconductivity in a Quasi One Dimensional Spin Liquid","9 pages + 4 postscript files appended",,"10.1103/PhysRevB.49.12058",,"cond-mat",,"  The single rung t-J ladder is analyzed in a mean field theory using
Gutzwiller renormalization of the matrix elements to account for strong
correlation. The spin liquid (RVB) state at half-filling evolves into a
superconducting state upon doping. The order parameter has a modified d-wave
character. A lattice of weakly coupled ladders should show a superconducting
phase transition.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 20:44:23 GMT""}]","2009-10-22"
"cond-mat/9401020","Phil Nelson","W. Cai, T. C. Lubensky, P. Nelson, and T. Powers","Measure Factors, Tension, and Correlations of Fluid Membranes","24 pp; plain TeX",,"10.1051/jp2:1994175","UPR-599T","cond-mat hep-th",,"  We study two geometrical factors needed for the correct construction of
statistical ensembles of surfaces. Such ensembles appear in the study of fluid
bilayer membranes, though our results are more generally applicable. The naive
functional measure over height fluctuations must be corrected by these factors
in order to give correct, self-consistent formulas for the free energy and
correlation functions of the height. While one of these corrections -- the
Faddeev-Popov determinant -- has been studied extensively, our derivation
proceeds from very simple geometrical ideas, which we hope removes some of its
mystery. The other factor is similar to the Liouville correction in string
theory. Since our formulas differ from those of previous authors, we include
some explicit calculations of the effective frame tension and two-point
function to show that our version indeed secures coordinate-invariance and
consistency to lowest nontrivial order in a temperature expansion.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 20:49:35 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jan 1994 18:22:09 GMT""}]","2009-10-22"
"cond-mat/9401021","Lian Zheng","Lian Zheng and H.A. Fertig (University of Kentucky)","Quantum Correlated Interstitials and the Hall Resistivity of the
  Magnetically Induced Wigner Crystal","10 pages, RevTeX",,"10.1103/PhysRevLett.73.878","UKHAF-94001","cond-mat",,"  We study a trial wavefunction for an interstitial in a Wigner crystal. We
find that the electron correlations, ignored in a conventional Hartree-Fock
treatment, dramatically lower the interstitial energy, especially at fillings
close to an incompressible liquid state. The correlation between the
interstitial electron and the lattice electrons at $\nu <1/m$ is introduced by
constructing a trial wave- function which bears a Jastrow factor of a Laughlin
state at $\nu=1/m$. For fillings close to but just below $\nu=1/m$, we find
that a perfect Wigner crystal becomes unstable against formation of such
interstitials. It is argued that conduction due to correlated interstitials in
the presence of weak disorder leads to the {\it classical} Hall resistivity, as
seen experimentally.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 23:27:02 GMT""}]","2009-10-22"
"cond-mat/9401022","Imre Varga","Imre Varga and J\'anos Pipek","Information Length and Localization in One Dimension","11 pages (+3 Figures upon request), Plain TEX",,"10.1088/0953-8984/6/9/002","SISSA-CM-94-001","cond-mat",,"  The scaling properties of the wave functions in finite samples of the one
dimensional Anderson model are analyzed. The states have been characterized
using a new form of the information or entropic length, and compared with
analytical results obtained by assuming an exponential envelope function. A
perfect agreement is obtained already for systems of $10^3$--$10^4$ sites over
a very wide range of disorder parameter $10^{-4}<W<10^4$. Implications for
higher dimensions are also presented.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 09:16:35 GMT""}]","2016-08-31"
"cond-mat/9401023","Zhang Guang Ming","X. Y. Zhang and G. M. Zhang","Asymptotical solution of infinite-dimensional Hubbard model","12 pages, no figures, Revtex 3.0. (to appear in Phys. Rev. B)",,"10.1103/PhysRevB.49.7929",,"cond-mat",,"  We present an asymptotically exact solution of the $\infty-d$ Hubbard model
at a special interaction strength $U_T$ corresponding to the strong-coupling
Fermi-liquid fixed point. This solution is intimately related to the Toulouse
limit of the single-impurity Kondo model and the symmetric Anderson model in
its strong-coupling limit.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 11:24:27 GMT""}]","2009-10-22"
"cond-mat/9401024","Zhang Guang Ming","G. M. Zhang, S. Feng, L. Yu","Strong-Coupling Behavior of Two $t-J$ Chains with Interchain
  Single-Electron Hopping","12 pages, no figures, revtex 3.0 (to appaer in Phys. Rev. B). This is
  an original version of manuscript, not a revised version, which is casused by
  some errors",,"10.1103/PhysRevB.49.9997",,"cond-mat",,"  Using the fermion-spin transformation to implement spin-charge separation of
constrained electrons, a model of two $t-J$ chains with interchain
single-electron hopping is studied by abelian bosonization. After spin-charge
decoupling the charge dynamics can be trivially solved, while the spin dynamics
is determined by a strong-coupling fixed point where the correlation functions
can be calculated explicitly. This is a generalization of the Luther-Emery line
for two-coupled $t-J$ chains. The interchain single-electron hopping changes
the asymptotic behavior of the interchain spin-spin correlation functions and
the electron Green function, but their exponents are independent of the
coupling strength.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 11:26:35 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jan 1994 11:48:01 GMT""}]","2009-10-22"
