"alg-geom/9401002",,"Joerg Winkelmann","Holomorphic functions on an algebraic group invariant under a
  Zariski-dense subgroup","Plain TeX, 9 pages. TeX errors corrected",,,,"alg-geom math.AG",,"  Let G be complex linear-algebraic group, H a subgroup, which is dense in G in
the Zariski-topology. Assume that G/[G,G] is reductive and furthermore that (1)
G is solvable, or (2) the semisimple elements in G'=[G,G] are dense. Then every
H-invariant holomorphic function on G is constant. If G=G', furthermore every
H-invariant meromorphic or plurisubharmonic function is constant. Finally an
example of Margulis is used to show the existence of an algebraic group G with
G=G' such that there exists a Zariski-dense discrete subgroup without any
semisimple element.
","[{""version"":""v1"",""created"":""Sun, 16 Jan 1994 18:48:50 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 1994 11:02:39 GMT""}]","2008-02-03"
"astro-ph/9401025",,"J.C.B. Papaloizou, E. Szuszkiewicz","A comparison of one and two dimensional models of transonic accretion
  discs around collapsed objects","(To appear in M.N.R.A.S.) 25 pages, plain LaTeX, (8 figures available
  upon request), QMW 93-9",,"10.1093/mnras/268.1.29",,"astro-ph",,"  We construct models of the inner part of a transonic adiabatic accretion disc
assuming constant specific angular momentum taking the vertical structure fully
into account.\\ For comparison purposes, we construct the corresponding one
dimensional viscous disc models derived under vertical averaging assumptions.
The conditions under which a unique location for the critical/sonic point is
obtained, given an appropriate set of exterior boundary conditions for these
models, is also discussed. This is not unique if the standard '$\alpha $'
prescription with viscous stress proportional to the angular velocity gradient
is used.\\ We use a simple model to discuss the possible limitations on the
form of the viscous stress arising from the requirement that viscous
information must travel at a finite speed. Contrary to results in the existing
literature, the viscous stress tends to be {\it increased} rather than reduced
for the type of flows we consider in which the angular momentum and angular
velocity gradients have opposite signs. However, finite propagation effects may
result in a unique location for the sonic point.\\ We found good agreement
between the radial flow and specific angular momentum profiles in the inner
regions of the one dimensional models and those in the equatorial plane for
corresponding two dimensional models which may be matched for a range of
$\alpha $ between 0.1 and 10$^{-4}$.
","[{""version"":""v1"",""created"":""Sun, 16 Jan 1994 17:18:32 GMT""}]","2015-06-24"
"astro-ph/9401026","Fred Rasio","A. Loeb and F. A. Rasio","Collapse of Primordial Gas Clouds and the Formation of Quasar Black
  Holes","20 pages, uuencoded compressed postscript, 4 figures available upon
  request from BEST@sns.ias.edu, IAS-AST-94-3",,"10.1086/174548",,"astro-ph",,"  The formation of quasar black holes during the hydrodynamic collapse of
protogalactic gas clouds is discussed. The dissipational collapse and long-
term dynamical evolution of these systems is analysed using three-dimensional
numerical simulations. The calculations focus on the final collapse stages of
the inner baryonic component and therefore ignore the presence of dark matter.
Two types of initial conditions are considered: uniformly rotating spherical
clouds, and irrotational ellipsoidal clouds. In both cases the clouds are
initially cold, homogeneous, and not far from rotational support ($T/|W|
\approx 0.1$). Although the details of the dynamical evolution depend
sensitively on the initial conditions, the qualitative features of the final
configurations do not. Most of the gas is found to fragment into small dense
clumps, that eventually make up a spheroidal component resembling a galactic
bulge. About 5\% of the initial mass remains in the form of a smooth disk of
gas supported by rotation in the gravitational potential well of the outer
spheroid. If a central seed black hole of mass $\gsim10^6M_\odot$ forms, it can
grow by steady accretion from the disk and reach a typical quasar black hole
mass $\sim10^8M_\odot$ in less than $5\times 10^8\,$yr. In the absence of a
sufficiently massive seed, dynamical instabilities in a strongly self-
gravitating inner region of the disk will inhibit steady accretion of gas and
may prevent the immediate formation of a quasar.
","[{""version"":""v1"",""created"":""Sun, 16 Jan 1994 19:29:14 GMT""}]","2009-10-22"
"astro-ph/9401027","Fred Rasio","F. A. Rasio and S. L. Shapiro","Hydrodynamics of Binary Coalescence.I. Polytropes with Stiff Equations
  of State","27 pages, uuencoded compressed postscript, 16 figures upon request
  from BEST@sns.ias.edu, IAS-AST-94-4","Astrophys.J.432:242,1994","10.1086/174566",,"astro-ph",,"  We have performed a series of three-dimensional hydrodynamic calculations of
binary coalescence using the smoothed particle hydrodynamics (SPH) method. The
initial conditions are exact polytropic equilibrium configurations with $\gam >
5/3$, on the verge of dynamical instability. We calculate the emission of
gravitational radiation in the quadrupole approximation. The fully nonlinear
development of the instability is followed until a new equilibrium
configuration is reached. We find that the properties of this final
configuration depend sensitively on both the compressibility and mass ratio. An
{\em axisymmetric} merged configuration is always produced when $\gam\lo2.3$.
As a consequence, the emission of gravitational radiation shuts off abruptly
right after the onset of dynamical instability. In contrast, {\em triaxial\/}
merged configurations are obtained when $\gam\go2.3$, and the system continues
to emit gravitational waves after the final coalescence. Systems with mass
ratios $q\ne1$ typically become dynamically unstable before the onset of mass
transfer. Stable mass transfer from one neutron star to another in a close
binary is therefore probably ruled out. The maximum amplitude $h_{max}$ and
peak luminosity $L_{max}$ of the gravitational waves emitted during the final
coalescence are nearly independent of $\gam$, but depend very sensitively on
the mass ratio $q$.
","[{""version"":""v1"",""created"":""Sun, 16 Jan 1994 19:35:42 GMT""}]","2011-07-18"
"astro-ph/9401029",,"P. Mazzei and G. De Zotti","A Model for the Spectral Energy Distribution of the Ultraluminous Galaxy
  IRAS F10214+4724","TEX, 6 pages, 3 figures upon request",,"10.1093/mnras/266.1.L5",,"astro-ph",,"  If indeed early type galaxies used up most of their gas to form stars in a
time short compared to their collapse time and if a roughly constant fraction
of metals is locked up in dust grains, these galaxies may easily become opaque
to starlight and emit most of their luminosity in the far-IR. The corresponding
spectral energy distribution matches remarkably well the observed continuum
spectrum of the ultraluminous galaxy IRAS F$10214+4724$ from UV to sub-mm
wavelengths, i.e. over almost four decades in frequency, for a galactic age
$\lsim 1\,$Gyr. The bolometric luminosity in this model is $\simeq 2.7\times
10^{14}\Lsol$ ($H_0 =50\,\hbox{km}\,\hbox{s}^{-1} \,\hbox{Mpc}^{-1}$, $\Omega
=1$), i.e. somewhat lower than implied by previous models. In the present
framework, the bolometric luminosity of the galaxy is expected to decrease by a
factor $\gsim 30$ during the subsequent evolution.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 09:39:00 GMT""}]","2016-06-08"
"astro-ph/9401030","Tsvi Piran","T. Piran","Gamma-Ray Bursts from Neutron Star Mergers","4 pages, 1 Figure can be obtained on request by e-mail from the
  Author",,"10.1063/1.45866",,"astro-ph",,"  Binary neutron stars merger (NS$^2$M) at cosmological distances is probably
the only $\gamma$-ray bursts model based on an independently observed
phenomenon which is known to be taking place at a comparable rate. We describe
this model, its predictions and some open questions.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 09:01:58 GMT""}]","2015-06-24"
"astro-ph/9401031","Tsvi Piran","Tsvi Piran","Fireballs and Gamma-Ray Bursts","Ten pages, 2 figures can be obtained from the author by e-mail on
  request",,,,"astro-ph",,"  The sudden release of copious $\g$-ray photons into a compact region creates
an opaque photon--lepton fireball due to the prolific production of
electron--positron pairs. The photons that we observe in the bursts emerge only
at the end of the fireball phase after it expanded sufficiently to become
optically thin or after it converted its energy to the kinetic energy of
relativistic baryons which convert it, in turn, to electromagnetic pulse via
the interaction with interstellar matter. It is essential, therefore, to
analyze the evolution of a fireball in order to comprehend the observed
features of $\gamma$-ray bursts. We discuss various aspects of fireball
hydrodynamics and the resulting emitted spectra.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 09:01:15 GMT""}]","2007-05-23"
"cond-mat/9401031",,"Lei-Han Tang and Yu Tang","Capillary Rise in Tubes with Sharp Grooves","12 pages, figs. 1 and 2 are appended to the file in postscript, figs.
  3 and 4 are available from author, e-mail: tang@thp.uni-koeln.de, Plain TeX,
  KU-THP-94-100",,"10.1051/jp2:1994172",,"cond-mat",,"  Liquid in grooved capillaries, made by e.g. inserting a plate in a
cylindrical tube, exhibits unusual spreading and flow properties. One example
is capillary rise, where a long, upward tongue on top of the usual meniscus has
been observed along the groove. We attribute the underlying mechanism to a
thermodynamic instability against spreading for a (partial or complete wetting)
liquid in a sharp groove whose opening angle $\alpha$ is less than a critical
value $\alpha_c=\pi-2\theta$. The equilibrium shape of the tongue is determined
analytically. The dynamics of liquid rising is studied in the viscous regime.
When the diameter of the tube is smaller than the capillary length, the center
part of the meniscus rises with time $t$ following a $t^{1/2}$-law, while the
tongue is truncated at a height which grows following a $t^{1/3}$-law. Sharp
groove also facilitates release of gas bubbles trapped inside a capillary under
the action of gravity.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 11:16:05 GMT""}]","2009-10-22"
"gr-qc/9401014",,"Edward Malec and Niall \'O Murchadha","Trapped surfaces and the Penrose inequality in spherically symmetric
  geometries","plain tex","Phys.Rev. D49 (1994) 6931-6934","10.1103/PhysRevD.49.6931",,"gr-qc",,"  We demonstrate that the Penrose inequality is valid for spherically symmetric
geometries even when the horizon is immersed in matter. The matter field need
not be at rest. The only restriction is that the source satisfies the weak
energy condition outside the horizon. No restrictions are placed on the matter
inside the horizon. The proof of the Penrose inequality gives a new necessary
condition for the formation of trapped surfaces. This formulation can also be
adapted to give a sufficient condition. We show that a modification of the
Penrose inequality proposed by Gibbons for charged black holes can be broken in
early stages of gravitational collapse. This investigation is based exclusively
on the initial data formulation of General Relativity.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 10:39:25 GMT""}]","2009-10-22"
"gr-qc/9401015","Piotr Chrusciel","P.T. Chrusciel, J. Isenberg","On the dynamics of generators of Cauchy horizons","16 pages, preprint MPA 773, December 93, Latex",,,,"gr-qc",,"  We discuss various features of the dynamical system determined by the flow of
null geodesic generators of Cauchy horizons. Several examples with non--trivial
(``chaotic'', ``strange attractors'', etc.) global behaviour are constructed.
Those examples are relevant to the ``chronology protection conjecture'', and
they show that the occurrence of ``fountains'' is {\em not} a generic feature
of Cauchy horizons.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 12:23:43 GMT""}]","2007-05-23"
"hep-ph/9401265","Thomas","Michael Dine and Scott Thomas","Electroweak Baryogenesis in the Adiabatic Limit","Tex file, requires phyzzx, 14 pages, 2 figures (not included), SCIPP
  preprint 94/01","Phys.Lett. B328 (1994) 73-78","10.1016/0370-2693(94)90430-8",,"hep-ph",,"  Electroweak baryogenesis can occur in the ``adiabatic limit,'' in which
expanding bubbles of true vacuum are assumed to have rather thick walls and be
slowly moving. Here the problem of calculating the baryon asymmetry in this
limit is reconsidered.
  A simple prescription for obtaining the relevant kinetic equations is given.
An additional suppression beyond that usually assumed is found.
  This arises because the generation of an asymmetry requires violation of
approximately conserved currents by Higgs expectation values, which are small
near the front of the walls.
  As applications, the asymmetries in multi-Higgs models and the minimal
supersymmetric standard model are estimated to be proportional to $\alpha_w^8$
and $\alpha_w^6$ respectively.
  Also, in this limit the baryon asymmetry in the Minimal Standard Model is
extraordinarily small.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 06:10:09 GMT""}]","2009-10-28"
