"alg-geom/9402002","Victor Batyrev","Victor V. Batyrev and Lev A. Borisov","Dual Cones and Mirror Symmetry for Generalized Calabi-Yau Manifolds","17 pages, Latex",,,,"alg-geom math.AG",,"  We introduce a special class of convex rational polyhedral cones which allows
to construct generalized Calabi-Yau varieties of dimension $(d + 2(r-1))$,
where $r$ is a positive integer and d is the dimension of critical string vacua
with central chatge $c = 3d$. It is conjectured that the natural combinatorial
duality satisfies by these cones corresponds to the mirror involution. Using
the theory of toric varieties, we show that our conjecture includes as special
cases all already known examples of mirror pairs proposed by physicists and
agrees with previous conjectures of the authors concerning explicit
constructions of mirror manifolds. In particular we obtain a mathematical
framework which explains the construction of mirrors of rigid Calabi-Yau
manifolds.
","[{""version"":""v1"",""created"":""Thu, 3 Feb 1994 19:59:39 GMT""}]","2008-02-03"
"alg-geom/9402003","Andras Szenes","Andras Szenes","The combinatorics of the Verlinde formulas","13 pages, amslatex file. (Some errors corrected)",,,,"alg-geom hep-th math.AG",,"  A residue formula is given for the Verlinde formula, which allows one to
calculate its coefficients as a polynomial in the level and connects it to the
Riemann-Roch formula on the moduli space of vector bundles on a curve.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 03:10:29 GMT""},{""version"":""v2"",""created"":""Fri, 4 Feb 1994 19:03:32 GMT""},{""version"":""v3"",""created"":""Wed, 22 Jun 1994 18:43:34 GMT""}]","2008-02-03"
"astro-ph/9402011",,"Xingming Chen and Ronald E. Taam (Northwestern U)","Low Frequency Quasi-Periodic Oscillations in Low Mass X-Ray Binaries and
  Galactic Black Hole Candidates","18 Pgs, LaTex; 9 Figs available upon request. To Appear in ApJ",,"10.1086/174524",,"astro-ph",,"  We consider the inner regions of accretion disks surrounding black holes and
neutron stars and investigate the nonlinear time dependent evolution of
thermal-viscous instabilities. The viscous stress is assumed to be proportional
to the gas pressure with the viscosity parameter formulated as $\alpha
=\min[\alpha_0 (h/r)^n, \alpha_{\max}]$, where $h$ is the local scale height,
$r$ is the distance from the central compact object, and $n$, $\alpha_0$ and
$\alpha_{\max}$ are constants. It is found that the disk is unstable for
$\alpha$ sufficiently sensitive to $h$ ($n \gapprox 1.2$). The instabilities
are globally coherent in the entire unstable region of the disk and, depending
on the viscosity parameters, the time variability of the mass accretion rates
are manifested as periodic or quasi-periodic oscillations. We show that, the
low frequency ($\sim 0.04$~Hz) quasi-periodic oscillations (QPOs) discovered
recently in some of the black hole candidates (Cyg~X-1 and GRO~J0422+32) and a
low mass X-ray binary (Rapid Burster MXB~1730--335) may be explicable by the
thermal-viscous instabilities in accretion disks. The observations of QPOs
place constraints on the viscosity parameters and suggest that $(n,\alpha_0)$
$\sim (1.6,30)$ for the Rapid Burster with a $1.4\,\msun$ neutron star. In the
case of black hole candidates, the dependence of $\alpha$ on $h/r$ is less
steep corresponding to $n \sim 1.2-1.3$ for black holes less than $10\,\msun$.
","[{""version"":""v1"",""created"":""Thu, 3 Feb 1994 20:34:23 GMT""}]","2009-10-22"
"astro-ph/9402012",,"Robert J. Nemiroff (NASA/GSFC and George Mason U.)","A Century of Gamma Ray Burst Models","in press: Comments on Astrophysics, 8 pages in Plain TeX version 3.0,
  no figures, Table 1 in small TeX font also available in postscript through
  e-mail request",,,"RJNSISSA005","astro-ph",,"  More than 100 gamma-ray burst progenitor models have now been published in
refereed journals. A list of the models published before the end of 1992 is
presented and briefly discussed. The consensus of the present astronomical
community remains that no specific model is particularly favored for cosmic
bursts. Recent BATSE results make most of these models untenable in their
present form, opening up the field to another era of speculative papers. Is
speculation in this area becoming valueless? Alternatively, one may argue that
the new data makes many of the old models untenable, and simply adapting old
models may not be sufficient. With this in mind, three relatively unexplored
""toy"" paradigms are suggested from which more detailed models for the
progenitors of gamma-ray bursts may be made.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 04:15:17 GMT""}]","2007-05-23"
"astro-ph/9402013","Wolfgang Duschl","Wolfgang J. Duschl and Harald Lesch","The spectrum of Sgr A* and its variability","6 pages, 2 figures, A&A-TeX, uuencoded file with PostScript files of
  the paper and the figures Max-Planck-Institut fuer Radioastronomie (Bonn,
  Germany) Preprint Series No.566 accepted for publication in Astronomy and
  Astrophysics",,,,"astro-ph",,"  We demonstrate that there is only one physical process required to explain
the spectrum and the variability of the radio source at the dynamical center of
our Galaxy, Sgr A*, in the frequency range from $\approx$1 to $\approx$1000
GHz, namely optically thin synchrotron radiation that is emitted from a
population of relativistic electrons. We attribute the observed variability to
variable energy input from an accretion disk around Sgr A* into the
acceleration of the electrons.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 09:27:04 GMT""}]","2007-05-23"
"cond-mat/9402015",,"S. Giorgini, L. Pitaevskii and S. Stringari","Effects of Disorder in a Dilute Bose Gas","21 pages, Plain Tex, 2 figures available upon request, preprint UTF
  316",,"10.1103/PhysRevB.49.12938",,"cond-mat",,"  We discuss the effects of a weak random external potential on the properties
of the dilute Bose gas at zero temperature. The results recently obtained by
Huang and Meng for the depletion of the condensate and of the superfluid
density are recovered. Results for the shift of the velocity of sound as well
as for its damping due to collisions with the external field are presented. The
damping of phonons is calculated also for dense superfluids. (submitted to
Phys.Rev.B)
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 12:54:58 GMT""}]","2009-10-22"
"gr-qc/9402011","Juan Pablo","Wojciech H. Zurek","Preferred Observables, Predictability, Classicality, and the
  Environment-Induced Decoherence","to appear in ``The Physical Origins of Time Asymmetry'' ed by J.J.
  Halliwell et al., Cambridge Univ. Press. 38 Pages, Preprint LA-UR-92-2051.
  Content-Length: 123087",,,,"gr-qc hep-th",,"  Selection of the preferred classical set of states in the process of
decoherence -- so important for cosmological considerations -- is discussed
with an emphasis on the role of information loss and entropy. {\it Persistence
of correlations} between the observables of two systems (for instance, a record
and a state of a system evolved from the initial conditions described by that
record) in the presence of the environment is used to define classical
behavior. From the viewpoint of an observer (or any system capable of
maintaining records) {\it predictability} is a measure of such persistence.
{\it Predictability sieve} -- a procedure which employs both the statistical
and algorithmic entropies to systematically explore all of the Hilbert space of
an open system in order to eliminate the majority of the unpredictable and
non-classical states and to locate the islands of predictability including the
preferred {\it pointer basis} is proposed. Predictably evolving states of
decohering systems along with the time-ordered sequences of records of their
evolution define the effectively classical branches of the universal
wavefunction in the context of the ``Many Worlds Interpretation"". The relation
between the consistent histories approach and the preferred basis is
considered. It is demonstrated that histories of sequences of events
corresponding to projections onto the states of the pointer basis are
consistent.
","[{""version"":""v1"",""created"":""Thu, 3 Feb 1994 21:40:45 GMT""}]","2007-05-23"
"gr-qc/9402013","Gerard Clement","G\'erard Cl\'ement","Multi-Black-Holes in Three Dimensions","8 pages, \LaTex, 4 figures (available on request), GCR 94/02/01","Phys.Rev.D50:7119-7122,1994","10.1103/PhysRevD.50.R7119",,"gr-qc hep-th",,"  We construct time-dependent multi-centre solutions to three-dimensional
general relativity with zero or negative cosmological constant. These solutions
correspond to dynamical systems of freely falling black holes and conical
singularities, with a multiply connected spacetime topology. Stationary
multi-black-hole solutions are possible only in the extreme black hole case.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 15:20:11 GMT""}]","2009-12-30"
"gr-qc/9402014","Eanna E. Flanagan","Curt Cutler and Eanna Flanagan","Gravitational Waves from Mergin Compact Binaries: How Accurately Can One
  Extract the Binary's Parameters from the Inspiral Waveform?","103 pages, 20 figures, submitted to Phys Rev D, uses revtex macros,
  Caltech preprint GRP-369","Phys.Rev.D49:2658-2697,1994","10.1103/PhysRevD.49.2658",,"gr-qc astro-ph",,"  The most promising source of gravitational waves for the planned detectors
LIGO and VIRGO are merging compact binaries, i.e., neutron star/neutron star
(NS/NS), neutron star/black hole (NS/BH), and black hole/black-hole (BH/BH)
binaries. We investigate how accurately the distance to the source and the
masses and spins of the two bodies will be measured from the gravitational wave
signals by the three detector LIGO/VIRGO network using ``advanced detectors''
(those present a few years after initial operation). The combination ${\cal M}
\equiv (M_1 M_2)^{3/5}(M_1 +M_2)^{-1/5}$ of the masses of the two bodies is
measurable with an accuracy $\approx 0.1\%-1\%$. The reduced mass is measurable
to $\sim 10\%-15\%$ for NS/NS and NS/BH binaries, and $\sim 50\%$ for BH/BH
binaries (assuming $10M_\odot$ BH's). Measurements of the masses and spins are
strongly correlated; there is a combination of $\mu$ and the spin angular
momenta that is measured to within $\sim 1\%$. We also estimate that distance
measurement accuracies will be $\le 15\%$ for $\sim 8\%$ of the detected
signals, and $\le 30\%$ for $\sim 60\%$ of the signals, for the LIGO/VIRGO
3-detector network.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 09:51:19 GMT""}]","2009-12-30"
"hep-lat/9402001","R. T. N.","J.L. Alonso, F.Lesmes, E.Rivas and Ph. Boucaud","Phase Diagram of An SU(2)xSU(2) Scalar-Fermion Model with Massless
  Decoupled Doublers","11 pages in plain TeX + 1 figure in PostScript appended after the
  string: %%%%% FIGURE %%%%%% . ADDED A NEW REFERENCE: S.Zenkin","Phys.Lett.B329:75-80,1994","10.1016/0370-2693(94)90519-3","KYUSHU-HET-8","hep-lat",,"  We present the phase structure of the chiral SU(2)xSU(2) scalar-fermion model
on the lattice using the Zaragoza proposal for chiral fermions. The numerical
result agrees with an analytic study based on the use of weak and strong Yukawa
coupling expansions combined with the mean field approach. The phase diagram
consits of four phases: paramagnetic(PM), ferromagnetic(FM),
antiferromagnetic(AFM) and ferrimagnetic (FI). The transition lines separating
these four phases intersect at one quadruple point.
","[{""version"":""v1"",""created"":""Thu, 3 Feb 1994 20:16:33 GMT""},{""version"":""v2"",""created"":""Mon, 21 Feb 1994 12:26:15 GMT""}]","2010-03-19"
"hep-lat/9402002","Juergen Riedler","W. Beirl, E. Gerstenmayer, H. Markum, and J. Riedler","The Well-Defined Phase of Simplicial Quantum Gravity in Four Dimensions","29 pages, uuencoded postscript file; to appear in Phys. Rev. D","Phys.Rev. D49 (1994) 5231-5239","10.1103/PhysRevD.49.5231",,"hep-lat gr-qc",,"  We analyze simplicial quantum gravity in four dimensions using the Regge
approach. The existence of an entropy dominated phase with small negative
curvature is investigated in detail. It turns out that observables of the
system possess finite expectation values although the Einstein-Hilbert action
is unbounded. This well-defined phase is found to be stable for a one-parameter
family of measures. A preliminary study indicates that the influence of the
lattice size on the average curvature is small. We compare our results with
those obtained by dynamical triangulation and find qualitative correspondence.
","[{""version"":""v1"",""created"":""Fri, 4 Feb 1994 15:03:23 GMT""}]","2009-10-22"
