"alg-geom/9402014","Mark Gross","Mark Gross","The Deformation Space of Calabi-Yau n-folds with canonical singularities
  can be obstructed","10 pages, TEX",,,,"alg-geom math.AG",,"  This paper gives a simple example of a family of Calabi-Yaus of any dimension
with canonical singularities of dimension one, whose Kuranishi space is
singular. Thus the Bogomolov-Tian-Todorov unobstructedness theorem is not true
for Calabi-Yaus with canonical singularities.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 14:02:42 GMT""}]","2008-02-03"
"astro-ph/9402062","Pablo Laguna","Pablo Laguna (Penn State Univ.)","Smoothed Particle Interpolation","13 pages (LaTeX), 9 figures (not included), pablo@astro.psu.edu","Astrophys.J. 439 (1995) 814-821","10.1086/175219",,"astro-ph",,"  Smoothed particle hydrodynamics (SPH) discretization techniques are
generalized to develop a method, smoothed particle interpolation (SPI), for
solving initial value problems of systems of non-hydrodynamical nature. Under
this approach, SPH is viewed as strictly an interpolation scheme and, as such,
suitable for solving general hyperbolic and parabolic equations. The SPI method
is tested on (1) the wave equation with inhomogeneous sound speed and (2)
Burgers equation. The efficiency of SPI is studied by comparing SPI solutions
to those obtained with standard finite difference methods. It is shown that the
power of SPI arises when the smoothing particles are free to move.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 00:11:40 GMT""}]","2009-10-22"
"astro-ph/9402063","Stephane Charlot, UC-Berkeley","S. Charlot and J. Silk","Evolution of Galaxies in Clusters","33 pages, normal TeX","Astrophys.J. 432 (1994) 453","10.1086/174584",,"astro-ph",,"  We use new models of stellar population synthesis to estimate the fraction of
stars formed during the last major bursts of star formation in E/S0 galaxies in
low-redshift clusters ($z\simlt0.4$) from the spectral signatures of
intermediate-age stars. We find that the mass fraction of stars formed in late
bursts in early-type galaxies in clusters must have decreased smoothly with
redshift, from about 8\% at $z\approx1$ to less than 1\% at $z\approx0$. This
result, which we interpret as a constraint on stellar mass added in mergers, is
nearly independent of the assumed ages and morphological types of the
progenitor galaxies prior to the last major bursts of star formation. We then
compute the implied color and 4000 {\AA} break evolution for progenitors of
E/S0 galaxies in clusters at redshifts $0\simlt z\simlt1$. We investigate a
conservative model in which all present-day E/S0 galaxies are assumed to
initially be elliptical galaxies and to then undergo bursts of star formation
at the rate estimated from the signatures of intermediate-age stars at low
redshifts. This model reproduces well the observed spread of colors and 4000
{\AA} breaks of galaxies in high-redshift clusters, but underestimates the
fraction of galaxies in the blue tail of the distribution. Such a discrepancy
may be interpreted as an increasing fraction of spiral galaxies in clusters at
high redshift, as suggested independently by recent {\it HST} observations of
intermediate-redshift clusters. The current data do not seem to require
morphological evolution of cluster galaxies out to $z\sim0.4$, but suggest that
either morphological or strong luminosity evolution might have played a major
role at $z\simgt0.7$.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 01:35:54 GMT""}]","2009-10-22"
"astro-ph/9402064","Karl Gebhardt","K. Gebhardt, C. Pryor, T.B. Williams, and J.E. Hesser","Fabry-Perot Measurements of the Dynamics of Globular Cluster Cores: M15
  (NGC~7078)",,,"10.1086/117017",,"astro-ph",,"  We report the first use of the Rutgers Imaging Fabry-Perot Spectrophotometer
to study the dynamics of the cores of globular clusters. We have obtained
velocities for cluster stars by tuning the Fabry-Perot to take a series of
narrow-band images at different wavelengths across one of the Na D (5890 AA)
absorption lines. Measuring the flux in every frame yields a short portion of
the spectrum for each star simultaneously. This proves to be a very efficient
method for obtaining accurate stellar velocities; in crowded regions we are
able to measure hundreds of velocities in 3-4 hours of observing time. We have
measured velocities with uncertainties of less than 5 km/s for 216 stars within
1.5' of the center of the globular cluster M15 (NGC 7078). The paper is a
uuencoded compressed postscript file.
","[{""version"":""v1"",""created"":""Thu, 24 Feb 1994 20:43:46 GMT""}]","2009-10-22"
"astro-ph/9402065","Dipak Munshi","Dipak Munshi, Varun Sahni and Alexei A. Starobinsky","Non-Linear Approximations to Gravitational Instability: A Comparison in
  the Quasi-Linear Regime","21 pages, 1 figure, Latex","Astrophys.J. 436 (1994) 517","10.1086/174925","IUCAA-6/94","astro-ph",,"  We compare different nonlinear approximations to gravitational clustering in
the weakly nonlinear regime, using as a comparative statistic the evolution of
non-Gaussianity which can be characterised by a set of numbers $S_p$ describing
connected moments of the density field at the lowest order in $<\delta^2>$:
$<\delta^n>_c \simeq S_n<\delta^2>^{n-1}$. Generalizing earlier work by
Bernardeau (1992) we develop an ansatz to evaluate all $S_p$ in a given
approximation by means of a generating function which can be shown to satisfy
the equations of motion of a homogeneous spherical density enhancement in that
approximation. On the basis of the values of we show that approximations
formulated in Lagrangian space (such as the Zeldovich approximation and its
extensions) are considerably more accurate than those formulated in Eulerian
space such as the Frozen Flow and Linear Potential approximations. In
particular we find that the $n$th order Lagrangian perturbation approximation
correctly reproduces the first $n+1$ parameters $S_n$. We also evaluate the
density probability distribution function for the different approximations in
the quasi-linear regime and compare our results with an exact analytic
treatment in the case of the Zeldovich approximation.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 15:24:34 GMT""}]","2009-10-22"
"astro-ph/9402066","Nagasawa Michiyasu","Michiyasu Nagasawa and Masahiro Kawasaki","Collapse of Axionic Domain Wall and Axion Emission","uuencoded compressed 6 pages (REVTeX) + 6 figures (Postscript),
  UTAP-175 ICRR-Report-314-94-9","Phys.Rev. D50 (1994) 4821-4826","10.1103/PhysRevD.50.4821",,"astro-ph",,"  We examine the collapse of an axion domain wall bounded by an axionic string.
It is found that the collapse proceeds quickly and axion domain walls
disappear. However axions are emitted in the collapse and its energy density
increases during radiation dominated era and contributes significantly to the
present mass density of the universe. In particular the axion emitted from the
wall can account for the dark matter in the universe for $F_a\gsim
10^{10}\GeV$.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 12:25:25 GMT""},{""version"":""v2"",""created"":""Mon, 9 May 1994 11:44:13 GMT""}]","2009-10-22"
"astro-ph/9402067","Xiaoming Fan","X.-M. Fan and D. Tytler","Lick Optical Spectra of Quasar HS 1946+7658 at 10 km/sec Resolution:
  Lyman-Alpha Forest and Metal Absorption Systems","(Plain Tex, 46 pages and 21 figures. To get 21 postscript files for
  figures ftp to 132.239.146.152 and login as ftp in directory /pub/fan). To
  appear in the Astrophysical Journal Supplements","Astrophys.J.Suppl.94:17-46,1994","10.1086/192071",,"astro-ph",,"  We present optical spectra of QSO HS~1946+7658 with either high resolution
(FWHM=10 km/s) or high signal to noise ratio (SNR=40-100). We find 113 Lyman
alpha and six metal line systems. The metal systems at Zabs=2.844 and 3.050
have complex velocity structures. We find that the system at 2.844 is a damped
Ly-a absorption system, with neutral hydrogen column density of
logN(HI)=20.2+/-0.4, and it is the cause of the Lyman limit break at 3520\AA.
The metal abundance in the gas phase of the system is [M/H]=-2.6+/-0.3, with a
best estimate of [M/H]= -2.8, with ionization parameter Gamma=-2.75, from a
photoionization model. We show that the abundance ratios rule out appreciable
dust in this DLA system. We do not see the enhancement of O over C reported in
Nature by Reimers last years. We see CII*(1335) offset by 15 km/s with respect
to CII(1334), presumably because the gas density varies from 2 - 8 cm(-3) with
changing velocity in the DLA system. These densities imply that the damped
component is 6 - 25 pc thick, which is reasonable for a single cloud in a cold
spiral disk. We see a 2.6sigma lack of Ly-a forest lines well away from the QSO
redshift, which may be a chance fluctuation. We also see a correlation between
column density N(HI) and Doppler parameter b for 96 unsaturated Ly-a forest
absorption lines, and although this correlation persists in the 36 Ly-a lines
which lie in regions where SNR=8-16, we agree with Rauch etal (1993) that it is
probably a bogus effect of low SNR. We show that there are few low-b Ly-a
forest lines in moderate SNR data.
","[{""version"":""v1"",""created"":""Thu, 24 Feb 1994 23:43:40 GMT""}]","2010-12-16"
"cond-mat/9402105","Ronald Dickman","Ronald Dickman and Eugene M. Chudnovsky","Lattice on Lattice in Two Dimensions","12 pages, LaTeX + four figures on request",,,"lehman-cm-94-001","cond-mat",,"  We study a harmonic triangular lattice, which relaxes in the presence of a
weak, short-wavelength periodic potential. Monte Carlo simulations reveal that
the elastic lattice has only short-ranged positional correlations, despite the
absence of defects in either lattice. Long-range orientational order, however,
persists in the presence of the background. Our results provide an alternative
explanation for the hexatic glassphase observed in high-temperature
superconductors, magnetic bubble lattices, and charge density waves in
semiconductors.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 13:29:00 GMT""}]","2007-05-23"
"cond-mat/9402106","Tom Schork","Tom Schork and Peter Fulde","Interaction of a Magnetic Impurity with Strongly Correlated Conduction
  Electrons","16 pages, Revtex 3.0",,"10.1103/PhysRevB.50.1345",,"cond-mat",,"  We consider a magnetic impurity which interacts by hybridization with a
system of strongly correlated conduction electrons. The latter are described by
a Hubbard Hamiltonian. By means of a canconical transformation the charge
degrees of freedom of the magnetic impurity are eliminated. The resulting
effective Hamiltonian $H_{\rm eff}$ is investigated and various limiting cases
are considered. If the Hubbard interaction $U$ between the conduction electrons
is neglected $H_{\rm eff}$ reduces to a form obtained by the Schrieffer-Wolff
transformation, which is essentially the Kondo Hamiltonian. If $U$ is large and
the correlations are strong $H_{\rm eff}$ is changed. One modification concerns
the coefficient of the dominant exchange coupling of the magnetic impurity with
the nearest lattice site. When the system is hole doped, there is also an
antiferromagnetic coupling to the nearest neighbors of that site involving
additionally a hole. Furthermore, it is found that the magnetic impurity
attracts a hole. In the case of electron doping, double occupancies are
repelled by the impurity. In contrast to the hole-doped case, we find no
magnetic coupling which additionally involves a doubly occupied site.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 14:28:01 GMT""}]","2009-10-22"
"gr-qc/9402043","Riccardo Capovilla","Riccardo Capovilla and Octavio Obregon","No Quantum Super-Minisuperspace with $\Lambda \ne 0$","9 pages, LaTeX, CIEA-94-02","Phys.Rev. D49 (1994) 6562-6565","10.1103/PhysRevD.49.6562",,"gr-qc",,"  We show that the quantum super-minisuperspace of N=1 supergravity with
$\Lambda \ne 0 $ has no non-trivial physical states for class A Bianchi models.
Hence, in super quantum cosmology, the vanishing of $\Lambda$ is a condition
for the existence of the universe. We argue that this result implies that in
full supergravity with $\Lambda$ there are no non-trivial physical states with
a finite number of fermionic fields. We use the Jacobson canonical formulation.
","[{""version"":""v1"",""created"":""Thu, 24 Feb 1994 17:38:17 GMT""}]","2009-10-22"
"hep-lat/9402017","Gernot Muenster","Gernot Muenster and Jochen Heitger","Field Theoretic Calculation of the Universal Amplitude Ratio of
  Correlation Lengths in 3D-Ising Systems","14 pages, MS-TPI-94-01","Nucl.Phys.B424:582-594,1994","10.1016/0550-3213(94)90409-X",,"hep-lat cond-mat",,"  In three-dimensional systems of the Ising universality class the ratio of
correlation length amplitudes for the high- and low-temperature phases is a
universal quantity. Its field theoretic determination apart from the
$\epsilon$-expansion represents a gap in the existing literature. In this
article we present a method, which allows to calculate this ratio by
renormalized perturbation theory in the phases with unbroken and broken
symmetry of a one-component $\phi^4$-theory in fixed dimensions $D=3$. The
results can be expressed as power series in the renormalized coupling constant
of either of the two phases, and with the knowledge of their fixed point values
numerical estimates are obtainable. These are given for the case of a two-loop
calculation.
","[{""version"":""v1"",""created"":""Fri, 25 Feb 1994 14:42:07 GMT""}]","2010-12-23"
