"alg-geom/9403001","Xian Wu","Xian Wu","Residual Intersections and Some Applications","23 pages, Ams-Tex Version 2.1",,,,"alg-geom math.AG",,"  We give a new residual intersection decomposition for the refined
intersection products of Fulton-MacPherson. Our formula refines the celebrated
residual intersection formula of Fulton, Kleiman, Laksov, and MacPherson. The
new decomposition is more likely to be compatible with the canonical
decomposition of the intersection products and each term in the decomposition
thus has simple geometric meaning. Our study is motivated by its applications
to some geometric problems. In particular, we use the decomposition to find the
distribution of limiting linear subspaces in degenerations of hypersurfaces. A
family of identities for characteristic classes of vector bundles is also
obtained as another consequence. This paper will appear in Duke Math. Jour.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 15:50:02 GMT""}]","2008-02-03"
"astro-ph/9402071","Stephane Colombi","S. Colombi","A ``Skewed'' lognormal approximation to the probability distribution
  function of the large-scale density field","8 pages, uuencoded postcript, FERMILAB-Pub-94/050-A, Submitted to ApJ
  Letters","Astrophys.J. 435 (1994) L536-539","10.1086/174834",,"astro-ph",,"  I propose a method to fit the probability distribution function (hereafter
PDF) of the large scale density field rho, motivated by a Lagrangian version of
the continuity equation. It consists in applying the Edgeworth expansion to the
quantity Phi=log rho - < log rho >. The method is tested on the matter particle
distribution in two cold dark matter N-body simulations of different physical
sizes to cover a large dynamic range. It is seen to be very efficient, even in
the non-linear regime, and may thus be used as an analytical tool to study the
effect on the PDF of the transition between the weakly non-linear regime and
the highly non-linear regime.
","[{""version"":""v1"",""created"":""Mon, 28 Feb 1994 21:17:34 GMT""}]","2009-10-22"
"astro-ph/9403001","Sharon Vadas","Edward W. Kolb and Sharon L. Vadas","Relating Spectral Indices to Tensor and Scalar Amplitudes in Inflation","18 pages, LaTeX, no figures, FNAL--PUB--94/046-A; CfPA 94-th-14
  (small revisions only, esp. examples for hybrid inflation)","Phys.Rev. D50 (1994) 2479-2487","10.1103/PhysRevD.50.2479",,"astro-ph gr-qc hep-ph",,"  Within an expansion in slow-roll inflation parameters, we derive the complete
second-order expressions relating the ratio of tensor to scalar density
perturbations and the spectral index of the scalar spectrum. We find that
``corrections'' to previously derived formulae can dominate if the tensor to
scalar ratio is small. For instance, if $V V''/(V')^2\neq 1$ or if
$m_{Pl}^2/(4\pi) ~|V'''/V'|\ga 1$, where $V(\phi)$ is the inflaton potential
and $m_{Pl}$ is the Planck mass, then the previously used simple relations
between the indices and the tensor to scalar ratio fails. This failure occurs
in particular for natural inflation, Coleman--Weinberg inflation, and
``chaotic'' inflation.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 00:25:08 GMT""},{""version"":""v2"",""created"":""Sat, 19 Mar 1994 01:03:29 GMT""}]","2009-10-22"
"astro-ph/9403002","Bengt Edvardsson","B. Edvardsson, B. Gustafsson, S.G. Johansson, D. Kiselman, D.L.
  Lambert, P.E. Nissen, G. Gilmore","Boron in the Extreme Pop II Star HD 140283 and the Production of Light
  Elements in the Early Galaxy","6 pages, A&A plain TeX, UAO-94-P87","Astron. Astrophys. 290 (1994) 176",,,"astro-ph",,"  Using observations of the 2496.7 A B I line with the HST GHRS at a nominal
resolution of 90,000, we have found the abundance of boron of HD 140283 to be
log epsilon_B (= 12 + log (N_B/N_H)) = 0.34 \pm 0.20. This result is found when
a significant non-LTE effect in the formation of the B I line is taken into
account. The resulting N_B/N_Be ratio is about 17 (in the range 9 -- 34), which
is in very good agreement with what is expected from spallation by cosmic rays.
We conclude that this origin of Be and B in the Early Galaxy is the most
probable of recently suggested formation mechanisms. (Submitted to A&A.
Postscript figures available via annymous ftp to ""chiron.astro.uu.se"" in
directory pub/Preprints/P87)
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 00:36:48 GMT""}]","2007-05-23"
"cond-mat/9402112","Alessandro Pelizzola","A. Pelizzola","Cluster Variation Method, Pade` Approximants and Critical Behaviour","RevTeX, 10 pages, to be published in Phys. Rev. E (Rapid
  Communications)",,"10.1103/PhysRevE.49.R2503",,"cond-mat",,"  In the present paper we show how non--classical, quite accurate, critical
exponents can be extracted in a very simple way from the Pad\'e analysis of the
results obtained by mean field like approximation schemes, and in particular by
the cluster variation method. We study the critical behavior of the Ising model
on several lattices (quadratic, triangular, simple cubic and face centered
cubic) and two problems of surface critical behaviour. Both unbiased and biased
approximants are used, and results are in very good agreement with the exact or
numerical ones.
","[{""version"":""v1"",""created"":""Mon, 28 Feb 1994 18:03:08 GMT""}]","2009-10-22"
"cond-mat/9402113","Boldizsar Janko","Boldizsar Janko, Anders Smith, and Vinay Ambegaokar","BCS Superconductivity with Fixed Number Parity","17 pages (no figures), RevTeX version 3.0","Phys. Rev. B1. vol 50, p. 1152 (1994)","10.1103/PhysRevB.50.1152",,"cond-mat",,"  We investigate superconductivity in a grand canonical ensemble with {\it
fixed number parity} (even or odd). In the low temperature limit we find small
corrections to the BCS gap equation and energy spectrum $E(k)$. The even-odd
free energy difference in the same limit decreases linearly with temperature,
in accordance with the behavior observed experimentally and previously arrived
at from a quasiparticle model. The theory yields deviations from the BCS
predictions for the specific heat, ultrasound attenuation, NSR relaxation rate,
and electromagnetic absorption.
","[{""version"":""v1"",""created"":""Mon, 28 Feb 1994 19:46:56 GMT""}]","2009-10-22"
"cond-mat/9402114","Israel Vagner","Igor Herbut and Zlatko Tesanovic","Density-functional theory of freezing of vortex-liquid in quasi
  two-dimensional superconductors","12 pages and 1 figure available upon request, LaTex Version 2.09,
  submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.73.484",,"cond-mat",,"  We present a theory of vortex liquid-to-solid transition in homogeneous quasi
2D superconductors. The free energy is written as a functional l of density of
zeroes of the fluctuating order parameter. The transition is weakly first-order
and well below the Hc2(T) line. Transition temperature, discontinuities of the
average Abrikosov ratio and of the average superfluid density, the Debay-Waller
factor and the latent heat are in good agreement with Monte Carlo simulations.
The density is only weakly modulated in the ""vortex-solid"" phase, consistent
with the density-wave behavior.
","[{""version"":""v1"",""created"":""Mon, 28 Feb 1994 22:22:03 GMT""}]","2009-10-22"
"cond-mat/9403001","Michael E. Flatte'","Jeff M. Byers, Michael E. Flatte'","Probing Spatial Correlations with Nanoscale Two-Contact Tunneling","To appear in PRL January. Mainly stylistic revisions. Figures upon
  request",,"10.1103/PhysRevLett.74.306",,"cond-mat",,"  Interference effects on the transport through two localized tunnel junctions
on the surface of a well-grounded sample reveal intrinsic spatial correlations
characteristic of the uncoupled sample. Differential conductances of the
two-junction probe are related to the spatial correlations of both normal and
superconducting samples. For a superconducting sample the gap anisotropy
strongly affects the results. This may serve as a sensitive probe of the order
parameter in high-temperature superconductors.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 01:45:57 GMT""},{""version"":""v2"",""created"":""Thu, 22 Dec 1994 16:42:29 GMT""}]","2009-10-22"
"cond-mat/9403002",,"Jaichul Yi Lizeng Zhang and Geoff S Canright","Phase Diagram of the Two-Dimensional Anderson-Hubbard Model","revtex",,,,"cond-mat",,"  We study the ground state of the two-dimensional Anderson-Hubbard model using
a quantum real space renormalization group method. We obtain the phase diagram
near half filling. The system is always insulating with disorder. At half
filling, the system undergoes a transition from a gapless (Anderson) insulator
to an incompressible (Mott-Hubbard) insulator as the interaction $U$ reaches a
critical value $U_c$. Away from half filling, the insulating phase is always
gapless and is found to be controlled by the Anderson fixed point at half
filling. This result is similar to that obtained in the corresponding one
dimensional system and suggests strongly the importance of the
electron-electron correlation in this gapless insulating phase.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 03:34:41 GMT""}]","2007-05-23"
"cond-mat/9403003","Jose P. Rodriquez","J.P. Rodriguez","Berezinskii-Kosterlitz-Thouless Transition in Spin-Charge Separated
  Superconductor","35 pages, TeX, CSLA-P-93-2",,"10.1103/PhysRevB.49.9831",,"cond-mat",,"  A model for spin-charge separated superconductivity in two dimensions is
introduced where the phases of the spinon and holon order parameters couple
gauge-invariantly to a statistical gauge-field representing chiral
spin-fluctuations. The model is analyzed in the continuum limit and in the
low-temperature limit. In both cases we find that physical electronic phase
correlations show a superconducting-normal phase transition of the
Berezinskii-Kosterlitz-Thouless type, while statistical gauge-field excitations
are found to be strictly gapless. The normal-to-superconductor phase boundary
for this model is also obtained as a function of carrier density, where we find
that its shape compares favorably with that of the experimentally observed
phase diagram for the oxide superconductors.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 04:45:34 GMT""}]","2009-10-22"
"cond-mat/9403004","Silvio Franz","S.Franz and M.M\'ezard","On Mean Field Glassy Dynamics out of Equilibrium","LaTeX, LPTENS preprint 94/05",,"10.1016/0378-4371(94)00057-3",,"cond-mat",,"  We study the off equilibrium dynamics of a mean field disordered systems
which can be interpreted both as a long range interaction spin glass and as a
particle in a random potential. The statics of this problem is well known and
exhibits a low temperature spin glass phase with continuous replica symmetry
breaking. We study the equations of off equilibrium dynamics with analytical
and numerical methods. In the spin glass phase, we find that the usual
equilibrium dynamics (observed when the observation time is much smaller than
the waiting time) coexists with an aging regime. In this aging regime, we
propose a solution implying a hierarchy of crossovers between the observation
time and the waiting time.
","[{""version"":""v1"",""created"":""Tue, 1 Mar 1994 10:44:17 GMT""}]","2009-10-22"
