"alg-geom/9403005","Ted Shifrin","C. McCrory, T. Shifrin, R. Varley (University of Georgia)","Siegel modular forms generated by invariants of cubic hypersurfaces","24 pages in AMSppt 2.1, preprint Univ. of Georgia 2/94",,,,"alg-geom math.AG",,"  We give a geometric derivation of Schottky's equation in genus four for the
period matrices of Riemann surfaces among all period matrices. The equation
arises naturally from the singularity theory of the Gauss map on the theta
divisor, and thus generalizes for any genus $g \ge 4$ to a certain ideal of
Siegel modular forms vanishing on period matrices of Riemann surfaces. This
ideal is generated by modular forms associated to the invariants of cubic forms
in $g - 1$ variables which vanish on the Fermat cubic.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 20:21:32 GMT""},{""version"":""v2"",""created"":""Fri, 4 Mar 1994 19:46:24 GMT""},{""version"":""v3"",""created"":""Mon, 7 Mar 1994 15:57:52 GMT""}]","2008-02-03"
"astro-ph/9403007","Edward Kolb","Edward W. Kolb","Particle Physics and Cosmology","54 pages in a uuencoded postscript file, FNAL--CONF--94/058--A",,,,"astro-ph",,"  Lectures presented at the 42nd Scottish Universities Summer School in
Physics, St. Andrews, Scotland, August 1993.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 22:14:09 GMT""}]","2007-05-23"
"cond-mat/9403013","Shubha Tewari","J.Ruvalds, C.T.Rieck, S.Tewari, J.Thoma and A.Virosztek","Nesting Mechanism for d-symmetry Superconductors","9 pages, 4 figures (available upon request), ReVTeX",,"10.1103/PhysRevB.51.3797",,"cond-mat",,"  A nested Fermi surface with nearly parallel orbit segments is found to yield
a singlet d-wave superconducting state at high temperatures for a restricted
range of the on-site Coulomb repulsion that avoids the competing spin density
wave instability. The computed superconducting transition temperature drops
dramatically as the nesting vector is decreased, in accord with recent
photo-emission data on the Bi2212 and Bi2201 cuprates.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 16:21:00 GMT""}]","2009-10-22"
"cond-mat/9403014","Klaus Ziegler","K. Ziegler and A.M.M. Pruisken","Incommensurate Phase on a Disordered Surface: Instability Against the
  Formation of Overhangs and Finite Loops","10 pages, RevTex 3.0, 1 figure (postscript)",,"10.1103/PhysRevE.51.3359",,"cond-mat",,"  The stability of the quenched incommensurate phase in two dimensions against
the creation of overhangs and finite loops (OH/FL) in the replica space is
investigated for a model of domain walls with $N$ colors. Introducing a
chemical potential $\epsilon$ for OH/FL, the probability for the formation of
these objects is studied for $\epsilon\to0$. In the pure limit this probability
vanishes with $\sqrt{\epsilon}$, whereas the fluctuations of this probability
are long-range correlated in the quenched system. This indicates an instability
related to the symmetry in replica space. It is accompanied by the creation of
a massless boson. The latter leads to a power law decay with exponent $\propto
1/N$ for the product of the correlation functions along the domain walls.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 16:44:03 GMT""}]","2009-10-22"
"cond-mat/9403015","Rudolph A Romer","Rudolf A. R\""omer and Bill Sutherland","Transport Properties of a One-Dimensional Two-Component Quantum Liquid
  with Hyperbolic Interactions","10 REVTeX pages + 4 uuencoded figures, UoU-0020294",,"10.1103/PhysRevB.50.15389",,"cond-mat",,"  We present an investigation of the sinh-cosh (SC) interaction model with
twisted boundary conditions. We argue that, when unlike particles repel, the SC
model may be usefully viewed as a Heisenberg-Ising fluid with moving
Heisenberg-Ising spins. We derive the Luttinger liquid relation for the
stiffness and the susceptibility, both from conformal arguments, and directly
from the integral equations. Finally, we investigate the opening and closing of
the ground state gaps for both SC and Heisenberg-Ising models, as the
interaction strength is varied.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 18:07:21 GMT""}]","2016-08-14"
"cond-mat/9403016","Laurent Laloux","Laurent Laloux, Antoine Georges and Werner Krauth","Effect of a magnetic field on Mott-Hubbard systems","18 pages, RevTeX 3.0, 10 postscript figures upon request LPTENS
  preprint 94/03",,"10.1103/PhysRevB.50.3092",,"cond-mat",,"  The effect of a magnetic field on Mott-Hubbard systems is investigated by
studying the half-filled Hubbard model in the limit of infinite dimensions. A
first-order metamagnetic transition between the strongly correlated metal and
the Mott insulator is found for a critical value of the applied field. The
field and temperature dependence of the magnetization, one-particle properties
and susceptibility are studied and compared to the Gutzwiller approximation.
The experimental relevance for transition-metal oxides and liquid $^{3}He$ is
discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 18:56:21 GMT""}]","2009-10-22"
"cond-mat/9403017","Ady Stern","Ady Stern (Harvard University)","Quantum Hall Fluid of Vortices in a Two Dimensional Array of Josephson
  Junctions","35 pages, Revtex, HU-4913347",,"10.1103/PhysRevB.50.10092",,"cond-mat",,"  A two dimensional array of Josephson junctions in a magnetic field is
considered. It is shown that the dynamics of the vortices in the array
resembles that of electrons on a two--dimensional lattice put in a magnetic
field perpendicular to the lattice. Under appropriate conditions, this
resemblance results in the formation of a quantum Hall fluid of vortices. The
bosonic nature of vortices and their long range logarithmic interaction make
some of the properties of the vortices' quantum Hall fluid different from those
of the electronic one. Some of these differences are studied in detail.
Finally, it is shown that a quantum Hall fluid of vortices manifests itself in
a quantized Hall electronic transport in the array.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 20:32:31 GMT""}]","2009-10-22"
"cond-mat/9403018","Mike Norman","M. R. Norman","An Orbitally Degenerate Spin Fluctuation Model for Heavy Fermion
  Superconductivity","42 pages (plain TeX with macros), plus 11 postscript figures","Phys Rev B 50, 6904 (1994)","10.1103/PhysRevB.50.6904",,"cond-mat",,"  In this paper, a generalization of standard spin fluctuation theory is
considered by replacing the simple Hubbard interaction by the screened
Hartree-Fock interaction for f electrons. This model is then used in both an LS
and a JJ coupling scheme to construct the particle-particle scattering vertex
in an on-site approximation. This vertex is shown to lead to an instability for
a superconducting pair state which obeys Hunds rules, with L=5, S=1, and J=4.
The degeneracy of this state is broken by anisotropy of the quasiparticle
wavefunctions. Detailed calculations are presented for the case of $UPt_3$.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 20:50:07 GMT""}]","2009-10-22"
"cond-mat/9403019","Mr A. M. Martin","A Martin and CJ Lambert","Quantum Resonances of Weakly Linked, Mesoscopic, Superconducting Dots","Tex, 3 figures available on request to pyb063@cent1.lancs.ac.uk (Andy
  Martin)",,,,"cond-mat",,"  We examine quantum properties of mesoscopic, Josephson coupled
superconducting dots, in the limit that charging effects and quantization of
energy levels within the dots are negligible, but quasi-particle transmission
into the weak link is not. We demonstrate that quasi-particle resonances lead
to current-phase relations, which deviate markedly from those of weak links
connecting macroscopic superconductors. Results for the steady state dc
Josephson current of two coupled dots are presented.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 12:36:38 GMT""}]","2007-05-23"
"funct-an/9403002","Alexander Turbiner","N. Fleury and A. Turbiner","On Polynomial Relations in the Heisenberg Algebra","10 pages, Preprint CRN 94/08 and IFUNAM FT 94-41 (corrected), LaTeX
  The title is changed, the paper is expanded, extra references are added,
  typos are corrected","Journ.Math.Phys. 35 (1994) 6144","10.1063/1.530733",,"funct-an cond-mat hep-th math.OA",,"  Polynomial relations between the generators of the classical and quantum
Heisenberg algebras are presented. Some of those relations can have a meaning
of the formulas of the normal ordering for the creation/annihilation operators
occurred in the method of the second quantization.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 01:11:23 GMT""},{""version"":""v2"",""created"":""Fri, 13 May 1994 21:35:54 GMT""}]","2009-10-22"
"gr-qc/9403011","Wai Suen","Peter Anninos, David Bernstein, Steven Brandt, Joseph Libson, Joan
  Masso, Edward Seidel, Larry Smarr, Wai-Mo Suen, Paul Walker","Dynamics of Apparent and Event Horizons","4 pages, 94-2","Phys.Rev.Lett. 74 (1995) 630-633","10.1103/PhysRevLett.74.630",,"gr-qc",,"  The dynamics of apparent and event horizons of various black hole spacetimes,
including those containing distorted, rotating and colliding black holes, are
studied. We have developed a powerful and efficient new method for locating the
event horizon, making possible the study of both types of horizons in numerical
relativity. We show that both the event and apparent horizons, in all dynamical
black hole spacetimes studied, oscillate with the quasinormal frequency.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 16:18:25 GMT""}]","2009-10-22"
