"chao-dyn/9403001","Matt Kennel","Matthew B. Kennel(1), Henry D. I. Abarbanel(1,2), and J. J. ""Sid""
  Sidorowich(1) ((1) Institute for Nonlinear Science, UC San Diego (2) Marine
  Physical Laboratory, Scripps Institution of Oceanography)","Prediction Errors and Local Lyapunov Exponents","In REVTeX format, followed by uuencoded, compressed "".tar.Z"" file
  which includes Postscript version of manuscript and 5 Postscript figures.
  PACS:{05.45.+b,92.60.Wc}, email:[mbk,hdia,sid]@inls1.ucsd.edu",,,,"chao-dyn nlin.CD",,"  It is frequently asserted that in a chaotic system two initially close points
will separate at an exponential rate governed by the largest global Lyapunov
exponent. Local Lyapunov exponents, however, are more directly relevant to
predictability. The difference between the local and global Lyapunov exponents,
the large variations of local exponents over an attractor, and the saturation
of error growth near the size of the attractor---all result in non-exponential
scalings in errors at both short and long prediction times, sometimes even
obscuring evidence of exponential growth. Failure to observe exponential error
scaling cannot rule out deterministic chaos as an explanation. We demonstrate a
simple model that quantitatively predicts observed error scaling from the local
Lyapunov exponents, for both short and surprisingly long times. We comment on
the relevance to atmospheric predictability as studied in the meteorological
literature.
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 00:04:52 GMT""}]","2008-02-03"
"chem-ph/9403001","David L. Freeman","David L. Freeman (Department of Chemistry, The University of Rhode
  Island, Kingston, RI) and J.D. Doll (Department of Chemistry, Brown
  University, Providence, RI)","Fourier Path Integral Monte Carlo Method for the Calculation of the
  Microcanonical Density of States","Journal of Chemical Physics","J. Chem. Phys. 101 (1994) 848","10.1063/1.468087",,"chem-ph physics.chem-ph",,"  Using a Hubbard-Stratonovich transformation coupled with Fourier path
integral methods, expressions are derived for the numerical evaluation of the
microcanonical density of states for quantum particles obeying Boltzmann
statistics. A numerical algorithmis suggested to evaluate the quantum density
of states and illustrated on a one-dimensional model system.
","[{""version"":""v1"",""created"":""Tue, 8 Mar 1994 16:46:45 GMT""}]","2009-10-22"
"chem-ph/9403002","David L. Freeman","Robert Q. Topper and David L. Freeman (Department of Chemistry,
  University of Rhode Island, Kingston, RI)","Monte Carlo Studies of the Orientational Order-Disorder Phase Transition
  in Solid Ammonium Chloride","submitted to Journal of Chemical Physics",,,,"chem-ph physics.chem-ph",,"  Monte Carlo methods are used to study the phase transition in ammonium
chloride from the orientationally ordered $\delta$ phase to the orientationally
disordered $\gamma$ phase. An effective pair potential is used to model the
interaction between ions. Thermodynamic properties are computed in the
canonical and isothermal-isobaric ensembles. Each ammonium ion is treated as a
rigidly rotating body and the lattice is fixed in the low-temperature CsCl
geometry. A simple extension of the Metropolis Monte Carlo method is used to
overcome quasiergodicity in the rotational sampling. In the constant-$NVT$
calculations the lattice is held rigid; in the constant-$NpT$ calculations the
lattice parameter is allowed to fluctuate. In both ensembles the order
parameter rapidly falls to zero in the range (200 - 250)K, suggesting that the
model disorders at a temperature in fair agreement with the experimental
disordering temperature (243K). Peaks in the heat capacity and thermal
expansivity curves are also found in the same temperature range.
","[{""version"":""v1"",""created"":""Tue, 8 Mar 1994 20:27:10 GMT""},{""version"":""v2"",""created"":""Wed, 9 Mar 1994 20:21:23 GMT""},{""version"":""v3"",""created"":""Fri, 11 Mar 1994 14:32:50 GMT""}]","2008-02-03"
"chem-ph/9403003","Jean-Marc Richard","Jean-Marc Richard (Universit\'e Joseph Fourier, Grenoble (France))","Stability of the Hydrogen and Hydrogen-like Molecules",,,"10.1103/PhysRevA.49.3573",,"chem-ph physics.chem-ph",,"  We present a simple proof of the stability of the hydrogen molecule
$(M^+M^+m^-m^-)$. It does not rely on the proton-to-electron mass ratio $M/m$
being very large, and actually holds for arbitrary values of $M/m$. Some
asymmetric molecules of the type $(m_1^+m_2^+m_3^-m_4^-)$ are also stable.
Possible applications to molecules containing antiparticles and to exotic
hadrons in the quark model are briefly outlined. Revtex Version 3.0, 4 Figures
available on request by Fax or Mail.
","[{""version"":""v1"",""created"":""Tue, 8 Mar 1994 20:35:21 GMT""}]","2009-10-22"
"comp-gas/9403001","David R. Wolf","David H. Wolpert, David R. Wolf","Estimating Functions of Probability Distributions from a Finite Set of
  Samples, Part 1: Bayes Estimators and the Shannon Entropy","uuencoded compressed tarfile, submitted",,,"LANL LA-UR-92-4369","comp-gas adap-org nlin.AO nlin.CG",,"  We present estimators for entropy and other functions of a discrete
probability distribution when the data is a finite sample drawn from that
probability distribution. In particular, for the case when the probability
distribution is a joint distribution, we present finite sample estimators for
the mutual information, covariance, and chi-squared functions of that
probability distribution.
","[{""version"":""v1"",""created"":""Tue, 8 Mar 1994 20:44:00 GMT""}]","2008-02-03"
"comp-gas/9403002","David R. Wolf","David R. Wolf, David H. Wolpert","Estimating Functions of Distributions from A Finite Set of Samples, Part
  2: Bayes Estimators for Mutual Information, Chi-Squared, Covariance and other
  Statistics","uuencoded compressed postscript, submitted",,,"LANL LA-UR-93-833","comp-gas adap-org nlin.AO nlin.CG",,"  We present estimators for entropy and other functions of a discrete
probability distribution when the data is a finite sample drawn from that
probability distribution. In particular, for the case when the probability
distribution is a joint distribution, we present finite sample estimators for
the mutual information, covariance, and chi-squared functions of that
probability distribution.
","[{""version"":""v1"",""created"":""Tue, 8 Mar 1994 20:44:08 GMT""}]","2008-02-03"
"cond-mat/9403032","Lev Ioffe","M. V. Feigelman and L. B. Ioffe","Non local screening in a vortex line liquid","This is a more detailed ``Letter'' version of the paper which was
  originally a very short ``Comment''; 3 pages, LATEX file with 1 figure",,,,"cond-mat",,"  We show that the recent experiments \cite{safar} reporting the onset of the
non-local conductivity in the vortex state of $YBaCuO$ single crystals indicate
the presence of a new liquid phase of vortices. This phase is intermediate
between the normal metal and the Abrikosov lattice. We use the mapping of the
vortex problem to the problem of bose liquid to determine theoretically the
properties of the proposed vortex liquid phase and compare them with the data.
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 05:13:03 GMT""},{""version"":""v2"",""created"":""Sun, 25 Dec 1994 16:12:24 GMT""}]","2008-02-03"
"cond-mat/9403033","Carlo Beenakker","C.W.J. Beenakker (Instituut-Lorentz, Leiden, The Netherlands)","Exactly Solvable Scaling Theory of Conduction in Disordered Wires","9 pages, LATEX, INLO-PUB-940309a","Mod.Phys.Lett.B 8 (1994) 469","10.1142/S0217984994000509",,"cond-mat",,"  Recent developments are reviewed in the scaling theory of phase-coherent
conduction through a disordered wire. The Dorokhov-Mello-Pereyra-Kumar equation
for the distribution of transmission eigenvalues has been solved exactly, in
the absence of time-reversal symmetry. Comparison with the previous prediction
of random-matrix theory shows that this prediction was highly accurate --- but
not exact: The repulsion of the smallest eigenvalues was overestimated by a
factor of two. This factor of two resolves several disturbing discrepancies
between random-matrix theory and microscopic calculations, notably in the
magnitude of the universal conductance fluctuations in the metallic regime, and
in the width of the log-normal conductance distribution in the insulating
regime. ***To be published as a ""Brief Review"" in Modern Physics Letters B.****
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 09:09:48 GMT""}]","2013-04-08"
"cond-mat/9403034","Carlo Beenakker","C.W.J. Beenakker and J.A. Melsen (Instituut-Lorentz, Leiden, The
  Netherlands)","Conductance Fluctuations, Weak Localization, and Shot Noise for a
  Ballistic Constriction in a Disordered Wire","15 pages, REVTeX-3.0, 9 postscript figures appended as
  self-extracting archive, INLO-PUB-940309b","Phys.Rev.B 50 (1994) 2450","10.1103/PhysRevB.50.2450",,"cond-mat",,"  This is a study of phase-coherent conduction through a ballistic point
contact with disordered leads. The disorder imposes mesoscopic
(sample-to-sample) fluctuations and weak-localization corrections on the
conductance, and also leads to time-dependent fluctuations (shot noise) of the
current. These effects are computed by means of a mapping onto an unconstricted
conductor with a renormalized mean free path. The mapping holds both in the
metallic and in the localized regime, and permits a solution for arbitrary
ratio of mean free path to sample length. In the case of a single-channel
quantum point contact, the mapping is onto a one-dimensional disordered chain,
for which the complete distribution of the conductance is known. The theory is
supported by numerical simulations. ***Submitted to Physical Review B.****
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 09:10:04 GMT""}]","2007-05-23"
"cond-mat/9403035","Enzo Granato","E. Granato","Phase transitions in the one-dimensional frustrated quantum XY model and
  Josephson-junction ladders","13 pages, Revtex, J. Appl. Phys. (to appear), Inpe-las-004","J. Appl. Phys. 75, 6690 (1994)","10.1063/1.356765",,"cond-mat hep-lat",,"  A one-dimensional quantum version of the frustrated XY (planar rotor) model
is considered which can be physically realized as a ladder of
Josephson-junctions at half a flux quantum per plaquette. This system undergoes
a superconductor to insulator transition at zero temperature as a function of
charging energy. The critical behavior is studied using a Monte Carlo transfer
matrix applied to the path-integral representation of the model and a
finite-size-scaling analysis of data on small system sizes. Depending on the
ratio between the interchain and intrachain couplings the system can have
single or double transitions which is consistent with the prediction that its
critical behavior should be described by the two-dimensional classical XY-Ising
model.
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 14:05:44 GMT""}]","2009-10-22"
"cond-mat/9403036","Albert Diaz-Guilera","Albert Diaz-Guilera (Dep. Fisica Fonamental, Universitat de Barcelona)","Dynamic Renormalization Group Approach to Self-Organized Critical
  Phenomena","8 pages, RevTeX 3.0, 1 PostScript figure available upon request",,"10.1209/0295-5075/26/3/004",,"cond-mat",,"  Two different models exhibiting self-organized criticality are analyzed by
means of the dynamic renormalization group. Although the two models differ by
their behavior under a parity transformation of the order parameter, it is
shown that they both belong to the same universality class, in agreement with
computer simulations. The asymptotic values of the critical exponents are
estimated up to one loop order from a systematic expansion of a nonlinear
equation in the number of coupling constants.
","[{""version"":""v1"",""created"":""Wed, 9 Mar 1994 14:16:56 GMT""}]","2009-10-22"
