"alg-geom/9403016","Christoph Sorger","Christoph Sorger","Groupe de Picard de la vari\'et\e de modules des
  th\^eta-caracteristiques des courbes planes","48 pages, amslatex v1.1, french",,,,"alg-geom math.AG",,"  Nous calculons le groupe de Picard de l'espace des modules
$\Theta_{\planp}(d)$ des th\^eta-caract\'eristiques des courbes planes (non
forc\'ement lisses) de degr\'e $d$. Nous montrons que pour $d\ge 6$, le groupe
de Picard de la composante paire est engendr\'e par le fibr\'e d\'eterminant
${\cal{D}}$ et l'image r\'eciproque ${\cal{L}}$, sous le morphisme support
sch\'ematique, de ${\cal{O}}_{\proj}(1)$ o\`u $\proj$ est l'espace des courbes
de degr\'e $d$ sur $\planp$. Pour $1\le d \le 4$, ce groupe est engendr\'e
uniquement par ${\cal{L}}$, le fibr\'e d\'eterminant \'etant trivial dans ces
cas. Dans le groupe $\Cl$ des diviseurs de Weil, le fibr\'e d\'eterminant admet
une racine: le fibr\'e pfaffien ${\cal{P}}$. De plus, pour $d\geq 4$ pair,
${\cal{L}}$ aussi admet une racine dans $\Cl$. Si $d=5$, le fibr\'e pfaffien
s'\'etend en un fibr\'e inversible et le groupe de Picard est engendr\'e par
${\cal{L}}$ et ${\cal{P}}$. On verra ainsi que la composante paire de
$\Theta_{\planp}(d)$ est localement factoriel si et seulement si $d=1,2,3$ ou
$d=5$. On obtient un r\'esultat analogue pour la composante impaire. Ensuite,
nous \'etudions la question d'existence d'une famille universelle sur un ouvert
de l'ouvert $U$ des th\^eta-caract\'eristiques dont le faisceau sous-jacent est
stable. Nous montrons que pour $d$ pair une telle famille ne peut exister,
tandis que pour $d$ impair une telle famille existe, pas sur $U$ entier, mais
localement dans la topologie de Zariski.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:49:01 GMT""}]","2008-02-03"
"astro-ph/9403061","Masahiro Kawasaki","M. Kawasaki and T. Moroi","Gravitino Production in the Inflationary Universe and the Effects on
  Big-Bang Nucleosynthesis","24 pages including figures, compressed and uuencoded postscript file,
  ICRR-Report-315-94-10, TU-457",,,,"astro-ph",,"  Gravitino production and decay in the inflationary universe are reexanimed.
Assuming that gravitino mainly decays into photon and photino, we have
calculated the upperbound of the reheating temperature. Compared to previous
works, we have essentially improved the following two points; (i) the helicity
$\pm\frac{3}{2}$ gravitino production cross sections are calculated by using
the full relevant terms in the supergravity lagrangian, and (ii) high energy
photon spectrum is obtained by solving the Boltzmann equations numerically.
Photo-dissociation of the light elements (D, T, $^3$He, $^4$He) leads to the
most stringent upperbound of the reheating temperature, which is given by
($10^{6}$--$10^{9}$)GeV for the gravitino mass 100GeV--1TeV. On the other hand,
requiring that the present mass density of photino should be smaller than the
critical density, we find that the reheating temperature have to be smaller
than ($10^{11}$--$10^{12}$)GeV for the photino mass (10--100)GeV,
irrespectively of the gravitino mass. The effect of other decay channel is also
considered.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 04:49:19 GMT""}]","2009-09-25"
"astro-ph/9403062","Albert Zijlstra","Stuart Pottasch and Albert Zijlstra","VLA Measurements of a sample of Planetary Nebulae","(LaTeX, one hardcopy figure available on request from
  azijlstr@eso.org) Accepted for publication in Astrom. and Astrophys.
  ESO-AZ-03",,,,"astro-ph",,"  We report on new radio measurements of Galactic planetary nebulae, aimed at
resolving the controversies on the reliability of older VLA flux densities and
the suggested deviations from the standard Galactic extinction law found for
planetary nebulae. We show that for faint ($<$10 mJy) objects observed at high
angular resolution, previous determinations are indeed too low. For the bright
objects we find no significant differences. The new values are the most
accurate flux determinations yet for planetary nebulae, reaching 1\% for the
brightest objects in the sample. Based on the new data, we confirm that there
is a systematic difference between the extinction derived from the
radio/H$\beta$ flux ratio and derived from the Balmer decrement, which led to
the suggestion of deviations from the standard extinction law. However, final
confirmation of this has to await the availibility of more, accurate
measurements of the Balmer (and/or Paschen) lines.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 10:26:39 GMT""}]","2007-05-23"
"astro-ph/9403063",,"Elena Zucca, Lucia Pozzetti and Giovanni Zamorani","On the Luminosity Function of Early--Type Galaxies","accepted for publication on MNRAS, Standard TeX, for tables and
  figures contact zucca@astbo1.bo.cnr.it BAP 03-1994-04-IRA","Mon.Not.Roy.Astron.Soc. 269 (1994) 953","10.1093/mnras/269.4.953",,"astro-ph",,"  In a recent paper Loveday et al. (1992) have presented new results on the
luminosity function for a sample of galaxies with $b_J \le 17.15$. After having
morphologically classified each galaxy (early--type, late--type, merged or
uncertain), they have estimated the parameters of a Schechter luminosity
function for early-- and late--type galaxies. However, in their sample there is
a bias against identifying early--type galaxies at large distances and/or faint
magnitudes: in fact, many of the early--type galaxies at faint magnitudes have
probably been classified as ``uncertain"". As discussed in Loveday et al., the
existence of such a bias is indicated by the fact that for these galaxies
$<V/V_{max}>=0.32$. In this paper we show, both theoretically and through the
use of simulated samples, that this incompleteness strongly biases the derived
parameters of the luminosity function for early--type galaxies. If no
correction for such incompleteness is applied to the data (as done by Loveday
et al.), one obtains a flatter slope $\alpha$ and a brighter $M^*$ with respect
to the real parameters.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 11:09:43 GMT""}]","2015-06-24"
"chao-dyn/9403005","Ruediger Schack","Ruediger Schack (University of New Mexico), Giacomo M. D'Ariano
  (Universita degli Studi di Pavia), and Carlton M. Caves (University of New
  Mexico)","Hypersensitivity to perturbation in the quantum kicked top","24 pages, 7 figures uuencoded in a separate file",,"10.1103/PhysRevE.50.972",,"chao-dyn hep-th nlin.CD",,"  For the quantum kicked top we study numerically the distribution of
Hilbert-space vectors evolving in the presence of a small random perturbation.
For an initial coherent state centered in a chaotic region of the classical
dynamics, the evolved perturbed vectors are distributed essentially like random
vectors in Hilbert space. In contrast, for an initial coherent state centered
near an elliptic (regular) fixed point of the classical dynamics, the evolved
perturbed vectors remain close together, explore only few dimensions of Hilbert
space, and do not explore them randomly. These results support and extend
results of earlier studies, thereby providing additional support for a new
characterization of quantum chaos that uses concepts from information theory.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 00:32:53 GMT""}]","2009-10-22"
"cond-mat/9403086","George Batrouni","G. George Batrouni, Terence Hwa","Dynamic and Static Properties of the Randomly Pinned Planar Flux Array","11 pages, revtex3.0, 3 figures (postscript files upon request)",,"10.1103/PhysRevLett.72.4133",,"cond-mat",,"  We report the results of large scale numerical studies of the dynamic and
static properties of the random phase model of the randomly pinned flux lines
confined in a plane. From the onset of nonlinear IV characteristics, we
identify a vortex glass transition at the theoretically anticipated
temperature. However, the vortex glass phase itself is much {\it less glassy}
than expected. No signature of the glass transition has been detected in the
static quantities measured.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 17:43:22 GMT""}]","2009-10-22"
"cond-mat/9403087","Andrew Millis","A. J. Millis (A.T.& T. Bell Laboratories, 600 Mountain Avenue, Murray
  Hill, N. J.USA)","On the Josephson Coupling between a disk of one superconductor and a
  surrounding superconducting film of a different symmetry","10 pages, revtex3.0, TM-11111-940321-16",,"10.1103/PhysRevB.49.15408",,"cond-mat",,"  A cylindrical Josephson junction with a spatially dependent Josephson
coupling which averages to zero is studied in order to model the physics of a
disk of d-wave superconductor embedded in a superconducting film of a different
symmetry. It is found that the system always introduces Josepshon vortices in
order to gain energy at the junction. The critical current is calculated. It is
argued that a recent experiment claimed to provide evidence for s-wave
superconductivity in $YBa_2Cu_3O_7$ may also be consistent with d-wave
superconductivity. Figures available from the author on request.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 14:22:17 GMT""}]","2009-10-22"
"cond-mat/9403088","Georg Junker","Georg Junker","Recent Developments in Supersymmetric Quantum Mechanics","LaTeX, 13 pages, 5 figures (appended as ps-file), revised version
  with minor corrections","Turkish J. of Physics 19 (1995) 230-248",,,"cond-mat chem-ph hep-th",,"  Some recent results in supersymmetric quantum mechanics are presented. New
semi-classical approximation formulas for Witten's realization of
supersymmetric quantum mechanics are discussed. Implications of the
supersymmetric structure of Pauli's Hamiltonian are also considered. In
particular, the paramagnetisation of a non-interacting electron gas is related
to a modified version of Witten's index. We also show that the supersymmetry in
this system provides a new counter example for the paramagnetic conjecture.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 15:26:09 GMT""},{""version"":""v2"",""created"":""Tue, 5 Apr 1994 08:00:23 GMT""}]","2008-02-03"
"gr-qc/9403051","Gilles Esposito-Farese","Thibault Damour and Gilles Esposito-Farese","Orbital Tests of Relativistic Gravity using Artificial Satellites","17 pages, IHES/P/94/22 and CPT-94/P.E.3021","Phys.Rev.D50:2381-2389,1994","10.1103/PhysRevD.50.2381",,"gr-qc",,"  We reexamine non-Einsteinian effects observable in the orbital motion of
low-orbit artificial Earth satellites. The motivations for doing so are
twofold: (i) recent theoretical studies suggest that the correct theory of
gravity might contain a scalar contribution which has been reduced to a small
value by the effect of the cosmological expansion; (ii) presently developed
space technologies should soon give access to a new generation of satellites
endowed with drag-free systems and tracked in three dimensions at the
centimeter level. Our analysis suggests that such data could measure two
independent combinations of the Eddington parameters (beta - 1) and (gamma - 1)
at the 10^-4 level and probe the time variability of Newton's ""constant"" at the
d(ln G)/dt ~ 10^-13 yr^-1 level. These tests would provide well-needed
complements to the results of the Lunar Laser Ranging experiment, and of the
presently planned experiments aiming at measuring (gamma -1). In view of the
strong demands they make on the level of non- gravitational perturbations,
these tests might require a dedicated mission consisting of an optimized
passive drag-free satellite.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 19:52:51 GMT""}]","2011-08-11"
"gr-qc/9403052","Doug","S. P. de Alwis and D. A. MacIntire","The Problem of Time and Quantum Black Holes","30 pages, COLO-HEP-333","Phys.Rev.D50:5164-5176,1994","10.1103/PhysRevD.50.5164",,"gr-qc hep-th",,"  We discuss the derivation of the so-called semi-classical equations for both
mini-superspace and dilaton gravity. We find that there is no systematic
derivation of a semi-classical theory in which quantum mechanics is formulated
in a space-time that is a solution of Einstein's equation, with the expectation
value of the matter stress tensor on the right-hand side. The issues involved
are related to the well-known problems associated with the interpretation of
the Wheeler-deWitt equation in quantum gravity, including the problem of time.
We explore the de Broglie-Bohm interpretation of quantum mechanics (and field
theory) as a way of spontaneously breaking general covariance, and thereby
giving meaning to the equations that many authors have been using to analyze
black hole evaporation. We comment on the implications for the ``information
loss"" problem.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 23:04:58 GMT""}]","2010-11-01"
"gr-qc/9403053","A. A. Kehagias","A.A. Kehagias","Post-Newtonian Limits and Gravitational Radiation from the Superstring
  Effective Action","25 pages, LATEX, THEF-NYM-93.14","Nucl.Phys. B423 (1994) 305-326","10.1016/0550-3213(94)90574-6",,"gr-qc",,"  We consider the gravitational sector of the superstring effective action with
axion-matter couplings. The field equations are developed in the post-Newtonian
scheme and approximate solutions for a spinning point mass and a cosmic string
are presented. Furthermore, assuming vanishing axion mass and vanishing
potential for the dilaton, we consider the gravitational radiation in the
leading $O(\alpha'^0)$ order. We find that the total luminosity of a radiative
source has monopole and dipole components besides the standard quadrupole one.
These components may possibly be checked in binary systems.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 13:52:01 GMT""}]","2009-10-22"
