"astro-ph/9403064","Xiangdong ""Sheldon"" Shi","X. Shi, D. N. Schramm, D. S. P. Dearborn and J. W. Truran","Possible Systematic Decreases in the Age of Globular Clusters","revtex 17 pages, 4 figures upon request, FERMILAB-PUB-94/060-A","Comments Astrophys. 17 (1995) 343-360",,,"astro-ph",,"  The ages of globular clusters inferred from observations depends sensitively
on assumptions like the initial helium abundance and the mass loss rate. A high
helium abundance (e.g., $Y\approx$0.28) or a mass loss rate of
$\sim$10$^{-11}M_\odot$ yr$^{-1}$ near the main sequence turn-off region lowers
the current age estimate from 14 Gyr to about 10--12 Gyr, significantly
relaxing the constraints on the Hubble constant, allowing values as high as
60km/sec/Mpc for a universe with the critical density and 90km/sec/Mpc for a
baryon-only universe. Possible mechanisms for the helium enhancement in
globular clusters are discussed, as are arguments for an instability strip
induced mass loss near the turn-off. Ages lower than 10 Gyr are not possible
even with the operation of both of these mechanisms unless the initial helium
abundance in globular clusters is $>0.30$, which would conflict with indirect
measurements of helium abundances in globular clusters.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 21:01:43 GMT""}]","2009-09-25"
"cond-mat/9403089","Luis Amaral","LAN Amaral, A-L Barabasi, and HE Stanley","Universality Classes for Interface Growth with Quenched Disorder","11 pages and 3 figures (upon request), REVTeX 3.0, (submitted to PRL)",,"10.1103/PhysRevLett.73.62",,"cond-mat",,"  We present numerical evidence that there are two distinct universality
classes characterizing driven interface roughening in the presence of quenched
disorder. The evidence is based on the behavior of $\lambda$, the coefficient
of the nonlinear term in the growth equation. Specifically, for three of the
models studied, $\lambda \rightarrow \infty$ at the depinning transition, while
for the two other models, $\lambda \rightarrow 0$.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 19:57:09 GMT""}]","2009-10-22"
"cond-mat/9403090","Meik Hellmund","Uwe Girlich, Meik Hellmund","A comparison of FQHE quasi electron trial wave functions on the sphere","4 pages, RevTeX 3.0, 3 postscript figures included, UL-05/94","Phys. Rev. B49(1994)17488-17491","10.1103/PhysRevB.49.17488",,"cond-mat",,"  We study Haldane's and Jain's proposals for the quasiparticle wave function
on the sphere. The expectation values of the energy and the pair angular
momenta distribution are calculated at filling factor 1/3 and compared with the
data of an exact numerical diagonalization for up to 10 electrons with Coulomb
and truncated quasipotential interaction.
","[{""version"":""v1"",""created"":""Wed, 30 Mar 1994 09:41:40 GMT""},{""version"":""v2"",""created"":""Tue, 17 May 1994 12:59:39 GMT""}]","2009-10-22"
"cond-mat/9403091",,"J. K\""otzler(1), G. Nakielski(1), M. Baumann(1), R. Behr(1), F.
  Goerke(1), E.H. Brandt(2) ((1)Institut f\""ur Angewandte Physik, Jungiusstr.
  11, D 20355 Hamburg; (2)Max-Planck-Institut f\""ur Metallforschung,
  Heisenbergstr. 1, D 70569 Stuttgart)","Universality of Frequency and Field Scaling of the Conductivity Measured
  by Ac-Susceptibility of a Ybco-Film","8 pages (5 figures upon request), revtex 3.0, APK.94.01.02",,"10.1103/PhysRevB.50.3384",,"cond-mat",,"  Utilizing a novel and exact inversion scheme, we determine the complex linear
conductivity $\sigma (\omega )$ from the linear magnetic ac-susceptibility
which has been measured from 3\,mHz to 50\,MHz in fields between 0.4\,T and
4\,T applied parallel to the c-axis of a 250\,nm thin disk. The frequency
derivative of the phase $\sigma ''/\sigma '$ and the dynamical scaling of
$\sigma (\omega)$ above and below $T_g(B)$ provide clear evidence for a
continuous phase transition at $T_g$ to a generic superconducting state. Based
on the vortex-glass scaling model, the resulting critical exponents $\nu $ and
$z$ are close to those frequently obtained on films by other means and
associated with an 'isotropic' vortex glass. The field effect on
$\sigma(\omega)$ can be related to the increase of the glass coherence length,
$\xi_g\sim B$.
","[{""version"":""v1"",""created"":""Wed, 30 Mar 1994 14:02:01 GMT""},{""version"":""v2"",""created"":""Wed, 20 Apr 1994 14:48:24 GMT""}]","2009-10-22"
"cond-mat/9403092",,"Achille Giacometti and Hisao Nakanishi","Eigenspectrum and Localization for Diffusion with Traps","16 pages, Revtex 3.0, 7 Figures available upon request by regular
  mail. Email:giacometti@padova.infn.it PURD-TH-93-10",,"10.1103/PhysRevE.50.1093",,"cond-mat",,"  We investigate the {\em survival-return} probability distribution and the
eigenspectrum for the transition probability matrix, for diffusion in the
presence of perfectly absorbing traps distributed with critical disorder in two
and three dimensions. The density of states is found to have a Lifshitz tail in
the low frequency limit, consistent with a recent investigation of the long
time behavior of the {\em survival} probability. The localization properties of
the eigenstates are found to be very different from diffusion with no traps.
","[{""version"":""v1"",""created"":""Wed, 30 Mar 1994 15:35:26 GMT""}]","2009-10-22"
"gr-qc/9403054",,"B. L. Hu and Sukanya Sinha","A Fluctuation-Dissipation Relation for Semiclassical Cosmology","Latex 38 pages, umdpp 93-164 (submitted to Phys. Rev. D, March 28,
  1994)","Phys.Rev.D51:1587-1606,1995","10.1103/PhysRevD.51.1587",,"gr-qc astro-ph",,"  Using the concept of open systems where the classical geometry is treated as
the system and the quantum matter field as the environment, we derive a
fluctuation-dissipation theorem for semiclassical cosmology. This theorem which
exists under very general conditions for dissipations in the dynamics of the
system, and the noise and fluctuations in the environment, can be traced to the
formal mathematical relation between the dissipation and noise kernels of the
influence functional depicting the open system, and is ultimately a consequence
of the unitarity of the closed system. In particular, for semiclassical
gravity, it embodies the backreaction effect of matter fields on the dynamics
of spacetime. The backreaction equation derivable from the influence action is
in the form of a Einstein-Langevin equation. It contains a dissipative term in
the equation of motion for the dynamics of spacetime and a noise term related
to the fluctuations of particle creation in the matter field. Using the
well-studied model of a quantum scalar field in a Bianchi Type-I universe we
illustrate how this Langevin equation and the noise term are derived and show
how the creation of particles and the dissipation of anisotropy during the
expansion of the universe can be understood as a manifestation of this
fluctuation-dissipation relation.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 16:43:49 GMT""}]","2008-11-26"
"gr-qc/9403055","Don N. Page","Sheldon Goldstein (Rutgers University) and Don N. Page (University of
  Alberta)","Linearly Positive Histories: Probabilities for a Robust Family of
  Sequences of Quantum Events","8 pages, LaTeX. Shortened slightly to permit publication in Phys.
  Rev. Lett. A paragraph after Eq. (21) was expanded","Phys.Rev.Lett.74:3715-3719,1995","10.1103/PhysRevLett.74.3715","Alberta-Thy-43-93","gr-qc hep-th",,"  Nonnegative probabilities that obey the sum rules may be assigned to a much
wider family of sets of histories than decohering histories. The resulting {\it
linearly positive histories} avoid the highly restrictive decoherence
conditions and yet give the same probabilities when those conditions apply.
Thus linearly positive histories are a broad extension of decohering histories.
Moreover, the resulting theory is manifestly time-reversal invariant.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 22:59:58 GMT""},{""version"":""v2"",""created"":""Thu, 1 Sep 1994 20:09:38 GMT""},{""version"":""v3"",""created"":""Fri, 3 Mar 1995 20:32:41 GMT""}]","2014-11-17"
"gr-qc/9403056",,"A. D. Dolgov, M. B. Einhorn, and V. I. Zakharov","On Infrared Effects in de~Sitter Background","17, UM-TH-94-11, (1 postscript fig. at end)","Phys.Rev. D52 (1995) 717-722","10.1103/PhysRevD.52.717",,"gr-qc hep-ph",,"  We have estimated higher order quantum gravity corrections to de~Sitter
spacetime. Our results suggest that, while the classical spacetime metric may
be distorted by the graviton self-interactions, the corrections are relatively
weaker than previously thought, possibly growing like a power rather than
exponentially in time.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 18:31:02 GMT""}]","2009-10-22"
"gr-qc/9403057","Shyan-Ming Perng","Robert Geroch and Shyan-Ming Perng","Total Mass-Momentum of Arbitrary Initial-Data Sets in General Relativity","25 pages, LaTeX","J.Math.Phys.35:4157-4177,1994","10.1063/1.530880",,"gr-qc",,"  For an asymptotically flat initial-data set in general relativity, the total
mass-momentum may be interpreted as a Hermitian quadratic form on the complex,
two-dimensional vector space of ``asymptotic spinors''. We obtain a
generalization to an arbitrary initial-data set. The mass-momentum is retained
as a Hermitian quadratic form, but the space of ``asymptotic spinors'' on which
it is a function is modified. Indeed, the dimension of this space may range
from zero to infinity, depending on the initial data. There is given a variety
of examples and general properties of this generalized mass-momentum.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 20:55:06 GMT""}]","2008-11-26"
"gr-qc/9403058","Sean Carroll","Sean M. Carroll and George B. Field","Consequences of Propagating Torsion in Connection-Dynamic Theories of
  Gravity","16 pages plus one figure (plain TeX), MIT-CTP #2291. (Extraordinarily
  minor corrections.)","Phys.Rev. D50 (1994) 3867-3873","10.1103/PhysRevD.50.3867",,"gr-qc hep-ph",,"  We discuss the possibility of constraining theories of gravity in which the
connection is a fundamental variable by searching for observational
consequences of the torsion degrees of freedom. In a wide class of models, the
only modes of the torsion tensor which interact with matter are either a
massive scalar or a massive spin-1 boson. Focusing on the scalar version, we
study constraints on the two-dimensional parameter space characterizing the
theory. For reasonable choices of these parameters the torsion decays quickly
into matter fields, and no long-range fields are generated which could be
discovered by ground-based or astrophysical experiments.
","[{""version"":""v1"",""created"":""Wed, 30 Mar 1994 01:33:01 GMT""},{""version"":""v2"",""created"":""Thu, 16 Jun 1994 18:41:03 GMT""}]","2009-10-22"
"gr-qc/9403060",,"Bjorn Jensen and Ulf Linstrom","Scattering of Fermions off Dilaton Black Holes","12, Oslo-TP-4-94, USITP-94-5","Class.Quant.Grav.11:2435-2442,1994","10.1088/0264-9381/11/10/005",,"gr-qc",,"  We discuss how various properties of dilaton black holes depend on the
dilaton coupling constant $a$. In particular we investigate the $a$-dependence
of certain mass parameters both outside and in the extremal limit and discuss
their relation to thermodynamical quantities. To further illuminate the role of
the coupling constant $a$ we look at a massless point particle in a dilaton
black hole geometry as well as the scattering of (neutral) fermions. In this
latter case we find that the scattering potential vanishes for the zero angular
momentum mode which seems to indicate a catastrophic deradiation when $a>1$.
","[{""version"":""v1"",""created"":""Wed, 30 Mar 1994 10:49:00 GMT""},{""version"":""v2"",""created"":""Fri, 1 Apr 1994 14:54:42 GMT""}]","2010-04-06"
