"alg-geom/9404001","Arnaud Beauville","Arnaud Beauville","Vector bundles on curves and generalized theta functions: recent results
  and open problems","15 pages, Plain TeX",,,,"alg-geom math.AG",,"  Riemann surface carries a natural line bundle, the determinant bundle. The
space of sections of this line bundle (or its multiples) constitutes a natural
non-abelian generalization of the spaces of theta functions on the Jacobian.
There has been much progress in the last few years towards a better
understanding of these spaces, including a rigorous proof of the celebrated
Verlinde formula which gives their dimension. This survey paper tries to
explain what is now known and what remains open.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 10:22:54 GMT""}]","2008-02-03"
"astro-ph/9404002","Maggie Best","John N. Bahcall, et al","Has A Standard Model Solution to the Solar Neutrino Problem Been Found?","8 pages, Latex file (Worldsci.sty file is required). Institute for
  Advanced Study number AST 94/13","in Solar Modeling}, Proceedings of the Workshop on Solar Modeling,
  Seattle, WA, March 21-24, 1994, eds. J. N. Bahcall and B. Balantekin (World
  Scientific: Singapore), pp. 121-127 (1995)",,,"astro-ph",,"  The claim by Dar and Shaviv that they have found a standard model solution to
the solar neutrino problem is based upon an incorrect assumption made in
extrapolating nuclear cross sections and the selective use of a small fraction
of the nuclear physics and of the neutrino data. In addition, five different
solar model codes show that the rate obtained for the chlorine experiment using
the Dar-Shaviv stated parameters differs by at least $14 \sigma$ from the
observed rate.
","[{""version"":""v1"",""created"":""Mon, 4 Apr 1994 19:12:57 GMT""}]","2007-05-23"
"chem-ph/9404003",,"A. B. Finnila, M. A. Gomez, C. Sebenik, C. Stenson, and J.D. Doll
  (Department of Chemistry Brown University, Providence, Rhose Island)","Quantum Annealing: A New Method for Minimizing Multidimensional
  Functions",,"Chem. Phys. Lett. 219 (1994) pp. 343-348","10.1016/0009-2614(94)00117-0",,"chem-ph physics.chem-ph",,"  Quantum annealing is a new method for finding extrema of multidimensional
functions. Based on an extension of classical, simulated annealing, this
approach appears robust with respect to avoiding local minima. Further, unlike
some of its predecessors, it does not require an approximation to a
wavefunction. In this paper, we apply the technique to the problem of finding
the lowest energy configurations of Lennard-Jones clusters of up to 19
particles (roughly 10$^5$ local minima). This early success suggests that this
method may complement the widely implemented technique of simulated annealing.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 09:21:30 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jun 1994 21:33:35 GMT""}]","2009-10-22"
"funct-an/9404002","Jean-Bruno Erismann","H. Neidhardt, V. A. Zagrebnov","Singular Perturbations, Regularization and Extension Theory","7 pages,CPT-94/P.3011,latex",,,,"funct-an math.FA",,"  We present an abstract result on removing regularization for singular
potentials which are not semibounded from below. The relation between ``right''
regularizations and ``right'' self-adjoint extensions of the perturbed
Schr\""odinger operators is examined.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 07:43:15 GMT""},{""version"":""v2"",""created"":""Thu, 7 Apr 1994 07:29:04 GMT""}]","2008-02-03"
"gr-qc/9404003","Brans","Carl H. Brans","Localized Exotic Smoothness","8 pages plus 6 figures, available on request, IASSNS-HEP-94/22","Class.Quant.Grav.11:1785-1792,1994","10.1088/0264-9381/11/7/015",,"gr-qc",,"  Gompf's end-sum techniques are used to establish the existence of an infinity
of non-diffeomorphic manifolds, all having the same trivial ${\bf R^4}$
topology, but for which the exotic differentiable structure is confined to a
region which is spatially limited. Thus, the smoothness is standard outside of
a region which is topologically (but not smoothly) ${\bf B^3}\times {\bf R^1}$,
where ${\bf B^3}$ is the compact three ball. The exterior of this region is
diffeomorphic to standard ${\bf R^1}\times {\bf S^2}\times{\bf R^1}$. In a
space-time diagram, the confined exoticness sweeps out a world tube which, it
is conjectured, might act as a source for certain non-standard solutions to the
Einstein equations. It is shown that smooth Lorentz signature metrics can be
globally continued from ones given on appropriately defined regions, including
the exterior (standard) region. Similar constructs are provided for the
topology, ${\bf S^2}\times {\bf R^2}$ of the Kruskal form of the Schwarzschild
solution. This leads to conjectures on the existence of Einstein metrics which
are externally identical to standard black hole ones, but none of which can be
globally diffeomorphic to such standard objects. Certain aspects of the Cauchy
problem are also discussed in terms of ${\bf R^4_\Theta}$\models which are
``half-standard'', say for all $t<0,$ but for which $t$ cannot be globally
smooth.
","[{""version"":""v1"",""created"":""Mon, 4 Apr 1994 16:45:25 GMT""}]","2010-04-06"
"gr-qc/9404004","Gerard Clement","G\'erard Cl\'ement","Particle-like solutions to topologically massive gravity","9 pages (LaTex), GCR-94/04/03","Class.Quant.Grav.11:L115-L120,1994","10.1088/0264-9381/11/9/001",,"gr-qc hep-th",,"  The solution of topologically massive gravity with cosmological constant is
reduced, for space-times with two commuting Killing vectors, to a
special-relativistic dynamical problem. This approach is applied to the
construction of a class of exact sourceless, horizonless solutions asymptotic
to the BTZ extreme black holes.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 15:41:41 GMT""}]","2010-04-06"
"hep-ph/9404211",,"S. Narison:","Simple But Efficient Tests of QCD from Tau Decays$^{*)}$","revised and updated version of hep-ph 9404211. CERN-TH 7188/94 (4
  figures available on requests) Talk given at the Symposium {\it ``Symmetry
  and simplicity in physics""} on the occasion of {\it Sergio Fubini's 65th
  birthday}, Turin, 24--26 February 1994 and at the QCD--LEP meeting on
  $\alpha_s$, Aachen, 11 April 1994. To appear in the ``Atti dell'Accademia
  delle Science di Torino"" and in the Aachen proceedings",,,,"hep-ph",,"  We review the determinations of the QCD coupling $\alpha_s$ from the
inclusive and exclusive modes of $\tau$-decays. The most recent $\tau$-data
provide the average value $ \alpha_ s \left(M^2_\tau \right)\simeq 0.347\pm
0.030 $ corresponding to $ \alpha_ s \left(M^2_Z \right) \simeq 0.121\pm 0.003
\pm 0.001.$ The values of the QCD vacuum condensates extracted from the
inclusive weighted-moment distributions are consistent with the ones from QCD
spectral sum rules. Accurate estimates and further precision tests should be
reached in the next $\tau$C/B-factory machines. The $M_\tau$-stability test
from the $ e^+e^- \longrightarrow I=1 $ hadron data is also discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Apr 1994 19:13:47 GMT""},{""version"":""v2"",""created"":""Sun, 1 May 1994 10:01:08 GMT""}]","2012-08-27"
"hep-ph/9404212",,"H. Baer, C. H. Chen, F. Paige and X. Tata","Trileptons from Chargino-Neutralino Production at the CERN Large Hadron
  Collider","preprint nos. FSU-HEP-940310 and UH-511-786-94, 13 pages (REVTEX)
  plus 7 uuencoded figures attached","Phys.Rev. D50 (1994) 4508-4516","10.1103/PhysRevD.50.4508",,"hep-ph",,"  We study direct production of charginos and neutralinos at the CERN Large
Hadron Collider. We simulate all channels of chargino and neutralino production
using ISAJET 7.07. The best mode for observing such processes appears to be
$pp\to\tw_1\tz_2\to 3\ell +\eslt$. We evaluate signal expectations and
background levels, and suggest cuts to optimize the signal. The trilepton mode
should be viable provided $m_{\tg}\alt 500-600$~GeV; above this mass, the decay
modes $\tz_2\to\tz_1 Z$ and $\tz_2\to H_{\ell}\tz_1$ become dominant, spoiling
the signal. In the first case, the leptonic branching fraction for $Z$ decay is
small and additional background from $WZ$ is present, while in the second case,
the trilepton signal is essentially absent. For smaller values of $m_{\tg}$,
the trilepton signal should be visible above background, especially if
$|\mu|\simeq m_{\tg}$ and $m_{\tell}\ll m_{\tq}$, in which case the leptonic
decays of $\tz_2$ are enhanced. Distributions in dilepton mass
$m(\ell\bar{\ell})$ can yield direct information on neutralino masses due to
the distribution cutoff at $m_{\tz_2}-m_{\tz_1}$. Other distributions that may
lead to an additional constraint amongst the chargino and neutralino masses are
also examined.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 01:56:18 GMT""}]","2009-10-28"
"hep-ph/9404213",,"I.B. Khriplovich and A.I. Milstein","Large relativistic corrections to the positronium decay rate","8 pages, LATEX, BINP 94-30","J.Exp.Theor.Phys. 79 (1994) 379-383; Zh.Eksp.Teor.Fiz. 106 (1994)
  689-697",,,"hep-ph",,"  Relativistic corrections to the positronium decay rate are calculated. They
are close to $40(\alpha /\pi)^2$ and $46(\alpha /\pi)^2$ for singlet and
triplet states respectively.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 02:40:38 GMT""}]","2007-05-23"
"hep-ph/9404214","Rey Soo Jong","Junegone Chay and Soo-Jong Rey","Instanton Contribution to $B \rightarrow X_u e \bar \nu $ Decay","20 pages + 4 figures attached, SNUTP 94-08","Z.Phys. C68 (1995) 431-438","10.1007/BF01620717",,"hep-ph",,"  We study instanton effects on inclusive semileptonic $b \rightarrow u$ decay
using the heavy quark effective field theory and the operator product
expansion. The effect contributes not only to the hadronic matrix element but
also to the coefficient functions in the operator product expansion. We find
that the coefficient function is singular near the boundaries of the phase
space. In order to use perturbative QCD reliably, it is necessary to introduce
smearing near the boundary. However the instanton contribution to $b
\rightarrow c$ decay seems negligibly small.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 10:49:13 GMT""}]","2015-06-25"
"hep-ph/9404215",,"Hans-Thomas Elze","Quantum Decoherence, Entropy and Thermalization in Strong Interactions
  at High Energy","45 pages, 2 figures","Nucl.Phys.B436:213-264,1995","10.1016/0550-3213(94)00523-H",,"hep-ph",,"  Entropy is generated in high-multiplying events by a dynamical separation of
strongly interacting systems into partons and unobservable environment modes
(almost constant field configurations) due to confinement.
","[{""version"":""v1"",""created"":""Tue, 5 Apr 1994 12:50:36 GMT""}]","2011-08-04"
