"cmp-lg/9404007","Gosse Bouma","Gosse Bouma (Alfa-Informatica, Rijksuniversiteit Groningen), Gertjan
  van Noord (Alfa-Informatica, Rijksuniversiteit Groningen)","Constraint-Based Categorial Grammar","8 pages, LaTeX","Proceedings ACL 94",,,"cmp-lg cs.CL",,"  We propose a generalization of Categorial Grammar in which lexical categories
are defined by means of recursive constraints. In particular, the introduction
of relational constraints allows one to capture the effects of (recursive)
lexical rules in a computationally attractive manner. We illustrate the
linguistic merits of the new approach by showing how it accounts for the syntax
of Dutch cross-serial dependencies and the position and scope of adjuncts in
such constructions. Delayed evaluation is used to process grammars containing
recursive constraints.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 10:58:10 GMT""}]","2008-02-03"
"cond-mat/9404054","Antonio Murilo","A. M. S. Macedo","Intensity correlations in electronic wave propagation in a disordered
  medium: the influence of spin-orbit scattering","15 pages, written in plain TeX, Preprint OUTP-93-42S (University of
  Oxford), to appear in Phys. Rev. B",,"10.1103/PhysRevB.49.11736",,"cond-mat",,"  We obtain explicit expressions for the correlation functions of transmission
and reflection coefficients of coherent electronic waves propagating through a
disordered quasi-one-dimensional medium with purely elastic diffusive
scattering in the presence of spin-orbit interactions. We find in the metallic
regime both large local intensity fluctuations and long-range correlations
which ultimately lead to universal conductance fluctuations. We show that the
main effect of spin-orbit scattering is to suppress both local and long-range
intensity fluctuations by a universal symmetry factor 4. We use a scattering
approach based on random transfer matrices.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 16:02:50 GMT""}]","2009-10-22"
"cond-mat/9404055","Antonio Murilo","A. M. S. Macedo","Universal parametric correlations in the transmission eigenvalue spectra
  of disordered conductors","10 pages, written in plain TeX, Preprint OUTP-93-36S (University of
  Oxford), to appear in Phys. Rev. B (Rapid Communication)",,"10.1103/PhysRevB.49.16841",,"cond-mat",,"  We study the response of the transmission eigenvalue spectrum of disordered
metallic conductors to an arbitrary external perturbation. For systems without
time-reversal symmetry we find an exact non-perturbative solution for the
two-point correlation function, which exhibits a new kind of universal behavior
characteristic of disordered conductors. Systems with orthogonal and symplectic
symmetries are studied in the hydrodynamic regime.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 16:00:19 GMT""}]","2009-10-22"
"cond-mat/9404057","Jorge Jose","Michel Carreau and Jorge V. Jos\'e","Novel A-B type oscillations in a 2-D electron gas in inhomogenous
  magnetic fields","11 pages REVTEX",,"10.1088/0305-4470/27/13/005",,"cond-mat",,"  We present results from a quantum and semiclassical theoretical study of the
$\rho_{xy}$ and $\rho_{xx}$ resistivities of a high mobility 2-D electron gas
in the presence of a dilute random distribution of tubes with magnetic flux
$\Phi$ and radius $R$, for arbitrary values of $k_f R$ and $F=e\Phi/h$. We
report on novel Aharonov-Bohm type oscillations in $\rho_{xy}$ and $\rho_{xx}$,
related to degenerate quantum flux tube resonances, that satisfy the selection
rule ${(k_fR)}^2=4F(n+{1\over 2})$, with $n$ an integer. We discuss possible
experimental conditions where these oscillations may be observed.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 08:43:07 GMT""}]","2009-10-22"
"cond-mat/9404058","Kikuo Harigaya","Kikuo Harigaya (ETL - Japan)","Optical absorption spectra of A6C60: Reduction of effective
  Coulombinteractions","LaTeX, 10 pages, 2 figures","Jpn. J. Appl. Phys. 33, L1093 (1994)","10.1143/JJAP.33.L1093",,"cond-mat",,"  Optical absorption spectra of C60^6- are theoretically investigated in order
to analyze the optical properties of alkali metal doped fullerites A6C60. We
use a tight binding model with long ranged Coulomb interactions and bond
disorder. Optical spectra are obtained by the Hartree-Fock approximation and
the CI method. The Coulomb interaction parameters which are relevant to the
optical spectra of A6C60 are almost the half of those of the neutral C60. The
reduction of the effective Coulomb interactions is concluded for the heavily
doped case of C60.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 09:41:06 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 1997 01:37:04 GMT""}]","2009-10-22"
"cond-mat/9404059","Georg Junker","Georg Junker and Hajo Leschke","Exact thermostatic results for the n-vector model on the harmonic chain","LaTeX, 6 pages, 1 Figure upon request","Int. J. Mod. Phys. B 8 (1994) 3501-3506","10.1142/S0217979294001482",,"cond-mat nlin.SI solv-int",,"  Revised Version with corrections of misprints.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 12:10:17 GMT""},{""version"":""v2"",""created"":""Fri, 29 Apr 1994 08:01:56 GMT""}]","2009-10-22"
"cond-mat/9404060","Jose Riera","T. Barnes and J. Riera","The susceptibility and excitation spectrum of (VO)$_2$P$_2$O$_7$ in
  ladder and dimer chain models","16 pages, 6 figures available upon request, RevTex 3.0, preprint
  ORNL-CCIP-94-04 / RAL-94-027",,"10.1103/PhysRevB.50.6817",,"cond-mat",,"  We present numerical results for the magnetic susceptibility of a Heisenberg
antiferromagnetic spin ladder, as a function of temperature and the spin-spin
interaction strengths $J_\perp$ and $J_{||}$. These are contrasted with new
bulk limit results for the dimer chain. A fit to the experimental
susceptibility of the candidate spin-ladder compound vanadyl pyrophosphate,
(VO)$_2$P$_2$O$_7$, gives the parameters $J_\perp = 7.82$ meV and $J_{||} =
7.76$ meV. With these values we predict a singlet-triplet energy gap of
$E_{gap} = 3.9$ meV, and give a numerical estimate of the ladder triplet
dispersion relation $\omega(k)$. In contrast, a fit to the dimer chain model
leads to $J_1=11.11$ meV and $J_2=8.02$ meV, which predicts a gap of $E_{gap} =
4.9$ meV.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 13:22:04 GMT""}]","2009-10-22"
"gr-qc/9404036","Andrei Zelnikov","A.O.Barvinsky, V.P.Frolov, and A.I.Zelnikov","Wavefunction of a Black Hole and the Dynamical Origin of Entropy","39 pages, LaTeX misprint is corrected, original text is not modified","Phys.Rev.D51:1741-1763,1995","10.1103/PhysRevD.51.1741",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recently it was proposed to explain the dynamical origin of the entropy of a
black hole by identifying its dynamical degrees of freedom with states of
quantum fields propagating in the black-hole's interior. The present paper
contains the further development of this approach. The no-boundary proposal
(analogous to the Hartle-Hawking no-boundary proposal in quantum cosmology) is
put forward for defining the wave function of a black hole. This wave function
is a functional on the configuration space of physical fields (including the
gravitational one) on the three-dimensional space with the Einstein-Rosen
bridge topology.It is shown that in the limit of small perturbations on the
Kruskal background geometry the no-boundary wave function coincides with the
Hartle-Hawking vacuum state. The invariant definition of inside and outside
modes is proposed. The density matrix describing the internal state of a black
hole is obtained by averaging over the outside modes. This density matrix is
used to define the entropy of a black hole, which is to be divergent. It is
argued that the quantum fluctuations of the horizon which are internally
present in the proposed formalism may give the necessary cut-off and provide a
black hole with the finite entropy.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 02:34:05 GMT""},{""version"":""v2"",""created"":""Thu, 14 Apr 2011 23:13:40 GMT""}]","2011-04-18"
"gr-qc/9404037","Hans-Juergen Schmidt","Hans - J\""urgen Schmidt","Why do all the curvature invariants of a gravitational wave vanish ?","9 pages","G. Sardanashvily (Ed.) New frontiers in gravitation, Hadronic
  Press (1996) 337-344",,"Preprint 94/03 Uni Potsdam, Mathematik","gr-qc",,"  We prove the theorem valid for (Pseudo)-Riemannian manifolds $V_n$: ""Let $x
\in V_n$ be a fixed point of a homothetic motion which is not an isometry then
all curvature invariants vanish at $x$."" and get the Corollary: ""All curvature
invariants of the plane wave metric $$ds \sp 2 \quad = \quad 2 \, du \, dv \, +
\, a\sp 2 (u) \, dw \sp 2 \, + \, b\sp 2 (u) \, dz \sp 2 $$ identically
vanish."" Analysing the proof we see: The fact that for definite signature
flatness can be characterized by the vanishing of a curvature invariant,
essentially rests on the compactness of the rotation group $SO(n)$. For Lorentz
signature, however, one has the non-compact Lorentz group $SO(3,1)$ instead of
it. A further and independent proof of the corollary uses the fact, that the
Geroch limit does not lead to a Hausdorff topology, so a sequence of
gravitational waves can converge to the flat space-time, even if each element
of the sequence is the same pp-wave.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 10:59:30 GMT""}]","2007-05-23"
"hep-ph/9404281",,"Oscar F. Hernandez, David London, Michael Gronau, Jonathan L. Rosner","Measuring Strong and Weak Phases in Time-Independent B Decays","2 figures available from the authors upon request, 12
  pages,UdeM-LPN-TH-94-195","Phys.Lett.B333:500-506,1994","10.1016/0370-2693(94)90174-0",,"hep-ph",,"  Flavor SU(3) symmetry implies certain relations among $B$-decay amplitudes to
$\pi\pi$, $\pi K$ and $K {\bar K}$ final states, when annihilation-like
diagrams are neglected. Using three triangle relations, we show how to measure
the weak CKM phases $\alpha$ and $\gamma$ using time-independent rate
measurements only. In addition, one obtains all the strong final-state phases
and the magnitudes of individual terms describing tree (spectator),
color-suppressed and penguin diagrams. Many independent measurements of these
quantities can be made with this method, which helps to eliminate possible
discrete ambiguities and to estimate the size of SU(3)-breaking effects.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 18:19:49 GMT""}]","2009-09-25"
"hep-ph/9404282","David London","Michael Gronau, Jonathan L. Rosner and David London","Weak Coupling Phase from Decays of Charged B Mesons to $\pi K$ and
  $\pi\pi$","LaTeX, 8 pages, 2 figures (not included, available upon request),
  TECHNION-PH-94-7, EFI-94-14, UdeM-LPN-TH-94-192","Phys.Rev.Lett.73:21-24,1994","10.1103/PhysRevLett.73.21",,"hep-ph",,"  The theory of $CP$ violation based on phases in weak couplings in the
Cabibbo-Kobayashi-Maskawa (CKM) matrix requires the phase $\gamma \equiv {\rm
Arg~} V^*_{ub}$ (in a standard convention) to be nonzero. A measurement of
$\gamma$ is proposed based on charged $B$ meson decay rates to $\pi^+ K^0$,
$\pi^0 K^+$, $\pi^+ \pi^0$, and the charge-conjugate states. The corresponding
branching ratios are expected to be of the order of $10^{-5}$. (submitted to
Physical Review Letters)
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 16:31:24 GMT""}]","2009-09-25"
