"alg-geom/9404014","Flad","Michel Dubois-Violette and Thierry Masson","Basic cohomology of associative algebras","16 pages, AMS-LaTeX, LPTHE-ORSAY 94/10","Journal of Pure and Applied Algebra n.114 p.39 (1996)",,,"alg-geom math.AG",,"  We define a new cohomology for associative algebras which we compute for
algebras with units.
","[{""version"":""v1"",""created"":""Thu, 28 Apr 1994 19:15:50 GMT""}]","2010-04-01"
"astro-ph/9404073","Dongsu Ryu","Adam Frank, T. W. Jones, and Dongsu Ryu","The Evolution and Efficiency of Oblique MHD Cosmic-Ray Shocks: Two-Fluid
  Simulations","23 pages with 8 figures (uuencoded compressed tar file of text and
  figures available via anonymous ftp from directory /pub at
  sirius.chungnam.ac.kr), submitted to The Astrophysical Journal, CNU-AST-94-2","Astrophys.J.Suppl. 90 (1994) 975","10.1086/191935",,"astro-ph",,"  Using a new, second-order accurate numerical method we present dynamical
simulations of oblique MHD cosmic ray (CR) modified plane shock evolution using
the two-fluid model for diffusive particle acceleration. The numerical shocks
evolve to published analytical steady state properties. In order to probe the
dynamical role of magnetic fields we have explored for these time asymptotic
states the parameter space of upstream fast mode Mach number, $M_f$, and plasma
$\beta$, compiling the results into maps of dynamical steady state CR
acceleration efficiency, $\epsilon_c$. These maps, along with additional
numerical experiments, show that $\epsilon_c$ is reduced through the action of
compressive work on tangential magnetic fields in CR-MHD shocks. Thus
$\epsilon_c$ in low $\beta$, moderate $M_f$ shocks tends to be smaller in quasi
perpendicular shocks than it would be high $\beta$ shocks of the same $M_f$.
This result supports earlier conclusions that strong, oblique magnetic fields
inhibit diffusive shock acceleration. For quasi parallel shocks with $\beta <
1$, on the other hand, $\epsilon_c$ seems to be increased at a given $M_f$ when
compared to high $\beta$ shocks. The apparent contradiction to the first
conclusion results, however, from the fact that for small $\beta$ quasi
parallel shocks, the fast mode Mach number is not a good measure of compression
through the shock. That is better reflected in the sonic Mach number, which is
greater. Acceleration efficiencies for high and low $\beta$ having comparable
sonic Mach numbers are more similar. Time evolution of CR-MHD shocks is
qualitatively similar to CR-gasdynamical shocks. However, several potentially
interesting differences are apparent.
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 03:19:14 GMT""}]","2009-10-22"
"astro-ph/9404074","Dongsu Ryu","Dongsu Ryu and T. W. Jones","Numerical Magnetohydrodynamics in Astrophysics: Algorithm and Tests for
  One-Dimensional Flow","32 pages with 14 figures (uuencoded compressed tar file of text and
  figures available via anonymous ftp from directory /pub at
  sirius.chungnam.ac.kr), submitted to The Astrophysical Journal, CNU-AST-94-1","Astrophys.J. 442 (1995) 228","10.1086/175437",,"astro-ph",,"  We describe a numerical code to solve the equations for ideal
magnetohydrodynamics (MHD). It is based on an explicit finite difference scheme
on an Eulerian grid, called the Total Variation Diminishing (TVD) scheme, which
is a second-order-accurate extension of the Roe-type upwind scheme. We also
describe a nonlinear Riemann solver for ideal MHD, which includes rarefactions
as well as shocks and produces exact solutions for two-dimensional magnetic
field structures as well as for the three-dimensional ones. The numerical code
and the Riemann solver have been used to test each other. Extensive tests
encompassing all the possible ideal MHD structures with planar symmetries (\ie
~one-dimensional flows) are presented. These include those for which the field
structure is two-dimensional ({\it i.e.}, those flows often called ``$1 + 1/2$
dimensional'') as well as those for which the magnetic field plane rotates
({\it i.e.,}, those flows often called ``$1 + 1/2 + 1/2$ dimensional'').
Results indicate that the code can resolve strong fast, slow, and magnetosonic
shocks within 2-4 cells while more cells are required if shocks become weak.
With proper stiffening, rotational discontinuities are resolved within 3-5
cells. Contact discontinuities are also resolved within 3-5 cells with
stiffening and 6-8 cells without stiffening, while the stiffening on contact
discontinuities in some cases generates numerical oscillations. Tangential
discontinuities spread over more than 10 cells. Our tests confirm that slow
compound structures with two-dimensional magnetic field are composed of
intermediate shocks (so called ``2-4''
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 03:25:58 GMT""}]","2009-10-22"
"astro-ph/9404076","Altaisky M. V.","M.V. Altaisky, V.A. Bednyakov and S.G. Kovalenko","On Fractal Structure of Quantum Gravity and Relic Radiation Anisotropy","13 pages, LaTeX; the 3 figures can be obtained from
  altai@nusun.jinr.dubna.su","Int.J.Theor.Phys. 35 (1996) 253-262",,,"astro-ph hep-ph",,"  It is argued that large-scale ($>7^o$) cosmic microwave background anisotropy
detected in COBE cosmic experiment can be considered as a trace of the quantum
gravity fractal structure.
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 13:24:19 GMT""},{""version"":""v2"",""created"":""Wed, 11 May 1994 06:38:28 GMT""},{""version"":""v3"",""created"":""Sun, 19 Jun 1994 10:54:24 GMT""}]","2008-02-03"
"astro-ph/9404077","Garrelt Mellema","Adam Frank and Garrelt Mellema","From the Owl to the Eskimo: the Radiation-Gasdynamics of Planetary
  Nebulae IV","21 pages, UMSI 94/59; the 12 figures can be obtained from
  afrank@s1.msi.umn.edu",,"10.1086/174450",,"astro-ph",,"  We present the results of two-dimensional radiation-gasdynamic simulations of
aspherical Planetary Nebulae (PNe) evolution. These simulations were
constructed using the Generalized Interacting Stellar Winds (GISW) scenario of
Balick (1987) where a fast, tenuous wind from the central star expands into a
toroidal, slow, dense wind. We demonstrate that the GISW model can produce a
wide range of aspherical flow patterns.
  We have constructed self-consistent synthetic observations of the models from
forbidden line emissivities used in the energy loss term. We present integrated
intensity and long-slit spectrum, (Position-Velocity) maps of the models
projected at different angles on the sky. These synthetic observations are
compared with real intensity and Position-Velocity maps of PNe. We find that
there is a very good match between the synthetic and real observations in terms
of morphologies, kinematics, and physical conditions.
  From the results of these simulations we conclude that the GISW scenario can
account for most, if not all, PNe morphologies, thus confirming Balick's (1987)
conjecture.
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 15:57:15 GMT""}]","2018-07-25"
"cond-mat/9404094","Dmitri Khveshchenko","D.V.Khveshchenko","Towards exact bosonization of the Calogero-Sutherland model","11 pages, TeX, C Version 3.0, Princeton preprint",,"10.1142/S0217979295000707",,"cond-mat",,"  We demonstrate that the exact form-factors of the Calogero-Sutherland model
which were recently found in Ref.[10] in confirmation of the congectures
earlier made by Haldane (Ref.[9]) can be reproduced in the framework of some
bosonization procedure in momentum space. This observation implies a
possibility of an exact bosonization of this model describing one-dimensional
anyons.
","[{""version"":""v1"",""created"":""Thu, 28 Apr 1994 19:32:00 GMT""},{""version"":""v2"",""created"":""Fri, 29 Apr 1994 14:36:30 GMT""}]","2009-10-22"
"cond-mat/9404095","Yung-Chung ChenT","Y. C. Chen and T. K. Lee","t-J model Studied by the New Lanczos-Power Method","12 pages, tex, 3 figures upon request, NTHU94-002",,"10.1103/PhysRevB.51.6723",,"cond-mat",,"  The initial trial wave function used in a simple ground-state projection
method, the power method, is systematically improved by using Lanczos
algorithm. Much faster convergence to the ground state achieved by using these
wave functions significantly reduces the effect of the fermion sign problem.
The energy, spin and charge correlation functions are calculated for the ground
states of the two-dimensional $t-J$ model. Results for an $8\times8$ cluster
with 42 and 26 electrons are presented. The density correlation function for
the $t-J$ model at small J shows a surprisingly good agreement with that of a
system of non-interacting hard-core bosons.
","[{""version"":""v1"",""created"":""Thu, 28 Apr 1994 19:52:02 GMT""}]","2009-10-22"
"cond-mat/9404096","M. V. N. Murthy","M.V.N.Murthy and R.Shankar","Thermodynamics of an one-dimensional ideal gas with fractional exclusion
  statistics","10pp, REVTEX",,"10.1103/PhysRevLett.73.3331","IMSc-94/24","cond-mat",,"  We show that the particles in the Calogero-Sutherland Model obey fractional
exclusion statistics as defined by Haldane. We construct anyon number densities
and derive the energy distribution function. We show that the partition
function factorizes in the form characteristic of an ideal gas. The virial
expansion is exactly computable and interestingly it is only the second virial
coefficient that encodes the statistics information.
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 11:37:10 GMT""}]","2009-10-22"
"cond-mat/9404097","Theo Costi","T. A. Costi, P. Schmitteckert, J. Kroha and P. Woelfle","Numerical Renormalization Group Study of Pseudo-Fermion and Slave-Boson
  Spectral Functions in the Single Impurity Anderson Model","12 pages, RevTeX 3.0, 2 PS figures appended","Phys. Rev. Lett. 73, 1275 (1994)","10.1103/PhysRevLett.73.1275",,"cond-mat",,"  We use the numerical renormalization group to calculate the auxiliary
spectral functions of the $U=\infty$ Anderson impurity model. The slave--boson
and pseudo--fermion spectral functions diverge at the threshold with exponents
$\alpha_{b}$ and $\alpha_{f}$ given in terms of the conduction electron phase
shifts by the X--ray photoemission and the X--ray absorption exponents
respectively. The exact exponents obtained here depend on the impurity
occupation number, in contrast to the NCA results. Vertex corrections in the
convolution formulae for physical Green's functions are singular at the
threshold and may not be neglected in the Fermi liquid regime.
","[{""version"":""v1"",""created"":""Fri, 29 Apr 1994 13:03:22 GMT""}]","2009-10-22"
"gr-qc/9404058",,"Bj{\o}rn Jensen","Aspects of the Thermo-Dynamics of a Black Hole with a Topological Defect","13, Oslo-TP-5-94, misprints corrected, to appear in Phys.Lett.B","Phys.Lett.B334:309-314,1994","10.1016/0370-2693(94)90694-7",,"gr-qc",,"  Aspects of the thermo-dynamics of a black hole which is either pierced by a
cosmic gauge string or contains a global monopole are investigated. We also
make some comments on the physical significance of the fact that the
gravitational mass carried by a global monopole is negative. We note in
particular that the negative monopole mass implies a gravitational
super-radiance effect.
","[{""version"":""v1"",""created"":""Thu, 28 Apr 1994 16:14:38 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jun 1994 13:43:06 GMT""}]","2010-11-01"
"gr-qc/9404059","Jorge Pullin","Rodolfo Gambini, Alcides Garat and Jorge Pullin","The constraint algebra of quantum gravity in the loop representation","18 pages, Revtex, no figures, CGPG-94/4-3","Int.J.Mod.Phys. D4 (1995) 589-616","10.1142/S0218271895000417",,"gr-qc",,"  We study the algebra of constraints of quantum gravity in the loop
representation based on Ashtekar's new variables. We show by direct computation
that the quantum commutator algebra reproduces the classical Poisson bracket
one, in the limit in which regulators are removed. The calculation illustrates
the use of several computational techniques for the loop representation.
","[{""version"":""v1"",""created"":""Thu, 28 Apr 1994 16:05:58 GMT""}]","2009-10-22"
