"astro-ph/9405036","Gunter Sigl","G. Sigl and M.S. Turner","Massive Tau Neutrino and SN 1987a","14 LATEX pages, 11 Figures available on request, FNAL-Pub-94/001-A","Phys.Rev.D51:1499-1509,1995","10.1103/PhysRevD.51.1499",,"astro-ph hep-ph",,"  The emission of $\MeV$-mass tau neutrinos from newly formed neutron stars is
considered in a simple, but accurate, model based upon the diffusion
approximation. The tau-neutrinosphere temperature is found to increase with
mass so that emission of massive tau neutrinos is not suppressed by the
Boltzmann factor previously used, $(\mnu /T_\nu )^{1.5}\exp(-\mnu/T_{\nu})$,
where $T_{\nu}\sim 4\MeV -8\MeV$. If the tau neutrino decays to electron
neutrinos, then for short lifetimes ($\taunu\la10^{-3}\sec$) the location of
both the tau and electron neutrinospheres can be affected, and, for very short
lifetimes ($\tau_\nu \la 10^{-6}\sec$) its temperature falls below $1\MeV$, in
conflict with neutrino observations of Supernova 1987A (SN 87A). Using our
results, we revise limits to the mass/lifetime of an $\MeV$-mass tau neutrino
based upon SN 87A. Our constraints, together with bounds based upon primordial
nucleosynthesis and the laboratory mass limit of around $30\MeV$, exclude the
possibility of a tau neutrino more massive than $0.4\MeV$ if the dominant decay
mode is radiative. Finally, we speculate on the possible role a $15\MeV
-25\MeV$ tau neutrino might play in the supernova explosion itself.
","[{""version"":""v1"",""created"":""Sun, 15 May 1994 22:03:19 GMT""}]","2009-09-25"
"astro-ph/9405037","Takahiko Matsubara","T. Matsubara","Analytic Expression of the Genus in Weakly Non-Gaussian Field Induced by
  Gravity","LaTex, 11 pages + 1 Figure, UTAP-183/94","Astrophysical J. Lett. 434 (1994) L43-L46","10.1086/187570",,"astro-ph",,"  The gravitational evolution of the genus of the density field in large-scale
structure is analytically studied in a weakly nonlinear regime using
second-order perturbation theory. Weakly nonlinear evolution produces asymmetry
in the symmetric genus curve for Gaussian initial density field. The effect of
smoothing the density field in perturbation theory on the genus curve is also
evaluated and gives the dependence of the asymmetry of the genus curve on
spectra of initial fluctuations.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 10:04:05 GMT""}]","2009-10-22"
"astro-ph/9405038","Gary Steigman","Gary Steigman","Cosmic Deuterium Or A Hydrogen Interloper ?","6 pages, TeX, 0 figures available on request, OSU-TA-7/94",,"10.1093/mnras/269.1.L53",,"astro-ph",,"  Two groups have independently reported the possible detection of
extragalactic deuterium in the absorption spectrum of the same high redshift,
low metalicity QSO. Although the high value for the inferred deuterium
abundance poses no problems for cosmology (i.e., big bang nucleosynthesis), it
is in apparent conflict with solar system observations of deuterium and
helium-3. This latter inconsistency is explained and made quantitative and it
is shown that, unless the inferred D/H ratio is too high by a factor of three,
these data challange our understanding of the stellar and galactic evolution of
helium-3. This conflict is resolved if the observed absorption feature is, in
fact, due to a hydrogen interloper rather than to high z, low Z deuterium.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 14:04:00 GMT""}]","2016-06-08"
"chao-dyn/9405010","J. R. Dorfman","J.R. Dorfman and P. Gaspard","Chaotic Scattering Theory of Transport and Reaction-Rate Coefficients","27 pages LaTeX, no figures",,"10.1103/PhysRevE.51.28","preprint THU-94/05, University of Utrecht","chao-dyn nlin.CD",,"  The chaotic scattering theory is here extended to obtain escape-rate
expressions for the transport coefficients appropriate for a simple classical
fluid, or for a chemically reacting system. This theory allows various
transport coefficients such as the coefficients of viscosity, thermal
conductivity, etc., to be expressed in terms of the positive Lyapunov exponents
and Kolmogorov-Sinai entropy of a set of phase space trajectories that take
place on an appropriate fractal repeller. This work generalizes the previous
results of Gaspard and Nicolis for the coefficient of diffusion of a particle
moving in a fixed array of scatterers.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 07:50:58 GMT""}]","2009-10-22"
"chao-dyn/9405011","Benno Rumpf","B.Rumpf and H.Sauermann (Theoretische Festk\""orperphysik, Technische
  Hochschule Darmstadt, Hochschulstra{\ss}e 8, D-64289 Darmstadt, Germany)","Bifurcations of two coupled classical spin oscillators","16 pages, .dvi and postscript",,"10.1016/0375-9601(94)91126-6",,"chao-dyn nlin.CD",,"  Two classical, damped and driven spin oscillators with an isotropic exchange
interaction are considered. They represent a nontrivial physical system whose
equations of motion are shown to allow for an analytic treatment of local
codimension 1 and 2 bifurcations. In addition, numerical results are presented
which exhibit a Feigenbaum route to chaos.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 13:18:58 GMT""}]","2016-08-14"
"cmp-lg/9405018",,"Walter Daelemans","Memory-Based Lexical Acquisition and Processing","18 pages","Steffens (ed.) Machine Translation & Lexion. Springer, 1995",,,"cmp-lg cs.CL",,"  Current approaches to computational lexicology in language technology are
knowledge-based (competence-oriented) and try to abstract away from specific
formalisms, domains, and applications. This results in severe complexity,
acquisition and reusability bottlenecks. As an alternative, we propose a
particular performance-oriented approach to Natural Language Processing based
on automatic memory-based learning of linguistic (lexical) tasks. The
consequences of the approach for computational lexicology are discussed, and
the application of the approach on a number of lexical acquisition and
disambiguation tasks in phonology, morphology and syntax is described.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 14:03:45 GMT""}]","2008-02-03"
"cond-mat/9405044",,"Kikuo Harigaya (Fundamental Physics Section, Electrotechnical
  Laboratory, Japan)","Optical absorption spectra of A6C60 and A6C70: Reduction of effective
  Coulomb interactions in Frenkel excitons","Note: A full preprint with figures should be requested to the author.
  It will be sent by air-mail.; E-mail: harigaya@etl.go.jp","Phys. Rev. B 50 (1994) 17606-17610","10.1103/PhysRevB.50.17606",,"cond-mat chem-ph",,"  We theoretically investigate optical absorption spectra of $\soc^{6-}$ and
$\rug^{6-}$, and discuss relations with the optical properties of alkali metal
doped fullerides $A_6\soc$ and $A_6\rug$. This is a valid approach for systems
where Frenkel exciton effects are dominant. We use a tight binding model with
long ranged Coulomb interactions and bond disorder. Optical spectra are
obtained by the Hartree-Fock approximation and the configuration interaction
method. We find that the Coulomb interaction parameters, which are relevant to
the optical spectra of $A_6\soc$ ($A_6\rug$) in order to explain the excitation
energies and relative oscillator strengths of absorption peaks, are almost the
half of those of the neutral $\soc$ ($\rug$). The reduction of the effective
Coulomb interactions is concluded for the heavily doped case of $\soc$ and
$\rug$. This finding is closely related with the experimental fact that
dielectric constants of fullerides which are maximumly doped with alkali metals
become about twice as large as those of the neutral systems.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 07:55:12 GMT""}]","2007-05-23"
"funct-an/9405003","Karl H. Hofmann","Karl H. Hofmann and Karl-H.Neeb","Epimorphisms of C*-algebras are surjective","2 pages",,,,"funct-an math.OA",,"  We answer a question raised by V.G.Pestov in the affirmative.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 05:42:31 GMT""}]","2008-02-03"
"hep-lat/9405013","Bas de Bakker","Bas V. de Bakker and Jan Smit","Volume dependence of the phase boundary in 4D dynamical triangulation","9 pages, LaTeX, preprint ITFA-94-14","Phys.Lett. B334 (1994) 304-308","10.1016/0370-2693(94)90693-9",,"hep-lat gr-qc",,"  The number of configurations of the dynamical triangulation model of 4D
euclidean quantum gravity appears to grow faster than exponentially with the
volume, with the implication that the system would end up in the crumpled phase
for any fixed $\kappa_2$ (inverse bare Newton constant). However, a scaling
region is not excluded if we allow $\kappa_2$ to go to infinity together with
the volume.
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 13:48:03 GMT""}]","2009-10-22"
"hep-ph/9405294",,"A.L.Kataev and V.V.Starshenko","Estimates of the O(alpha_s^4) corrections to sigma_{tot}(e^+e^-
  \rightarrow hadrons), Gamma(\tau\rightarrow \nu_{\tau} +hadrons) and deep
  inelastic scattering sum rules","CERN-TH.7190/94, to appear in Proc. of the Workshop ""QCD at LEP:
  Determinations of $\alpha_s$ from Inclusive Observables"", Aachen, Germany 11
  April, LATEX, 11 pages; extended version submitted for publication. Some
  misprints in the previous version corrected, thanks to F. Le Diberder for
  pointing them, PMS results in Tables 1-4 are affected. Changes do not affect
  main results",,,,"hep-ph",,"  We present the estimates of the order $O(\alpha^{4}_{s})$ QCD corrections to
$R(s)$, $R_{\tau}$ and to the deep-inelastic scattering sum rules, namely to
the non-polarized and polarized Bjorken sum rules and to the Gross-Llewellyn
Smith sum rule. The estimates are obtained in the $\overline{MS}$-scheme using
the principle of minimal sensitivity and the effective charges approach.
","[{""version"":""v1"",""created"":""Sun, 15 May 1994 17:35:01 GMT""},{""version"":""v2"",""created"":""Fri, 26 Aug 1994 17:54:46 GMT""}]","2008-02-03"
"hep-ph/9405295","Claudio Coriano","Claudio Coriano'(Argonne Natl. Lab.) and Hsiang-nan Li (Nat.
  Chung-Cheng Univ.)","The Transition to Perturbative QCD in Compton Scattering","(ANL-HEP-PR-94-19, CCUTH-94-03), 30 pages plane latex, plus 7
  figures, available upon request (send email to : coriano@anhep2.hep.anl.gov)","Nucl.Phys.B434:535-564,1995","10.1016/0550-3213(94)00504-8",,"hep-ph",,"  We investigate the transition to perturbative QCD in Compton processes, by
concentrating on the specific reactions $\pi \gamma \to \pi \gamma$ and pion
photoproduction at moderate energy scales. New sum rules for each of the
helicities involved in the scattering and the cross section are given, together
with a detailed stability analysis. Our results are then compared with those
derived from higher-power factorization, incorporating Sudakov suppression for
quark elastic scattering. An overlap of predictions obtained by the two
approaches is observed at a momentum transfer as low as 4 GeV$^2$ and at a
photon scattering angle around 40$^o$. Our work shows that factorization
theorems and sum rule methods complement each other in the description of
Compton scattering at moderate energy scales, and give information on the
transition to perturbative QCD in these processes. The sum rule formalism is
further applied to the crossed reaction $\gamma \gamma\to \pi^+ \pi^-$, and is
in very good agreement with the experimental data.""
","[{""version"":""v1"",""created"":""Mon, 16 May 1994 02:29:22 GMT""}]","2011-08-17"
