"alg-geom/9405009","Oliver Kuechle","Oliver K\""uchle","Some properties of Fano manifolds that are zeros of sections in
  homogenous vector bundles over Grassmannians","8 pages, AmS-TeX 2.1",,,,"alg-geom math.AG",,"  Let $X$ be a Fano manifold which is the zero scheme of a general global
section $s$ in an irreducible homogenous vector bundle over a Grassmannian. We
prove that the restriction of the Pl\""ucker embedding embeds $X$ projectively
normal, and that every small deformation of $X$ comes from a deformation of the
section $s$. These results are strengthened in the case of Fano 4-folds.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 00:17:10 GMT""}]","2008-02-03"
"astro-ph/9405045","Fred Adams","Katherine Freese","A Coupling of Pseudo Nambu Goldstone Bosons to Other Scalars and Role in
  Double Field Inflation","8 pages Plain TeX, submitted to Phys. Rev. D, UMAC 94-03","Phys.Rev. D50 (1994) 7731-7734","10.1103/PhysRevD.50.7731",,"astro-ph",,"  We find a coupling of Pseudo Nambu Goldstone bosons (PNGBs) to other
(ordinary) scalars, and consider its importance in various contexts. Our
original motivation was the model of Double Field inflation [1]. We also
briefly consider the role of this coupling for the case of the QCD axion.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 19:46:33 GMT""}]","2009-10-22"
"astro-ph/9405046",,"Edward J. M. Colbert, Andrew S. Wilson and Jonathan Bland-Hawthorn","The Radio Emission from the Ultra-Luminous Far-Infrared Galaxy NGC 6240","36 pages (text and tables) as an uuencoded compressed postscript file
  (figures available upon request), accepted for the ApJ (20 Nov issue), STScI
  preprint no. ?? -- May 1994","Astrophys.J.436:89,1994","10.1086/174883",,"astro-ph",,"  We present new radio observations of the ``prototypical'' ultra-luminous far-
infrared galaxy NGC~6240, obtained using the VLA at 20~cm in `B' configuration
and at 3.6~cm in `A' configuration. These data, along with those from four
previous VLA observations, are used to perform a comprehensive study of the
radio emission from NGC~6240. Approximately 70\% (~3 x 10$^{23}$ W~Hz$^{-1}$)
of the total radio power at 20 cm originates from the nuclear region ( <~ 1.5
kpc), of which half is emitted by two unresolved ($R <~ 36 pc) cores and half
by a diffuse component. The radio spectrum of the nuclear emission is
relatively flat ($\alpha$ =~ 0.6; $S_{\nu} \propto \nu^{-\alpha}$). The
supernova rate required to power the diffuse component is consistent with that
predicted by the stellar evolution models of Rieke \etal (1985). If the radio
emission from the two compact cores is powered by supernova remnants, then
either the remnants overlap and form hot bubbles in the cores, or they are very
young ( <~ 100 yr). Nearly all of the other 30\% of the total radio power comes
from an ``arm-like'' region extending westward from the nuclear region. The
western arm emission has a steep spectrum ($\alpha$ =~ 1.0), suggestive of
aging effects from synchrotron or inverse-Compton losses, and is not correlated
with starlight; we suggest that it is synchrotron emission from a shell of
material driven by a galactic superwind. Inverse-Compton scattering of
far-infrared photons in the radio sources is expected to produce an X-ray flux
of ~2-6 x 10$^{-14}$ erg/s/cm2 in the 2-10 keV band. No significant radio
emission is detected from or near the possible ultra-massive ``dark core''
hypothesized by Bland-Hawthorn, Wilson \& Tully (1991).
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 22:27:02 GMT""}]","2011-03-10"
"astro-ph/9405047","Bepi Tormen","G. Tormen (University of Padova) and D. Burstein (Arizona State
  University)","Recalibration of the H$_{\bf -0.5}$ Magnitudes of Spiral Galaxies","24 pages, POSTSCRIPT file. Accepted for publication in ApJ
  Supplement. Tables 2 and 4 and Figures on request from
  bepi@mail.ast.cam.ac.uk",,"10.1086/192115",,"astro-ph",,"  The H magnitude aperture data published by the Aaronson et al. collaboration
over a 10-year period is collected into a homogeneous data set of 1731
observations of 665 galaxies. 96\% of these galaxies have isophotal diameters
and axial ratios determined by the Third Reference Catalogue of Bright Galaxies
(de Vaucouleurs et al. 1991), the most self-consistent set of optical data
currently available. The precepts governing the optical data in the RC3 are
systematically different from those of the Second Reference Catalogue (de
Vaucouleurs, de Vaucouleurs and Corwin 1976), which were used by Aaronson et
al. for their original analyses of galaxy peculiar motions. This in turn leads
to systematic differences in growth curves and fiducial H magnitudes, prompting
the present recalibration of the near-infrared Tully Fisher relationship. New
optically-normalized H magnitude growth curves are defined for galaxies of
types S0 to Im, from which new values of fiducial H magnitudes, H$\rm
_{-0.5}^g$, are measured for the 665 galaxies. A series of internal tests show
that these four standard growth curves are defined to an accuracy of 0.05 mag
over the interval $\rm -1.5 \leq \log (A/D_g) \leq -0.2$. Comparisons with the
Aaronson et al. values of diameters, axial ratios and fiducial H magnitudes
show the expected differences, given the different definitions of these
parameters. The values of H$\rm _{-0.5}^g$ are assigned quality indices; a
value of 1 indicates an accuracy of $<$0.2 magnitude; Quality 2 indicates an
accuracy of 0.2 to 0.35 mag; and Quality 3 indicates $>$0.35 mag. Revised
values of corrected HI velocity widths are also given, based on the new set of
axial ratios defined by the RC3.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 22:38:00 GMT""}]","2009-10-22"
"astro-ph/9405048","Garrelt Mellema","Garrelt Mellema","The gasdynamic evolution of spherical planetary nebulae:
  Radiation-gasdynamics of PNe III","14 pages as an uuencoded compressed postscript file, 19 figures
  available on vecht.strw.leidenuniv.nl via anon ftp (in /pub/koper/mellema),
  accpeted by A&A, May 1994",,,,"astro-ph",,"  Using a radiation-gasdynamics code the evolution of spherical planetary
nebulae is followed, while taking into account the evolution of central star
and the fast wind. These models show the importance of ionization fronts for
the structure of planetary nebulae, especially for the so called multiple shell
nebulae (MSPNe). It is shown that the outer shell is formed by the ionization
front while the inner shell is swept-up by the fast wind. These models explain
the emission profiles of the outer shells as well as their various kinematic
properties. Because they are shaped by the ionization front these outer shells
only give indirect information on the AGB mass loss history. The models
indicate that typical MSPN structures point to mass loss variations during the
AGB phase. The ionization also leads to a stalling of the expansion of the
nebula, leading to nebulae with expansion ages lower than their evolutionary
age. Values for ionized mass and Zanstra temperatures are derived from the
models.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 11:20:07 GMT""}]","2007-05-23"
"chao-dyn/9405012","Andrea Crisanti","A. Crisanti, M. Falcioni, G. Paladin and A. Vulpiani","Stochastic Resonance in Deterministic Chaotic Systems","9 Pages + 3 Figures, RevTeX 3.0, sub. J. Phys. A",,"10.1088/0305-4470/27/17/001","TNT 94-4","chao-dyn cond-mat nlin.CD",,"  We propose a mechanism which produces periodic variations of the degree of
predictability in dynamical systems. It is shown that even in the absence of
noise when the control parameter changes periodically in time, below and above
the threshold for the onset of chaos, stochastic resonance effects appears. As
a result one has an alternation of chaotic and regular, i.e. predictable,
evolutions in an almost periodic way, so that the Lyapunov exponent is positive
but some time correlations do not decay.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 11:19:14 GMT""}]","2009-10-22"
"comp-gas/9405004","Bill Press","George B. Rybicki and William H. Press (Harvard-Smithsonian Center for
  Astrophysics)","A Class of Fast Methods for Processing Irregularly Sampled or Otherwise
  Inhomogeneous One-Dimensional Data","7 pages, LaTeX with REVTeX 3.0 macros, no figures. A toolkit with
  implementations (in Fortran 90) of the algorithms is available by anonymous
  ftp to cfata4.harvard.edu",,"10.1103/PhysRevLett.74.1060",,"comp-gas astro-ph nlin.CG",,"  With the ansatz that a data set's correlation matrix has a certain
parametrized form (one general enough, however, to allow the arbitrary
specification of a slowly-varying decorrelation distance and population
variance) the general machinery of Wiener or optimal filtering can be reduced
from $O(n^3)$ to $O(n)$ operations, where $n$ is the size of the data set. The
implied vast increases in computational speed can allow many common sub-optimal
or heuristic data analysis methods to be replaced by fast, relatively
sophisticated, statistical algorithms. Three examples are given: data
rectification, high- or low- pass filtering, and linear least squares fitting
to a model with unaligned data points.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 14:52:26 GMT""}]","2009-10-22"
"cond-mat/9405052","N. Taniguchi","Nobuhiko Taniguchi, A. V. Andreev and Boris L. Altshuler","Statistics of Oscillator Strengths in Chaotic Systems","11 pages, REVTeX3+epsf, two EPS figures. Replaced by the published
  version. Minor changes.","Europhys. Lett. 29, 515 (1995)","10.1209/0295-5075/29/7/001","MIT-CMT-NT02","cond-mat",,"  The statistical description of oscillator strengths for systems like hydrogen
in a magnetic field is developed by using the supermatrix nonlinear
$\sigma$-model. The correlator of oscillator strengths is found to have a
universal parametric and frequency dependence, and its analytical expression is
given. This universal expression applies to quantum chaotic systems with the
same generality as Wigner-Dyson statistics.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 03:17:53 GMT""},{""version"":""v2"",""created"":""Fri, 31 Mar 1995 15:10:49 GMT""}]","2009-10-22"
"cond-mat/9405053","Raymond Fresard","Raymond Fresard (Institut fuer Theorie der Kondensierten Materie, U.
  Karlsruhe)","Slave Boson Formulation for Interacting Boson Systems and the
  Superfluid-Insulator Transition","Revtex, 12 pages, including 3 figures, available upon request, U.
  Karlsruhe Preprint",,,,"cond-mat",,"  A new formulation for the study of interacting bosons on a lattice is
introduced. This approach is used to give analytical expressions for the Mott
insulating lobes in the phase diagram and to calculate the density-density
correlation function. It is also shown that, at mean-field level, this newly
introduced slave boson theory coincides with mean-field theory of a suitably
introduced order parameter.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 09:15:23 GMT""}]","2007-05-23"
"cond-mat/9405054","Antoine Georges","A.Georges and A.Sengupta","Solution of the two impurity, two channel Kondo Model","9 pages, preprint LPTENS 94/13",,"10.1103/PhysRevLett.74.2808",,"cond-mat chao-dyn nlin.CD",,"  We solve the two-impurity two-channel Kondo model using a combination of
conformal invariance and bosonisation techniques. The odd-even symmetric case
is analysed in detail. The RKKY interaction turns out to be exactly marginal,
resulting in a line of non-Fermi liquid fixed points. Explicit formulae are
given for the critical exponents and for the finite-size spectrum, which depend
continuously on a single parameter. The marginal line spans a range of values
of the RKKY coupling $I$ which goes from the infinitely strong ferromagnetic
point $I=-\infty$ (associated with a 4-channel spin-1 Kondo model) to a finite
antiferromagnetic critical value $I_c>0$ beyond which a Fermi liquid is
recovered. We also find that, when the odd-even symmetry is broken, the
marginal line is unstable for ferromagnetic $I$, while for antiferromagnetic
$I$ it extends into a manifold of fixed points.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 15:03:18 GMT""},{""version"":""v2"",""created"":""Mon, 22 Aug 1994 15:34:41 GMT""}]","2009-10-22"
"hep-ex/9405009","Schmiemann Klaus","K. Schmiemann, et al","Phase transition time delays in irradiated superheated superconducting
  granules","4pages in LATEX, PS-file including four figures available from
  schmiemann@lhep.unibe.ch or via anonymous
  ftp://ubeclu.unibe.ch/scratch/toledok.ps",,,"BUHE-94-1","hep-ex cond-mat",,"  The time difference between a particle interaction in a Superheated
Superconducting Granule (SSG) and the resulting phase transition signal has
been explored. Detectors containing Zn and Sn SSG were irradiated with neutrons
and protons to study the heating mechanism taking place in nuclear recoil and
ionizing events. Scattered neutrons have been detected by a scintillator
hodoscope behind the SSG with a recoil energy measurement resolution of 10% and
an interaction time resolution of 1ns. The fast transition of the metastable
granules allowed to determine the elapsed time between an energy deposition and
the phase transition signal. In the case of Sn granules, the results show that
the time distributions are narrow and independent of the deposited energy in
nuclear recoil and ionizing events. In Zn, however, the time distributions are
much broader and depend on the energy deposition in the granule.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 12:55:02 GMT""}]","2007-05-23"
