"alg-geom/9405012","Yves Laszlo","Yves Laszlo","Local structure of the moduli space of vector bundles over curves","21 pages, PlainTex",,,,"alg-geom math.AG",,"  We analyze the local structure of the moduli space of semi-stable bundles on
a curve. In particular, a complete description of the local structure is given
in the rank 2 case. We obtain as a corollary of this analysis new results about
the Kummer variety and the Coble quartic associated to a canonical genus 3
curve.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 09:45:00 GMT""}]","2008-02-03"
"astro-ph/9405050","Mikel Susperregi","Mikel Susperregi and James Binney","The Principle of Least Action and Clustering in Cosmology","10 pages, uuencoded compressed postcript file, Oxford Astrophysics
  preprint","Mon.Not.Roy.Astron.Soc. 271 (1994) 719","10.1093/mnras/271.3.719",,"astro-ph",,"  A scheme is developed which enables one to trace backwards in time the cosmic
density and velocity fields, and to determine accurately the current-epoch
velocity field from the current-epoch density field, or vice versa. The scheme
implements the idea of Giavalisco \etal\ (1993) that the principle of least
action should be used to formulate gravitational instability as a two-point
boundary-value problem. We argue that the Eulerian formulation of the problem
is to be preferred to the Lagrangian one, on grounds of computational
simplicity, of ease of interfacing with observational data, and of internal
consistency at early times. The scheme is successfully tested on an exact
solution in one dimension, and on currently Gaussian fields in one and two
dimensions. The application of the scheme to real observational data appears to
be eminently feasible, though computationally costly.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 10:39:32 GMT""}]","2015-06-24"
"astro-ph/9405051","Alberto","A. Vecchio, M. Colpi and A. Polnarev","Orbital Evolution of a Massive Black Hole Pair by Dynamical Friction","32 pages in LaTeX, 5 figures available on request from
  colpi@vaxmi.mi.infn.it; to appear in ApJ",,"10.1086/174683",,"astro-ph",,"  We investigate the evolution of a massive black hole pair under the action of
dynamical friction (DF) by a uniform background of light stars with isotropic
velocity distribution. In our scenario, the primary black hole $M_1$ sits, at
rest, in the center of the spherical star distribution (with mass $M_c$) and
the secondary less massive companion $M_2$ moves along bound orbits determined
by the background gravitational field; it loses energy $E$ and angular momentum
$J$ by DF. We investigate mostly analytically the secular evolution of the
orbital parameters when the motion of $M_2$ is determined either by the mean
field generated by the uniform stellar distribution or by the gravitational
field of $M_1$. We find that $J$ and $E$ are lost so as to cause the increase
of the eccentricity $e$ during the orbital decay of $M_2$. When $M_2$ enters
the region where the gravitational field of $M_1$ dominates, the evolution
depends on the ratio between the black hole velocity $v$ and the stellar
dispersion velocity $\sigma.$ We explore both cases $v<\sigma$ and $v>\sigma$.
Only for $v>\sigma$ the rise of $e$ would be severe but this transition occurs
close to the cusp radius below which our description becomes invalid. Energy
losses by gravitational wave emission become comparable to those by dynamical
friction at a critical distance that depends sensitively on the ratio
$M_1/M_c$. The braking index $n$ is calculated in this transition region.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 11:21:53 GMT""}]","2009-10-22"
"cmp-lg/9405020","James Rogers","James Rogers (Univ. of Delaware)","Capturing CFLs with Tree Adjoining Grammars","8 pages, 3 figures. To appear in proceedings of ACL'94","In Proceedings of ACL-94",,,"cmp-lg cs.CL",,"  We define a decidable class of TAGs that is strongly equivalent to CFGs and
is cubic-time parsable. This class serves to lexicalize CFGs in the same manner
as the LCFGs of Schabes and Waters but with considerably less restriction on
the form of the grammars. The class provides a normal form for TAGs that
generate local sets in much the same way that regular grammars provide a normal
form for CFGs that generate regular sets.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 02:26:10 GMT""},{""version"":""v2"",""created"":""Wed, 25 May 1994 00:05:28 GMT""}]","2008-02-03"
"cmp-lg/9405021","Keith Vander Linden","Keith Vander Linden (ITRI, University of Brighton)","Generating Precondition Expressions in Instructional Text","8 pages, in postscript format (compressed and uuencoded), one of the
  figures has been removed due to excessive size","proceedings of ACL-94",,,"cmp-lg cs.CL",,"  This study employs a knowledge intensive corpus analysis to identify the
elements of the communicative context which can be used to determine the
appropriate lexical and grammatical form of instructional texts. \ig, an
instructional text generation system based on this analysis, is presented,
particularly with reference to its expression of precondition relations.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 08:30:05 GMT""}]","2008-02-03"
"cond-mat/9405062","David","D. M. Whittaker (Department of Physics, University of Sheffield,
  Sheffield. UK)","Saddle Points and Stark Ladders: Exact Calculations of Exciton Spectra
  in Superlattices","9 pages Revtex v3.0, followed by 4 uuencoded postscript figures,
  SISSA-CM-94-001",,"10.1209/0295-5075/31/1/010",,"cond-mat",,"  A new, exact method for calculating excitonic absorption in superlattices is
described. It is used to obtain high resolution spectra showing the saddle
point exciton feature near the top of the miniband. The evolution of this
feature is followed through a series of structures with increasing miniband
width. The Stark ladder of peaks produced by an axial electric field is
investigated, and it is shown that for weak fields the line shapes are strongly
modified by coupling to continuum states, taking the form of Fano resonances.
The calculated spectra, when suitably broadened, are found to be in good
agreement with experimental results.
","[{""version"":""v1"",""created"":""Mon, 23 May 1994 16:06:49 GMT""}]","2009-10-22"
"cond-mat/9405063","Zachary Ha","Z. N. C. Ha","Exact Dynamical Correlation Functions of Calogero-Sutherland Model and
  One-Dimensional Fractional Statistics","Revtex 11 pages, IASSNS-HEP-94/27 (April 18, 1994)",,"10.1103/PhysRevLett.73.1574",,"cond-mat hep-th",,"  One-dimensional model of non-relativistic particles with inverse-square
interaction potential known as Calogero-Sutherland Model (CSM) is shown to
possess fractional statistics. Using the theory of Jack symmetric polynomial
the exact dynamical density-density correlation function and the one-particle
Green's function (hole propagator) at any rational interaction coupling
constant $\lambda = p/q$ are obtained and used to show clear evidences of the
fractional statistics. Motifs representing the eigenstates of the model are
also constructed and used to reveal the fractional {\it exclusion} statistics
(in the sense of Haldane's ``Generalized Pauli Exclusion Principle''). This
model is also endowed with a natural {\it exchange } statistics (1D analog of
2D braiding statistics) compatible with the {\it exclusion} statistics.
(Submitted to PRL on April 18, 1994)
","[{""version"":""v1"",""created"":""Mon, 23 May 1994 18:07:58 GMT""}]","2009-10-22"
"cond-mat/9405064","Christopher M. Mudry","C. Mudry and E. Fradkin","The mechanism of spin and charge separation in one dimensional quantum
  antiferromagnets","53 pages; Revtex 3.0","Phys. Rev. B 50 (1994) 11409","10.1103/PhysRevB.50.11409","P-94-05-034","cond-mat hep-th",,"  We reconsider the problem of separation of spin and charge in one dimensional
quantum antiferromagnets. We show that spin and charge separation in one
dimensional strongly correlated systems cannot be described by the slave boson
or fermion representation within any perturbative treatment of the interactions
between the slave holons and slave spinons. The constraint of single occupancy
must be implemented exactly. As a result the slave fermions and bosons are not
part of the physical spectrum. Instead, the excitations which carry the
separate spin and charge quantum numbers are solitons. To prove this {\it
no-go} result, it is sufficient to study the pure spinon sector in the slave
boson representation. We start with a short-range RVB spin liquid mean-field
theory for the frustrated antiferromagnetic spin-${1\over2}$ chain. We derive
an effective theory for the fluctuations of the Affleck-Marston and Anderson
order parameters. We show how to recover the phase diagram as a function of the
frustration by treating the fluctuations non-perturbatively.
","[{""version"":""v1"",""created"":""Mon, 23 May 1994 21:20:16 GMT""}]","2009-10-22"
"cond-mat/9405065","Dongzi Liu","D.Z. Liu, Ben Yu-Kuang Hu, C. A. Stafford, and S. Das Sarma","Dynamic Magneto-Conductance Fluctuations and Oscillations in Mesoscopic
  Wires and Rings","4 pages, REVTeX 3.0, 5 figures(ps file available upon request),
  #phd09","Phys. Rev. B 50, R5799 (1994)","10.1103/PhysRevB.50.5799",,"cond-mat",,"  Using a finite-frequency recursive Green's function technique, we calculate
the dynamic magneto-conductance fluctuations and oscillations in disordered
mesoscopic normal metal systems, incorporating inter-particle Coulomb
interactions within a self-consistent potential method. In a disordered metal
wire, we observe ergodic behavior in the dynamic conductance fluctuations. At
low $\omega$, the real part of the conductance fluctuations is essentially
given by the dc universal conductance fluctuations while the imaginary part
increases linearly from zero, but for $\omega$ greater than the Thouless energy
and temperature, the fluctuations decrease as $\omega^{-1/2}$. Similar
frequency-dependent behavior is found for the Aharonov-Bohm oscillations in a
metal ring. However, the Al'tshuler-Aronov-Spivak oscillations, which
predominate at high temperatures or in rings with many channels, are strongly
suppressed at high frequencies, leading to interesting crossover effects in the
$\omega$-dependence of the magneto-conductance oscillations.
","[{""version"":""v1"",""created"":""Tue, 24 May 1994 00:16:33 GMT""}]","2007-05-23"
"gr-qc/9405051","Greg Cook","Andrew M. Abrahams and Gregory B. Cook","Collisions of boosted black holes: perturbation theory prediction of
  gravitational radiation","5 pages (RevTex 3.0 with 3 uuencoded figures), CRSR-1071","Phys.Rev.D50:2364-2367,1994","10.1103/PhysRevD.50.R2364",,"gr-qc astro-ph",,"  We consider general relativistic Cauchy data representing two nonspinning,
equal-mass black holes boosted toward each other. When the black holes are
close enough to each other and their momentum is sufficiently high, an
encompassing apparent horizon is present so the system can be viewed as a
single, perturbed black hole. We employ gauge-invariant perturbation theory,
and integrate the Zerilli equation to analyze these time-asymmetric data sets
and compute gravitational wave forms and emitted energies. When coupled with a
simple Newtonian analysis of the infall trajectory, we find striking agreement
between the perturbation calculation of emitted energies and the results of
fully general relativistic numerical simulations of time-symmetric initial
data.
","[{""version"":""v1"",""created"":""Mon, 23 May 1994 19:06:48 GMT""},{""version"":""v2"",""created"":""Wed, 1 Jun 1994 14:09:14 GMT""}]","2009-12-30"
"gr-qc/9405052","Masayuki Tanimoto","Tatsuhiko Koike, Masayuki Tanimoto and Akio Hosoya","Compact Homogeneous Universes","50 pages with 3 tables (assembly of 3 LaTeX files),
  TIT/HEP-208/COSMO-26","J.Math.Phys. 35 (1994) 4855-4888","10.1063/1.530819",,"gr-qc",,"  A thorough classification of the topologies of compact homogeneous universes
is given except for the hyperbolic spaces, and their global degrees of freedom
are completely worked out. To obtain compact universes, spatial points are
identified by discrete subgroups of the isometry group of the generalized
Thurston geometries, which are related to the Bianchi and the
Kantowski-Sachs-Nariai universes. Corresponding to this procedure their total
degrees of freedom are shown to be categorised into those of the universal
covering space and the Teichm\""uller parameters. The former are given by
constructing homogeneous metrics on simply connected manifold. The
Teichm\""uller spaces are also given by explicitly constructing expressions for
the discrete subgroups of the isometry group.
","[{""version"":""v1"",""created"":""Mon, 23 May 1994 22:22:01 GMT""},{""version"":""v2"",""created"":""Tue, 24 May 1994 21:37:04 GMT""}]","2015-06-25"
