"alg-geom/9405013","Vadim Schechtman","Vladimir Hinich and Vadim Schechtman","Deformation theory and Lie algebra homology","amslatex (Replacement of the previous version. Minor corrections are
  made)",,,,"alg-geom hep-th math.AG",,"  A description of a ring of functions on the base of a universal formal
deformation for several moduli problems is given. The answer is given in terms
of a homology group of a certain dg Lie algebra canonically (up to an
essentially unique quasi-isomorphism) associated with a problem.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 18:36:20 GMT""},{""version"":""v2"",""created"":""Wed, 14 Sep 1994 15:32:45 GMT""}]","2008-02-03"
"astro-ph/9405055",,"Gabriele Ghisellini and Francesco Haardt","On Thermal Comptonization in e+- Pair Plasmas","11 pages. Plain teX. ApJ Letters, in press",,"10.1086/187411",,"astro-ph",,"  We study $e^{\pm}$ pair plasmas in pair equilibrium, which emit high energy
radiation by thermal Comptonization of soft photons. We find that the maximum
luminosity to size ratio of the source (i.e. the compactness) depends not only
on the hot plasma temperature, but also on the spectral index of the resulting
Comptonized spectrum. In the observationally interesting range, sources of same
compactness can be hotter if their spectrum is steeper. Instruments observing
in the 50--500 keV energy range, such as OSSE on board CGRO, and especially the
future SAX satellite, can be more successful in detecting sources moderately
steep, the flattest sources being characterized by an high energy cut--off at
too low frequencies. For any given pair of values of spectral index and
temperature, Comptonization theory alone fixes the $ratio$ of the compactnesses
in hard and soft photons. However, if the source is pair dominated, the
absolute values of the two compactnesses are fixed. Therefore there is a a
one--to--one correspondence between the physical parameters of the source (the
compactnesses in soft and hard photons) and the observable quantities (spectral
index and temperature). This correspondence can be extremely useful in
interpreting the physical behaviour of the sources, especially during
variations, and can help discriminating between different models for the high
energy emission of compact sources.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 16:28:57 GMT""}]","2009-10-22"
"astro-ph/9405056","Gary Mamon","Gary A. Mamon","How well should the DENIS Survey probe through the Galactic Plane?","Invited talk at 4th DAEC meeting (Jan. 1994) ""Unveiling Large
  Scale-Structures behind the Milky Way"", ed. C. Balkowski & R. Kraan-Korteweg
  (San Fransisco: A.S.P.), in press 9 pages uuencoded compressed tared
  postscript, IAP preprint 458",,,,"astro-ph",,"  The DENIS 2 micron survey is described. It's ability to probe galaxies at
very low galactic latitudes is computed using simulated images. This analysis
indicates that DENIS will be able to separate galaxies from stars, right
through the Galactic Plane, for galactic longitudes $45^\circ \leq \ell \leq
315^\circ$, with a maximum loss in the magnitude limit for reliable extraction
of $\simeq 1.2$ magnitude relative to that at the Galactic Pole (where the 92\%
reliability limit is $K' = 13.2$ for star/elliptical galaxy separation, and
fainter for other morphological types). Extinction corrected magnitude limits
are substantially worse, but for $|b| \geq 2^\circ$, they are within one
magnitude from that of the Galactic Poles. Thus, confusion by stars will not
prevent the establishment of a reliable galaxy catalog right through the
Galactic Plane. However, extinction will produce galaxies of lower surface
brightness, which will be more difficult to detect.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 10:22:04 GMT""}]","2007-05-23"
"astro-ph/9405057","Hajime Susa","Hajime Susa, Misao Sasaki, and Takahiro Tanaka","Probability Distribution of Primordial Angular Momentum and Formation of
  Massive Black Holes","21 pages and 6 figures, uuencoded compressed postscript, KUNS 1266","Prog.Theor.Phys.92:961-974,1994","10.1143/PTP.92.961",,"astro-ph",,"  We consider the joint probability distribution function for the mass contrast
and angular momentum of over-density regions on the proto- galactic scale and
investigate the formation of massive black holes at redshift $z\gsim10$. We
estimate the growth rate of the angular momentum by the linear perturbation
theory and the decay rate by the Compton drag and apply the Press-Schechter
theory to obtain the formation rate of massive black holes, assuming the full
reionization of the universe at $z=z_{ion}\gg 10$. We find the correlation
between the mass contrast and angular momentum vanishes in the linear theory.
However, application of the Press-Schechter theory introduces a correlation
between the mass contrast and angular momentum of bound objects. Using thus
obtained probability distribution, we calculate the mass fraction of black
holes with $M\sim10^6-10^8M_{\odot}$ in the universe. We find that it crucially
depends on the reionization epoch $z_{ion}$. Specifically, for the standard CDM
power spectrum with the COBE normalization, the condition $z_{ion}\gsim 500$
must be satisfied to reproduce the observed number density of QSOs.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 14:45:04 GMT""}]","2009-10-09"
"astro-ph/9405058","D. C. Heggie","Toshiyuki Fukushige and Douglas C. Heggie","Pre-Collapse Evolution of Galactic Globular Clusters","23pp. Plain TeX, and 13 illustrations available on request from
  d.c.heggie@ed.ac.uk, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 276 (1995) 206","10.1093/mnras/276.1.206",,"astro-ph",,"  This paper is concerned with collisionless aspects of the early evolution of
model star clusters. The effects of mass loss through stellar evolution and of
a steady tidal field are modelled using $N$-body simulations. Our results
(which depend on the assumed initial structure and the mass spectrum) agree
qualitatively with those of Chernoff \& Weinberg (1990), who used a
Fokker-Planck model with a spherically symmetric tidal cutoff. For those
systems which are disrupted, the lifetime to disruption generally exceeds that
found by Chernoff \& Weinberg, sometimes by as much as an order of magnitude.
Because we do not model collisional effects correctly we cannot establish the
fate of the survivors. In terms of theoretical interpretation, we find that
tidal disruption must be understood as a loss of {\sl equilibrium}, and not a
loss of {\sl stability}, as is sometimes stated.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 13:09:46 GMT""}]","2015-06-24"
"astro-ph/9405059",,"Francesco Haardt, Laura Maraschi and Gabriele Ghisellini","A Model for the X-Ray and UV Emission from Seyfert Galaxies and Galactic
  Black Holes","10 pages. Plain Tex. Accepted in ApJ Letters","Astrophys.J. 432 (1994) L95","10.1086/187520",,"astro-ph",,"  We propose that the X--ray emission from radio quiet AGN and galactic black
holes is due to Comptonization of soft thermal photons emitted by the
underlying accretion disk in localized structures (blobs). The power per unit
area produced by the blobs, impinging on the disk, can easily dominate the
radiation internally produced by the disk. In this case the electron
temperature and the high energy spectrum can be determined in a similar way as
in the previously studied homogeneous model (Haardt \& Maraschi 1991). However
in the present model: a) the emitted spectrum is largely independent of the
{\it fraction} of gravitational power dissipated in the blobs; b) the X--ray
spectrum can be harder depending on a form factor of the blobs; c) the UV (or
soft X--ray for galactic objects) luminosity that is not intercepted by the
blobs can be larger than the X--ray luminosity. In the framework of a
simplified accretion disk $\alpha-\Omega$ dynamo model, we make order of
magnitude estimates of the number of active blobs, their size, luminosity and
hence their compactness, finding values in agreement with what is observed. The
expected UV to X--ray spectra and correlations of X--ray and UV light curves
are discussed.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 15:32:41 GMT""}]","2009-10-22"
"cmp-lg/9405023",,"Alon Lavie (School of Computer Science, Carnegie Mellon University)","An Integrated Heuristic Scheme for Partial Parse Evaluation","3 pages, 1 table, LaTeX source, uses latex-acl.sty and named.sty To
  appear in proceedings of ACL-94 (student sessions)","In Proceedings of ACL-94 (student session)",,,"cmp-lg cs.CL",,"  GLR* is a recently developed robust version of the Generalized LR Parser,
that can parse almost ANY input sentence by ignoring unrecognizable parts of
the sentence. On a given input sentence, the parser returns a collection of
parses that correspond to maximal, or close to maximal, parsable subsets of the
original input. This paper describes recent work on developing an integrated
heuristic scheme for selecting the parse that is deemed ``best'' from such a
collection. We describe the heuristic measures used and their combination
scheme. Preliminary results from experiments conducted on parsing speech
recognized spontaneous speech are also reported.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 00:29:52 GMT""}]","2008-02-03"
"cmp-lg/9405024","Manny Rayner","Manny Rayner","Abductive Equivalential Translation and its application to Natural
  Language Database Interfacing","162 pages, Latex source, PhD thesis (U Stockholm, 1993). Uses
  style-file ustockholm_thesis.sty",,,,"cmp-lg cs.CL",,"  The thesis describes a logical formalization of natural-language database
interfacing. We assume the existence of a ``natural language engine'' capable
of mediating between surface linguistic string and their representations as
``literal'' logical forms: the focus of interest will be the question of
relating ``literal'' logical forms to representations in terms of primitives
meaningful to the underlying database engine. We begin by describing the nature
of the problem, and show how a variety of interface functionalities can be
considered as instances of a type of formal inference task which we call
``Abductive Equivalential Translation'' (AET); functionalities which can be
reduced to this form include answering questions, responding to commands,
reasoning about the completeness of answers, answering meta-questions of type
``Do you know...'', and generating assertions and questions. In each case, a
``linguistic domain theory'' (LDT) $\Gamma$ and an input formula $F$ are given,
and the goal is to construct a formula with certain properties which is
equivalent to $F$, given $\Gamma$ and a set of permitted assumptions. If the
LDT is of a certain specified type, whose formulas are either conditional
equivalences or Horn-clauses, we show that the AET problem can be reduced to a
goal-directed inference method. We present an abstract description of this
method, and sketch its realization in Prolog. The relationship between AET and
several problems previously discussed in the literature is discussed. In
particular, we show how AET can provide a simple and elegant solution to the
so-called ``Doctor on Board'' problem, and in effect allows a
``relativization'' of the Closed World Assumption. The ideas in the thesis have
all been implemented concretely within the SRI CLARE project, using a real
projects and payments database. The LDT for the example database is described
in detail, and examples of the types of functionality that can be achieved
within the example domain are presented.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 09:52:45 GMT""}]","2008-02-03"
"cmp-lg/9405025",,"Mark-Jan Nederhof (University of Nijmegen)","An Optimal Tabular Parsing Algorithm","8 pages, Unix compressed, uuencoded","In Proceedings of ACL-94",,"To appear in ACL-94","cmp-lg cs.CL",,"  In this paper we relate a number of parsing algorithms which have been
developed in very different areas of parsing theory, and which include
deterministic algorithms, tabular algorithms, and a parallel algorithm. We show
that these algorithms are based on the same underlying ideas. By relating
existing ideas, we hope to provide an opportunity to improve some algorithms
based on features of others. A second purpose of this paper is to answer a
question which has come up in the area of tabular parsing, namely how to obtain
a parsing algorithm with the property that the table will contain as little
entries as possible, but without the possibility that two entries represent the
same subderivation.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 14:18:11 GMT""}]","2008-02-03"
"cmp-lg/9405026",,"Mark-Jan Nederhof (University of Nijmegen) and Giorgio Satta
  (University of Padova)","An Extended Theory of Head-Driven Parsing","8 pages, Unix compressed, uuencoded","In Proceedings of ACL-94",,,"cmp-lg cs.CL",,"  We show that more head-driven parsing algorithms can be formulated than those
occurring in the existing literature. These algorithms are inspired by a family
of left-to-right parsing algorithms from a recent publication. We further
introduce a more advanced notion of ``head-driven parsing'' which allows more
detailed specification of the processing order of non-head elements in the
right-hand side. We develop a parsing algorithm for this strategy, based on LR
parsing techniques.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 15:02:32 GMT""}]","2008-02-03"
"cond-mat/9405073","Sven Sandow","Sven Sandow","Partially Asymmetric Exclusion Process with Open Boundaries","11 pages RevTex, one figure as postscriptfile appended which should
  be saved as ""phases.ps""",,"10.1103/PhysRevE.50.2660",,"cond-mat",,"  Exclusive diffusion on a one-dimensional lattice is studied. In the model
particles hop stochastically into both directions with different rates. At the
ends of the lattice particles are injected and removed. The exact stationary
probability measure is represented in form of a matrix product as a
generalization of the solution given by Derrida et al \cite{dehp} for the fully
asymmetric process. The phase diagram of the current on the infinite lattice is
obtained. Analytic expressions for the current in the different phases are
derived. The model is equivalent to a $XXZ$-Heisenberg chain with a certain
type of boundary terms the ground state of which corresponds to the stationary
solution of the master equation.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 19:43:58 GMT""}]","2009-10-22"
