"alg-geom/9406005","Charles Walter","Charles H. Walter","Pfaffian Subschemes","26 pages, AMS-LaTeX",,,,"alg-geom math.AG",,"  A subscheme $X\subset \Bbb P^{n+3}$ of codimension $3$ is {\em Pfaffian} if
it is the degeneracy locus of a skew-symmetric map $f:\cal{E}\spcheck(-t) @>>>
\cal{E}$ with $\cal{E}$ a locally free sheaf of odd rank on $\Bbb P^{n+3}$. It
is shown that a codimension $3$ subscheme $X\subset\Bbb P^{n+3}$ is Pfaffian if
and only if it is locally Gorenstein, subcanonical (i.e.\ $\omega_X\cong\cal
O_X(l)$ for some integer $l$), and the following parity condition holds: if
$n\equiv 0\pmod{4}$ and $l$ is even, then $\chi (\cal O_X (l/2))$ is also even.
The paper includes a modern version of the Horrocks correspondence, stated in
the language of derived categories. A local analogue of the main theorem is
also proved.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:28:12 GMT""}]","2008-02-03"
"astro-ph/9406049","Michael Strauss","B.X. Santiago, M.A. Strauss, O. Lahav, M. Davis, A. Dressler, J.
  Huchra","The Optical Redshift Survey: Sample Selection and the Galaxy
  Distribution","Submitted to ApJ. 18 pages of plain Tex; figures not included.
  Postscript text with figures available via anonymous ftp to eku.ias.edu in
  /pub/strauss/ors/paper1.ps.Z and fig6.ps.Z","Astrophys.J. 446 (1995) 457","10.1086/175805",,"astro-ph",,"  This is the first in a series of papers describing the {\it Optical Redshift
Survey} (ORS), a redshift survey of optically selected galaxies covering 98\%
of the sky above $|b| = 20^\circ$ (8.09 ster). The survey is drawn from the
UGC, ESO, and ESGC galaxy catalogues, and contains two sub-samples, one
complete to a $B$ magnitude of 14.5, the other complete to a $B$ major axis
diameter of $1.9^\prime$. The entire sample consists of 8457 objects, of which
redshifts are now available for 8286; 171 objects remain without measured
redshifts. The ORS provides the most detailed and homogeneous sampling of the
large-scale galaxy distribution to date in these areas. The density field of
bright optical galaxies is well-defined to $8000 \kms$, and is dominated by the
Virgo, Telescopium-Pavo-Indus, Hydra-Centaurus, Pisces-Perseus, and Coma-A1367
Superclusters. The dense sampling provided by ORS allows a detailed analysis of
the galaxy density field, and will be used to test its dependence on morphology
and other galaxy parameters.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 18:03:18 GMT""}]","2009-10-22"
"astro-ph/9406050","Uros Seljak","Uros Seljak","A Two-Fluid Approximation for Calculating the Cosmic Microwave
  Background Anisotropies","12 pages, AAS Latex, ApJL, submitted 1994, preprint MIT-CSR-94-13","Astrophys.J. 435 (1994) L87-L90","10.1086/187601",,"astro-ph",,"  We present a simple, yet accurate approximation for calculating the cosmic
microwave background anisotropy power spectrum in adiabatic models. It consists
of solving for the evolution of a two-fluid model until the epoch of
recombination and then integrating over the sources to obtain the CMB
anisotropy power spectrum. The approximation is useful both for a physical
understanding of CMB anisotropies, as well as for a quantitative analysis of
cosmological models. Comparison with exact calculations shows that the accuracy
is typically better than 20 percent over a large range of angles and
cosmological models, including those with curvature and cosmological constant.
Using this approximation we investigate the dependence of the CMB anisotropies
on the cosmological parameters. We identify six dimensionless parameters that
uniquely determine the anisotropy power spectrum within our approximation. CMB
experiments on different angular scales could in principle provide information
on all these parameters. In particular, mapping of the Doppler peaks would
allow an independent determination of baryon mass density, matter mass density
and Hubble constant.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 03:50:24 GMT""}]","2009-10-22"
"astro-ph/9406051",,"Q. Bo, X.P. Wu and Z.L. Zou","The gravitational deflection of light in MOND","6 pages plus 3 figures, A&A LATEX style",,,"BAO-BGGC-9403","astro-ph",,"  The deflection angle $\Delta\phi$ of light rays by the gravitational field of
a spherical system $M(r)$ is calculated using the MOdified Newtonian Dynamics
(MOND). It is shown that $\Delta\phi$ with an impact parameter $r_0$ can be
expressed by the measured rotation velocity $v(r)$ as
  $\Delta\phi(r_0)=2\int_{r_0}^{\infty}
  \frac{v^2(r)}{c^2}\frac{r_0dr}{r\sqrt{r^2-r_0^2}}$, where
  $v(r)=\left\{\left(Ga_0M(r)\right)^{1/4}, &
  r_0>r_c;\left(\frac{GM(r)}{r}\right)^{1/2},& r_0\leq r_c,\right$,
  and $r_c$ is the critical radius that is determined by the critical
acceleration $a_0$. In the Newtonian limit of the gravitational acceleration
$a\gg a_0$, $\Delta\phi$ approaches $\Delta\phi=2Gm(r_0)/c^2r_0$ with the
projected surface mass $m(r_0)$. Whilst the asymptotic value of $\Delta\phi$
reaches a constant $\pi(v_{\infty}/c)^2$ in the low-acceleration limit of $a\ll
a_0$.
  Taking the empirical correction of a factor of 2 from the theory of general
relativity into account and utilizing the relation between rotation velocity
$v$ and velocity dispersion $\sigma$, MOND results naturally in a constant
deflection angle, $4\pi(\sigma/c)^2$, which has been widely used in the
present-day study of gravitational lensing by galaxies and clusters of
galaxies, implying that without introducing the massive halos acting as
$r^{-2}$ for dark matter MOND has no difficulty in reproducing the known cases
of gravitational lensing associated with galaxies and clusters of galaxies.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 08:36:17 GMT""}]","2016-08-30"
"astro-ph/9406052",,"T.J. Broadhurst, A.N. Taylor and J.A. Peacock (Royal Observatory,
  Blackford Hill, Edinburgh, UK)","Mapping Cluster Mass Distributions via Gravitational Lensing of
  Background Galaxies","ApJ in press. 23 pages of LaTeX plus figs. Text & figs available by
  anonymous ftp from resun03.roe.ac.uk in directory /pub/jap/lens (you need
  btp.tex and apj.sty)","Astrophys.J. 438 (1995) 49","10.1086/175053",,"astro-ph",,"  We present a new method for measuring the projected mass distributions of
galaxy clusters. The gravitational amplification is measured by comparing the
joint distribution in redshift and magnitude of galaxies behind the cluster
with that of field galaxies. We show that the total amplification is directly
related to the surface mass density in the weak field limit, and so it is
possible to map the mass distribution of the cluster. The method is shown to be
limited by discreteness noise and galaxy clustering behind the lens. Galaxy
clustering sets a lower limit to the error along the redshift direction, but a
clustering independent lensing signature may be obtained from the magnitude
distribution at fixed redshift. Statistical techniques are developed for
estimating the surface mass density of the cluster. We extend these methods to
account for any obscuration by cluster halo dust, which may be mapped
independently of the dark matter. We apply the method to a series of numerical
simulations and show the feasibility of the approach. We consider approximate
redshift information, and show how the mass estimates are degraded.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 11:44:00 GMT""}]","2009-10-22"
"astro-ph/9406053","Richard P. Nelson","Richard P. Nelson and John C.B. Papaloizou","Variable Smoothing Lengths and Energy Conservation in Smoothed Particle
  Hydrodynamics","29 pages, LaTeX. To appear in M.N.R.A.S","Mon.Not.Roy.Astron.Soc. 270 (1994) 1","10.1093/mnras/270.1.1",,"astro-ph",,"  We present a new formulation of the equations of motion used in smoothed
particle hydrodynamics (SPH). The spatial resolution in SPH is determined by
the smoothing length, $h$, and it has become common practice for each particle
to be given its own adaptive smoothing length, $h_i$. Consequently, the dynamic
range that may be spatially resolved is greatly increased, but additional
($\nabla h$) terms, which account for the variability of the smoothing lengths,
should appear in the equations of motion in order to satisy conservation
requirements. Previous implementations of SPH have neglected these additional
terms, whereas we have included them. This is achieved by defining a functional
form for the $h_i$s, that depends on inter-particle distances only, and then
deriving the equations of motion using a Hamiltonian formalism. A number of
test calculations are presented. We find that including the $\nabla h$ terms
has no detrimental effect on the ability of SPH to model known problems with
reasonable accuracy. For problems where the energy conservation was rather
poor, including the $\nabla h$ terms results in a dramatic improvement. In
particluar non-conservation of energy during a collision between two polytropes
can occur at the level of 10% when the $\nabla h$ terms are neglected. When the
$\nabla h$ terms are included, then this error reduces to 0.8%.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:56:26 GMT""}]","2015-06-24"
"chao-dyn/9406006","Jimmy Law","R.K. Bhaduri(Department of Physics and Astronomy, McMaster
  University,Hamilton, Ontario, Canada L8S 4M1), Avinash Khare(Institute of
  Physics, Sachivalaya Marg, Bhubaneswar-751 005, India.), and J. Law( Guelph
  Waterloo Program for Graduate Work in Physics, Physics Department, University
  of Guelph, Guelph, Ont, N1G 2W1)","The Phase of the Riemann Zeta Function and the Inverted Harmonic
  Oscillator","4 pages of postscript file with embeded figures, in uuencoded tar
  format","Phys.Rev. E52 (1995) 486","10.1103/PhysRevE.52.486",,"chao-dyn hep-th nlin.CD",,"  The Argand diagram is used to display some characteristics of the Riemann
Zeta function. The zeros of the Zeta function on the complex plane give rise to
an infinite sequence of closed loops, all passing through the origin of the
diagram. This leads to the analogy with the scattering amplitude, and an
approximate rule for the location of the zeros. The smooth phase of the Zeta
function along the line of the zeros is related to the quantum density of
states of an inverted oscillator.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 20:43:23 GMT""}]","2009-10-22"
"chao-dyn/9406007","Per Dahlqvist","Per Dahlqvist (KTH, Stockholm)","Periodic orbit asymptotics for intermittent Hamiltonian systems","18 pages LaTeX, figures 2-8 on separate .uu file, fig 1 available
  from author on request",,"10.1016/0167-2789(94)00257-Q",,"chao-dyn nlin.CD",,"  We address the problems in applying cycle expansions to bound chaotic
systems, caused by e.g. intermittency and incompleteness of the symbolic
dynamics. We discuss zeta functions associated with weighted evolution
operators and in particular a one-parameter family of weights relevant for the
calculation of classical resonance spectra, semiclassical spectra and
topological entropy. For bound intermittent system we discuss an approximation
of the zeta function in terms of probabilities rather than cycle instabilities.
This approximation provides a generalization of the fundamental part of a cycle
expansion for a finite subshift symbolic dynamics. This approach is
particularly suitable for determining asymptotic properties of periodic orbits
which are essential for scrutinizing the semiclassical limit of Gutzwiller's
semiclassical trace formula. The Sinai billiard is used as model system. In
particular we develope a crude approximation of the semiclassical zeta function
which turns out to possess non analytical features. We also discuss the
contribution to the semiclassical level density from the neutral orbits.
Finally we discuss implications of our findings for the spectral form factor
and compute the asymptotic behaviour of the spectral rigidity. The result is
found to be consistent with exact quantum mechanical calculations.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 10:53:11 GMT""}]","2015-06-24"
"cmp-lg/9406025","Koiti Hasida","HASIDA Koiti (Electrotechnical Laboratory)","Emergent Parsing and Generation with Generalized Chart","11 pages. To appear in COLING-94. LaTeX source. psfig-scale.tex,
  a4wide.sty, and fullname.sty needed",,,,"cmp-lg cs.CL",,"  A new, flexible inference method for Horn logic program is proposed, which is
a drastic generalization of chart parsing, partial instantiations of clauses in
a program roughly corresponding to arcs in a chart. Chart-like parsing and
semantic-head-driven generation emerge from this method. With a parsimonious
instantiation scheme for ambiguity packing, the parsing complexity reduces to
that of standard chart-based algorithms.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 16:17:40 GMT""}]","2008-02-03"
"cmp-lg/9406026","David Israel","David Israel (Artificial Intelligence Center, SRI)","The Very Idea of Dynamic Semantics","22 pages. Vanilla LaTex","Proc. Ninth Amsterdam Colloquium, 1993",,,"cmp-lg cs.CL",,"  ""Natural languages are programming languages for minds."" Can we or should we
take this slogan seriously? If so, how? Can answers be found by looking at the
various ""dynamic"" treatments of natural language developed over the last decade
or so, mostly in response to problems associated with donkey anaphora? In
Dynamic Logic of Programs, the meaning of a program is a binary relation on the
set of states of some abstract machine. This relation is meant to model aspects
of the effects of the execution of the program, in particular its input-output
behavior. What, if anything, are the dynamic aspects of various proposed
dynamic semantics for natural languages supposed to model? Is there anything
dynamic to be modeled? If not, what is all the full about? We shall try to
answer some, at least, of these questions and provide materials for answers to
others.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 01:26:29 GMT""}]","2008-02-03"
"cmp-lg/9406027","Joerg Ueberla","Joerg P. Ueberla","Analyzing and Improving Statistical Language Models for Speech
  Recognition","140 pages, postscript, approx 500KB, if problems with delivery, mail
  to ueberla@cs.sfu.ca",,,"SFU-CMPT 94-05-02","cmp-lg cs.CL",,"  In many current speech recognizers, a statistical language model is used to
indicate how likely it is that a certain word will be spoken next, given the
words recognized so far. How can statistical language models be improved so
that more complex speech recognition tasks can be tackled? Since the knowledge
of the weaknesses of any theory often makes improving the theory easier, the
central idea of this thesis is to analyze the weaknesses of existing
statistical language models in order to subsequently improve them. To that end,
we formally define a weakness of a statistical language model in terms of the
logarithm of the total probability, LTP, a term closely related to the standard
perplexity measure used to evaluate statistical language models. We apply our
definition of a weakness to a frequently used statistical language model,
called a bi-pos model. This results, for example, in a new modeling of unknown
words which improves the performance of the model by 14% to 21%. Moreover, one
of the identified weaknesses has prompted the development of our generalized
N-pos language model, which is also outlined in this thesis. It can incorporate
linguistic knowledge even if it extends over many words and this is not
feasible in a traditional N-pos model. This leads to a discussion of
whatknowledge should be added to statistical language models in general and we
give criteria for selecting potentially useful knowledge. These results show
the usefulness of both our definition of a weakness and of performing an
analysis of weaknesses of statistical language models in general.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 12:33:20 GMT""}]","2008-02-03"
