"alg-geom/9406006","Dr. Yakov Karpishpan","Yakov Karpishpan","Infinite-dimensional Lie algebras and the period map for curves","36 pages, LaTeX. This corrects a reference in the earlier version",,,,"alg-geom math.AG",,"  We compute higher-order differentials of the period map for curves and show
how they factor through the corresponding higher Kodaira-Spencer classes. Our
approach is based on the infinitesimal equivariance of the period map, due to
Arbarello and De Concini \cite{AD}.
","[{""version"":""v1"",""created"":""Thu, 23 Jun 1994 16:11:25 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jun 1994 18:29:35 GMT""}]","2008-02-03"
"astro-ph/9406064","Geoff Bicknell","Geoffrey V. Bicknell","Relativistic Jets and the Fanaroff-Riley Classification of Radio
  Galaxies","uuencoded, compressed postscript, MSSS0 999",,"10.1086/192232",,"astro-ph",,"  Recently, Owen(1993) and Owen and Ledlow (1994) have shown that the dividing
line between Fanaroff-Riley class~I and class~II Radio Sources is very sharp
when the sources are represented as points in the radio-optical luminosity
plane. It is shown that if one accepts the propositions that the sources in the
vicinity of this dividing line are characterized by (1) transonic Mach numbers
and (2) mildly relativistic velocities (consistent with deceleration of an
initially moderately relativistic or ultrarelativistic jet), then the slope of
the dividing line is readily obtained using simple physical arguments and
established empirical relationships between the X-Ray luminosities, core radii,
velocity dispersions and absolute magnitudes of elliptical galaxies. The
intercept of the dividing line depends upon parameters which are known perhaps
to within factors of order unity and agrees with the data to within an order of
magnitude. ROSAT observations of elliptical galaxies will be important in
constraining the central pressures and X-Ray core radii of radio ellipticals.
Knowledge of these two parameters will assist in a more detailed assessment of
the physics which is proposed here as being relevant. High resolution
observations of jets within a kpc of the radio core will also be useful for
determining the spreading rates of jets in this region.
","[{""version"":""v1"",""created"":""Thu, 23 Jun 1994 17:59:53 GMT""}]","2016-08-30"
"astro-ph/9406065","V. Antonuccio-Delogu","V. Antonuccio-Delogu and U. Becciani","Capanic: A Parallel Tree N-Body Code for Inhomogeneous Clusters of
  Processors","8 Pages, LaTex + 3 figures available by anonymous ftp at
  convex.ct.astro.it, /nbody/paper1/figures.ps. Presented at MPCS '94, Ischia
  (Napoli), May 2-6, 1994",,,,"astro-ph",,"  We have implemented a parallel version of the Barnes-Hut 3-D N-body tree
algorithm under PVM 3.2.5, adopting an SPMD paradigm. We parallelize the
problem by decomposing the physical domain by means of the {\bf Orthogonal
Recursive Bisection} oct-tree scheme suggested by Salmon (1991), but we modify
the original hypercube communication pattern into an incomplete hypercube,
which is more suitable for a generic inhomogenous cluster architecture.\\ We
address dynamical load balancing by assigning different ""weights"" to the
spawned tasks according to the dynamically changing workloads of each task. The
weights are determined by monitoring the local platforms where the tasks are
running and estimating the performance of each task. The monitoring scheme is
flexible and allows us to address at the same time cluster and intrinsic
sources of load imbalance. We then show measurements of the performance of our
code on a test case of astrophysical interest in order to test the performance
of our implementation.
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 09:38:31 GMT""}]","2007-05-23"
"chao-dyn/9406009","Darla Sharp","Emily S. C. Ching (Dept. of Physics, The Chinese University of Hong
  Kong, Hong Kong), J. S. Langer (Institute for Theoretical Physics, University
  of California, Santa Barbara, CA)","Stability Limit for Mode-I Fracture","request figure from author: langer@sbitp.ucsb.edu",,,"NSF-ITP-94-35","chao-dyn nlin.CD",,"  In order to study the stability of mode-I fracture, we consider a crack
moving along the centerline of a very wide strip and compute its steady-state
response to a small, spatially periodic shear stress. We find that, in the
presence of this perturbation, the crack remains very nearly straight up to a
critical speed $v_c$ of about $0.8\,v_R$, where $v_R$ is the Rayleigh speed.
Deviations from straight-line propagation are suppressed by a factor
proportional to $W^{-1/2}$, where $W$ is the width of the strip. At $v_c$,
however, this suppression disappears and the steady-state crack follows the
wavy curve along which the shear stress vanishes in the unbroken strip. We
interpret this behavior as a loss of stability and discuss its implications for
a more complete dynamical theory of fracture propagation.
","[{""version"":""v1"",""created"":""Thu, 23 Jun 1994 19:36:00 GMT""}]","2008-02-03"
"cmp-lg/9406036","Richard Sproat","Michael Riley, Richard Sproat (Linguistics Research Department, AT&T
  Bell Laboratories, Murray Hill, NJ)","Text Analysis Tools in Spoken Language Processing","Slides for ACL-94 Tutorial",,,,"cmp-lg cs.CL",,"  This submission contains the postscript of the final version of the slides
used in our ACL-94 tutorial.
","[{""version"":""v1"",""created"":""Thu, 23 Jun 1994 22:00:15 GMT""}]","2009-09-25"
"cmp-lg/9406037","Marti Hearst","Marti A. Hearst (UC Berkeley and Xerox PARC)","Multi-Paragraph Segmentation of Expository Text","To Appear in ACL '94 Proceedings; 8 pages POSTSCRIPT format",,,,"cmp-lg cs.CL",,"  This paper describes TextTiling, an algorithm for partitioning expository
texts into coherent multi-paragraph discourse units which reflect the subtopic
structure of the texts. The algorithm uses domain-independent lexical frequency
and distribution information to recognize the interactions of multiple
simultaneous themes. Two fully-implemented versions of the algorithm are
described and shown to produce segmentation that corresponds well to human
judgments of the major subtopic boundaries of thirteen lengthy texts.
","[{""version"":""v1"",""created"":""Thu, 23 Jun 1994 23:30:11 GMT""}]","2008-02-03"
"comp-gas/9406001","Jose Cuesta","J.M. Molera, F.C. Martinez, J.A. Cuesta (Universidad Carlos III,
  Madrid, Spain) and R. Brito (Universidad Complutense, Madrid, Spain)","Theoretical approach to two-dimensional traffic flow models","15 pages, REVTeX 3.0, 7 uuencoded figures upon request to
  cuesta@ing.uc3m.es",,"10.1103/PhysRevE.51.175","MA/UC3M/03/94","comp-gas adap-org cond-mat nlin.AO nlin.CG",,"  In this paper we present a theoretical analysis of a recently proposed
two-dimensional Cellular Automata model for traffic flow in cities with the
novel ingredient of turning capability. Numerical simulations of this model
show that there is a transition between a freely moving phase with high
velocity to a jammed state with low velocity. We study the dynamics of such a
model starting with the microscopic evolution equation, which will serve as a
basis for further analysis. It is shown that a kinetic approach, based on the
Boltzmann assumption, is able to provide a reasonably good description of the
jamming transition. We further introduce a space-time continuous
phenomenological model leading to a couple of partial differential equations
whose preliminary results agree rather well with the numerical simulations.
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 12:30:50 GMT""}]","2009-10-22"
"cond-mat/9406096","Kusmartsev","F. V. Kusmartsev and Minoru Takahashi","Fine Structure and Fractional Aharonov-Bohm Effect","40 pages (Latex,Revtex) 12 figures by request, in Technical Reports
  of ISSP , Ser. A, No.2836 (1994)",,"10.1103/PhysRevB.52.14445",,"cond-mat",,"  We find a fine structure in the Aharonov-Bohm effect, characterized by the
appearence of a new type of periodic oscillations having smaller fractional
period and an amplitude, which may compare with the amplitude of the
conventional Aharonov-Bohm effect. Specifically, at low density or strong
coupling on a Hubbard ring can coexist along with the conventional Aaronov-Bohm
oscillations with the period equal to an integer, measured in units of the
elementary flux quantum, two additional oscillations with periods $1/N$ and
$M/N$. The integers $N$ and $M$ are the particles number and the number of
down-spin particles, respectively. {}From a solution of the Bethe ansatz
equations for $N$ electrons located on a ring in a magnetic field we show that
the fine structure is due to electron-electron and Zeeman interactions. Our
results are valid in the dilute density limit and for an arbitrary value of the
Hubbard repulsion $U$
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 02:38:27 GMT""}]","2009-10-22"
"cond-mat/9406097","Dick van der Marel","D. van der Marel","Collective modes of spin, density, phase and amplitude in exotic
  superconductors","20 pages, figures on request, Revtex, version 2, Materials Science
  Center Internal Report Number VSGD.94.6.7","Phys. Rev. B 51 (1995), 1147","10.1103/PhysRevB.51.1147",,"cond-mat",,"  The equations of motion of pair-like excitations in the superconducting state
are studied for various types of pairing using the random phase approximation.
The collective modes are computed of a layered electron gas described by a
$t-t'$ tight-binding band, where the electrons experience besides the
long-range Coulomb repulsion an on-site Hubbard U repulsion and a
nearest-neighbour attractive interaction. {}From numerical calculations we see,
that the collective mode spectrum now becomes particularly rich. Several
branches can occur below the continuum of quasi-particle excitations,
corresponding to order-parameter fluctuations of various symmetries of pairing,
and collective spin-density fluctuations. {}From the collective mode softening
near the nesting vectors it is concluded, that in the d-wave paired state an
instability occurs toward the formation of a spin-density wave.
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 09:41:03 GMT""}]","2009-10-22"
"cond-mat/9406098","Robert Eder","R. Eder and Y. Ohta (Department of Applied Physics, Nagoya University,
  Nagoya 464-01, Japan)","Spin bags in the doped t-J model","Remarks: Revtex file + 4 figures attached as compressed postscript
  files Figures can also be obtained by ordinary mail on request",,"10.1103/PhysRevB.50.10043",,"cond-mat",,"  We present a nonperturbative method for deriving a quasiparticle description
of the low-energy excitations in the t-J model for strongly correlated
electrons. Using the exact diagonalization technique we evaluated exactly the
spectral functions of composite operators which describe an electron or hole
dressed by antiferromagnetic spin fluctuations as expected in the string or
spin bag picture. For hole doping up to $1/8$, use of the composite operators
leads to a drastic simplification of the single particle spectral function: at
half-filling it takes free-particle form, for the doped case it resembles a
system of weakly interacting Fermions corresponding to the doped holes. We
conclude that for all doping levels under study, the elementary electronic
excitations next to the Fermi level are adequately described by the
antiferromagnetic spin fluctuation picture and show that the dressing of the
holes leads to formation of a bound state with d(x^2-y^2) symmetry.
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 11:40:38 GMT""}]","2009-10-22"
"cond-mat/9406099","Yu Lu,","Chui-Lin Wang, Wen-Zheng Wang, Yu-Liang Liu, Zhao-Bin Su, and Lu Yu","Quantum fluctuations of $D_{5d}$ polarons on $C_{60}$ molecules","REVTEX 3.0, 13 pages, to be published in Phys. Rev.B",,"10.1103/PhysRevB.50.5676","IC/94/126","cond-mat",,"  The dynamic Jahn-Teller splitting of the six equivalent $D_{5d}$ polarons due
to quantum fluctuations is studied in the framework of the Bogoliubov-de Gennes
formalism. The tunneling induced level splittings are determined to be $^2
T_{1u} \bigoplus ^2 T_{2u}$ and $^1 A_g \bigoplus ^1 H_g$ for $C_{60}^{1-}$ and
$C_{60}^{2-}$, respectively, which should give rise to observable effects in
experiments.
","[{""version"":""v1"",""created"":""Fri, 24 Jun 1994 13:45:52 GMT""}]","2009-10-22"
