"alg-geom/9406007","Victor Pidstrigatch","Victor Pidstrigatch","Some glueing formulas for spin polynomials and a proof of the Van de Ven
  conjecture","17 pages. AmS-TeX-Version 2.1. A new reference is added (pp.1,15)",,,,"alg-geom math.AG",,"  We deduce some formulas for the spin invariants of the connected sum of an
arbitrary 4-manifold X, b^+ _2(X) > 0 $ with $\overline {CP^2}$ in terms of the
spin invariants of $X$ and apply this to prove the Van de Ven conjecture.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 10:10:03 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jul 1994 10:44:16 GMT""}]","2008-02-03"
"astro-ph/9406067","Albert Stebbins","Albert Stebbins and Shoba Veeraraghavan","Beyond the Small-Angle Approximation For MBR Anisotropy from Seeds","23 pages, FERMILAB-Pub-94/047-A","Phys.Rev.D51:1465-1478,1995","10.1103/PhysRevD.51.1465",,"astro-ph",,"  In this paper we give a general expression for the energy shift of massless
particles travelling through the gravitational field of an arbitrary matter
distribution as calculated in the weak field limit in an asymptotically flat
space-time. It is {\it not} assumed that matter is non-relativistic. We
demonstrate the surprising result that if the matter is illuminated by a
uniform brightness background that the brightness pattern observed at a given
point in space-time (modulo a term dependent on the oberver's velocity) depends
only on the matter distribution on the observer's past light-cone. These
results apply directly to the cosmological MBR anisotropy pattern generated in
the immediate vicinity of of an object like a cosmic string or global texture.
We apply these results to cosmic strings, finding a correction to previously
published results for in the small-angle approximation. We also derive the
full-sky anisotropy pattern of a collapsing texture knot.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 06:28:10 GMT""}]","2009-12-30"
"astro-ph/9406068",,"M. Bruni, S. Matarrese and O. Pantano","Dynamics of Silent Universes","40 pages with 4 figures, compressed and uuencoded PostScript file,
  submitted to ApJ, SISSA preprint Ref. 85/94/A","Astrophys.J. 445 (1995) 958-977","10.1086/175755",,"astro-ph",,"  We investigate the local non--linear dynamics of irrotational dust with
vanishing magnetic part of the Weyl tensor, $H_{ab}$. Once coded in the initial
conditions, this dynamical restriction is respected by the relativistic
evolution equations. Thus, the outcome of the latter are {\it exact solutions}
for special initial conditions with $H_{ab}=0$, but with no symmetries: they
describe inhomogeneous triaxial dynamics generalizing that of a fluid element
in a Tolman--Bondi, Kantowski--Sachs or Szekeres geometry. A subset of these
solutions may be seen as (special) perturbations of Friedmann models, in the
sense that there are trajectories in phase--space that pass arbitrarily close
to the isotropic ones. We find that the final fate of ever--expanding
configurations is a spherical void, locally corresponding to a Milne universe.
For collapsing configurations we find a whole family of triaxial attractors,
with vanishing local density parameter $\Omega$. These attractors locally
correspond to Kasner vacuum solutions: there is a single physical configuration
collapsing to a degenerate {\it pancake}, while the generic configuration
collapses to a triaxial {\it spindle} singularity. These {\it silent universe}
models may provide a fair representation of the universe on super horizon
scales. Moreover, one might conjecture that the non--local information carried
by $H_{ab}$ becomes negligible during the late highly non--linear stages of
collapse, so that the attractors we find may give all of the relevant expansion
or collapse configurations of irrotational dust.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 09:57:46 GMT""}]","2009-10-22"
"cmp-lg/9406038","Stephen Sutton","David G. Novick (Oregon Graduate Institute), Stephen Sutton (Oregon
  Graduate Institute)","An Empirical Model of Acknowledgment for Spoken-Language Systems","6 pages, uuencoded compressed tar file","In Proceedings of ACL-94",,,"cmp-lg cs.CL",,"  We refine and extend prior views of the description, purposes, and
contexts-of-use of acknowledgment acts through empirical examination of the use
of acknowledgments in task-based conversation. We distinguish three broad
classes of acknowledgments (other-->ackn, self-->other-->ackn, and self+ackn)
and present a catalogue of 13 patterns within these classes that account for
the specific uses of acknowledgment in the corpus.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 04:20:02 GMT""}]","2008-02-03"
"cmp-lg/9406039","Atro Voutilainen","Atro Voutilainen (Research Unit for Computational Linguistics,
  University of Helsinki)","Three studies of grammar-based surface-syntactic parsing of unrestricted
  English text. A summary and orientation","PhD dissertation. 36pp, gzipped and uuencoded .ps file",,,"Publications 24, Department of General Linguistics, University of
  Helsinki, 1994","cmp-lg cs.CL",,"  The dissertation addresses the design of parsing grammars for automatic
surface-syntactic analysis of unconstrained English text. It consists of a
summary and three articles. {\it Morphological disambiguation} documents a
grammar for morphological (or part-of-speech) disambiguation of English, done
within the Constraint Grammar framework proposed by Fred Karlsson. The
disambiguator seeks to discard those of the alternative morphological analyses
proposed by the lexical analyser that are contextually illegitimate. The 1,100
constraints express some 23 general, essentially syntactic statements as
restrictions on the linear order of morphological tags. The error rate of the
morphological disambiguator is about ten times smaller than that of another
state-of-the-art probabilistic disambiguator, given that both are allowed to
leave some of the hardest ambiguities unresolved. This accuracy suggests the
viability of the grammar-based approach to natural language parsing, thus also
contributing to the more general debate concerning the viability of
probabilistic vs.\ linguistic techniques. {\it Experiments with heuristics}
addresses the question of how to resolve those ambiguities that survive the
morphological disambiguator. Two approaches are presented and empirically
evaluated: (i) heuristic disambiguation constraints and (ii) techniques for
learning from the fully disambiguated part of the corpus and then applying this
information to resolving remaining ambiguities.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 09:24:50 GMT""}]","2008-02-03"
"cond-mat/9406102","Alexander Palevski","Y. Berk, A. Kamenev, A. Palevski, L. N. Pfeiffer, and K. W. West","Resonance Magnetoresistance in Coupled Quantum Wells","10 pages + 4 figures, REVTeX 3",,,,"cond-mat",,"  The in-plane magnetic field suppresses the quantum coupling between electrons
in a double quantum well structure. The microscopical theory of this effect is
developed and confirmed experimentally. We have shown that the decrease of the
""resistance resonance"" peak is sensitive to the mutual orientation of the
current and the in-plane magnetic field. The characteristic field required for
the suppression of the resonance depends on the elastic small angle and
electron--electron scattering rates. The study of the characteristic field
allows to verify the temperature and Fermi energy dependence of the
electron--electron scattering rate, providing a new experimental tool for its
measurement.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 11:25:05 GMT""}]","2007-05-23"
"cond-mat/9406103","Dick van der Marel","O. V. Dolgov, A.E. Karakozov, A.A. Mikhailovsky, B.J. Feenstra, and D.
  van der Marel","Observation of the Holstein shift in high $T_c$ superconductors with
  thermal modulation reflectometry","6 pages, figures on request. Revtex, version 2, Materials Science
  Center Internal Report Number VSGD.93.12.th","Physica C 229 (1994), 396","10.1016/0921-4534(94)90523-1",,"cond-mat",,"  We use the experimental technique of thermal modulation reflectometry to
study the relatively small temperature dependence of the optical conductivity
of superconductors. Due to a large cancellation of systematic errors, this
technique is shown to a be very sensitive probe of small changes in
reflectivity. We analyze thermal modulation reflection spectra of single
crystals and epitaxially grown thin films of YBa$_2$Cu$_3$O$_{7-\delta}$ and
obtain the ${\alpha_tr}^2F(\omega)$ function in the normal state, as well as
the superconductivity induced changes in reflectivity. We present detailed
model calculations, based on the Eliashberg-Migdal extension of the BCS model,
which show good qualitative and quantitative agreement with the experimental
spectra. VSGD.93.12.th
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 13:43:12 GMT""}]","2009-10-22"
"cond-mat/9406104","Ton Coolen","A.C.C Coolen and D. Sherrington","Order Parameter Flow in the SK Spin-Glass I: Replica Symmetry","41 pages, Latex, OUTP-94-29S, 14 figures available in hardcopy",,"10.1088/0305-4470/27/23/013",,"cond-mat",,"  We present a theory to describe the dynamics of the Sherrington- Kirkpatrick
spin-glass with (sequential) Glauber dynamics in terms of deterministic flow
equations for macroscopic parameters. Two transparent assumptions allow us to
close the macroscopic laws. Replica theory enters as a tool in the calculation
of the time- dependent local field distribution. The theory produces in a
natural way dynamical generalisations of the AT- and zero-entropy lines and of
Parisi's order parameter function $P(q)$. In equilibrium we recover the
standard results from equilibrium statistical mechanics. In this paper we make
the replica-symmetric ansatz, as a first step towards calculating the order
parameter flow. Numerical simulations support our assumptions and suggest that
our equations describe the shape of the local field distribution and the
macroscopic dynamics reasonably well in the region where replica symmetry is
stable.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 14:55:02 GMT""}]","2009-10-22"
"cond-mat/9406105","Oleg Sushkov","M.Yu. Kuchiev and O. P. Sushkov","Quantum melting of the long-range antiferromagnetic order and spin-wave
  condensation in t-J-V model","REVTEX 3.0, 8 pages",,,,"cond-mat",,"  We consider two-dimensional t-J-V model. The wave function of the ground
state is constructed. We demonstrate that the doping by holes results in
condensation of the spin-waves, destruction of the long-range antiferromagnetic
order and formation of the gap in the spin-wave spectrum.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 08:34:34 GMT""}]","2007-05-23"
"cond-mat/9406106","Sasha Dotsenko","A. Dotsenko and O. Sushkov","Quantum Phase Transition in the Frustrated Heisenberg Antiferromagnet","8 pages of REVTeX 3.0, one PostScript file appended (Eq. 15
  corrected, two recent references added, + some minor changes)","PRB 50, 13821 (1994)","10.1103/PhysRevB.50.13821",,"cond-mat",,"  Using the J_1-J_2 model, we present a description of quantum phase transition
from Neel ordered to the spin-liquid state based on the modified spin wave
theory. The general expression for the gap in the spectrum in the spin-liquid
phase is presented.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 09:27:48 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jun 1994 02:35:56 GMT""}]","2009-10-22"
"gr-qc/9406045","Stephen P. Braham","Stephen P. Braham","Hypertime Formalism for Spherically Symmetric Black Holes and Wormholes","14pp, LaTeX, QMW-Maths-1994-SPB-1","Phys.Rev.D51:536-543,1995","10.1103/PhysRevD.51.536",,"gr-qc hep-th",,"  Recent work on an approach to the geometrodynamics of cylindrical gravity
waves in the presence of interacting scalar matter fields, based on the
Kucha\v{r} hypertime formalism, is extended to the analogous spherically
symmetric system. This produces a geometrodynamical formalism for spherical
black holes and wormholes in which the metric variables are divided into two
classes, dynamical and redundant. The redundant variables measure the embedding
of a spacelike hypersurface into the spacetime, and proper time in the
asymptotically flat regions. All the constraints can be explicitly solved for
the momenta conjugate to the embedding variables. The dynamical variables,
including an extra ADM mass for wormhole topologies, can then be considered as
functionals of the redundant ones, including the proper time variable. The
solution of the resulting constraint system determines the momentum conjugate
to the proper time as a function of the other variables, producing Unruh's
Hamiltonian formalism for the spherical black hole, whilst extending it to an
arbitrary foliation choice. The resulting formalism is appropriate as a
starting point for the construction of a hypertime functional Schr\""odinger
equation for quantized spherically symmetric black holes and wormholes.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 14:13:18 GMT""}]","2010-11-01"
