"astro-ph/9406071","Wayne Hu","Wayne Hu","The Nature versus Nurture of Anisotropies","25 pages including 10 figures, uuencoded tarred postscript, to appear
  in the Proceedings of the Case Western CMB Meeting, CfPA-TH-94-31",,,,"astro-ph",,"  With the rapidly growing number of cosmic microwave background measurements
on various scales, there is real hope that the number of acceptable models for
structure formation will be limited to a very few in the near future. Yet any
given model can always be saved by introducing and tuning extraneous free
parameters. To better understand this question of ``nature versus nurture'' for
temperature fluctuations, it is useful to know not only the general features of
anisotropy predictions but also their causes. Extracting the physical content
of our other works, we present here a {\it simple} account of cosmic microwave
background anisotropies on all scales. In particular, we show that analytic
approximations can trace the structure of the so-called ``Doppler peaks,''
which arise due to the {\it adiabatic} oscillations in the photon-baryon fluid.
We also show how the finite thickness of the last scattering surface and the
Silk damping mechanism can be described in a unified way by photon diffusion.
In order to present a specific example, we focus on comparing the primordial
isocurvature baryon (PIB) model with the standard cold dark matter model (CDM).
In particular, we explain why PIB generically predicts larger {\it
non}-oscillatory anisotropies from the 1$^\circ$ to 10$^\circ$ scale which may
already be in conflict with experiments.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 19:35:18 GMT""}]","2007-05-23"
"chao-dyn/9406012","Yoshihiro Taguchi","Y-h. Taguchi(Department of Physics, Tokyo Institute of Technology,
  Oh-okayama, Meguro-ku, Tokyo 152, Japan), Hideki Takayasu(Graduate School of
  Information Sciences, Tohoku University,Aoba-ku, Sendai 980-77, Japan)","Power law velocity fluctuations due to inelastic collisions in
  numerically simulated vibrated bed of powder}","7 pages, using REVTEX (Figures are inculded in text body)
  %%%Replacement due to rivision (Europhys. Lett., in press)%%%",,"10.1209/0295-5075/30/8/010","TITCMT-94-6","chao-dyn cond-mat nlin.CD",,"  Distribution functions of relative velocities among particles in a vibrated
bed of powder are studied both numerically and theoretically. In the solid
phase where granular particles remain near their local stable states, the
probability distribution is Gaussian. On the other hand, in the fluidized
phase, where the particles can exchange their positions, the distribution
clearly deviates from Gaussian. This is interpreted with two analogies;
aggregation processes and soft-to-hard turbulence transition in thermal
convection. The non-Gaussian distribution is well-approximated by the
t-distribution which is derived theoretically by considering the effect of
clustering by inelastic collisions in the former analogy.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 00:56:29 GMT""},{""version"":""v2"",""created"":""Mon, 8 May 1995 02:12:27 GMT""}]","2009-10-22"
"chao-dyn/9406013","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow, Russia and Laboratoire de
  Physique Theorique de l'Ecole Normale Superieure, 24 rue Lhomond, 75231 Paris
  Cedex 05, France)","Belavkin-Kolokoltsov watch-dog effects in interactively controlled
  stochastic computer-graphic dynamic systems","A mathematical study. 11pp, amstex [revised: 8.X.94]., (e mail:
  juriev@systud.msk.su)",,,,"chao-dyn adap-org nlin.AO nlin.CD",,"  Stochastic properties of the long time behavior of a continuously observed
(and interactively controlled) quantum--field top are investigated
mathematically. Applications to interactively controlled stochastic
computerographical dynamic systems are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 07:57:24 GMT""},{""version"":""v2"",""created"":""Fri, 29 Jul 1994 09:42:34 GMT""},{""version"":""v3"",""created"":""Thu, 22 Sep 1994 13:39:31 GMT""},{""version"":""v4"",""created"":""Sat, 8 Oct 1994 08:40:32 GMT""}]","2008-02-03"
"cond-mat/9406114","Per Arne Rikvold","C. C. A. G\""unther, P. A. Rikvold, and M. A. Novotny","Application of a constrained-transfer-matrix method to metastability in
  the $d$$=$$2$ Ising ferromagnet","27 pages (figure captions added), 15 figures available upon request,
  Latex, FSU-SCRI-94-58, submitted to Physica A","Physica A 212 (1994) 194","10.1016/0378-4371(94)90147-3",,"cond-mat",,"  Applying a numerical transfer-matrix formalism, we obtain complex-valued
constrained free energies for the two-dimensional square-lattice
nearest-neighbor Ising ferromagnet below its critical temperature and in an
external magnetic field. In particular, we study the imaginary part of the
constrained free-energy branch that corresponds to the metastable phase.
Although droplets are not introduced explicitly, the metastable free energy is
obtained in excellent agreement with field-theoretical droplet-model
predictions. The finite-size scaling properties are different in the weak-field
and intermediate-field regimes, and we identify the corresponding different
critical-droplet shapes. For intermediate fields, we show that the surface free
energy of the critical droplet is given by a Wulff construction with the
equilibrium surface tension. We also find a prefactor exponent in complete
agreement with the field-theoretical droplet model. Our results extend the
region of validity for known results of this field-theoretical droplet model,
and they indicate that this transfer-matrix approach provides a nonperturbative
numerical continuation of the equilibrium free energy into the metastable
phase.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 22:01:12 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jun 1994 15:10:32 GMT""}]","2016-08-14"
"cond-mat/9406115","Dick van der Marel","G. Rietveld, S. J. Collocot, D. van der Marel","Doping Dependence of the Chemical Potential in cuprate high T$_c$
  superconductors II: (Bi,Pb)$_{2}$Sr$_{2}$Ca$_{2}$Cu$_{3}$%
  O$_{10+\mbox{\small\protect\boldmath $\delta$}}$","6 pages, figures on request. Revtex, version 2, Materials Science
  Center Internal Report Number VSGD.94.6.3","Physica C 241 (1995), 273","10.1016/0921-4534(94)02390-5",,"cond-mat",,"  Using X-ray photoelectron spectroscopy, a systematic study is performed of
the doping dependence of the chemical potential $\mu$ in two systems of
(Bi,Pb)$_2$Sr$_2$Ca$_2$Cu$_3$O$_{10+\delta}$. The doping is varied by changing
the O content of the sample. The measured shifts of the chemical potential are
compared with present models for the doping behaviour of $\mu$ in high-$T_{\rm
c}$ materials. VSGD.94.6.3
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 07:52:13 GMT""}]","2009-10-22"
"cond-mat/9406116","Daniel Rohrlich","Daniel Rohrlich, Yakir Aharonov, Sandu Popescu, and Lev Vaidman","Negative Kinetic Energy Between Past and Future State Vectors","Talk presented at the Conference on Fundamental Problems in Quantum
  Theory, Baltimore, MD, June 1994, 10 pp, plain TeX",,"10.1111/j.1749-6632.1995.tb38982.x",,"cond-mat quant-ph",,"  An analysis of errors in measurement yields new insight into classically
forbidden quantum processes. In addition to ""physical"" values, a realistic
measurement can yield ""unphysical"" values; we show that in {\it sequences} of
measurements, the ""unphysical"" values can form a consistent pattern. An
experiment to isolate a particle in a classically forbidden region obtains a
negative value for its kinetic energy. It is the {\it weak value} of kinetic
energy between past and future state vectors.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 10:47:18 GMT""}]","2009-10-22"
"cond-mat/9406117","Leonid S. Levitov","L. S. Levitov, A. V. Shytov, and A. Yu. Yakovets","Quantum Breaking of Elastic String","8 pages, RevTeX 3.0, Landau Institute preprint 261/6438","Phys. Rev. Lett. 77, 370 (1995)","10.1103/PhysRevLett.75.370",,"cond-mat",,"  Breaking of an atomic chain under stress is a collective many-particle
tunneling phenomenon. We study classical dynamics in imaginary time by using
conformal mapping technique, and derive an analytic formula for the probability
of breaking. The result covers a broad temperature interval and interpolates
between two regimes: tunneling and thermal activation. Also, we consider the
breaking induced by an ultrasonic wave propagating in the chain, and propose to
observe it in an STM experiment.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 13:22:04 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jun 1994 14:44:16 GMT""},{""version"":""v3"",""created"":""Mon, 1 Aug 1994 17:31:23 GMT""},{""version"":""v4"",""created"":""Tue, 2 Aug 1994 14:32:53 GMT""}]","2008-04-12"
"gr-qc/9406052","Gerard Clement","Gerard Clement","Classical solutions of gravitating Chern-Simons electrodynamics","7 pages (LaTex), GCR-94/07/01",,,,"gr-qc hep-th",,"  We discuss the reduction of gravitating Chern-Simons electrodynamics with two
commuting Killing vectors to a dynamical problem with four degrees of freedom,
and present regular particle-like solutions.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 08:53:55 GMT""}]","2007-05-23"
"hep-ph/9406411",,"M. Je\.zabek","Top Quark Physics","16 pages (12 figures not included). Talk presented at DESY-Zeuthen
  Workshop on Elementary Particle Theory: ""Physics at LEP200 and Beyond"",
  Teupitz, Germany, April 1994; to appear in the proceedings, Nucl.Phys.B
  (Suppl.). Latex + espcrc2.sty. A complete postscript file, including figures,
  is available via anonymous ftp at ttpux2.physik.uni-karlsruhe.de
  (129.13.102.139) as /ttp94-09/ttp94-09.ps","Nucl.Phys.Proc.Suppl.37B:197,1994","10.1016/0920-5632(94)90677-7","Karlsruhe Univ. preprint TTP94-09","hep-ph",,"  Top quark studies at future $e^+e^-$ colliders are considered. Two issues are
discussed: {a --}Some results are presented on the decays of top quarks. Energy
distributions of charged leptons and neutrinos in $t\to bW\to be^+\nu$ and jets
in $t\to bW\to b\bar du$ decays are sensitive to the structure of $tbW$ vertex.
Distributions of charged leptons from top decays are particularly useful in
polarization studies whereas neutrinos are sensitive to deviations from the
Standard Model. {b --}Recent calculations are reviewed on the top quark pair
production in $e^+e^-$ annihilation. The differential cross sections in the
threshold region can lead to an accurate determination of the top quark mass
and the interquark potential. The effects of the top-Higgs Yukawa coupling and
some higher order QCD corrections are also under control.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 16:09:00 GMT""}]","2014-11-17"
"hep-ph/9406413",,"M. S. Berger and M. S. Chanowitz","Strong WW Scattering at Photon Linear Colliders","13 pages including 6 figures (uuencoded), some rewording to the text,
  LBL-35746, MAD/PH/837","Nucl.Instrum.Meth.A355:52-56,1995","10.1016/0168-9002(94)01177-X",,"hep-ph",,"  We investigate the possibility of observing strong interactions of
longitudinally polarized weak vector bosons in the process $\gamma \gamma \to
ZZ$ at a photon linear collider. We make use of polarization of the photon
beams and cuts on the decay products of the $Z$ bosons to enhance the signal
relative to the background of transversely polarized $ZZ$ pairs. We find that
the background overwhelms the signal unless there are strong resonant effects,
as for instance from a technicolor analogue of the hadronic $f_2(1270)$ meson.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 18:06:46 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jun 1994 16:49:36 GMT""}]","2014-11-17"
"hep-ph/9406414",,"Manuel Drees","Minijets in gamma p and gamma gamma collisions","8 pages plus 5 figs (not included, available on request), LaTeX with
  equation.sty; talk presented at the meeting on Two-Photon Physics at LEP and
  HERA, Lund, May 1994; MAD/PH/841",,,,"hep-ph",,"  I discuss the minijet contribution to total photoproduction and
photon--photon cross sections. While minijets with $p_T$ around 2 GeV have
recently been observed directly in \gamgam\ experiments, the total \gamp\ cross
section measured at HERA is in excellent agreement with predictions based on
purely soft physics. Due to the large number of free parameters, predictions
for the minijet contribution to total cross sections can be brought into
agreement with these seemingly paradoxical observations. However, the currently
used eikonalization procedure may not be applicable at all to a large part of
the minijet contribution, making it very difficult to draw definite conclusions
at present.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 21:33:00 GMT""}]","2009-09-25"
