"adap-org/9407001","Kunihiko Kaneko","Kunihiko Kaneko (University of Tokyo) Ichiro Tsuda (Hokkaido
  University)","Constructive Complexity and Artificial Reality: An Introduction","11 pages; Physica D, in press",,"10.1016/0167-2789(94)90272-0",,"adap-org nlin.AO",,"  Basic problems of complex systems are outlined with an emphasis on
irreducibility and dynamic many-to-many correspondences. We discuss the
importance of a constructive approach to artificial reality and the
significance of an internal observer.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 01:05:49 GMT""}]","2009-10-22"
"astro-ph/9407018",,"F. Governato, M. Colpi and L. Maraschi","The fate of central black holes in merging galaxies","7 pages (4 figures included), uuencoded tared postscript file,
  accepted to the MNRAS, 1 additional figure available upon request from
  governato@roma2.infn.it","Mon.Not.Roy.Astron.Soc. 271 (1994) 317","10.1093/mnras/271.2.317",,"astro-ph",,"  This paper presents results of a series of numerical N-body experiments that
describe the merging of galaxy pairs containing a massive black hole in their
core. The aim is to study the orbital evolution of the two black holes through
the merger event. It is found that merging does NOT lead to the formation of a
CLOSE black hole pair} at the center of the remnant when the two progenitor
galaxies have (1) similar masses, (2) different central densities, and (3)
relative orbit with non zero angular momentum. Under these conditions, the
central black hole of the less dense galaxy settles into an wide orbit, i.e.,
at a distance from the center comparable to the half mass radius of the
remnant, where the time scale for orbital decay by dynamical friction can be
several Gyrs. The implications of this result are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 20:08:00 GMT""}]","2015-06-24"
"astro-ph/9407019","Dimitar D. Sasselov","Dimitar D. Sasselov and Dalia Goldwirth","New Bounds on Omega Baryons from Observational Big Bang Nucleosynthesis","11 pages of uuencoded compressed PostScript with 2 figures",,,,"astro-ph",,"  We re-examine the systematic errors in the determination of the primordial
helium abundance, $Y_{\rm P}$. We find that the systematics are significantly
larger than the statistical errors. The uncertainty in (the determination of)
$Y_{\rm P}$, is thus, larger than is currently claimed. Furthermore, most of
the systematics lead to underestimate of $Y_{\rm P}$. The new upper bound
allows cosmological models with no non-baryonic dark matter in which
$\Omega_{baryons} = \Omega_{BBN} = \Omega_{dyn}$.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 06:15:11 GMT""}]","2009-09-25"
"astro-ph/9407020","Hanno Sponholz","H. Sponholz and D. Molteni","Steady state shocks in accretion disks around a Kerr black hole","9 pages (figures included) self-extracting compressed PostScript, in
  press (MNRAS)",,"10.1093/mnras/271.1.233",,"astro-ph gr-qc",,"  Results of numerical simulations of shock solutions in a geometrical thin
accretion disk around a Kerr black hole (BH) are presented. Using the smoothed
particle hydrodynamics (SPH) technique, the influence of the central object is
included by means of an effective potential, We first present the theory of
standing shock formation in accretion disks around a Kerr black hole, and show
that the results of our numerical simulation agree very well with the
theoretical results. We find that the shocks in an inviscid flow are very
stable. We also remove the ambiguity prevalent regarding the location and
stability of shocks in adiabatic flows. Finally we sketch some of the
astrophysical consequences of our findings in relation to accretion disks in
Active Galactic Nuclei (AGN) and Quasars.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 12:56:15 GMT""}]","2015-06-24"
"astro-ph/9407021",,"Edward W Kolb, Mark Abney, Edmund J Copeland, Andrew R Liddle and
  James E Lidsey","Reconstructing the Inflaton Potential","13 pages, uuencoded postscript file with figures included (LaTeX file
  available from ARL), FERMILAB-Conf 94/189A",,,,"astro-ph",,"  A review is presented of recent work by the authors concerning the use of
large scale structure and microwave background anisotropy data to determine the
potential of the inflaton field. The importance of a detection of the
stochastic gravitational wave background is emphasised, and some preliminary
new results of tests of the method on simulated data sets with uncertainties
are described. (Proceedings of ``Unified Symmetry in the Small and in the
Large'', Coral Gables, 1994)
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 13:54:00 GMT""}]","2007-05-23"
"astro-ph/9407022",,"E.Brocato, V.Castellani, V.Ripepi","Bright Stars in the Galactic Globular M5","16 pages, Standard TeX, 4 figures available upon request from
  brocato@astrte.te.astro.it","Astron.J. 109 (1995) 1670-1675","10.1086/117394",,"astro-ph",,"  We present a CCD investigation of the galactic globular M5 aimed to increase
the statistical relevance of the available sample of evolving bright stars.
Previous investigations, limited to the outer cluster region, have been
extended toward the cluster center, more than doubling the number of observed
luminous stars. On this basis, we discuss a statistically relevant sample, rich
of 415 HB stars. The occurrence of a gap in the blue side of the HB is
suggested. Comparison to the current evolutionary scenario discloses a good
agreement concerning both the C-M diagram location and the relative abundance
of stars in the advanced evolutionary phases, supporting our present knowledge
of the evolution of low mass stars. Determination of the amount of the original
helium content through the ratio R N(HB)/N(RGB) gives $Y = 0.22 \pm 0.02$.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 13:08:49 GMT""}]","2009-10-22"
"chao-dyn/9407002","Kunihiko Kaneko","Kunihiko Kaneko (University of Tokyo)","Remarks on the mean field dynamics of networks of chaotic elements","15 pages; original has 15 figures which are not included here.
  Submitted to the special issue of Physica D as the proceedings for ""Gran
  Finale""",,"10.1016/0167-2789(95)00097-N",,"chao-dyn nlin.CD",,"  Fluctuations of the mean field of a globally coupled dynamical systems are
discussed. The origin of hidden coherence is related with the instability of
the fixed point solution of the self-consistent Perron-Frobenius equation.
Collective dynamics in globally coupled tent maps are re-examined, both with
the help of direct simulation and the Perron-Frobenius equation. Collective
chaos in a single band state, and bifurcation against initial conditions in a
two-band state are clarified with the return maps of the mean-field, Lyapunov
spectra, and also the newly introduced Lyapunov exponent for the
Perron-Frobenius equation. Future problems on the collective dynamics are
discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 00:57:49 GMT""}]","2015-06-24"
"cond-mat/9407032","Ignacio Pagonabarraga","I.Pagonabarraga and M.Rubi (Departament de Fisica Fonamental,
  Universitat de Barcelona)","Influence of Hydrodynamic Interactions on the Adsorption Process of
  Large Particles","10 pages, LaTeX. 4 Figures upon request",,"10.1103/PhysRevLett.73.114",,"cond-mat",,"  We have studied the adsorption process of non-Brownian particles on a line
incorporating hydrodynamic interactionsa and we have numerically analyzed their
effect on typical relevant quantities. We compare our model to the ballistic
deposition model (BM) and address the limitations of BM in experimental
situations. The results obtained can explain some differences observed between
recent experiments and BM predictions.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 16:40:57 GMT""}]","2009-10-22"
"cond-mat/9407034",,"Dinko Cule and Yonathan Shapir","Scaling Phenomena in a Unitary Model of Directed Propagating Waves with
  Applications to One-Dimensional Electrons in a Time-Varying Potential","33 pages-RevTeX. Figs. available u. request. URCM/1",,"10.1103/PhysRevB.50.5119",,"cond-mat",,"  We study a 2D lattice model of forward-directed waves in which the integrated
intensity for classical waves (or probability for quantum mechanical particles)
is conserved. The model describes the time evolution of 1D quantum particle in
a time-varying potential and also applies to propagation of electromagnetic
waves in two dimensions within the parabolic approximation. We present a closed
form solution for propagation in a uniform system. Motivated by recent studies
of non-unitary directed models for localized 2D electrons tunneling in a
magnetic field, we then address related theoretical questions of how the
interference pattern between constrained-forward paths in this unitary model is
affected by the addition of phases corresponding to such a magnetic field. The
behavior is found to depend sensitively on the value of $\Phi/\Phi_{0}$, where
$\Phi$ is flux per plaquette and $\Phi_{0}$ is the unit of flux quantum. For
$\Phi/\Phi_{0} = p/q$ we find the amplitude to be more collimated the larger is
the value of $q$. We next consider propagation in a random forward scattering
media. In particular the scaling properties associated with the transverse
width $x$ of the wave, as function of its distance $t$ from point source, are
addressed. We find the moments of $x$ to scale with $t$ in a very different way
from what is known for either off-lattice unitary or on-lattice non-unitary
systems. The scaling of the moments of the probability $[P^{n}(x,t)]$ (or
intensity) at a point $(x=0,t)$ is found to be consistent with a simple
behavior $[P^{n}(0,t)] \sim t^{-\frac{n}{2}}$. Implications to the behavior of
one-dimensional lattice quantum particles in a dynamically fluctuating
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 19:13:00 GMT""}]","2009-10-22"
"cond-mat/9407035","Olivier Klein","O. Klein, C. de C. Chamon, D. Tang, D.M. Abusch-Magder, X.-G. Wen,
  M.A. Kastner, and S.J. Wind","Conductance of an Artificial Atom in Strong Magnetic Fields","10 pages-RevTeX, 4 Figs. available u. request; MIT-Kastner-SET/9407",,,,"cond-mat",,"  The conductance resulting from resonant tunneling through a droplet of $N
\sim 30$ electrons is used to measure its chemical potential $\mu_N$. Abrupt
shifts of $\mu_N$ occur at sharply defined values of the magnetic field, at
which the state of the droplet changes. These are used to study part of the
phase-diagram of the droplet in strong magnetic fields; we find evidence for a
new phase in the spin polarized regime. We make a detailed comparison between
theory and experiment: Hartree-Fock provides a quantitative description of the
measurements when both spin-split states of the lowest orbital Landau level are
occupied and a qualitative one in the spin polarized regime.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 19:14:41 GMT""}]","2007-05-23"
"cond-mat/9407036","Koichi Kusakabe","K. Kusakabe and H. Aoki","Scaling properties of the ferromagnetic state in the Hubbard model","10 pages, typeset in LATEX, KA-94-01, 3 figures available upon
  request at kabe@issp.u-tokyo.ac.jp",,"10.1103/PhysRevB.50.12991",,"cond-mat",,"  A numerical scaling analysis is used to show that Nagaoka's ferromagnetic
state in two-dimensional Hubbard model with one hole is supersede by an
antiferromagnetic (AF) state with a discontinuous jump in the total spin due to
the AF coupling as the Hubbard $U$ is made finite. The same applies to the
two-hole system, which has a spiral spin structure. We can show, via the
scaling, that the crossover to an AF state is a precursor of a pathological
coalescence of states having the minimum spin and Nagaoka's state at $U=\infty$
in the thermodynamic limit.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 09:42:45 GMT""}]","2009-10-22"
"cond-mat/9407037",,"A. P. Protogenov, Yu. V. Rostovtsev, and V. A. Verbus","Quantum Group Random Walks in Strongly Correlated $2+1$ $D$ Spin Systems",,,,,"cond-mat hep-th",,"  We consider the temporal evolution of strong correlated degrees of freedom in
$2+1$~$D$ spin systems using the Wilson operator eigenvalues as variables. It
is shown that the quantum-group diffusion equation at deformation parameter $q$
being the $k$-th root of unity has the polynomial solution of degree $k$.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 10:39:35 GMT""}]","2007-05-23"
"hep-ex/9407001",,"B. Schwingenheuer","CPT Tests in the Neutral Kaon System by FNAL E773","9 pages, EFI 94-31 (replaced postscript file by uuencoded compressed
  postscript file)",,"10.1063/1.48529",,"hep-ex",,"  The FNAL experiment E773 has measured the phases Phi_{+-} = (43.35 +- 0.70 +-
0.79) degree and Phi_{00}-Phi_{+-} = (0.67 +- 0.85 +- 1.1) degree of the CP
violating parameters eta_{+-} and eta_{00} in the decay of neutral kaons into
two charged or neutral pions. These preliminary results test CPT symmetry and
show no evidence for a violation. In addition we present a preliminary
measurement of Delta m = m_L - m_S = (0.5286 +- 0.0029 +- 0.0022)*E+10 hbar/sec
and tau_S = (0.8929 +- 0.0014 +- 0.0014)*E-10 sec. The first errors are
statistical and the second errors are systematic for above results.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 18:40:43 GMT""}]","2009-10-22"
"hep-ex/9407002","Bob Jacobsen","Bob Jacobsen","Top Mass from Electroweak Measurements","8 pages, 330K uufiled Postscript, preprint CERN-PPE/94-97",,,,"hep-ex",,"  The electroweak measurements made at LEP using 1989-1993 data are presented
in preliminary form. The agreement with the Standard Model is satisfactory, and
allows a combined fit to all available data for the masses of the top quark and
standard Higgs boson. The fit yields M_t = 177 +11 -11 +18 -19 GeV/c2, where
the second error reflects the uncertainty in the Higgs mass.
  Talk given at the XXIXth Rencontre de Moriond, `QCD and High Energy Hadronic
Interactions', March 1994, Meribel France
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 18:36:39 GMT""}]","2007-05-23"
"hep-ph/9407236","Leonid Avdeev","M.V.Chizhov","New Tensor Interactions in $\mu$ Decay","7 pages, LaTeX, JINR preprint E2-94-254, Dubna, July 1994","Mod.Phys.Lett. A9 (1994) 2979-2986","10.1142/S0217732394002811",,"hep-ph",,"  The most general form of the hamiltonian for the muon decay is presented. We
assume that it arises as a result of the exchange of intermediate bosons with a
momentum $q$ and naturally should depend on this momentum. That allows us to
introduce two additional coupling constants for the tensor interactions which
give rise to new parameters in the energy spectrum of positrons. The
experimental consequences of such a generalization are discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 16:10:56 GMT""}]","2015-06-25"
"hep-ph/9407242",,"I.I.Bigi","Beauty Physics in the Next 15 Years -- an Itinerary for a Long Journey
  towards an Essential Goal","CERN-TH.7282/94, Theory Review talk given at Beauty '94, Le Mont
  Saint Michel, France, April 1994, to appear in the Proceedings, 12 pages in
  LaTeX style, two figures available from author on request","Nucl.Instrum.Meth.A351:240-247,1994","10.1016/0168-9002(94)91087-1",,"hep-ph",,"  After re-stating why beauty physics is so special and sketching its present
status I attempt to map out an itinerary for the next fifteen years. The basic
elements are listed for a research program that allows to define and probe the
KM unitarity triangle in a manner where the numerical uncertainties are reduced
to the few percent level. Dedicated experiments at the LHC will be essential in
exploiting the discovery guarantee in beauty physics to the fullest. This paper
is dedicated to Prof. H. Kastrup on the occasion of his 60th birthday. I have
spent five years at his institute at the RWTH Aachen and I truly enjoyed the
stimulating atmosphere he created by encouraging intellectual exchange
unimpeded by hierarchical privileges.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 18:44:01 GMT""}]","2010-11-01"
