"alg-geom/9407005","Yu. I. Manin","Yu. I. Manin","Generating Functions in Algebraic Geometry and Sums over Trees","15 pages. AMS-Tex",,,,"alg-geom math.AG",,"  We calculate generating functions for the Poincare polynomials of moduli
spaces of pointed curves of genus zero and of Configuration Spaces of Fulton
and MacPherson. We also prove that contributions of multiple coverings of
curves in a Calabi-Yau threefold calculated via Kontsevich's compactification
coincide with the prediction of Candelas et al., and Aspinwall and Morrison.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 13:20:50 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jul 1994 14:28:40 GMT""}]","2008-02-03"
"astro-ph/9407030","Alberto Bolatto","A.D. Bolatto and E.E. Falco","The detectability of planetary companions of compact galactic objects
  from their effects on microlensed lightcurves of distant stars","11 pages, Format: compressed and uuencoded Poscript file (for
  recovering the original Poscript file run first ""uudecode filename"" where
  'filename' is the name you gave to the file where you stored this message,
  then ""uncompress companion.ps.Z"". A file named 'companion.ps' will appear. In
  case of problem please contact bolatto@bu.edu), Harvard-Smithsonian Center
  for Astrophysics preprint# 3891 (to appear in The Astrophysical Journal of
  November 20, 1994)",,"10.1086/174885",,"astro-ph",,"  We discuss a possible method for detection of dark companions of galactic
objects of stellar mass. Such binary systems are likely to occur in the
galactic disk and possibly also in the halo. The high incidence of binary and
higher-multiplicity systems in the solar neighborhood, if indicative of the
galactic disk at large, implies that current searches for the gravitational
microlensing signature of massive compact objects in our galaxy would yield a
significant fraction of binary systems. Our calculations suggest that 40% of
the lightcurves that will be obtained in such searches may be sufficiently
perturbed to reveal, if sufficiently well-sampled, the presence of a compact
dark companion of Jovian mass orbiting a primary. The likelihood of occurrence
of perturbed lightcurves must also be taken into account by systematic search
programs, to improve their event detection efficiency. The statistics of
perturbed lensing events, if carefully interpreted, could yield estimates of
the incidence of binary systems with low mass ratios, including that of systems
with planets.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 18:13:59 GMT""}]","2009-10-22"
"astro-ph/9407031","Dale Frail","D. A. Frail, W. M. Goss, and J. B. Z. Whiteoak","The Radio Lifetime of Supernova Remnants and the Distribution of Pulsar
  Velocities at Birth","(apJ accepted). uuencoded, compressed postscript file. 23 pages.
  Hardcopies of figures and table available on request from dfrail@nrao.edu",,"10.1086/175038",,"astro-ph",,"  We have made VLA images of the fields around three young pulsars which have
resulted in the discovery of two new supernova remnants and confirmation of a
third. We argue that, in at least two cases and perhaps the third, the pulsars
are physically associated with these supernova remnants. A review of all known
young pulsars shows that the majority are associated with supernova remnants.
We show that the typical density of the interstellar medium into which the
supernova remnants are evolving has a density of 0.2 cm$^{-3}$ instead of the
low value of 0.01 cm$^{-3}$ which had been calculated from other studies, and
results in a considerably longer radio lifetime for supernova remnants. Both
the morphology of the supernova remnants and the location of the pulsars imply
that most of these young pulsars are born with large transverse velocities
($\sim$500 km s$^{-1}$). This high velocity mean in the distribution of pulsar
velocities appears to be a general property of the pulsar population at birth,
not seen in proper motion studies, due to selection effects. We explore the
implications of this result as it relates to the origin of these velocities and
the galactic distribution of pulsars. High velocity pulsars can escape their
supernova remnant in a very short timescale, comparable to the lifetime of the
remnant and may even play a role in extending the observable radio lifetime of
the remnant. A significant fraction will be capable of escaping the disk of the
Galaxy, producing an extended halo population.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 20:47:48 GMT""},{""version"":""v2"",""created"":""Tue, 12 Jul 1994 15:12:22 GMT""}]","2009-10-22"
"astro-ph/9407032","Carolin Seitz","Peter Schneider and Carolin Seitz","Steps towards Nonlinear Cluster Inversion Through Gravitational
  Distortions. I. Basic Considerations and Circular Clusters","38 pages, (uuencoded postscript file including figures)",,,,"astro-ph",,"  The distortion of images of faint, high-redshift galaxies by light deflection
at foreground clusters of galaxies can be used to determine the (projected)
mass distribution of the clusters. In the case of strong distortions, which
lead to arcs in clusters, the position of the arc and/or its radius of
curvature yields an estimate for the total mass inside a circle traced out by
the arc. Weak distortions, which can be observed to much larger angular
separations, can be used to determine the mass profile. In the case of weak
distortions, an approximation which identifies the observed distortion with the
shear produced by the lens can be made; this (linear) approximation breaks
down, however, if one wants to probe the center of the cluster, i.e., approach
the region within which giant arcs can be formed. The methods developed
hitherto, the most advanced of which is due to Kaiser \& Squires, rely on the
linear approximation and thus cannot yield reliable results for regions close
to the center of the cluster. The purpose of this paper is to provide a
theoretical basis to extend the Kaiser \& Squires method into the nonlinear
regime, thereby making it more powerful, since the nonlinear distortions
provide strong constraints on the mass profile, which in combination with the
weak distortions should yield more reliable cluster inversions. We discuss the
statistical properties of the observable image ellipticities and provide
several methods to determine the local distortion by the lens from observed
galaxy images, some of which rely
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 06:31:59 GMT""}]","2007-05-23"
"astro-ph/9407033","Gustavo Yepes","G. Yepes, A. Klypin, A. Campos and R. Fong","The Angular Correlation Function of Galaxies in CDM and CHDM Models","8 pages, uuencoded compressed Postscript file with 3 figures included
  (170K). To appear in ApJ (Letters). Also available by anonymous ftp from
  astrohp.ft.uam.es in /pub/preprints/wtheta/wtheta.ps",,,,"astro-ph",,"  We estimate the angular correlation function for the standard CDM, tilted
$n=0.7$ CDM and hybrid (CHDM) models, and compare with observations. When
compared with the APM observational results scaled to the Lick depth, there
appears to be fair agreement with the estimate from the CHDM model. But a more
detailed comparison using the unscaled APM data for the five magnitude slices
with $\Delta b_j=0.5$ shows that, in fact, none of the models can actually fit
w(theta) for all the slices simultaneously.
  As $n=0.7$ tilted CDM and SCDM bracket all possible tilted models, we
conclude that none of the tilted models is consistent with the APM results.
With CHDM, a \wtheta amplitude that is 30\%--40\% too high on scales $\theta <
0.\deg 5$ is predicted for the deepest slices ($b_j\approx 20$). We find that
no reasonable simple variation of the parameters for the luminosity function or
for the evolution of the correlation function with redshift could change the
situation. Thus, the discrepancy between the APM data and the CHDM model,
though small, seems to be real.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:33:58 GMT""}]","2007-05-23"
"cond-mat/9407051","Ronald Dickman","Ronald Dickman","Numerical Study of a Field Theory for Directed Percolation","18 pages, LaTeX, 6 figures available upon request LC-CM-94-002",,"10.1103/PhysRevE.50.4404",,"cond-mat",,"  A numerical method is devised for study of stochastic partial differential
equations describing directed percolation, the contact process, and other
models with a continuous transition to an absorbing state. Owing to the
heightened sensitivity to fluctuationsattending multiplicative noise in the
vicinity of an absorbing state, a useful method requires discretization of the
field variable as well as of space and time. When applied to the field theory
for directed percolation in 1+1 dimensions, the method yields critical
exponents which compare well against accepted values.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 02:30:00 GMT""}]","2009-10-22"
"cond-mat/9407052","Nobuo Furukawa","Nobuo Furukawa","Transport Properties of the Kondo Lattice Model in the Limit $S=\infty$
  and $D=\infty$","8 pages, 2 PS figures at the end, LaTeX, ISSP Tech.Rep. No. 2840","J. Phys. Soc. Jpn. 63 (1994) 3214","10.1143/JPSJ.63.3214",,"cond-mat",,"  The Kondo lattice model with Hund's ferromagnetic spin coupling is
investigated as a microscopic model of the perovskite-type 3d transition-metal
oxide La$_{1-x}$Sr$_x$MnO$_3$. In the classical spin limit $S=\infty$ and the
infinite-dimensional limit $D=\infty$, the one-body Green's function is
calculated exactly. Transport properties of the system in the presence of
magnetic fields are calculated. The giant magnetoresistance of this model,
which is in a good agreement with the experimental data of
La$_{1-x}$Sr$_x$MnO$_3$, is explained by the spin disorder scattering process.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 07:29:55 GMT""}]","2009-10-22"
"cond-mat/9407053",,"Giulia Galli and Francesco Mauri","Large scale quantum simulations: C_60 impacts on a semiconducting
  surface",,,"10.1103/PhysRevLett.73.3471",,"cond-mat",,"  We present tight binding molecular dynamics simulations of C_60 collisions on
the reconstructed diamond(111) surface, carried out with an O(N) method and
with cells containing 1140 atoms. The results of our simulations are in very
good agreement with experiments performed under the same impact conditions.
Furthermore our calculations provide a detailed characterization of the
microscopic processes occuring during the collision, and allow the
identification of three impact regimes, as a function of the fullerene incident
energy. Finally, the study of the reactivity between the cluster and the
surface gives insight into the deposition mechanisms of C_60 on semiconducting
substrates.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 11:16:00 GMT""}]","2016-08-31"
"cond-mat/9407054","Roman Mints","R.G. Mints and I.B. Snapiro","Josephson Vortex Bloch Oscillations: Single Pair Tunneling Effect","7 pages, 2 figures included as postscript files, LaTeX","Europhys. Lett. 28, 357 (1994)","10.1209/0295-5075/28/5/011",,"cond-mat",,"  We consider the Josephson vortex motion in a long one--dimensional Josephson
junction in a thin film. We show that this Josephson vortex is similar to a
mesoscopic capacitor. We demonstrate that a single Cooper pair tunneling
results in nonlinear Bloch--type oscillations of a Josephson vortex in a
current-biased Josephson junction. We find the frequency and the amplitude of
this motion.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 11:43:23 GMT""},{""version"":""v2"",""created"":""Thu, 14 Jul 1994 12:28:59 GMT""}]","2009-10-22"
"cond-mat/9407055","R. Bursill","R. J. Bursill (Department of Physics, University of Sheffield,
  Sheffield, S3 7RH, UK)","One Dimensional Continuum Falicov-Kimball Model in the Strongly
  Correlated Limit","17 pages, Standard Latex File (UUencoded Postscript file of figures
  available upon request. To appear in physica A) MELB-MATHS-PP-1096783, email:
  r.bursill@sheffield.ac.uk","Physica A 206 (1994) 521-543","10.1016/0378-4371(94)90322-0",,"cond-mat hep-lat",,"  In this paper we study the thermodynamics of the one dimensional continuum
analogue of the Falicov-Kimball model in the strongly correlated limit using a
method developed by Salsburg, Zwanzig and Kirkwood for the Takahashi gas. In
the ground state it is found that the $f$ electrons form a cluster. The effect
of including a Takahashi repulsion between $f$ particles is also studied where
it is found that as the repulsion is increased the ground state $f$ electron
configuration changes discontinuously from the clustered configuration to a
homogeneous or equal spaced configuration analogous to the checkerboard
configuration which arises in the lattice Falicov-Kimball model.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 12:46:20 GMT""}]","2009-10-22"
"cond-mat/9407056",,"Wolfdieter Lang","Fibonacci Chain Polynomials: Identities from Self-Similarity","6 pages LATEX including 1 fig., KA-TP-2-94 ""Harmonic Oscillators II""
  talk, Cocoyoc, M\'exico, March 23-25, 1994",,,,"cond-mat",,"  Fibonacci chains are special diatomic, harmonic chains with uniform nearest
neighbour interaction and two kinds of atoms (mass-ratio $r$) arranged
according to the self-similar binary Fibonacci sequence $ABAABABA...$, which is
obtained by repeated substitution of $A \to AB$ and $B \to A$. The implications
of the self-similarity of this sequence for the associated orthogonal
polynomial system which govern these Fibonacci chains with fixed mass-ratio $r$
are studied.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:25:00 GMT""}]","2007-05-23"
