"alg-geom/9407011","Clint McCrory","Clint McCrory and Adam Parusinski","Complex monodromy and the topology of real algebraic sets","17 pages, AMSppt, University of Sydney Pure Mathematics Research
  Reports (1994)",,,,"alg-geom math.AG",,"  We study the Euler characteristic of the real Milnor fibres of a real
analytic map, using a relation between complex monodromy and complex
conjugation. We deduce the result of Coste and Kurdyka that the Euler
characteristic of the link of an irreducible algebraic subset of a real
algebraic set is generically constant modulo 4. We generalize this result to
iterated links of ordered families of algebraic subsets.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 22:15:10 GMT""}]","2008-02-03"
"astro-ph/9407055","Edward L. Wright","E. L. Wright, P. E. Eisenhardt and G. G. Fazio","Studying Starlight from Distant Galaxies with SIRTF","poster paper presented at the June 1994 AAS meeting, 3 pages LaTex
  using aaspp.sty with appended color Postscript, GIF and JPEG figures, (330
  kbytes) UCLA-ASTRO-ELW-94-03",,,,"astro-ph",,"  Starlight from distant galaxies ($z > 3$) is redshifted into the near
infrared band with observed wavelengths from 2-8 $\mu$m. Most of the light is
emitted by stars that have a peak emission at the 1.6 $\mu$m wavelength of the
minimum of the H$^-$ opacity. We present simulated images of galaxy and star
fields at 3, 4.7 and 8 $\mu$m, using the expected performance of the infrared
camera on the Space InfraRed Telescope Facility (SIRTF). Standard astronomical
image processing tools are used to locate sources, distinguish stars from
galaxies, and create color-magnitude and color-color diagrams for the galaxies.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 05:00:31 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 00:52:22 GMT""}]","2008-02-03"
"astro-ph/9407056","Edward L. Wright","Edward L. Wright","COBE Tutorial and Recent Results","Lecture notes from the BCSPIN Winter school in January 1993. 21 pages
  of LaTex using epsf.sty, uuencoded compressed tarred Postscript figures
  appended [272 kBytes], UCLA-ASTRO-ELW-93-01",,,,"astro-ph",,"  Some of the technical details involved in taking and analyzing data from COBE
are discussed, and recent results from the FIRAS and DMR experiments are
summarized. Some of the cosmological implications of these recent data are
presented.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 05:45:40 GMT""}]","2007-05-23"
"astro-ph/9407057",,"V.Castellani, S. Degl'Innocenti and L. Pulone","The Hot End of Evolutionary Horizontal Branches","postscript file of 10 pages plus 1 tables,rep.1 5 figures will be
  added later as postscript file The tex file and the other two not postscript
  figures are available upon request at scilla@vaxfe.fe.infn.it, rep.1",,"10.1086/175780",,"astro-ph",,"  In this paper we investigate the hot end of the HB, presenting evolutionary
constraints concerning the CM diagram location and the gravity of hot HB stars.
According to the adopted evolutionary scenario, we predict an upper limit for
HB temperatures of about logTe = 4.45, remarkably cooler than previous
estimates. We find that such a theoretical prescription appears in good
agreement with available observational data concerning both stellar
temperatures and gravities.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 08:00:29 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 12:43:25 GMT""}]","2009-10-22"
"astro-ph/9407058",,"F. Caputo, S. Degl'Innocent","HB Morphology and Age Indicators for Metal-Poor Stellar Systems with Age
  in the Range of 1 to 20 Gyr","postscript file of 19 pages plus 8 tables,rep. 2, The tex file and
  the 18 not postscript figures are available upon request at
  scilla@vaxfe.fe.infn.it,rep. 2","Astron.Astrophys. 298 (1995) 833-842",,,"astro-ph",,"  Isochrone computations and horizontal branch (HB) models for Y(MS)=0.23 and
two values of Z (0.0001, 0.0004)are used to derive constraints on the age
indicators and HB morphology of metal-poor clusters with age t (in Gyrs) in the
range of 1< t < 20.It is found that for fixed metallicity the luminosity
L(3.83) of the zero age horizontalbranch (ZAHB) at the RR Lyrae gap depends on
age and that the difference in visual magnitude between main sequence turn-off
(TO) and ZAHB may be calibrated in terms of age and metallicity. The results of
synthetic HB computations show that at fixed metallicity the mean luminosity of
RR Lyraes depends on HB morphology, as well as that the mean luminosity of
purely red horizontal branches depends on the age and amount of mass loss
during the red giant phase.
  Such features should be properly taken into account when the cluster age is
derived from the observed difference in magnitude between main sequence TO and
actual horizontal branch (rather than ZAHB). Moreover, it is shown that the
observed HB morphology provides us with an easy estimate of the upper limit of
the cluster age. Some useful constraints to the cluster metallicity could be
also derived.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 08:03:05 GMT""}]","2007-05-23"
"astro-ph/9407059","David Weinberg","Lars Hernquist, Neal Katz, and David Weinberg","Physically Detached ""Compact Groups""","18 pp of uu-postscript w/ figs, replaced because of apparent
  transmission error in original; submitted to ApJ, preprint IASSNS-AST 94/38","Astrophys.J. 442 (1995) 57","10.1086/175421",,"astro-ph",,"  A small fraction of galaxies appear to reside in dense compact groups, whose
inferred crossing times are much shorter than a Hubble time. These short
crossing times have led to considerable disagreement about the dynamical state
of these systems. We suggest that many of the observed groups are not
physically bound but are chance projections of galaxies well-separated along
the line of sight. Unlike earlier similar proposals, ours does not require that
the galaxies in the compact group be members of a more diffuse, but physically
bound entity. The probability of physically separated galaxies projecting into
an apparent compact group is non-negligible if most galaxies are distributed,
as observed, in thin filaments. We illustrate this general point with a
specific example: a simulation of a cold dark matter universe, in which
hydrodynamic effects are included to identify galaxies. The simulated galaxy
distribution is filamentary, and end-on views of these filaments produce
apparent galaxy associations that have sizes and velocity dispersions similar
to those of observed compact groups. The frequency of such projections can
explain the observed space-density of groups in the Hickson catalog. We discuss
the implications of our proposal for the formation and evolution of groups and
elliptical galaxies. The proposal can be tested by using redshift-independent
distance estimators to measure the line-of-sight spatial extent of nearby
compact groups.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 13:17:54 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 16:27:43 GMT""}]","2009-10-22"
"chao-dyn/9407006","Gregory J. Chaitin","G.J. Chaitin (IBM Research Division)","The Limits of Mathematics---Third Version","239 pages, LaTeX, ignore numerous Overfull hbox too wide errors",,,,"chao-dyn nlin.CD",,"  This is yet another version of the course notes in chao-dyn/9407003. Here we
change the universal Turing machine that is used to measure program-size
complexity so that the constants in our information-theoretic incompleteness
theorems are further reduced. This is done by inventing a more complicated
version of lisp in which the parentheses associating defined functions with
their arguments can be omitted. This is the third and last version of my course
notes. It is not clear to me which is to be preferred, so all three have been
made available for comment.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 02:26:15 GMT""}]","2008-02-03"
"cond-mat/9407082","Alan Middleton","A. Alan Middleton and Chao Tang","Self-Organized Criticality in Non-conserved Systems","11 pages, 4 separate figures, REVTEX",,"10.1103/PhysRevLett.74.742",,"cond-mat",,"  The origin of self-organized criticality in a model without conservation law
(Olami, Feder, and Christensen, Phys. Rev. Lett. {\bf 68}, 1244 (1992)) is
studied. The homogeneous system with periodic boundary condition is found to be
periodic and neutrally stable. A change to open boundaries results in the
invasion of the interior by a ``self-organized'' region. The mechanism for the
self-organization is closely related to the synchronization or phase-locking of
the individual elements with each other. A simplified model of marginal
oscillator locking on a directed lattice is used to explain many of the
features in the non-conserved model: in particular, the dependence of the
avalanche-distribution exponent on the conservation parameter $\alpha$ is
examined.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 18:49:36 GMT""}]","2009-10-22"
"cond-mat/9407083","Ming-Che Chang","M.C.Chang and Q.Niu","Electron Band Structure in a Two Dimensional Periodic Magnetic Field","16 pages in TeX and 5 uuencoded figures","Phy. Rev. B50, 10843 (94)","10.1103/PhysRevB.50.10843",,"cond-mat",,"  In this paper we study the energy spectrum of a two dimensional electron gas
(2DEG) in a two dimensional periodic magnetic field. Both a square magnetic
lattice and a triangular one are considered. We consider the general case where
the magnetic field in a cell can be of any shape. A general feature of the band
structure is bandwidth oscillation as a function of the Landau index. A
triangular magnetic lattice on a 2DEG can be realized by the vortex lattice of
a superconductor film coated on top of a heterojunction. Our calculation
indicates a way of relating the energy spectrum of the 2DEG to the vortex
structure. We have also derived conditions under which the effects of a weak
magnetic modulation, periodic or not, may be reproduced by an electric
potential modulation, and vice versa.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 21:04:22 GMT""}]","2009-10-22"
"dg-ga/9407007","Alexander Reznikov","Alexander Reznikov","Rationality of secondary classes",,,,,"dg-ga math.DG",,"  We prove the Bloch conjecture : $ c_2(E) \in H^4_\cald (X,\bbz(2))$ is
torsion for holomorphic rank two vector bundles $E$ with an integrable
connection over a complex projective variety $X$. We prove also the rationality
of the Chern-Simons invariant of compact arithmetic hyperbolic three-manifolds.
We give a sharp higher-dimensional Milnor inequality for the volume regulator
of all representations to $PSO(1,n)$ of fundamental groups of compact
$n$-dimensional hyperbolic manifolds, announced in our earlier paper.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 17:45:34 GMT""}]","2008-02-03"
"dg-ga/9407008","Jerry Levine","Michael S. Farber, Jerome P. Levine","Jumps of the eta invariant","46 pages",,,,"dg-ga math.DG",,"  We study the eta-invariant, defined by Atiyah-Patodi-Singer a real valued
invariant of an oriented odd-dimensional Riemannian manifold equipped with a
unitary representation of its fundamental group. When the representation varies
analytically, the corresponding eta-invariant may have an integral jump, known
also as the spectral flow. The main result of the paper establishes a formula
for this spectral jump in terms of the signatures of some homological forms,
defined naturally by the path of representations. These signatures may also be
computed by means of a spectral sequence of Hermitian forms,defined by the
deformation data. Our theorem on the spectral jump has a generalization to
arbitrary analytic families of self-adjoint elliptic operators. As an
application we consider the problem of homotopy invariance of the
rho-invariant. We give an intrinsic homotopy theoretic definition of the
rho-invariant, up to indeterminacy in the form of a locally constant function
on the space of unitary representations. In an Appendix, written by
S.Weinberger, it is shown (using the results of this paper) that the difference
in the rho-invariants of homotopy-equivalent manifolds is always rational.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 15:15:00 GMT""}]","2008-02-03"
"gr-qc/9407024","Jose Pizarro de Sande Lemos","Jose' P. S. Lemos","Two-Dimensional Black Holes and Planar General Relativity","11 pages, plaintex","Class.Quant.Grav.12:1081-1086,1995","10.1088/0264-9381/12/4/014",,"gr-qc",,"  The Einstein-Hilbert action with a cosmological term is used to derive a new
action in 1+1 spacetime dimensions. It is shown that the two-dimensional theory
is equivalent to planar symmetry in General Relativity. The two-dimensional
theory admits black holes and free dilatons, and has a structure similar to
two-dimensional string theories. Since by construction these solutions also
solve Einstein's equations, such a theory can bring two-dimensional results
into the four-dimensional real world. In particular the two-dimensional black
hole is also a black hole in General Relativity.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 00:17:53 GMT""}]","2010-04-06"
"gr-qc/9407025","Paulo Rodrigues Lima Vargas Moniz","O. Bertolami and P.V. Moniz","Decoherence of Homogeneous and Isotropic Geometries in the Presence of
  Massive Vector Fields","5 pages, DFFCUL 01-07/1993 DF/IST 12.93",,,,"gr-qc",,"  Decoherence of Friedmann-Robertson-Walker (FRW) geometries due to massive
vector fields with $SO(3)$ global symmetry is discussed in the context of
Quantum Cosmology. (Talk presented at the 3rd National Meeting of Astronomy and
Astrophysics, July 1993, IST, Lisboa, Portugal. -- A more complete version will
be presented at MG7 conference and in the report CERN-TH.7241/94 DAMTP R-94/22
by the same authors)
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 14:33:38 GMT""}]","2007-05-23"
"gr-qc/9407028","Melnikov Vitaly Nikolaevich","V. D. Ivashchuk and V. N. Melnikov","Billiard Representation for Multidimensional Cosmology with
  Multicomponent Perfect Fluid near the Singularity","16 pages, LaTex. 4 figures are available upon request (hard copy)","Class.Quant.Grav.12:809-826,1995","10.1088/0264-9381/12/3/017","RGA-CSVR-011/94","gr-qc",,"  The multidimensional cosmological model describing the evolution of $n$
Einstein spaces in the presence of multicomponent perfect fluid is considered.
When certain restrictions on the parameters of the model are imposed, the
dynamics of the model near the singularity is reduced to a billiard on the
$(n-1)$-dimensional Lobachevsky space $H^{n-1}$. The geometrical criterion for
the finiteness of the billiard volume and its compactness is suggested. This
criterion reduces the problem to the problem of illumination of
$(n-2)$-dimensional sphere $S^{n-2}$ by point-like sources. Some generalization
of the considered scheme (including scalar field and quantum generalizations)
are considered.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 19:05:20 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 08:55:30 GMT""}]","2010-04-06"
"hep-ph/9407332",,"Jon Pumplin","Multiplicity Distributions and Rapidity Gaps","24 pages, LaTeX, MSUHEP/940715","Phys.Rev. D50 (1994) 6811-6819","10.1103/PhysRevD.50.6811",,"hep-ph",,"  I examine the phenomenology of particle multiplicity distributions, with
special emphasis on the low multiplicities that are a background in the study
of rapidity gaps. In particular, I analyze the multiplicity distribution in a
rapidity interval between two jets, using the HERWIG QCD simulation with some
necessary modifications. The distribution is not of the negative binomial form,
and displays an anomalous enhancement at zero multiplicity. Some useful
mathematical tools for working with multiplicity distributions are presented.
It is demonstrated that ignoring particles with pt<0.2 has theoretical
advantages, in addition to being convenient experimentally.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 18:00:56 GMT""}]","2009-10-28"
"hep-ph/9407334",,"M. Consoli and P.M. Stevenson","""TRIVIALITY"" MADE EASY: the real (lambda Phi^4)_4 story","7 pages, LaTeX, DE-FG05-92ER40717-14",,,,"hep-ph hep-lat hep-th",,"  The real meaning of `triviality' of (lambda Phi^4)_4 theory is outlined.
Assuming `triviality' leads to an effective potential that is just the
classical potential plus the zero-point energy of the free-field fluctuations.
This V_{eff} gives spontaneous symmetry breaking. Its proper renormalization
has the consequence that all scattering amplitudes vanish, self-consistently
validating the original assumption. Nevertheless, the theory is physically
distinguishable from a free field theory; it has a symmetry-restoring phase
transition at a finite critical temperature.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 19:50:00 GMT""}]","2007-05-23"
"hep-ph/9407335","Misha Eides","M. I. Eides, I. B. Khriplovich and A. I. Milstein","Radiative Corrections to P-Levels in the Two-Body QED Problem","6 pages, PSU/TH/147","Phys.Lett. B339 (1994) 275-277","10.1016/0370-2693(94)90644-0",,"hep-ph",,"  The physical origin of the $m\alpha^5$ radiative corrections to $P$-levels in
the two-body QED problem is elucidated. Then we demonstrate that the next
order, $m\alpha^6$, corrections to those levels are due to the anomalous
magnetic moment only.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 20:35:06 GMT""}]","2009-10-28"
"hep-ph/9407336",,"R. D. Bowler and M. C. Birse","A nonlocal, covariant generalisation of the NJL model","13 pages (RevTeX), MC/TH 94/17","Nucl.Phys.A582:655-664,1995","10.1016/0375-9474(94)00481-2",,"hep-ph nucl-th",,"  We solve a nonlocal generalisation of the NJL model in the Hartree
approximation. This model has a separable interaction, as suggested by
instanton models of the QCD vacuum. The choice of form factor in this
interaction is motivated by the confining nature of the vacuum. A conserved
axial current is constructed in the chiral limit of the model and the pion
properties are shown to satisfy the Gell-Mann--Oakes--Renner relation. For
reasonable values of the parameters the model exhibits quark confinement.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 09:05:14 GMT""}]","2011-08-17"
"hep-ph/9407337","Dirk Graudenz","A.J. Askew, D. Graudenz, J. Kwiecinski and A.D. Martin","Dijet Production at HERA as a Probe of BFKL Dynamics","7 pages (LaTeX) + 4 pages of figures appended in the end of the file
  as a uuencoded postscript file, Durham DTP/94/56, CERN-TH.7357/94","Phys.Lett. B338 (1994) 92-97","10.1016/0370-2693(94)91349-8",,"hep-ph",,"  We calculate the rate for the deep-inelastic electroproduction of dijets at
HERA. We study the weakening of the azimuthal (back-to-back) correlation
between the jets, as $x$ decreases, to see whether it can be used to identify
BFKL dynamics from conventional fixed-order QCD effects. We show how this may
give information on the transverse momentum ($k_T)$ dependence of the gluon
distribution of the proton.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 10:43:57 GMT""}]","2009-10-28"
"hep-ph/9407338","Andre Hoang","A.H. Hoang, M. Je\.zabek, J.H. K\""uhn, T.Teubner","Radiation of Heavy Quarks","8 pages, Latex [ uses epsf.sty ] A complete postscript file,
  including figures, is available via anonymous ftp at
  ttpux2.physik.uni-karlsruhe.de (129.13.102.139) as /ttp94-11/ttp94-11.ps,
  Local preprint# TTP94-11","Phys.Lett.B338:330-335,1994","10.1016/0370-2693(94)91387-0",,"hep-ph",,"  The rate for the production of massive fermions radiated off a pair of
massless fermions is calculated analytically. Combined with the analytic
calculation of the corresponding virtual contribution one obtains the order
$\alpha^2$ correction to the cross section which is induced by the real and
virtual radiation of a pair of massive fermions by massless fermions.
Approximations valid for large and for small masses are derived and shown to
agree with earlier calculations.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 12:22:18 GMT""}]","2010-11-01"
"hep-th/9407115","Jaap Kalkman","Jaap Kalkman","Residues in Non-Abelian Localization","9 pages",,,,"hep-th",,"  In this paper we obtain an expression for the residue as it occurs in the
non-Abelian localization formula due to Jeffrey and Kirwan. This expression can
be used in cohomology computations for symplectic quotients.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 18:49:00 GMT""}]","2007-05-23"
"hep-th/9407116","Mei Fang Chu","Meifang Chu and Peter Goddard","Quantisation of a particle moving on a group manifold","DAMTP-94-41, 11 pages","Phys.Lett. B337 (1994) 285-293","10.1016/0370-2693(94)90977-6",,"hep-th",,"  The Hilbert space of a free massless particle moving on a group manifold is
studied in details using canonical quantisation. While the simplest model is
invariant under a global symmetry, $G \times G$, there is a very natural way to
``factorise"" the theory so that only one copy of the global symmetry is
preserved. In the case of $G=SU(2)$, a simple deformation of the quantised
theory is proposed to give a realisation of the quantum group, $U_t(SL(2))$.
The symplectic structures of the corresponding classical theory is derived.
This can be used, in principle, to obtain a Lagrangian formulation for the
$U_t(SL(2))$ symmetry.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 20:31:24 GMT""}]","2015-06-26"
"hep-th/9407117","Hector DE Vega","C. Destri, H.J. de Vega","Unified Approach to Thermodynamic Bethe Ansatz and Finite Size
  Corrections for Lattice Models and Field Theories","Expanded Introduction. Version to appear in Nucl. Phys. B. 60 pages,
  TeX, Uses phyzzx","Nucl.Phys.B438:413-454,1995","10.1016/0550-3213(94)00547-R",,"hep-th cond-mat nlin.SI solv-int",,"  We present a unified approach to the Thermodynamic Bethe Ansatz (TBA) for
magnetic chains and field theories that includes the finite size (and zero
temperature) calculations for lattice BA models. In all cases, the free energy
follows by quadratures from the solution of a {\bf single} non-linear integral
equation (NLIE). [A system of NLIE appears for nested BA]. We derive the NLIE
for: a) the six-vertex model with twisted boundary conditions; b) the XXZ chain
in an external magnetic field $h_z$ and c) the sine-Gordon-massive Thirring
model (sG-mT) in a periodic box of size $\b \equiv 1/T $ using the light-cone
approach. This NLIE is solved by iteration in one regime (high $T$ in the XXZ
chain and low $T$ in the sG-mT model). In the opposite (conformal) regime, the
leading behaviors are obtained in closed form. Higher corrections can be
derived from the Riemann-Hilbert form of the NLIE that we present.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 21:46:08 GMT""},{""version"":""v2"",""created"":""Mon, 12 Dec 1994 18:10:07 GMT""}]","2019-08-15"
