"alg-geom/9408001","Daniel Huybrechts","Lothar Goettsche, Daniel Huybrechts","Hodge numbers of moduli spaces of stable bundles on K3 surfaces","12 pages, latex",,,,"alg-geom math.AG",,"  We show that the Hodge numbers of the moduli space of stable rank two sheaves
with primitive determinant on a K3 surface coincide with the Hodge numbers of
an appropriate Hilbert scheme of points on the K3 surface. The precise result
is: Theorem: Let $X$ be a K3 surface, $L$ a primitive big and nef line bundle
and $H$ a generic polarization. If the moduli space of rank two $H$ semi-stable
torsion-free sheaves with determiant $L$ and second Chern class $c_2$ has at
least dimension 10 then its Hodge numbers coincide with those of the Hilbert
scheme of $l:=2c_2-\frac{L^2}{2}-3$ points on $X$.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 15:02:20 GMT""}]","2008-02-03"
"astro-ph/9408013","J. Kirk","W. Bednarek and J.G. Kirk","Gamma-Rays from the Funnels of Thick Accretion Disks Around Active
  Galactic Nuclei","10 pages, uuencoded and compressed PostScript, to appear in A&A,
  preprint HD-MPK-94-BK1",,,,"astro-ph",,"  We analyse the propagation of particles in the narrow funnel of a thick
accretion disk. It is assumed that: (1) the funnel walls emit black body
radiation with temperature decreasing outwards; (2) the magnetic and electric
fields are longitudinal in the funnel. Such a scenario is consistent with
models in which a large potential drop is induced by a rotating massive black
hole threaded by a magnetic field (Blandford & Znajek 1977, Macdonald & Thorne
1982). The interaction of relativistic protons with thermal photons from the
funnel results in direct production of pairs and/or pions. We discuss the
relative importance of these processes for different conditions in the funnel
(temperature and electric field profiles). Injected pairs interact with thermal
photons in the Thomson or Klein-Nishina regime. Under some conditions, a pair
avalanche results, which we assume saturates in the production of stable
bunches, containing almost equal numbers of electrons and positrons. As a
consequence, highly collimated gamma-ray photons are produced. We obtain
gamma-ray spectra from our model in order to test its applicability to the
gamma-ray emitting AGNs recently reported by EGRET.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 07:35:35 GMT""}]","2007-05-23"
"astro-ph/9408014",,"Louis Martinet","Evidences of Secular Dynamical Evolution in Disk Galaxies","to appear in ""Fundamental of Cosmic Physics"", 77 pages, Latex, text
  file with 19 postscript figures (scanned) may be retrieved by anonymous ftp
  at ""obssd8.unige.ch"" in ""pub/fit/martinet/*.ps"" or as a single (580k)
  uuencoded compressed tar file ""FCP.uu"", OBSGE-SE-1",,,,"astro-ph",,"  After a recall of fundamental concepts used in galactic dynamics, we review
observational facts as well as results of orbit theory and numerical
simulations which suggest long-term evolution of galaxies. Dynamical
interactions between galaxy constituents (bulges, disks, bars, haloes, dark
matter) are discussed and effects of external perturbations on internal
structures are examined. We report recent developments on the connection
between dynamical interaction processes and efficiency of star formation in
galaxies of various morphological types. The Hubble sequence as an evolution
sequence is revisited.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 11:46:00 GMT""}]","2007-05-23"
"chao-dyn/9407018","Rainer Klages","R. Klages (Inst. f. Theoret. Physik, TU Berlin) and J.R. Dorfman
  (IPST, Univ. of Maryland)","Simple Maps with Fractal Diffusion Coefficients","4 pages, LaTeX with REVTeX, and 3 figures, Postscript, in uuencoded
  tar file. to appear in Phys. Rev. Lett","Phys. Rev. Lett. 74 (1995) 387","10.1103/PhysRevLett.74.387",,"chao-dyn nlin.CD",,"  We consider chains of one-dimensional, piecewise linear, chaotic maps with
uniform slope. We study the diffusive behaviour of an initially nonuniform
distribution of points as a function of the slope of the map by solving
Frobenius-Perron equation. For Markov partition values of the slope, we relate
the diffusion coefficient to eigenvalues of the topological transition matrix.
The diffusion coefficient obtained shows a fractal structure as a function of
the slope of the map. This result may be typical for a wide class of maps, such
as two dimensional sawtooth maps.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 18:19:44 GMT""},{""version"":""v2"",""created"":""Fri, 16 Dec 1994 15:22:03 GMT""}]","2009-10-22"
"chao-dyn/9407019","Keith Briggs","Keith Briggs","Corrections to universal scaling in real maps","11 pages, postscript",,"10.1016/0375-9601(94)90567-3",,"chao-dyn nlin.CD",,"  I discuss the universal aspects of scaling in period-doubling sequences in
families of maps of the real line possessing non-integer degree. I show that
the scaling behaviour in both the orbital and parameter spaces is governed by
the same sequence of eigenvalues of the linearized renormalization operator.
These eigenvalues are smooth functions of the degree of the maximum of the map.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 02:43:23 GMT""}]","2009-10-22"
"chao-dyn/9407020","Sergej Flach","S. Flach","Conditions on the Existence of Localized Excitations in Nonlinear
  Discrete Systems","Phys. Rev. E in press, LaTeX file, 5 figures available upon request,
  20 pages",,"10.1103/PhysRevE.50.3134","SF-7","chao-dyn nlin.CD",,"  We use recent results that localized excitations in nonlinear Hamiltonian
lattices can be viewed and described as multiple-frequency excitations. Their
dynamics in phase space takes place on tori of corresponding dimension. For a
one-dimensional Hamiltonian lattice with nearest neighbour interaction we
transform the problem of solving the coupled differential equations of motion
into a certain mapping $M_{l+1}=F(M_l,M_{l-1})$, where $M_l$ for every $l$
(lattice site) is a function defined on an infinite discrete space of the same
dimension as the torus. We consider this mapping in the 'tails' of the
localized excitation, i.e. for $l \rightarrow \pm \infty$. For a generic
Hamiltonian lattice the thus linearized mapping is analyzed. We find conditions
of existence of periodic (one-frequency) localized excitations as well as of
multiple frequency excitations. The symmetries of the solutions are obtained.
As a result we find that the existence of localized excitations can be a
generic property of nonlinear Hamiltonian lattices in contrast to nonlinear
Hamiltonian fields.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 04:26:09 GMT""}]","2009-10-22"
"chem-ph/9408001","Lawrence Pratt","Gregory J. Tawa and Lawrence R. Pratt (Theoretical Division, Los
  Alamos National Laboratory, Los Alamos NM)","Theoretical calculation of the water ion product K_W","13 pages and two figures. LA-UR-94-2668. minor stylistic and
  typographic revisions","J. Am. Chem. Soc. 113, 1625 (1995)",,,"chem-ph physics.chem-ph",,"  A dielectric solvation model is applied to the prediction of the equilibrium
ionization of liquid water over a wide range of density and temperature with
the objective of calibrating that model for the study of ionization in water of
organic acids, {\it e.g.\/}, proteins and nucleic acids. The model includes an
approximate description of the polarizability of the dissociating water
molecule. The calculated pK$_W$ are very sensitive to the value of the radii
that parameterize the model. The radii required for the spherical molecular
volumes of the water molecule in order to fit the experimental ion product are
presented and discussed. These radii are larger than those commonly used. They
decrease with increasing density as would be guessed but the rate of decrease
is slight. They increase with increasing temperature, a variation opposite to
what would be guessed if radii were strictly viewed as a distance of closest
approach. The molecular theoretical principles that might provide an
explanation of the thermodynamic state dependence of these radii are discussed.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 17:00:20 GMT""},{""version"":""v2"",""created"":""Wed, 26 Oct 1994 14:25:22 GMT""},{""version"":""v3"",""created"":""Wed, 2 Nov 1994 21:26:59 GMT""}]","2009-09-25"
"cond-mat/9408011","Ben Lee","Benjamin P. Lee and John Cardy","Scaling of Reaction Zones in the A+B->0 Diffusion-Limited Reaction","4 pages, REVTeX 3.0 with epsf, 2 uuencoded postscript figures
  appended, OUTP-94-33S","Phys. Rev. E 50, 3287 (1994)","10.1103/PhysRevE.50.R3287",,"cond-mat",,"  We study reaction zones in three different versions of the A+B->0 system. For
a steady state formed by opposing currents of A and B particles we derive
scaling behavior via renormalization group analysis. By use of a previously
developed analogy, these results are extended to the time-dependent case of an
initially segregated system. We also consider an initially mixed system, which
forms reaction zones for dimension d<4. In this case an extension of the
steady-state analogy gives scaling results characterized by new exponents.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 16:51:51 GMT""}]","2009-10-22"
"cond-mat/9408013","Aris Moustakis","Daniel S. Fisher and Aris L. Moustakas","On the Localization of Heavy Particles in Metals","41 pages",,,"HU-AM-94-001","cond-mat",,"  It has been conjectured that an impurity with charge Z greater or equal to 2
can be localized due to its interaction with electrons in a metal. The simplest
case is an impurity free to move between only two sites, which interacts
locally with s-wave electrons. For Z greater or equal to 2 the hopping of the
impurity is formally irrelevant and this has been argued to lead to
localization. In this paper it is shown that other processes, in particular
joint hopping of the impurity and one or more electrons between the sites, play
an important role and have not been treated properly in the literature. Being
relevant in a renormalization group sense, even when Z greater or equal to 2,
these terms lead to delocalization of the impurity. Using bosonization, it is
shown how these processes are generated from marginal operators that are
usually neglected and the dangers of ignoring marginal or irrelevant operators
are discussed in detail. Questions about implications for the more general
situation of many sites to which the impurity can hop, are also considered.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 18:44:34 GMT""}]","2016-08-31"
"cond-mat/9408014","Sergej Flach","S. Flach","Conditions on the Existence of Localized Excitations in Nonlinear
  Discrete Systems","Phys. Rev. E in press, LaTeX file, 5 figures available upon request,
  20 pages, SF-7",,,,"cond-mat",,"  We use recent results that localized excitations in nonlinear Hamiltonian
lattices can be viewed and described as multiple-frequency excitations. Their
dynamics in phase space takes place on tori of corresponding dimension. For a
one-dimensional Hamiltonian lattice with nearest neighbour interaction we
transform the problem of solving the coupled differential equations of motion
into a certain mapping $M_{l+1}=F(M_l,M_{l-1})$, where $M_l$ for every $l$
(lattice site) is a function defined on an infinite discrete space of the same
dimension as the torus. We consider this mapping in the 'tails' of the
localized excitation, i.e. for $l \rightarrow \pm \infty$. For a generic
Hamiltonian lattice the thus linearized mapping is analyzed. We find conditions
of existence of periodic (one-frequency) localized excitations as well as of
multiple frequency excitations. The symmetries of the solutions are obtained.
As a result we find that the existence of localized excitations can be a
generic property of nonlinear Hamiltonian lattices in contrast to nonlinear
Hamiltonian fields.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 04:23:57 GMT""}]","2007-05-23"
"cond-mat/9408015","Takahiro Fukui","Takahiro Fukui and Norio Kawakami","Haldane's Fractional Exclusion Statistics for Multicomponent Systems","12 pages, Revtex, preprint YITP/K-1077",,"10.1103/PhysRevB.51.5239",,"cond-mat hep-th",,"  The idea of fractional exclusion statistics proposed by Haldane is applied to
systems with internal degrees of freedom, and its thermodynamics is examined.
In case of one dimension, various bulk quantities calculated show that the
critical behavior of such systems can be described by $c=1$ conformal field
theories and conformal weights are completely characterized by statistical
interactions. It is also found that statistical interactions have intimate
relationship with a topological order matrix in Chern-Simons theory for the
fractional quantum Hall effect.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 07:33:20 GMT""}]","2009-10-22"
