"adap-org/9408001","Toshio Aoyagi","Toshio Aoyagi (Department of Applied Mathematics and Physics, Kyoto
  University, Japan)","A Network of Oscillators for Retrieving Phase Information","9 pages (Revtex source file) including 2 figures (postscript)",,"10.1103/PhysRevLett.74.4075",,"adap-org nlin.AO",,"  We propose a network of oscillators to retrieve given patterns in which the
oscillators keep a fixed phase relationship with one another. In this
description, the phase and the amplitude of the oscillators can be regarded as
the timing and the strength of the neuronal spikes, respectively. Using the
amplitudes for encoding, we enable the network to realize not only oscillatory
states but also non-firing states. In addition, it is shown that under suitable
conditions the system has a Lyapunov function ensuring a stable retrieval
process. Finally, the associative memory capability of the network is
demonstrated numerically.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 05:02:17 GMT""},{""version"":""v2"",""created"":""Fri, 26 Aug 1994 10:11:20 GMT""}]","2009-10-22"
"astro-ph/9408074",,"Devendra Ojha, Annie C. Robin and Olivier Bienayme","The Asymmetric Drift of the Thick Disk Population","postscript file, 7 pages, 5 figures (figures available on request),
  poster paper presented at 22nd IAU General Assembly (Symp no. 164, Stellar
  Populations) in The Hauge, Netherlands, 15-19 August, 1994",,,,"astro-ph",,"  We investigate the kinematics of the intermediate population using the
photometric and astrometric sample surveys towards two opposite directions
(galactic centre and anticentre) at intermediate latitude. A multivariate
discriminant analysis (MDA) is used to distinguish the `Thick Disk' from other
populations with the help of the Besan\c con model of population synthesis. The
data constrain the asymmetric drift of the intermediate population, which is
found to be 40$\pm$10 km sec$^{-1}$ and does not depend on the galactic radius.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 16:17:04 GMT""}]","2007-05-23"
"astro-ph/9408075",,"Devendra Ojha and Olivier Bienayme","Astrometric Plate Reduction with Orthogonal Functions and
  Milli-Arcseconds Accuracy in Deep Proper Motion Surveys","postscript file, 7 pages, 6 figures (figures available on request),
  poster paper presented at 22nd IAU General Assembly (Symp. no. 166, Sub
  milli- arcseconds accuracy...), 15-19 August, 1994",,,,"astro-ph",,"  We have been doing a sample survey in UBV photometry and proper motions as
part of an investigation of galactic structure and evolution. The programme is
based on Schmidt plates (from OCA, Tautenburg, Palomar and ESO Schmidt
telescopes) digitized with the MAMA machine (CAI, Paris). The high astrometric
quality of the MAMA gives access to micronic accuracy (leading to $<$ 2 mas per
year) on proper motions with a 35 years time base. The high proper motion
accuracy for faint star probes in wide-areas give access to the properties of
star samples out of the solar neighborhood. We have analyzed components of the
UVW galactic space motions resulting from the accurate proper motion surveys.
The kinematical distribution of F and G--type stars have been probed to
distances up to 2.5 kpc above the galactic plane. We have derived the constrain
on the structural parameters of the thin and thick disk components of the
Galaxy.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 16:18:49 GMT""}]","2007-05-23"
"astro-ph/9408076","Donn MacMinn","Donn MacMinn and Joel R. Primack","Probing the Era of Galaxy Formation via TeV Gamma Ray Absorption by the
  Near Infrared Extragalactic Background","9 pages incl 3 figs, self-unpacking .ps file uuencoded by uufiles
  ***Substantial revision. Models expanded to include dust absorption and
  emission, further changes to text, new figures. 11/94.***",,,"SCIPP 94/23 rev, submitted to Ap J Letters","astro-ph hep-ph",,"  We present models of the extragalactic background light (EBL) based on
several scenarios of galaxy formation and evolution. We have treated galaxy
formation with the Press-Schecter approximation for both cold dark matter (CDM)
and cold+hot dark matter (CHDM) models. Galaxy evolution has been treated by
considering a variety of stellar types, different initial mass functions and
star formation histories, and with an accounting of dust absorption and
emission. We find that the dominant factor influencing the EBL is the epoch of
galaxy formation. A recently proposed method for observing the EBL utilizing
the absorption of $\sim 0.1$ to 10 TeV gamma-rays from active galactic nuclei
(AGN) is shown to be capable of discriminating between different galaxy
formation epochs. Observations of TeV gamma-ray bursts (GRB) would constrain or
eliminate models in which the GRB sources lie at cosmological distances.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 16:40:20 GMT""},{""version"":""v2"",""created"":""Thu, 25 Aug 1994 21:10:47 GMT""},{""version"":""v3"",""created"":""Wed, 16 Nov 1994 23:58:39 GMT""}]","2008-02-03"
"astro-ph/9408077","J. Kirk","A. Mastichiadis J. G. Kirk","Self-Consistent Particle Acceleration in Active Galactic Nuclei","15 pages, uuencoded and compressed PostScript, to appear in A&A,
  preprint number MPK-ASTRO-94-03",,,,"astro-ph",,"  Adopting the hypothesis that the nonthermal emission of Active Galactic
Nuclei (AGN) is primarily due to the acceleration of protons, we construct a
simple model in which the interplay of acceleration and losses can be studied
together with the formation of the emitted spectrum. The acceleration process
is assumed to be of the first order Fermi type, and the proton distribution as
well as the injected electrons and photons in the central region of the AGN are
described by spatially averaged kinetic equations. The various relevant
processes which dominate the three species are incorporated into the equations.
The technique used to solve these is presented and several tests of the
numerical implementation are presented. We also present results of a sample
time-dependent AGN model in which photons appear suddenly as a result of a
feedback instability and the system evolves to a steady state, in which the
acceleration process is saturated self-consistently by the photons it produces.
This example combines an X-ray power law index of about -1.7, together with a
break at an energy between 50 and 500~keV.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 13:43:26 GMT""},{""version"":""v2"",""created"":""Mon, 19 Sep 1994 10:15:40 GMT""}]","2008-02-03"
"cond-mat/9408064","Claudio C. Chamon","C. de C. Chamon, D. E. Freed and X. G. Wen","Tunneling and Quantum Noise in 1-D Luttinger Liquids","RevTex, 9 figures available upon request, cond-mat/yymmnnn",,"10.1103/PhysRevB.51.2363",,"cond-mat",,"  We study non-equilibrium noise in the transmission current through barriers
in 1-D Luttinger liquids and in the tunneling current between edges of
fractional quantum Hall liquids. The distribution of tunneling events through
narrow barriers can be described by a Coulomb gas lying in the time axis along
a Keldysh (or non-equilibrium) contour. The charges tend to reorganize as a
dipole gas, which we use to describe the tunneling statistics. Intra-dipole
correlations contribute to the high-frequency ``Josephson'' noise, which has an
algebraic singularity at $\omega=e^*V/\hbar$, whereas inter-dipole correlations
are responsible for the low-frequency noise. Inter-dipole interactions give a
$1/t^2$ correlation between the tunneling events that results in a $|\omega|$
singularity in the noise spectrum. We present a diagrammatic technique to
calculate the correlations in perturbation theory, and show that contributions
from terms of order higher than the dipole-dipole interaction should only
affect the strength of the $|\omega|$ singularity, but its form should remain
$\sim |\omega|$ to all orders in perturbation theory.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 19:56:07 GMT""}]","2009-10-22"
"cond-mat/9408065",,"T.Miyazaki, D.Yoshioka, M.Ogata","Anisotropic two-dimensional Heisenberg model by Schwinger-boson
  Gutzwiller projected method","15 pages RevTex3.0, 4 figures, available upon request, GWRVB8-94","Phys. Rev. B 51 (1995) 2966","10.1103/PhysRevB.51.2966",,"cond-mat",,"  Two-dimensional Heisenberg model with anisotropic couplings in the $x$ and
$y$ directions ($J_x \neq J_y$) is considered. The model is first solved in the
Schwinger-boson mean-field approximation. Then the solution is Gutzwiller
projected to satisfy the local constraint that there is only one boson at each
site. The energy and spin-spin correlation of the obtained wavefunction are
calculated for systems with up to $20 \times 20$ sites by means of the
variational Monte Carlo simulation. It is shown that the antiferromagnetic
long-range order remains down to the one-dimensional limit.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 08:29:06 GMT""}]","2009-10-22"
"cond-mat/9408066","Kurt Stokbro","Kurt Stokbro","Effective Medium Tight-Binding Theory","96 pages, LaTeX, Ph.D. Thesis August 1994. The full thesis is
  available with anonymous ftp: ftp.fysik.dtu.dk:/papers/Stokbro/* WWW:
  http://www.fysik.dtu.dk",,,,"cond-mat",,"  In this thesis a new model for calculating the total energy of atomic and
solid systems is presented. The model is used to study the properties of the
Si(100) surface and dislocation dynamics in the diamond structure. For the
Si(100) surface the main result is the finding of an incomplete melted state at
$1550^0 K$. The studied dislocation is the $90^0$ partial and it is found that
the barriers for kink formation and migration are in good accordance with
experimental observations. The general idea for calculating the total energy
for a given system is to relate a reference system to each atom, an effective
medium for which the total energy is known and then only calculate the energy
difference between the two systems. Using transferable potentials and densities
a pair potential is constructed which describe the electro-static and
exchange-correlation part of the energy difference. The remaining part, the
one-electron difference, is calculated with an LMTO tight-binding model with
the potential parameters determined from the effective potential of the
reference system.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 12:32:55 GMT""}]","2007-05-23"
"hep-ph/9408333",,"Alon E. Faraggi","Custodial nonabelian gauge symmetries in realistic superstring derived
  models","IASSNS--HEP--94/64, 16 pages, phyzzx","Phys.Lett. B339 (1994) 223-231","10.1016/0370-2693(94)90636-X",,"hep-ph hep-th",,"  A well known problem in supersymmetric models is the presence of, lepton and
baryon number violating, dimension four operators. The traditional R parity
solution may not be suitable if one tries to incorporate supersymmetry into a
Planck scale theory. I propose a different solution in the context of realistic
string models. I show that realistic string models can give rise to custodial
nonabelian gauge symmetries under which only the leptons or quarks transform. I
explain how such symmetries arise in a class of free fermionic models that are
based on $Z_2\times Z_2$ orbifold with standard embedding. The custodial
symmetries forbid proton decay from dimension four operators while allowing R
parity violation.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 19:32:00 GMT""}]","2009-10-28"
"hep-ph/9408334","Heinz Konig","Heinz Konig","SUSY Contributions to the Z--->3 Photon Decay","Talk presented at ""DPF-94"", University of New Mexico, Albuquerque,
  New Mexico, USA, August 2-6, 1994, UQAM-PHE-94/11, 4 pages, plain tex. No
  figures",,,,"hep-ph",,"  In this talk I comment on the contributions of all three types of particles
(scalars, fermions and bosons) to the three--photon Z decay within the standard
model (SM) and its extensions to the 2 Higgs doublet model (2 HDM) and the
minimal supersymmetric extension of the standard model (MSSM). I also comment
briefly on the charginos contribution to this decay rate. Finally I comment on
the fermions and scalars contributions to the three--gluon Z decay.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 22:06:10 GMT""}]","2007-05-23"
"hep-ph/9408335","Heinz Konig","Heinz K\""onig","SUSY QCD Corrections to the t-->H+b Decay","Talk presented at the conferences MRST-94, McGill U., Montr\'eal,
  Canada, May 11-13 and SUSY-94, U. of Michigan, Ann Arbor, USA, May 14-17,
  UQAM-PHE-94/04, 6 pages, plain tex, 2 figures not included, available via
  mail or fax under request",,,,"hep-ph",,"  In this talk I present the contribution of gluinos and scalar quarks to the
decay rate of the top quark into a charged Higgs boson and a bottom quark
within the minimal supersymmetric standard model, including the mixing of the
scalar partners of the left- and right-handed top quark.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 22:09:35 GMT""}]","2009-09-25"
