"astro-ph/9408078","Richard Battye","R.A. Battye and E.P.S. Shellard","String Radiative Backreaction","9 Pages. Figures not included - Hard Copy available on request","Phys.Rev.Lett. 75 (1995) 4354-4357","10.1103/PhysRevLett.75.4354","DAMTP Preprint R94/32","astro-ph hep-ph hep-th",,"  We discuss radiative backreaction for global strings described by the
Kalb-Ramond action with an analogous derivation to that for the point electron
in classical electrodynamics. We show how local corrections to the equations of
motion allow one to separate the self-field of the string from that of the
radiation-field. Modifications to this 'local backreaction approximation'
circumvent the runaway solutions familiar from electrodynamics, allowing these
corrections to be used to evolve string trajectories numerically. Comparisons
are made with analytic and numerical radiation calculations from previous work
and the merits and limitations of this approach are discussed. Finally, we
comment on the relevance of this work to simulations of a cosmological network
of global or axion strings. These methods can also be applied to describe
graviational, electromagnetic and other forms of string radiative backreaction.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 19:15:37 GMT""}]","2009-10-22"
"cmp-lg/9408011","Fernando Pereira","Fernando Pereira (AT&T Bell Laboratories), Naftali Tishby (Hebrew
  University), Lillian Lee (Harvard University)","Distributional Clustering of English Words","8 pages, appeared in the proceedings of ACL-93, Columbus, Ohio",,,,"cmp-lg cs.CL",,"  We describe and experimentally evaluate a method for automatically clustering
words according to their distribution in particular syntactic contexts.
Deterministic annealing is used to find lowest distortion sets of clusters. As
the annealing parameter increases, existing clusters become unstable and
subdivide, yielding a hierarchical ``soft'' clustering of the data. Clusters
are used as the basis for class models of word coocurrence, and the models
evaluated with respect to held-out test data.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 16:26:21 GMT""}]","2008-02-03"
"cond-mat/9408067","Michael Geller","Michael R. Geller and Giovanni Vignale","Bound on the Group Velocity of an Electron in a 1D Periodic Potential","6 pages in Tex",,"10.1103/PhysRevB.51.2616",,"cond-mat",,"  By using a recently derived upper bound on the allowed equilibrium current in
a ring, it is proved that the magnitude of the group velocity of a Bloch
electron in a one-dimensional periodic potential is always less than or equal
to the group velocity of the same Bloch state in an empty lattice. Our
inequality also implies that each energy band in a one-dimensional crystal
always lies below the corresponding free-electron band, when the minima of
those bands are aligned.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 21:02:10 GMT""}]","2009-10-22"
"cond-mat/9408068","Paul Fendley","P. Fendley, A.W.W. Ludwig and H. Saleur","Exact Conductance through Point Contacts in the $\nu =1/3$ Fractional
  Quantum Hall Effect","10 pages, 1 figure","Phys. Rev. Lett. 74 (1995) 3005","10.1103/PhysRevLett.74.3005","USC-94-12, PUPT-94-1491","cond-mat hep-th",,"  The conductance for tunneling through a point contact between two $\nu =1/3$
quantum Hall edges is described by a universal scaling function, which has
recently been measured experimentally. We compute this universal function
exactly, by using the thermodynamic Bethe ansatz and a Boltzmann equation.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 01:36:34 GMT""}]","2009-10-22"
"cond-mat/9408070",,"Francesco Tassone, Francesco Mauri and Roberto Car","Acceleration Schemes for Ab-Initio Molecular Dynamics and Electronic
  Structure Calculations","RevTex, 9 figures available upon request, to appear in Phys. Rev. B",,"10.1103/PhysRevB.50.10561",,"cond-mat",,"  We study the convergence and the stability of fictitious dynamical methods
for electrons. First, we show that a particular damped second-order dynamics
has a much faster rate of convergence to the ground-state than first-order
steepest descent algorithms while retaining their numerical cost per time step.
Our damped dynamics has efficiency comparable to that of conjugate gradient
methods in typical electronic minimization problems. Then, we analyse the
factors that limit the size of the integration time step in approaches based on
plane-wave expansions. The maximum allowed time step is dictated by the highest
frequency components of the fictitious electronic dynamics. These can result
either from the large wavevector components of the kinetic energy or from the
small wavevector components of the Coulomb potential giving rise to the so
called {\it charge sloshing} problem. We show how to eliminate large wavevector
instabilities by adopting a preconditioning scheme that is implemented here for
the first-time in the context of Car-Parrinello ab-initio molecular dynamics
simulations of the ionic motion. We also show how to solve the charge-sloshing
problem when this is present. We substantiate our theoretical analysis with
numerical tests on a number of different silicon and carbon systems having both
insulating and metallic character.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 09:41:51 GMT""}]","2009-10-22"
"cond-mat/9408071","Georg Junker","Georg Junker and Stephan Matthiesen","Supersymmetric classical mechanics","7 pages, LaTeX with IOP publishing preprint style, to appear in J.
  Phys. A","J. Phys. A 27 (1994) L751-L755, ADDENDUM J. Phys. A 28 (1995)
  1467-1468","10.1088/0305-4470/27/19/006",,"cond-mat chem-ph hep-th",,"  We study the classical properties of a supersymmetric system which is often
used as a model for supersymmetric quantum mechanics. It is found that the
classical dynamics of the bosonic as well as the fermionic degrees of freedom
is fully described by a so--called quasi--classical solution. We also comment
on the importance of this quasi--classical solution in the semi--classical
treatment of the supersymmetric quantum model.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 10:16:04 GMT""}]","2009-10-22"
"cond-mat/9408072","Alexander Mirlin","Vladimir E. Kravtsov and Alexander D. Mirlin","Level Statistics in a Metallic Sample: Corrections to the Wigner-Dyson
  Distribution","4 pages, REVTEX","JETP-Lett. 60, 645 (1994)",,,"cond-mat",,"  Deviation of the level correlation function in a mesoscopic metallic sample
from the Wigner--Dyson distribution is calculated by using a combination of the
renormalization group and non-perturbative treatment. For given spatial
dimension the found correction is determined by the sample conductance.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 14:19:31 GMT""}]","2007-05-23"
"hep-lat/9408017","Annette Holtkamp","H. Dilger","Topological Zero Modes in Monte Carlo Simulations","uuencoded compressed tar file, latex, 11 pages, 4 figures, DESY
  94-145","Int.J.Mod.Phys. C6 (1995) 123-134","10.1142/S0129183195000101",,"hep-lat",,"  We present an improvement of global Metropolis updating steps, the instanton
hits, used in a hybrid Monte Carlo simulation of the two-flavor Schwinger model
with staggered fermions. These hits are designed to change the topological
sector of the gauge field. In order to match these hits to an unquenched
simulation with pseudofermions, the approximate zero mode structure of the
lattice Dirac operator has to be considered explicitly.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 11:21:12 GMT""}]","2015-06-25"
"hep-ph/9408343","Herbert Weigel","H. Weigel, R. Alkofer and H. Reinhardt","Estimate of Quantum corrections to the Mass of the Chiral Soliton in the
  Nambu--Jona--Lasinio Model","30 pages LaTeX, UNITU-THEP-16/1994, three figures enclosed as
  uuecoded postscript files","Nucl.Phys.A582:484-516,1995","10.1016/0375-9474(94)00480-B",,"hep-ph",,"  The Bethe--Salpeter equation for pion fluctuations off the chiral soliton in
the Nambu--Jona--Lasinio model is constructed. By Goldstone's theorem this
equation has rotational and translational zero modes because the classical
soliton is a localized stationary field configuration which violates rotational
and translational invariance. Furthermore, the proper normalization of the
fluctuating eigen--modes is obtained. Second quantization of the pion
fluctuations off the chiral soliton provides an energy functional of the pion
fluctuations which formally coincides with that of a harmonic oscillator. The
corresponding quantum corrections to the soliton mass together with the
semi--classical cranking prescription yield reasonable predictions for the
masses of the nucleon and the $\Delta$--resonance when the constituent quark
mass is chosen to be about 400MeV. These calculations are, to some extend,
hampered by the non--confining character of the Nambu--Jona--Lasinio model.
Comments on the $1/N_C$ counting scheme are added.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 17:14:17 GMT""}]","2009-09-25"
"hep-ph/9408344","Xinnian Wang","Xin-Nian Wang, Miklos Gyulassy and Michael Pl\""umer","The LPM effect in QCD and Radiative energy loss in a quark-gluon plasma","28 pages in REVTex, 4 figures in uuencoded files, LBL-35980","Phys.Rev.D51:3436-3446,1995","10.1103/PhysRevD.51.3436",,"hep-ph nucl-th",,"  The non-abelian analog of the Landau-Pomeranchuk-Migdal effect is
investigated in perturbative QCD. Extending our previous studies, the
suppression of induced soft bremsstrahlung due to multiple scatterings of
quarks in the spinor representation is considered. The effective formation time
of gluon radiation due to the color interference is shown to depend on the
color representation of the emitting parton, and an improved formula for the
radiative energy loss is derived that interpolates between the factorization
and Bethe-Heitler limits.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 18:00:35 GMT""}]","2009-10-09"
"hep-ph/9408345","My Account","J. Lopez, D. Nanopoulos, and A. Zichichi","Experimental consequences of one-parameter no-scale supergravity models","31 pages, 16 figures (not included), LaTeX. Uuencoded file
  (OneFigs.uu, 0.45MB) with all figures, and full postscript file with embedded
  figures (One.ps, 1.84MB) available via anonymous ftp from hplaa02.cern.ch
  /pub/lopez. CERN-TH.7401/94","Int.J.Mod.Phys.A10:4241-4264,1995","10.1142/S0217751X95001972",,"hep-ph",,"  We consider the experimental predictions of two {\em one-parameter} no-scale
$SU(5)\times U(1)$ supergravity models with string-inspired moduli and dilaton
seeds of supersymmetry breaking. These predictions have been considerably
sharpened with the new information on the top-quark mass from the Tevatron, and
the actual measurement of the $B(b\to s\gamma)$ branching ratio from CLEO. In
particular, the sign of the Higgs mixing parameter $\mu$ is fixed. A more
precise measurement of the top-quark mass above (below) $\approx160\GeV$ would
disfavor the dilaton (moduli) scenario. Similarly a measurement of the lightest
Higgs-boson mass above 90 GeV (below 100 GeV) would disfavor the dilaton
(moduli) scenario. At the Tevatron with $100\ipb$, the reach into parameter
space is significant only in the dilaton scenario ($m_{\chi^\pm_1}\lsim80\GeV$)
via the trilepton and top-squark signals. At LEPII the dilaton scenario could
be probed up the kinematical limit via chargino and top-squark pair production,
and the discovery of the lightest Higgs boson is guaranteed. In the moduli
scenario only selectron pair production looks promising. We also calculate the
supersymmetric contribution to the anomalous magnetic moment of the muon.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 18:24:57 GMT""}]","2009-08-25"
