"alg-geom/9408006","Serge M. L'vovsky","S.L'vovsky","On Landsberg's criterion for complete intersections","4 pages, LaTeX 2.09",,,,"alg-geom math.AG",,"  In his preprint ``Differential-Geometric Characterizations of Complete
Intersections'' (alg-geom/9407002), J.M.Landsberg introduces an elementary
characterization of complete intersections. The proof of this criterion uses
the method of moving frames. The aim of this note is to present an elementary
proof of Landsberg's criterion that is valid over any ground field.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 08:43:07 GMT""}]","2008-02-03"
"astro-ph/9408079","Alexander Lazarian","A. Lazarian","Paramagnetic alignment of fractal grains","11 pages, PostScript, to appear in A&A",,,,"astro-ph",,"  Paramagnetic alignment of fractal suprathermally rotating grains is
discussed. It is shown that if the concentration of H$_{2}$formation sites is
low and resurfacing is active, fractal structure of grains enhances their
alignment. Studying the influence of grain surface physics and chemistry on the
alignment we found that there exist two critical values of grain sizes, and the
alignment of smaller grains is expected to decrease as compared to the
predictions of the Purcell's theory (1979). One of the critical sizes is due to
intensified poisoning of active sites, while the other is a result of a finite
value of the imaginary part of magnetic susceptibility in the limit of high
angular velocities. On the contrary, if active sites completely cover grain
surface, suprathermal rotation, and therefore efficient alignment, is possible
only for a limited range of grain sizes.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 19:37:56 GMT""}]","2007-05-23"
"astro-ph/9408080","Karsten Jedamzik","K. Jedamzik","The Cloud-in-Cloud Problem in the Press-Schechter Formalism of
  Hierarchical Structure Formation","13 pages, 4 figures (available upon request by mail or fax), plain
  tex","Astrophys.J. 448 (1995) 1-17","10.1086/175936",,"astro-ph",,"  The formalism by Press and Schechter (PS) is often used to infer number
densities of virialized objects of mass M (e.g. quasars, galaxies, clusters of
galaxies, etc.) from a count of initially overdense regions in a Gaussian
density perturbation field. We reanalyze the PS-formalism by explicitly
counting underdense regions which are embedded within overdense regions, so
called cloud-in-clouds. In contrast to the original PS-formalism, our revised
analysis automatically accounts for all the cosmic material. We find that mass
distribution functions for virialized objects are altered by the proper
solution of the cloud-in-cloud problem. These altered distribution functions
agree much better with distribution functions inferred form N-body simulations
than the original PS-distribution functions.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 00:50:06 GMT""}]","2009-10-22"
"astro-ph/9408081","Karsten Jedamzik","K. Jedamzik and G.M. Fuller","Baryon Number Transport in a Cosmic QCD-Phase Transition","25 pages, 4 figures (available upon request by mail or fax), plain
  tex, UCRL-JC-000000","Nucl.Phys. B441 (1995) 215-233","10.1016/0550-3213(95)00097-C",,"astro-ph",,"  We investigate the transport of baryon number across phase boundaries in a
putative first order QCD-phase transition. Two independent phenomenological
models are employed to estimate the baryon penetrability at the phase boundary:
chromoelectric flux tube models; and an analogy to baryon-baryon coalescence in
nuclear physics. Our analysis indicates that baryon transport across phase
boundaries may be order of magnitude more efficient than other work has
suggested. We discuss the substantial uncertainties involved in estimating
baryon penetrability at phase boundaries.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 00:57:20 GMT""}]","2009-10-22"
"cmp-lg/9408012","Student","Hsin-Hsi Chen (National Taiwan University) and Yue-Shi Lee (National
  Taiwan University)","Approximate N-Gram Markov Model for Natural Language Generation","to appear in proceedings of QUALICO-94, 6 pages, uuencoded compressed
  Postscript file; extract with Unix uudecode and uncompress",,,,"cmp-lg cs.CL",,"  This paper proposes an Approximate n-gram Markov Model for bag generation.
Directed word association pairs with distances are used to approximate
(n-1)-gram and n-gram training tables. This model has parameters of word
association model, and merits of both word association model and Markov Model.
The training knowledge for bag generation can be also applied to lexical
selection in machine translation design.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 07:31:47 GMT""}]","2008-02-03"
"cmp-lg/9408013","Hiyan Alshawi","Hiyan Alshawi (AT&T Bell Laboratories), David Carter (SRI
  International, Cambridge)","Training and Scaling Preference Functions for Disambiguation","To appear in Computational Linguistics (probably volume 20, December
  94). LaTeX, 21 pages",,,,"cmp-lg cs.CL",,"  We present an automatic method for weighting the contributions of preference
functions used in disambiguation. Initial scaling factors are derived as the
solution to a least-squares minimization problem, and improvements are then
made by hill-climbing. The method is applied to disambiguating sentences in the
ATIS (Air Travel Information System) corpus, and the performance of the
resulting scaling factors is compared with hand-tuned factors. We then focus on
one class of preference function, those based on semantic lexical collocations.
Experimental results are presented showing that such functions vary
considerably in selecting correct analyses. In particular we define a function
that performs significantly better than ones based on mutual information and
likelihood ratios of lexical associations.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 00:11:32 GMT""}]","2008-02-03"
"cmp-lg/9408014","Hiyan Alshawi","Hiyan Alshawi (AT&T Bell Laboratories)","Qualitative and Quantitative Models of Speech Translation","Appeared in proceedings of the ACL workshop ""The Balancing Act,
  Combining Symbolic and Statistical Approaches to Language"", Las Cruces NM,
  July 1994. LaTeX, 24 pages",,,,"cmp-lg cs.CL",,"  This paper compares a qualitative reasoning model of translation with a
quantitative statistical model. We consider these models within the context of
two hypothetical speech translation systems, starting with a logic-based design
and pointing out which of its characteristics are best preserved or eliminated
in moving to the second, quantitative design. The quantitative language and
translation models are based on relations between lexical heads of phrases.
Statistical parameters for structural dependency, lexical transfer, and linear
order are used to select a set of implicit relations between words in a source
utterance, a corresponding set of relations between target language words, and
the most likely translation of the original utterance.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 00:14:29 GMT""}]","2008-02-03"
"cond-mat/9408069",,"B. Normand, H. Kohno and H. Fukuyama","Superconductive Phonon Anomalies in High-$T_c$ Cuprates","heavily revised version of previous paper, including systematic
  treatment of effect of $t$ term, coupling constant derivation and calculation
  of phonon linewidth broadening. Revised Figs. 3 and 4 still only available by
  sending fax # to normand@tkyvax.phys.s.u-tokyo-ac.jp",,"10.1016/0022-3697(95)00212-X",,"cond-mat",,"  We consider the effects on phonon dynamics of spin-lattice coupling within
the slave-boson mean-field treatment of the extended $t$-$J$ model. With no
additional assumptions the theory is found to give a semi-quantitative account
of the frequency and linewidth anomalies observed by Raman and neutron
scattering for the 340$cm^{-1}$ $B_{1g}$ phonon mode in $YBa_2Cu_3O_7$ at the
superconducting transition. We discuss the applicability of the model to phonon
modes of different symmetries, and report a connection to spin-gap features
observed in underdoped YBCO. The results suggest the possibility of a unified
understanding of the anomalies in transport, magnetic and lattice properties.
","[{""version"":""v1"",""created"":""Tue, 23 Aug 1994 17:05:31 GMT""},{""version"":""v2"",""created"":""Fri, 23 Dec 1994 17:20:50 GMT""}]","2009-10-22"
"cond-mat/9408073","Jochen Rau","Jochen Rau","Ballistic Transport Through Chaotic Cavities: Can Parametric
  Correlations and the Weak Localization Peak be Described by a Brownian Motion
  Model?","5 pages revtex (twocolumn)","Phys. Rev. B 51 (1995) 7734","10.1103/PhysRevB.51.7734",,"cond-mat",,"  A Brownian motion model is devised on the manifold of S-matrices, and applied
to the calculation of conductance-conductance correlations and of the weak
localization peak. The model predicts that (i) the correlation function in $B$
has the same shape and width as the weak localization peak; (ii) the functions
behave as $\propto 1-{\cal O}(B^2)$, thus excluding a linear line shape; and
(iii) their width increases as the square root of the number of channels in the
leads. Some of these predictions agree with experiment and with other
calculations only in the limit of small $B$ and a large number of channels.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 00:44:12 GMT""}]","2009-04-30"
"cond-mat/9408074","Zlatko Tesanovic","Zlatko Tesanovic and Igor F. Herbut","The High-Field Superconducting Transition induced by Correlated Disorder","12 pages, LaTEX, one figure on request, JHU-TIPAC-9413",,"10.1103/PhysRevB.50.10389",,"cond-mat",,"  The ""glassy"" superconducting transition at high magnetic fields can be
induced by columnar disorder. A model is proposed in which the thermodynamics
of Bose condensation of Cooper pairs into the lowest Landau-level eigenstate of
the random potential can be solved exactly. The solution reflects a peculiar
character of the high-field limit: for example, the effective dimensionality of
the transition is shown to be a function of the magnetic field.
","[{""version"":""v1"",""created"":""Wed, 24 Aug 1994 01:43:14 GMT""}]","2009-10-22"
