"alg-geom/9408009","Pavel Katsylo","P.Katsylo and D.Mikhailov","Ternary quartics and 3-dimensional commutative algebras","5 pages, AMSTEX, version 2.1",,,,"alg-geom math.AG",,"  We find the connection between 3-dimensional commutative algebras with a
trivial trace and plane quartics and its bitangents.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 15:17:41 GMT""}]","2008-02-03"
"astro-ph/9408091","Fred Walter : Astronomy","F. M. Walter, S. J. Wolk, and N. R. Adams (ESS Dept, SUNY Stony Brook)","The Long Period AM Her-like Cataclysmic Variable RXJ051541+0104.6","Accepted by ApJ. 23 pages. AAS/WGAS LaTeX. 9 figures available via
  anonymous FTP from sbast3.ess.sunysb.edu in /pub/fred/fig_*.ps","Astrophys.J. 440 (1995) 834","10.1086/175319",,"astro-ph",,"  We report the discovery of a new catacysmic variable system,
RXJ051541+0104.6. The optical spectrum has a blue continuum with superposed H~I
and He~I and II emission lines. The soft X-ray spectrum is well fit with a
50~eV black body. The X-ray and optical data are suggestive of an AM~Herculis
system. The X-ray light curve shows extreme variability on timescales of
seconds, and suggests an orbital period of order 8~hours, nearly twice that of
the longest catalogued AM~Her period. When bright, the X-ray light curve breaks
up into a series of discrete bursts, which may be due to accretion of dense
blobs of material of about 10$^{17}$~gm mass.
","[{""version"":""v1"",""created"":""Mon, 29 Aug 1994 18:46:25 GMT""}]","2009-10-22"
"astro-ph/9408092","Nick Kaiser","Nick Kaiser","Non-Linear Cluster Lens Reconstruction","6 pages, uuencoded compressed postscript, CITA-94-39",,"10.1086/187730",,"astro-ph",,"  We develop a method for general non-linear cluster lens reconstruction using
the observable distortion of background galaxies. The distortion measures the
combination $\gamma/(1-\kappa)$ of shear $\gamma$ and surface density $\kappa$.
From this we obtain an expression for the gradient of $\log (1 - \kappa)$ in
terms of directly measurable quantities. This allows one to reconstruct $1 -
\kappa$ up to an arbitrary constant multiplier. Recent work has emphasised an
ambiguity in the relation between the distortion and $\gamma/(1-\kappa)$. Here
we show that the functional relation depends only on the parity of the images,
so if one has data extending to large radii, and if the critical lines can be
visually identified (as lines along which the distortion diverges), this
ambiguity is resolved. Moreover, we show that for a generic 2-dimensional lens
it is possible to locally determine the parity from the distortion. The
arbitrary multiplier, which may in fact take a different value in each region
bounded by the contour $\kappa = 1$, can be determined by requiring that the
mean surface excess vanish at large radii and that the gradient of $\kappa$
should be continuous across $\kappa = 1$. We show how these ideas might be
implemented to reconstruct the surface density, if necessary without use of the
data in regions where determination of the parity is insecure, and we show how
one can measure the mass contained within an aperture, again, if necessary,
without using data within the aperture.
","[{""version"":""v1"",""created"":""Mon, 29 Aug 1994 20:44:26 GMT""}]","2009-10-22"
"astro-ph/9408093",,"Alejandro Gangui (SISSA)","Primordial Non-Gaussian Signatures in the Sky","4pp; PostScript file",,"10.1007/3-540-60024-8_85",,"astro-ph",,"  The presence of non-Gaussian features in the CMB radiation maps represents
one of the most long-awaited clues in the search for the actual structure of
the primordial radiation. These features could shed some light on the non
trivial task of distinguishing the real source of the primeval perturbations
leading to large scale structure. In the present paper we briefly review recent
work towards finding analytical estimates of the three- and four-point
correlation functions and of their zero-lag limits, namely, the skewness and
kurtosis, respectively. - Contributed talk to appear in the proceedings of
""Birth of the Universe & Fundamental Physics"", May 18-21, 1994, Rome, Italy.
","[{""version"":""v1"",""created"":""Mon, 29 Aug 1994 21:36:00 GMT""}]","2009-10-22"
"astro-ph/9408098","Steve Zepf","S.E. Zepf, D. Geisler, and K.M. Ashman","The Richness of the Globular Cluster System of NGC 3923: Clues to
  Elliptical Galaxy Formation","13 pages + 3 figures, uuencoded postscript, to appear in ApJ Letters,
  UC-BERK-94",,"10.1086/187608",,"astro-ph",,"  We present new data on the globular cluster system of the elliptical galaxy
NGC 3923 which show that it has the most globular clusters per unit luminosity
of any non-cluster elliptical yet observed, with $S_N=6.4 \pm1.4$. NGC 3923 is
also among the brightest ellipticals outside of a galaxy cluster for which the
number of globular clusters has been determined. Our observation of a large
number of clusters per unit luminosity (high $S_N$ value) for a bright
elliptical in a sparse environment is consistent with the suggestion of
Djorgovski \& Santiago that the number of globular clusters is a power law
function of the luminosity with an exponent greater than one. We relate this
higher specific frequency of globular clusters in more luminous galaxies to
other observations which indicate that the physical conditions within
elliptical galaxies at the time of their formation were dependent on galaxy
mass.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 04:40:18 GMT""}]","2009-10-22"
"chao-dyn/9408005","Ga'bor Vattay","G. Vattay (Institute for Solid State Physics, E\""otv\""os University,
  M\'uzeum krt. 6-8, H-1088 Budapest, Hungary), A. Wirzba (Institut f\""ur
  Kernphysik, Technische Hochschule, Schlo{\ss}gartenstr. 9, D-64289 Darmstadt,
  Germany) and P.E. Rosenqvist (Niels Bohr Institute, Blegdamsvej 17, DK-2100
  Copenhagen O, Denmark)","Inclusion of Diffraction Effects in the Gutzwiller Trace Formula","4 pages, LaTeX, 1 ps figure","Dynamical Systems and Chaos Vol. 2. p. 463, Proceedings of ICDC
  Tokyo 23-27 May 1994, World Scientific, (1995)",,"20","chao-dyn cond-mat nlin.CD",,"  The Gutzwiller trace formula is extended to include diffraction effects. The
new trace formula involves periodic rays which have non-geometrical segments as
a result of diffraction on the surfaces and edges of the scatter.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 13:28:56 GMT""},{""version"":""v2"",""created"":""Wed, 31 Aug 1994 10:51:06 GMT""}]","2016-08-14"
"cond-mat/9408091","Deniz Ertas","Yacov Kantor and Deniz Ertas","Extremal Segments in Random Sequences","3 pages, REVTEX 3.0, with multicol.sty, epsf.sty and EPS figures
  appended via uufiles. (Email in case of trouble.) CHANGES: Missing figure
  added to figures.uu MIT-CMT-KE-94-1","J. Phys. A27 (Letter to Editor), L907-L911 (1994)","10.1088/0305-4470/27/24/001",,"cond-mat",,"  We investigate the probability for the largest segment in with total
displacement $Q$ in an $N$-step random walk to have length $L$. Using
analytical, exact enumeration, and Monte Carlo methods, we reveal the complex
structure of the probability distribution in the large $N$ limit. In
particular, the size of the longest loop has a distribution with a square-root
singularity at $\ell\equiv L/N=1$, an essential singularity at $\ell=0$, and a
discontinuous derivative at $\ell=1/2$.
","[{""version"":""v1"",""created"":""Mon, 29 Aug 1994 20:28:40 GMT""},{""version"":""v2"",""created"":""Tue, 30 Aug 1994 22:52:36 GMT""}]","2009-10-22"
"cond-mat/9408092","Fabian Essler","V.E. Korepin and F.H.L. Essler","Exactly Solvable Models of Strongly Correlated Electrons","Editors 490 pages, World Scientific, 1994, ISBN 981-02-1534-7",,,,"cond-mat",,"  This is a reprint volume devoted to exact solutions of models of strongly
correlated electrons in one spatial dimension by means of the Bethe Ansatz.
","[{""version"":""v1"",""created"":""Mon, 29 Aug 1994 20:29:08 GMT""}]","2007-05-23"
"cond-mat/9408093","Sung-Kyun Park","Sung--Kyun Park and Kyung--Soo Yi","The effects of the carrier interaction and electric fields on subband
  structures of selectively--doped semiconductor quantum wells","17 pages, revtex, 11 figures(available on request)",,,"PARK&YI-94-2","cond-mat",,"  We investigate the ground--state electronic properties of the symmetrically--
doped semiconductor quantum well in the presence of a homogeneous electric
field. In this paper we examined the effect of the electric field and carrier
interaction on the subband structure as a function of the field strength and
carrier concentration. The many--body effects are evaluated using a local
density functional exchange--correlation potential. We find that the electron
subband energy is reduced as the magnitude of the electric field is increased,
but it is increased as the surface carrier density is increased. However, the
separation of the electron subband energies is reduced for the increase in both
the electric field and surface carrier density. On the other hand, the energy
separation of the hole subbands is increased as the carrier density and field
strength are increased. Effect of the exchange--correlation potential on the
subband structure is found negligibly small in this calculation. The subband
energies are reduced slightly, increasing their separations little in the
presence of the local exchange--correlation potential.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 02:51:36 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 1994 04:06:00 GMT""}]","2008-02-03"
"cond-mat/9408094","Thierry Giamarchi","H. Maurey and T. Giamarchi","Transport properties of a quantum wire in the presence of impurities and
  long-range Coulomb forces","25 pages, RevTex3.0","Phys. Rev. B 51 10833 (1995)","10.1103/PhysRevB.51.10833",,"cond-mat",,"  One-dimensional electron systems interacting with long-range Coulomb forces
(quantum wires) show a Wigner crystal structure. We investigate in this paper
the transport properties of such a Wigner crystal in the presence of
impurities. Contrary to what happens when only short-range interactions are
included, the system is dominated by $4 k_F$ scattering on the impurities.
There are two important length scales in such a problem: one is the pinning
length above which the (quasi-)long-range order of the Wigner crystal is
destroyed by disorder. The other length $\xi_{cr}$ is the length below which
Coulomb interactions are not important and the system is behaving as a standard
Luttinger liquid with short-range interactions. We obtain the frequency and
temperature dependence of the conductivity. We show that such a system is very
similar to a classical charge density wave pinned by impurities, but with
important differences due to quantum fluctuations and long-range Coulomb
interactions. Finally we discuss our results in comparison with experimental
systems.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 13:29:47 GMT""}]","2009-10-22"
"cond-mat/9408095","Ken J. E. Vos","R.J. R.J. Gooding, K.J.E. Vos, and P.W. Leung","Theory of electron-hole asymmetry in doped {\em CuO$_2$} planes","27 pages, revtex 3.0, 6 Postscript Figures; to be published in Phys.
  Rev. B, Nov. 1, 1994",,"10.1103/PhysRevB.50.12866",,"cond-mat",,"  The magnetic phase diagrams, and other physical characteristics, of the hole-
doped {\em La$_{2-x}$Sr$_x$CuO$_4$} and electron-doped {\em Nd$_{2-x}$Ce$_x$
CuO$_4$} high-temperature superconductors are profoundly different. Starting
with the $t-t^{\prime}-J$ model, the spin distortions and the spatial distri-
bution of carriers for the multiply-doped systems will be related to the diffe-
rent ground states' single-hole quasiparticles. The low doping limit of the
hole-doped material corresponds to $\vec k = (\pi/2,\pi/2)$ quasiparticles,
states that generate so-called Shraiman-Siggia long-ranged dipolar spin distor-
tions via backflow. We propose that for the electron-doped materials the
single- hole ground state corresponds to $\vec k = (\pi,0)$ quasiparticles; we
show that the spin distortions generated by such carriers are short-ranged.
Then, we demonstrate the effect of this single-carrier difference in
many-carrier ground states via exact diagonalization results by evaluating
$S(\vec q)$ for up to 4 carriers in small clusters. Also, the different
single-carrier quasiparticles generate important differences in the spatial
distributions: for the hole-doped material the quasiparticles tend to stay far
apart from one another, whereas for the electron-doped material we find
tendencies consistent with the clustering of carriers, and possibly of
low-energy fluctuations into an electronic phase separated state. Lastly, we
propose the extrapolation of an approach based on the $t-t^{\prime}-J$ model to
the hole-doped 123 system.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 05:45:04 GMT""}]","2009-10-22"
