"alg-geom/9408010","Pavel Katsylo","P.Katsylo","Rationality of the Moduli Variety of Curves of Genus 3","13 pages, AMSTEX, version 2.1",,,,"alg-geom math.AG",,"  We prove rationality of the moduli variety of curves of genus 3.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 16:10:12 GMT""}]","2008-02-03"
"astro-ph/9408096","Stella Seitz","Stella Seitz and Peter Schneider","The Density of 1-Jansky Sources Around Zwicky Clusters","21 pages, uudecoded postscriptfile, figures included, MPA preprint
  number 828",,,,"astro-ph",,"  In a recent paper by Rodrigues-Williams \& Hogan (RH94), a correlation
between high-redshift, optically-selected QSOs and Zwicky clusters was reported
at a very high significance level. Due to the fairly bright flux threshold of
the cluster sample, these correlations cannot be interpreted as being due to an
environmental effect of the clusters on the quasar activity. The most likely
interpretation employed in RH94 was the effect of gravitational lensing by the
foreground clusters, though the required magnification to explain the observed
correlations has to be considerably higher than obtained from simple mass
models for the clusters. We have repeated the analysis of RH94 using a
different QSO sample, namely radio quasars and radio galaxies from the 1-Jy
sample. In accordance with RH, we detect a statistically significant
correlation between Zwicky clusters and 1-Jy sources with intermediate redshift
($z\approx 1$), but fail to detect significant effects for higher-redshift
sources. In addition, we detect a highly significant underdensity of
low-redshift radio sources around Zwicky clusters, for which an environmental
interpretation seems to be most reasonable. Our result for the overdensity of
$z\sim 1$ sources is in good agreement with previous results and can possibly
be interpreted as a lensing effect, though we have not tried to quantitatively
investigate a lensing model. Other interpretations, such as patchy dust
obscuration, can not explain the observed effect and its tendency with
redshift.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 17:51:04 GMT""}]","2007-05-23"
"astro-ph/9408097","Gary Hinshaw","A.J. Banday, K.M. Gorski, L. Tenorio, E.L. Wright, G.F. Smoot, C.H.
  Lineweaver, A. Kogut, G. Hinshaw, & C.L. Bennett","On the RMS Anisotropy at 7 degrees and 10 degrees Observed in the
  COBE-DMR Two Year Sky Maps","15 pages including 3 tables and 3 figures, uuencoded Postscript;
  Accepted for publication in The Astrophysical Journal; COBE Preprint 94-16","Amer.Astron.Soc.Meeting 185 (1994) 5701",,,"astro-ph",,"  The frequency-independent RMS temperature fluctuations determined from the
COBE-DMR two year sky maps are used to infer the parameter Q_{rms-PS}, which
characterizes the normalization of power law models of primordial cosmological
temperature anisotropy. In particular, a 'cross'-RMS statistic is used to
determine Q_{rms-PS} for a forced fit to a scale-invariant Harrison-Zel'dovich
(n = 1) spectral model. Using a joint analysis of the 7 degree and 10 degree
RMS temperature derived from both the 53 and 90 GHz sky maps, we find
Q_{rms-PS} = 17.0^{+2.5}_{-2.1} uK when the low quadrupole is included, and
Q_{rms-PS} = 19.4^{+2.3}_{-2.1} uK excluding the quadrupole. These results are
consistent with the n = 1 fits from more sensitive methods (e.g. power
spectrum, correlation function). The effect of the low quadrupole derived from
the COBE-DMR data on the inferred Q_{rms-PS} normalization is investigated. A
bias to lower Q_{rms-PS} is found when the quadrupole is included. The higher
normalization for a forced n = 1 fit is then favored by the cross-RMS
technique. As initially pointed out in Wright et al. (1994a) and further
discussed here, analytic formulae for the RMS sky temperature fluctuations will
NOT provide the correct normalization amplitude.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 18:21:14 GMT""}]","2007-05-23"
"astro-ph/9408099",,"A. de Rujula, G. Giudice, S. Mollerach and E. Roulet","Whither do the microlensing Brown Dwarfs rove?","30 pages, CERN-TH.7389/94. Plain Latex paper. 8 postcript figures
  appended as an uuencoded file","Mon.Not.Roy.Astron.Soc. 275 (1995) 545-556","10.1093/mnras/275.3.545",,"astro-ph hep-ph",,"  The EROS and MACHO collaborations have reported observations of light curves
of stars in the Large Magellanic Cloud that are compatible with gravitational
microlensing by intervening massive objects, presumably Brown-Dwarf stars. The
OGLE and MACHO teams have also seen similar events in the direction of the
galactic Bulge. Current data are insufficient to decide whether the
Brown-Dwarfs are dark-matter constituents of the non-luminous galactic Halo, or
belong to a more conventional population, such as that of faint stars in the
galactic Spheroid, in its Thin or Thick Disks, or in their possible LMC
counterparts. We discuss in detail how further observations of microlensing
rates, and of the moments of the distribution of event durations, can help
resolve the issue of the Brown-Dwarf location, and eventually provide
information on the mass function of the dark objects.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 11:40:13 GMT""}]","2015-06-24"
"astro-ph/9408100","Eyal Maoz","Eyal Maoz and Jonathan Grindlay","An Extended Galactic Population of Low-Luminosity X-Ray Sources (CVs?)
  and the Diffuse X-Ray Background","20 pages, PostScript file (330K including figures), submitted to ApJ","Astrophys.J. 444 (1995) 183","10.1086/175593",,"astro-ph",,"  Summary of abstract: The existence of a new population of yet unrecognized
x-ray sources has been often suggested to resolve some pecularities in the
properties of the x-ray background (XRB), and has recently been indicated by an
analysis of resolved sources in deep ROSAT observations (Hasinger \etal 1993).
  We investigate the possibility that the indicated new population of x-ray
sources is Galactic in origin, and derive its properties which would resolve
the discrepancy found in the number counts of faint sources, and be consistent
with observational constraints on the total background intensity, the XRB
anisotropy, the number of unidentified bright sources, the Galaxy's total x-ray
luminosity, and with the results of fluctuation analyses of the unresolved XRB.
  We find that a flattened Galactic halo (or a thick disk) distribution with a
scale height of a few Kpc satisfies all the above requirements. The typical
x-ray luminosity of the sources is $\approx 10^{30-31}$ erg/s in the 0.5-2 KeV
band, the number density of sources in the Solar vicinity is $\sim 10^{-4.5}
pc^{-3}$, their total number in the Galaxy is $\sim 10^{8.5}$, and they
contribute $\sim 10^{39}$ erg/s to the Galaxy's total x-ray luminosity.
  We discuss the possible nature of these sources (subdwarfs, LMXBs, old
neutron stars), and argue that the inferred x-ray and optical luminosities of
the sources, their $\sim 2-4$ KeV spectrum, and the derived local number
density and spatial distribution are all consistent with them being intrinsicly
faint cataclysmic variables with low accretion rates. We discuss the possible
origin of such population, including an origin from disrupted globular clusters
or dark clusters, make predictions, and suggest observational tests.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 13:29:10 GMT""}]","2009-10-22"
"astro-ph/9408101","Martin E. Sulkanen","Douglas A. Swartz, S. L. O'Dell, M.E. Sulkanen, and A.F. Tennant","Statistical Uncertainties in Temperature Diagnostics for Hot Coronal
  Plasma Using the ASCA SIS","postscript file of 8 pages+3 figures; 4 files tarred, compressed and
  uuencoded. To appear in the Astrophysical Journal Letters; contents copyright
  1994 American Astronomical Society",,"10.1086/187616",,"astro-ph",,"  Statistical uncertainties in determining the temperatures of hot (0.5 keV to
10 keV) coronal plasmas are investigated. The statistical precision of various
spectral temperature diagnostics is established by analyzing synthetic ASCA
Solid-state Imaging Spectrometer (SIS) CCD spectra. The diagnostics considered
are the ratio of hydrogen-like to helium-like line complexes of $Z\ge14$
elements, line-free portions of the continuum, and the entire spectrum. While
fits to the entire spectrum yield the highest statistical precision, it is
argued that fits to the line-free continuum are less susceptible to atomic data
uncertainties but lead to a modest increase in statistical uncertainty over
full spectral fits. Temperatures deduced from line ratios can have similar
accuracy but only over a narrow range of temperatures. Convenient estimates of
statistical accuracies for the various temperature diagnostics are provided
which may be used in planning ASCA SIS observations.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 15:35:16 GMT""}]","2009-10-22"
"cmp-lg/9408016","Detmar Meurers","Walt Detmar Meurers (SFB 340/B4, University of Tuebingen, Germany)","On Implementing an HPSG theory -- Aspects of the logical architecture,
  the formalization, and the implementation of head-driven phrase structure
  grammars","paper (56 pages), appendix (28 pages), format: LaTeX, tared,
  compressed, and uuencoded (using uufiles) used: chicago.sty, tree-dvips.sty,
  tree-dvips.pro, psfig.tex, 2up.sty (all available from cmp-lg server)",,,"SFB report Nr.58","cmp-lg cs.CL",,"  The paper presents some aspects involved in the formalization and
implementation of HPSG theories. As basis, the logical setups of Carpenter
(1992) and King (1989, 1994) are briefly compared regarding their usefulness as
basis for HPSGII (Pollard and Sag 1994). The possibilities for expressing HPSG
theories in the HPSGII architecture and in various computational systems (ALE,
Troll, CUF, and TFS) are discussed. Beside a formal characterization of the
possibilities, the paper investigates the specific choices for constraints with
certain linguistic motivations, i.e. the lexicon, structure licencing, and
grammatical principles. An ALE implementation of a theory for German proposed
by Hinrichs and Nakazawa (1994) is used as example and the ALE grammar is
included in the appendix.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 15:21:26 GMT""}]","2008-02-03"
"cond-mat/9408096","Jose P. Rodriquez","J.P. Rodriguez","Observable Zero Sound in Strongly Correlated Metals","12 pgs, TeX, Accepted for publication in Physical Review Letters",,"10.1103/PhysRevLett.73.1675",,"cond-mat",,"  The slow zero-sound mode expected near the Mott transition in strongly
interacting two-dimensional Fermi systems that are neutral is shown to persist
as the physical sound mode in the case that the fermion carries electronic
charge and is embedded in a positive ionic background. The latter sound
velocity softens completely precisely at the Mott transition, indicating that a
zone-center structural transition will occur in the system. We suggest that
this phonon-softening mechanism is related to the structural transitions
commonly observed in the oxide superconductors.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 08:16:36 GMT""}]","2009-10-22"
"cond-mat/9408097","Tony Guttmann","M.L. Glasser and A.J. Guttmann","Lattice Green Function (at 0) for the 4d Hypercubic Lattice","latex, 5 pages, Res. Report 19",,"10.1088/0305-4470/27/21/016",,"cond-mat",,"  The generating function for recurrent Polya walks on the four dimensional
hypercubic lattice is expressed as a Kampe-de-Feriet function. Various
properties of the associated walks are enumerated.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 08:28:10 GMT""}]","2009-10-22"
"cond-mat/9408098","Nobuki Maeda","K.Ishikawa, N.Maeda and K.Tadaki","Magnetic von-Neumann lattice for two-dimensional electrons in the
  magnetic field","21pages, figures not included, EPHOU-94-002","Phys. Rev. B51 (1995) 5048","10.1103/PhysRevB.51.5048",,"cond-mat",,"  One-particle eigenstates and eigenvalues of two-dimensional electrons in the
strong magnetic field with short range impurity and impurities, cosine
potential, boundary potential, and periodic array of short range potentials are
obtained by magnetic von-Neumann lattice in which Landau level wave functions
have minimum spatial extensions. We find that there is a dual correspondence
between cosine potential and lattice kinetic term and that the representation
based on the von-Neumann lattice is quite useful for solving the system's
dynamics.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 10:32:23 GMT""}]","2009-10-22"
"cond-mat/9408099","Mikhail Yurishchev","M. A. Yurishchev","Hyperuniversality of Fully Anisotropic Three-Dimensional Ising Model","RevTeX 3.0, 24 pages, 2 figures upon request, accepted for
  publication in Phys. Rev. B",,"10.1103/PhysRevB.50.13533",,"cond-mat",,"  For the fully anisotropic simple-cubic Ising lattice, the critical
finite-size scaling amplitudes of both the spin-spin and energy-energy inverse
correlation lengths and the singular part of the reduced free-energy density
are calculated by the transfer-matrix method and a finite-size scaling for
cyclic L x L x oo clusters with L=3 and 4. Analysis of the data obtained shows
that the ratios and the directional geometric means of above amplitudes are
universal.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 09:47:32 GMT""}]","2009-10-22"
