"alg-geom/9409001",,"Paul Meurer","The Number of Rational Quartics on Calabi-Yau hypersurfaces in Weighted
  Projective Space P(2,1^4)","28 pages, AMSLaTeX 1.1",,,,"alg-geom math.AG",,"  We compute the number of rational quartics on a general Calabi-Yau
hypersurface in weighted projective space P(2,1^4). The result agrees with the
prediction made by mirror symmetry.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:32:16 GMT""}]","2008-02-03"
"astro-ph/9409001","Andrew P. Gould","Andrew Gould","Transverse Velocities of Galaxies From Microlens Parallaxes","15 pages, no figures, PostScript file, or request PostScript file to
  gould@payne.mps.ohio-state.edu, OSU-TA-17/94",,,,"astro-ph",,"  The transverse velocity of a spiral galaxy can be measured to an accuracy
$\sim 60\,\kms$ by making parallax observations of quasars being microlensed by
stars in the disk of the galaxy. To make the measurement, a quasar must be
located behind the disk of the galaxy between about 1 and 2 scale lengths from
the center. The quasar must then be monitored for microlensing events and the
events followed simultaneously from the Earth and a satellite in solar orbit,
preferably at $\sim 30\,$AU. A systematic search in a volume within
$21,000\,\kms$ could locate quasars with $B<23$ behind a total of $\sim 1900$
galaxies. The rate of lensing events (and hence galaxy velocity measurements)
would be $\sim 3\,{\rm yr}^{-1}$. The events would have typical characteristic
times $\omega^{-1}\sim 3\,$yr. Under the assumption that the mass spectrum of
lensing objects is the same in other spiral galaxies as in our own, the
observations could be used to measure the Hubble parameter to an accuracy of
5\%.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 22:48:45 GMT""}]","2007-05-23"
"astro-ph/9409002","Wyn Evans","N.W. Evans","Microlensing Maps for the Galactic Bulge","12 pages, Latex",,"10.1086/187675",,"astro-ph",,"  Microlensing maps -- that is, contours of equal numbers of events per $10^6$
source stars -- are provided for the inner Galaxy under two alternative
hypotheses : (1) the bulge is an oblate axisymmetric spheroid or (2) the bulge
is a prolate bar. Oblate spheroids yield a total of $\sim 12$ events per year
per $10^6$ stars at Baade's Window ($\sim 15$ events if the disk is maximal).
The event rate is slightly lower for prolate bars viewed at $\sim 45^\circ$ and
the maps have a characteristic asymmetry between positive and negative
longitudes. Prolate bars can yield mild amplifications of the event rate if
viewed almost down the long axis. The disk provides the dominant lensing
population on the bulge major axis for $|\ell | \gta 6^\circ$. Measurements of
the rate at major axis windows can test for disk dark matter or maximal disk
models.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 23:28:27 GMT""}]","2009-10-22"
"astro-ph/9409004","Paul Johnson","R.J. Protheroe, T. Stanev and V.S. Berezinsky","Electromagnetic Cascades and Cascade Nucleosynthesis in the Early
  Universe","compressed and uuencoded postscript. We now include a comparison with
  previous work of the photon spectrum in the cascade and the limits we
  calculate for the density of massive particles. The method of calculation of
  photon spectra at low energies has been improved. Most figures are revised.
  Our conclusions are substantially unchanged","Phys.Rev.D51:4134-4144,1995","10.1103/PhysRevD.51.4134","ADP-AT-94-5","astro-ph",,"  We describe a calculation of electromagnetic cascading in radiation and
matter in the early universe initiated by the decay of massive particles or by
some other process. We have used a combination of Monte Carlo and numerical
techniques which enables us to use exact cross sections, where known, for all
the relevant processes. In cascades initiated after the epoch of big bang
nucleosynthesis $\gamma$-rays in the cascades will photodisintegrate $^4$He,
producing $^3$He and deuterium. Using the observed $^3$He and deuterium
abundances we are able to place constraints on the cascade energy deposition as
a function of cosmic time. In the case of the decay of massive primordial
particles, we place limits on the density of massive primordial particles as a
function of their mean decay time, and on the expected intensity of decay
neutrinos.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 03:07:52 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jan 1995 02:15:00 GMT""}]","2011-05-12"
"astro-ph/9409005","Il Greco","M.Plionis and R.Valdarnini","The 1-Point Cluster Distribution Function and its Moments","LaTex file. Submitted in MNRAS June 1994. Figures upon request",,"10.1093/mnras/272.4.869",,"astro-ph",,"  We derive the 1-point probability density function of the smoothed 3-D
Abell-ACO cluster density field and we compare it with that of artificial
cluster samples, generated as high peaks of a Gaussian field in such a way that
they reproduce the low-order (2- and 3-point) correlation functions and the
observed cluster selection functions. We find that both real and simulated {\em
pdf}'s are well approximated by a log-normal distribution even when the
Gaussian smoothing radius is as large as 40 $h^{-1}$ Mpc. Furthermore the
low-order moments of the {\em pdf} are found to obey a relation $\gamma = S_{3}
\sigma^4$, with $\gamma$ being the skewness and $S_{3}\approx 1.8$. These
results are consistent with clusters being high-peaks of an underlying initial
Gaussian density field. A by-product of our analysis is that when we rescale
the {\em pdf} cluster moments to those of the QDOT-IRAS galaxies, using linear
biasing with $b_{cI}\sim 4.5$ and for the common smoothing radius of 20
$h^{-1}$ Mpc, we find them to be significantly smaller than those directly
estimated from the QDOT data by Saunders et al. (1991).
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 11:20:11 GMT""}]","2015-06-24"
"comp-gas/9408002","Yu Chen","Y. Chen, H. Ohashi and M. Akiyama (Department of Quantum Engineering
  and Systems Science Faculty of Engineering, University of Tokyo)","Heat Transfer in Lattice BGK Modeled Fluid","9 pages, 5 figures, in compressed uuencoded form. I am sorry that I
  mistyped Eq. 20 in the first post. It is now corrected in this post",,"10.1007/BF02179969",,"comp-gas nlin.CG",,"  The thermal lattice BGK model is a recently suggested numerical tool which
aims to simulate thermohydrodynamic problems. We investigate the quality of the
lattice BGK simulation by calculating the temperature profiles in the Couette
flow under different Eckert and Mach numbers. A revised lower order model is
proposed and the higher order model is proved once again to be advantageous.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 01:16:23 GMT""},{""version"":""v2"",""created"":""Sun, 4 Sep 1994 02:54:41 GMT""}]","2009-10-22"
"cond-mat/9409004","Michael Geller","Michael R. Geller and Giovanni Vignale","Currents in the Compressible and Incompressible Regions of the 2DEG","27 pages in Tex, 4 figures available by request to
  mgeller@monad.missouri.edu, to appear in PRB",,"10.1103/PhysRevB.50.11714",,"cond-mat",,"  We derive a general expression for the low-temperature current distribution
in a two-dimensional electron gas, subjected to a perpendicular magnetic field
and in a confining potential that varies slowly on the scale of the magnetic
length l. The analysis is based on a self-consistent one-electron description,
such as the Hartree or standard Kohn-Sham equations. Our expression, which
correctly describes the current distribution on scales larger than l, has two
components: One is an ``edge current'' which is proportional to the local
density gradient and the other is a ``bulk current'' which is proportional to
the gradient of the confining potential. The direction of these currents
generally displays a striking alternating pattern.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 22:59:04 GMT""}]","2009-10-22"
"cond-mat/9409005","Pietrino","Pietro Donatis, Roberto Iengo (Sissa Trieste)","Magnetic screening properties of an incompressible chiral fluid","20 pages, plain tex, SISSA 50/94/EP",,"10.1016/0550-3213(94)90034-5",,"cond-mat hep-th",,"  We study the possible penetration of a static magnetic field in an idealized
sample of many layers supporting a two dimensional charged chiral quantum
fluid, to see whether there is a kind of Meissner effect. This is a non
standard problem since the quantum fluid is incompressible having a gap in its
spectrum. We find that the system shows an intermediate behaviour between
superconducting and non-superconducting fluids, the magnetic field being
screened or not depending on its orientation relative to the layers.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 08:30:13 GMT""}]","2009-10-22"
"cond-mat/9409006","Walter Metzner","W. Metzner and C. Castellani","Two particle correlations and orthogonality catastrophe in interacting
  Fermi systems","25 pages, LATEX, RWTH/ITP-C 10/94",,"10.1142/S021797929500080X",,"cond-mat",,"  The wave function of two fermions, repulsively interacting in the presence of
a Fermi sea, is evaluated in detail. We consider large but finite systems in
order to obtain an unabiguous picture of the two-particle correlations. As
recently pointed out by Anderson, in two or lower dimensions the particles may
be correlated even when situated on the Fermi surface. The ""partial exclusion
principle"" for two particles with opposite spin on the same Fermi point is
discussed, and related to results from the T-matrix approximation. Particles on
different Fermi points are shown to be uncorrelated in dimensions d > 1. Using
the results for the two-particle correlations we find that the orthogonality
effect induced by adding an extra particle to a (tentative) two-dimensional
Fermi liquid is finite.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 15:06:07 GMT""}]","2015-06-25"
"gr-qc/9409002",,"Shawn J. Kolitch","Qualitative Analysis of Brans-Dicke Universes with a Cosmological
  Constant","Paper has been shortened and discussion clarified. The stability
  analysis is now presented in tabular form. Some references added","Annals Phys. 246 (1996) 121-132","10.1006/aphy.1996.0022",,"gr-qc",,"  Solutions to flat space Friedmann-Robertson-Walker cosmologies in Brans-Dicke
theory with a cosmological constant are investigated. The matter is modelled as
a $\gamma$-law perfect fluid. The field equations are reduced from fourth order
to second order through a change of variables, and the resulting
two-dimensional system is analyzed using dynamical system theory. When the
Brans-Dicke coupling constant is positive $(\omega > 0)$, all initially
expanding models approach exponential expansion at late times, regardless of
the type of matter present. If $\omega < 0$, then a wide variety of
qualitatively distinct models are present, including nonsingular ``bounce''
universes, ``vacillating'' universes and, in the special case of $\omega = -1$,
models which approach stable Minkowski spacetime with an exponentially
increasing scalar field at late times. Since power-law solutions do not exist,
none of the models appear to offer any advantage over the standard deSitter
solution of general relativity in achieving a graceful exit from inflation.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 20:10:09 GMT""},{""version"":""v2"",""created"":""Tue, 14 Feb 1995 16:21:44 GMT""}]","2009-10-22"
"gr-qc/9409003","Mike Cassidy","M.J.Cassidy","Nonlinearity in Quantum Theory and Closed Timelike Curves","17 pages plain TeX, DAMTP R/94/34","Phys.Rev. D52 (1995) 5676-5680","10.1103/PhysRevD.52.5676",,"gr-qc hep-th",,"  We examine consequences of the density matrix approach to quantum theory in
the context of a model spacetime containing closed timelike curves and find
that in general, an initially pure state will evolve in a nonlinear way to a
mixed quantum state. CPT invariance and the implications of this nonlinearity
for the statistical interpretation of quantum theory are discussed.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 14:46:30 GMT""},{""version"":""v2"",""created"":""Sat, 3 Sep 1994 16:46:00 GMT""}]","2009-10-22"
