"adap-org/9409002","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow)","Secondary Image Synthesis In Electronic Computer Photography (Vtorichnyj
  Sintez Izobrazhenij V Elektronnoj Komp'Yuternoj Fotografii)","the text is written in Russian in AMSTEX with cyrillic fonts, 3 pages",,,,"adap-org nlin.AO",,"  The principal scheme of the secondary image synthesis in electronic computer
photography is described. The crucial role of the Clebsch-Gordan coefficient
calculus is pointed out.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 10:01:48 GMT""},{""version"":""v2"",""created"":""Fri, 9 Sep 1994 08:51:10 GMT""},{""version"":""v3"",""created"":""Thu, 22 Sep 1994 14:05:44 GMT""}]","2008-02-03"
"astro-ph/9409014","Steinn Sigurdsson","Steinn Sigurdsson, Lars Hernquist and Gerald D. Quinlan","Models of Galaxies with Central Black Holes: Simulation Methods","17 pages (incl. 11 figure) uuencoded postscript, Lick Preprint Series
  No. 35",,"10.1086/175769",,"astro-ph",,"  We present a method for simulating numerically the effect of the adiabatic
growth of black holes on the structure of elliptical galaxies. Using a parallel
self--consistent field code, we add black holes to N--body realizations of
model distribution functions for spherical galaxies, using a continuous
mass--spectrum. The variable particle mass, combined with a simple multiple
timestep integration scheme, makes it possible to evolve the models for many
dynamical times with $N \sim 10^6-10^8$, allowing high spatial and mass
resolution. This paper discusses verification of the code using analytic models
for spherical galaxies, comparing our numerical results of the effect of
central black holes on the structure of the galaxies with previously published
models. The intrinsic and projected properties of the final particle
distribution, including higher order moments of the velocity distribution,
permit comparison with observed characteristics of real galaxies, and constrain
the masses of any central black holes present in those galaxies. Our technique
is promising and is easily extended to axisymmetric and triaxial galaxies.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 20:10:46 GMT""}]","2009-10-22"
"astro-ph/9409015","Jim Frederic","James J. Frederic","Testing the Accuracy of Redshift Space Group Finding Algorithms","27 pages + 15 figures, AASTeX, ApJS accepted. Compressed postscript
  figures available in ftp://arcturus.mit.edu/Preprints/grps1_figs.tar.
  CSR-94-20",,"10.1086/192142",,"astro-ph",,"  Using simulated redshift surveys generated from a high resolution N-body
cosmological structure simulation, we study algorithms used to identify groups
of galaxies in redshift space. Two algorithms are investigated; both are
friends-of-friends schemes with variable linking lengths in the radial and
transverse dimensions. The chief difference between the algorithms is in the
redshift linking length. The algorithm proposed by Huchra \& Geller (1982) uses
a generous linking length designed to find ``fingers of god'' while that of
Nolthenius \& White (1987) uses a smaller linking length to minimize
contamination by projection.
  We find that neither of the algorithms studied is intrinsically superior to
the other; rather, the ideal algorithm as well as the ideal algorithm
parameters depend on the purpose for which groups are to be studied. The
Huchra/Geller algorithm misses few real groups, at the cost of including some
spurious groups and members, while the Nolthenius/White algorithm misses high
velocity dispersion groups and members but is less likely to include
interlopers in its group assignments.
  In a companion paper we investigate the accuracy of virial mass estimates and
clustering properties of groups identified using these algorithms.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 21:43:46 GMT""}]","2009-10-22"
"astro-ph/9409016","Jim Frederic","James J. Frederic","Assessing the Accuracy of Masses and Spatial Correlations of Galaxy
  Groups","20 pages + 3 figures, AASTeX, ApJS accepted. Compressed postscript
  figures available in ftp://arcturus.mit.edu/Preprints/grps2_figs.tar.
  CSR-94-21",,"10.1086/192143",,"astro-ph",,"  Two algorithms for the identification of galaxy groups from redshift surveys
are tested by application to simulated data derived from N-body simulation. The
accuracy of the membership assignments by these algorithms is studied in a
companion to this paper (Frederic 1994). Here we evaluate the accuracy of group
mass estimates and the group-group correlation function.
  We find a strong bias to low values in the virial mass estimates of groups
identified using the algorithm of Nolthenius \& White (1987). The Huchra \&
Geller (1982) algorithm gives virial mass estimates which are correct on
average. These two algorithms result in group catalogs with similar two-point
correlations.
  We find that groups in a CDM model have excessively large mass to light
ratios even when the group richness distribution agrees with observations. We
also find that our CDM groups are more strongly correlated than individual
halos (galaxies), unlike the groups in the CfA redshift survey extension.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 21:44:14 GMT""}]","2009-10-22"
"astro-ph/9409017","Renyue Cen","Renyue Cen, Jordi Miralda-Escude, Jeremiah P. Ostriker and Michael
  Rauch (Princeton University Observatory, Princeton, NJ USA)","Gravitational Collapse of Small-Scale Structure as the Origin of the
  Lyman Alpha Forest","15p postscript file to appear in The Astrophysical Journal Letters
  (1994)","Astrophys.J. 437 (1994) L9","10.1086/187670",,"astro-ph",,"  If gravitational clustering is a hierarchical process, the present
large-scale structure of the galaxy distribution implies that structures on
smaller scales must have formed at high redshift. We simulate the formation of
small-scale structure (average cell mass: $\Delta \bar m_b=10^{4.2}$M$_\odot$)
and the evolution of photoionized gas, in the specific case of a CDM model with
a cosmological constant. The photoionized gas has a natural minimal scale of
collapse, the Jeans scale ($m_{b,J}\simeq 10^{9}$M$_\odot$). We find that low
column density ($\nhi \le 10^{14}\cm^{-2}$) lines originate in regions
resembling Zel'dovich pancakes, where gas with overdensities in the range $3 -
30$ is enclosed by two shocks but is typically re-expanding at approximately
the Hubble velocity. However, higher column density ($\nhi \ge
10^{15}\cm^{-2}$) lines stem from more overdense regions where the shocked gas
is cooling. We show that this model can probably account for the observed
number of lines, their distribution in column density and b-parameters, as well
as the cloud physical sizes as observed in gravitationally lensed quasars. We
find a redshift evolution that is
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 14:45:33 GMT""}]","2009-10-22"
"cmp-lg/9409007","Ralf Steinberger","Ralf Steinberger (UMIST, Manchester, Uk)","Treating `Free Word Order' in Machine Translation","7 pages, uuencoded compressed postscript file, Coling 94",,,,"cmp-lg cs.CL",,"  In `free word order' languages, every sentence is embedded in its specific
context. Among others, the order of constituents is determined by the
categories `theme', `rheme' and `contrastive focus'. This paper shows how to
recognise and to translate these categories automatically on a sentential
basis, so that sentence embedding can be achieved without having to refer to
the context. Modifier classes, which are traditionally neglected in linguistic
description, are fully covered by the proposed method. (Coling 94, Kyoto, Vol.
I, pages 69-75)
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 10:10:18 GMT""}]","2008-02-03"
"cond-mat/9409025","Bum-Hoon Lee","O.J. Kwon(KongJu Ed.U), B.-H. Lee, and S.-J. Sin (Hanyang U.)","Generalized Laughlin Wave Functions Including the Effect of Coulomb
  Interaction","LaTeX, 11 pages, HYUPT-94/05 SNUTP 94-84, accepted in Phys. Rev. B",,"10.1103/PhysRevB.50.15166",,"cond-mat",,"  We present improved wave functions for the ground state, Laughlin quasihole
and quasiparticle excitations of the fractional quantum Hall effect. These
depend explicitly on the effective strength of Coulomb interaction and
reproduce Laughlin's original result in the limit of no Coulomb interaction.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 21:22:59 GMT""}]","2009-10-22"
"cond-mat/9409029","Thierry Martin","Thierry Martin and Gennady Berman","Switching Nano-Device based on Rabi Oscillations","3 pages (REVTex 3.0), 4 figures on request (thierry@goshawk.lanl.gov)
  LA-UR-94-3034",,"10.1016/0375-9601(94)91045-6",,"cond-mat",,"  We consider a potential landscape composed of a well region separated from a
""free"" region by a barrier, such that one bound state and one quasi level exist
in the well. A particle initially in the ground state can be activated to the
quasi level by application of a micro wave field, and subsequently tunnel in
the free region. The wave function is then emitted by ""bursts"" after each Rabi
oscillation is completed, and the leakage current can be controlled by varying
the amplitude of the external field, the barrier height/width, and the
frequency mismatch.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 21:36:01 GMT""}]","2009-10-22"
"cond-mat/9409030","Thierry Martin","Thierry Martin","Gauge invariance and wave packet simulations in the presence of dipole
  fields","4 pages (Revtex 3.0), figures upon request, LA-UR-94-3035",,"10.1016/0921-4526(95)00374-I",,"cond-mat",,"  A method for performing wave packet simulations in dipole fields is
presented. Starting from a Hamiltonian with non commuting terms, a gauge
transformation leads to a new Hamiltonian which allows to calculate explicitly
the evolution operator. In this new gauge, the dipole field is fully included
in the {\it vector} potential. The method of Goldberg, Schwartz and Schey based
on the Caley form of the evolution operator is then generalized, and the
resulting scheme is applied to describe a switching device based on Rabi
oscillations. The probability to tunnel in the free region exhibits a plateaux
structure as the wave function is emitted by ``bursts'' after each Rabi
oscillation has been completed.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 21:37:43 GMT""}]","2009-10-22"
"cond-mat/9409031","Yuusuke Kato","Yusuke Kato and Yoshio Kuramoto","Exact Solution of the Sutherland Model with arbitrary symmetry","10page, revtex 3.0",,"10.1103/PhysRevLett.74.1222",,"cond-mat",,"  An elementary theory is presented for solving the Sutherland model with
arbitrary internal symmetry such as SU($\nu$) or a supersymmetry SU($\nu,
\mu$). The ground state wave function and all the energy levels are derived.
One starts with solving a variant of the model with distinguishable particles,
and then (anti)symmetrizes the solution. The theory is also applied to various
lattice versions of the model. It is proved that the Gutzwiller-type wave
function is not only an eigenstate of the supersymmetric \it t-J \rm model, but
is indeed the ground state.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 07:51:15 GMT""},{""version"":""v2"",""created"":""Mon, 12 Sep 1994 16:12:52 GMT""}]","2009-10-22"
"cond-mat/9409032","Kari Kankaala","T. Ala-Nissila, E. Granato, K. Kankaala, J. M. Kosterlitz, and S.-C.
  Ying","Numerical Studies of the Two Dimensional XY Model with Symmetry Breaking
  Fields","29 pages, HU-TFT-94-36, to appear in Phys. Rev. B, Vol 50, November
  1, 1994. A LaTeX file with no figures",,"10.1103/PhysRevB.50.12692",,"cond-mat hep-lat",,"  We present results of numerical studies of the two dimensional XY model with
four and eight fold symmetry breaking fields. This model has recently been
shown to describe hydrogen induced reconstruction on the W(100) surface. Based
on mean-field and renormalization group arguments,we first show how the
interplay between the anisotropy fields can give rise to different phase
transitions in the model. When the fields are compatible with each other there
is a continuous phase transition when the fourth order field is varied from
negative to positive values. This transition becomes discontinuous at low
temperatures. These two regimes are separated by a multicritical point. In the
case of competing four and eight fold fields, the first order transition at low
temperatures opens up into two Ising transitions. We then use numerical methods
to accurately locate the position of the multicritical point, and to verify the
nature of the transitions. The different techniques used include Monte Carlo
histogram methods combined with finite size scaling analysis, the real space
Monte Carlo Renormalization Group method, and the Monte Carlo Transfer Matrix
method. Our numerical results are in good agreement with the theoretical
arguments.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 09:39:16 GMT""}]","2009-10-22"
