"adap-org/9409003","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow)","Towards A Description Of Interactive Psychoinformation Systems.
  Preliminary Remarks. (K Opisaniyu Interaktivnyh Psihoinformatsionnyh Sistem.
  Predvaritel'Nye Zamechaniya)","the text is written in Russian in AmSTeX with cyrillic fonts, 3 pp",,,,"adap-org nlin.AO",,"  An approach to description of interactive psychoinformation systems, based on
the concept of ""virtualization"" and essentially using the technique of the
""secondary image synthesis"" (adap-org/9409002), is sketched. The article has a
rather discussional character and maybe considered as a comment to some
statements of the introduction to the author's paper ""Complex projective
geometry and quantum projective field theory"" (Theor. Math. Phys., 1994).
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:37:06 GMT""},{""version"":""v2"",""created"":""Thu, 22 Sep 1994 13:45:00 GMT""},{""version"":""v3"",""created"":""Mon, 7 Nov 1994 08:33:30 GMT""}]","2008-02-03"
"astro-ph/9409032","Alice Quillen","A.C. Quillen, Jay. A. Frogel and Rosa A. Gonz'alez","The Gravitational Potential of the Bar in NGC 4314","14pages, postscript, accepted to ApJ, Paper is available with
  compressed postscript figures via anonymous ftp from payne.mps.ohio-state.edu
  in the directory pub/quillen/n4314, AYOSU-9-94-001",,"10.1086/174984",,"astro-ph",,"  We present near-infrared images of NGC 4314 in the $J$,$H$, and $K$ bands.
Colors in these bands are constant across the bar of NGC 4314 indicating that
the mass-to-light ratio is constant over much of the galaxy. We have developed
an efficient procedure for mapping the gravitational potential of a
non-axisymmetric galaxy based on its appearance in the near-infrared using a
Fourier Transform method. We account for the thickness of the galaxy's stellar
disk by convolving its $K$ image with a function that depends upon the vertical
stellar scale height. We apply this procedure to NGC 4314 and find that
prograde stellar orbits integrated in the potential are consistent with the
shape of the bar for a disk vertical scale height of $h = 350 \pm 100$ pc and a
corotation radius of $r=3.5 \pm 0.5$ kpc.
  We find that the inner $m=4$ Lindblad resonance is approximately at the
location of knob-like features seen near the end of the bar. The shape of
nearly closed orbits at this radius are lozenge or diamond shaped and have low
speeds along the major axis of the bar. The low speeds imply an increase in
density along the major axis of the bar. The angle of the major axis of the
$m=4$ component of the surface density begins to twist at the location of its
resonance, and the angle of the $m=2$ component begins to twist at a larger
radius near the corotation radius.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 18:40:12 GMT""}]","2009-10-22"
"astro-ph/9409033","Alice Quillen","A.C. Quillen, Jay. A. Frogel, Jeffrey D. P. Kenney, R. W. Pogge, and
  D. L. DePoy","An Estimate of the Gas Inflow Rate Along the Bar in NGC 7479","16pages, postscript, ~accepted to ApJ, Paper is available with
  compressed postscript figures via anonymous ftp from payne.mps.ohio-state.edu
  in the directory pub/quillen/n7479, AYOSU-9-94-002",,"10.1086/175381",,"astro-ph",,"  We present images of the barred galaxy NGC 7479 in the optical and near
infrared broad--bands $B,V,R,J,H,K$, and images in H$\alpha$+[N II] and
CO(J=1$\rightarrow$0) emission. The H$\alpha$ and CO emission in the bar are
coincident and confined to narrow linear features that are offset from the
center of the bar as observed in the near infrared. We estimate the
gravitational potential from the $K$ image, which provides an estimate of the
torque on the gas at the position of the CO emission in the bar. We find that
the implied gas inflow velocity derived from the torque is $10-20$ km s$^{-1}$.
Our inflow velocity is independent of the large streaming motions which can be
observed in CO and HI.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 18:51:06 GMT""}]","2009-10-22"
"astro-ph/9409034","Will Sutherland","W. Sutherland, C. Alcock, R. Allsman, T. Axelrod, D. Bennett, S. Chan,
  K. Cook, K. Freeman, K. Griest, S. Marshall, S. Perlmutter, B. Peterson, M.
  Pratt, P. Quinn, A. Rodgers, C. Stubbs","Gravitational Microlensing Results from Macho","Talk given at Neutrino-94, to appear in Nucl. Phys. B Proceedings
  Supp. 8 pages, 4 figures, uuencoded compressed PostScript","Nucl.Phys.Proc.Suppl. 38 (1995) 379-386","10.1016/0920-5632(94)00772-N","OUAST/94/29","astro-ph",,"  We provide a status report on our search for dark matter in our Galaxy in the
form of massive compact halo objects (MACHOs), using gravitational microlensing
of background stars. This search uses a very large CCD camera on the dedicated
1.27m telescope at Mt.~Stromlo, Australia, and has been taking data for 2
years. At present, we have analysed data for 8 million stars in the Large
Magellanic Cloud over 1 year, resulting in one strong candidate event and two
lower-amplitude candidates. We have also analysed 5 million stars in the
Galactic Bulge for 0.5 years, yielding approximately 27 microlensing events.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 13:01:44 GMT""}]","2009-10-22"
"astro-ph/9409035",,"V. Karas, A. Lanza, and D. Vokrouhlicky","Emission Line Profiles from Self-Gravitating Thin Disks","26 pages, 8 figures, uuencoded postscript file, to appear in The
  Astrophysical Journal, Part I. Printed version available upon request from
  the authors",,"10.1086/175252",,"astro-ph",,"  We have constructed general relativistic models of a stationary, axially
symmnetric, Keplerian thin disk around a rotating black hole. We computed
profiles of a spectral line, emitted in the inner region of the disk. In our
models we have taken into account also the self-gravity of the disk. The aim of
this work is to study gravitational effects on the line profiles in connection
with the X-ray features observed in spectra of active galactic nuclei. In some
cases, the calculated profiles are clearly affected by the disk gravity but
relativistic dragging effects are found to be negligible.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 14:28:48 GMT""}]","2009-10-22"
"cond-mat/9409052","Jainendra Jain","X.G. Wu and J.K. Jain","Excitation Spectrum and Collective Modes of Composite Fermions","Revtex. 25 pages. Postscript files of figures is appended to the
  paper",,"10.1103/PhysRevB.51.1752",,"cond-mat",,"  According to the composite fermion theory, the interacting electron system at
filling factor $\nu$ is equivalent to the non-interacting composite fermion
system at $\nu^*=\nu/(1-2m\nu)$, which in turn is related to the
non-interacting electron system at $\nu^*$. We show that several eigenstates of
non-interacting electrons at $\nu^*$ do not have any partners for interacting
electrons at $\nu$, but, upon composite fermion transformation, these states
are eliminated, and the remaining states provide a good description of the
spectrum at $\nu$. We also show that the collective mode branches of
incompressible states are well described as the collective modes of composite
fermions. Our results suggest that, at small wave vectors, there is a single
well defined collective mode for all fractional quantum Hall states.
Implications for the Chern-Simons treatment of composite fermions will be
discussed.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 19:19:11 GMT""}]","2016-08-31"
"cond-mat/9409053","Tinka Gammel","J. C. Hicks and J. Tinka Gammel","Improved Mean-Field Scheme for the Hubbard Model","10 pages, 3 figures, text and figures as one postscript file -- does
  not need to be ""TeX-ed"". LA-UR-94-2946",,"10.1103/PhysRevB.50.15381",,"cond-mat",,"  Ground state energies and on-site density-density correlations are calculated
for the 1-D Hubbard model using a linear combination of the Hubbard projection
operators. The mean-field coefficients in the resulting linearized Equations of
Motion (EOM) depend on both one-particle static expectation values as well as
static two-particle correlations. To test the model, the one particle
expectation values are determined self-consistently while using Lanczos
determined values for the two particle correlation terms. Ground state energies
and on-site density-density correlations are then compared as a function of $U$
to the corresponding Lanczos values on a 12 site Hubbard chain for 1/2 and 5/12
fillings. To further demonstrate the validity of the technique, the static
correlation functions are also calculated using a similar EOM approach, which
ignores the effective vertex corrections for this problem, and compares those
results as well for a 1/2 filled chain. These results show marked improvement
over standard mean-field techniques.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 23:48:10 GMT""}]","2009-10-22"
"cond-mat/9409054","Francois Peeters","V. A. Schweigert and F.M. Peeters","Spectral properties of charged particles in a classical finite
  two-dimensional system","27 pages, 2 tables, 13 figures, RevTex-file",,,,"cond-mat",,"  We present a study of the spectral properties like the energy spectrum, the
eigenmodes and density of states of a classical finite system of
two-dimensional (2D) charged particles which are confined by a quadratic
potential. Using the method of Newton optimization we obtain the ground state
and the metastable states. For a given configuration the eigenvectors and
eigenfrequencies for the normal modes are obtained using the Householder
diagonalization technique for the dynamical matrix whose elements are the
second derivative of the potential energy. For small clusters the lowest
excitation corresponds to an intershell rotation. The energy barrier for such
rotations is calculated. For large clusters the lowest excitation consists of a
vortex/anti-vortex pair. The Lindeman melting criterion is used to calculate
the order-disorder transition temperature for intershell rotation and
intershell diffusion. The value of the transition temperature at which
intershell rotation becomes possible depends very much on the configuration of
the cluster, i.e. the distribution of the particles between the different
shells. Magic numbers are associated to clusters which are most stable against
intershell rotation. The specific heat of the cluster is also calculated using
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:28:26 GMT""}]","2007-05-23"
"cond-mat/9409055","Bartos Igor","I.Bartos and B.Rosenstein","Landau Level Gap Reduction at Abrupt Edges","13 pages in LATEX, 5 figures available on request, to appear in
  Modern Physics Letters B, IP-ASTP-32-93",,"10.1142/S0217984994001175",,"cond-mat",,"  For an electron localized near a finite rectangular step potential under
strong magnetic field we found a profound local reduction of the gap between
neighbouring Landau levels. We investigate under what conditions the effect
persists when the barrier gets smoother. The conclusion is that to get a
substantial gap reduction the barrier gradient has to be larger than
$\hbar\omega_c/a_L$ ($a_L$ is the magnetic length). The sensitivity of the gap
reduction is illustrated using tilted and multiple step barriers and finite
stripe configurations.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:37:39 GMT""}]","2015-06-25"
"cond-mat/9409056","A. J. Schofield","A.J. Schofield","Upper critical field in the gauge model","6 pages, uuencoded postscript file, IRC-AJS-hc2",,"10.1103/PhysRevB.51.11733",,"cond-mat",,"  An analysis of the upper critical field in the gauge model is presented. It
is shown that a `strange metallic' normal state has implications for the
pairing transition even if the resulting superconducting state is essentially
conventional. The gauge model is considered as one example of an unconventional
normal state and the optimally doped and overdoped cases are examined. In the
optimally doped regime $B_{c2}$ rises linearly with decreasing temperature to
an enhanced value at $T=0$ relative to BCS. In the overdoped regime the gauge
model predicts Fermi-liquid behavior but there is a weakly temperature
dependent interaction. This can give rise to some upward curvature of the upper
critical field and an enhanced zero temperature value.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:04:41 GMT""}]","2009-10-22"
"cond-mat/9409057","Uwe Ritschel Phy350","U. Ritschel and H. W. Diehl","Long-time traces of the initial condition in relaxation phenomena near
  criticality","12 pages, uuencoded postscript file (yesterday an old version of this
  manuscript was submitted by mistake!!)","Phys. Rev. E 51 (1995) 5392","10.1103/PhysRevE.51.5392",,"cond-mat",,"  The time evolution of systems relaxing towards thermal equilibrium is
examined near the critical temperature $T_c$, with special attention paid to
the role of the initial value $m_i$ of the order parameter $\phi$. To this end,
the $n$-component model A for a cube of length $L$ is investigated. The common
belief that all memory of $m_i$ is necessarily lost after a microscopic time
span is shown to be unfounded. General arguments and the exact solution of the
limit $n\to\infty$ show that $m_i$ leaves its traces in both the linear and
nonlinear long-time relaxation of $\phi$ near or at $T_c$. Specifically for
linear relaxation near $T_c$, or at $T_c$ with $L<\infty$, the amplitude of the
exponential decay depends on $m_i$ and the short-time exponent
$\theta'=(x_i-x_{\phi})/z$, provided $t_i\sim m_i^{-z/x_i}$ is comparable to or
larger than other time scales. Here $x_i$ is the scaling dimension of $m_i$,
$z$ is the dynamic bulk exponent, and $x_{\phi}$ is the usual equilibrium
scaling dimension of $\phi $.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:22:05 GMT""},{""version"":""v2"",""created"":""Fri, 16 Sep 1994 13:17:42 GMT""}]","2009-10-22"
