"alg-geom/9409005","Alexei Gorodentsev","A.L.Gorodentsev","Non-symmetric orthogonal geometry of Grothendieck rings of coherent
  sheaves on projective spaces","30 pages, LATEX (version 2.01), 12pt, twoside, font families ""eufm""
  and ""msbm"" are used",,,,"alg-geom math.AG",,"  In this paper we consider orthogonal geometry of the free
$\protect\ZZ$-module $K_0(\protect\PP_n)$ with respect to the non-symmetric
unimodular bilinear form $$\chi(E,F)=\sum (-1)^\nu\dim\ext^\nu(E,F). $$ We
calculate the isometry group of this form and describe invariants of its
natural action on $K_0(\protect\PP_n)$. Also we consider some general
constructions with non-symmetric unimodular forms. In particular, we discuss
orthogonal decomposition of such forms and the action of the braid group on a
set of semiorthonormal bases. We formulate a list of natural arithmetical
conjectures about semiorthogonal bases of the form $\chi$.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 17:25:27 GMT""}]","2008-02-03"
"astro-ph/9409071","Harry Ferguson","Henry C. Ferguson and Stacy S. McGaugh","The Contribution of Low Surface-Brightness Galaxies to Faint Galaxy
  Counts","39p, uuencoded compressed postscript, 18/21 figs included, full paper
  from http://planxty.stsci.edu:1024/ ferguson/lsb/lsbpp_b.ps,STScI 874",,"10.1086/175289",,"astro-ph",,"  Low Surface-Brightness (LSB) galaxies are severely underrepresented in
surveys used to define the local luminosity function (LF), but could it in
principle be detected in deep surveys. To explore the possible contribution of
such objects to faint galaxy counts, we construct catalogs of simulated
non-evolving galaxies drawn from a multivariate distribution of galaxy
luminosities, central surface brightnesses, bulge/disk ratios and
spectral-energy distributions. We compare two models dominated by LSB galaxies
to a standard non-evolving model. Model galaxies are convolved with seeing and
selected in a manner that closely matches real surveys. For each model we
compute the local LF, HI mass function, number counts, redshift and color
distributions. We find it possible to include a large population of LSB
galaxies and incorporate a steep faint-end slope of the LF in our simulations
without violating the constraints on the local LF or HI mass function. For $q_0
= 0.5$, the most favorable model matches the counts to B=23, but falls short of
the observations at fainter magnitudes. The colors and redshift distributions
remain roughly consistent with observations to B=24. The most serious
discrepancy with observations is in the distribution of $r_e$ at faint
magnitudes, suggesting that the model contains too many LSB galaxies.
Nevertheless, the results suggest that LSB galaxies could be a significant
contributor to faint-galaxy counts, reducing the need for such extreme models
of galaxy evolution as rapid merging or bursting dwarf galaxies.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 21:06:23 GMT""}]","2009-10-22"
"astro-ph/9409072","Li-Zhi Fang","Yi-Peng Jing and Li-Zhi Fang","An Infrared Cutoff Revealed by the Two Years of COBE-DMR Observations of
  Cosmic Temperature Fluctuations","11 pages, 4 figures (available upon request), Latex, AZPH-TH/94-5, to
  appera in Phys. Rev. Lett","Phys.Rev.Lett. 73 (1994) 1882-1885","10.1103/PhysRevLett.73.1882",,"astro-ph",,"  We show that a good fitting to the first two years of {\it COBE}-DMR
observations of the two-point angular correlation function of CBR temperature
is given by models with a non-zero infrared cutoff $k_{min}$ in the spectrum of
the primordial density perturbations. If this cutoff comes from the finiteness
of the universe, say, a topological T3 model, we find $k_{min} \sim (0.3 -
1.1)\pi$H$_0/c$ with confidence level 95\%. Such a non-zero $k_{min}$ universe
would also give a better match to the observations both of the RMS quadrupole
anisotropy of CBR and of galaxy clustering.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 21:57:35 GMT""}]","2009-10-22"
"astro-ph/9409073","Hyung Mok Lee","Hyung Mok Lee","Evolution of Galactic Nuclei with 10 $M_\odot$ Black Holes","25 pages; uuencoded compressed postscript including 5 figures; to
  appear in MNRAS","Mon.Not.Roy.Astron.Soc. 272 (1995) 605","10.1093/mnras/272.3.605",,"astro-ph",,"  A star with main sequence mass greater than $25\sim 30\msun$ may collapse to
a black hole of about 10 $\msun$ at the final stage of the evolution. About an
order of 1\% of stellar mass is likely to be in form of such black holes in
galaxies. We have examined the dynamics of two-component stellar systems
composed of 0.7 $\msun$ main-sequence stars, representing the old population of
stars whose main-sequence lifetimes are longer than the Hubble time, and a
small fraction of 10 $\msun$ black holes. The dynamical friction leads to the
segregation of black holes to the core and the core collapse takes place among
the black holes in a time scale much shorter than that required for a single
component cluster. The ultimate evolution of the two-component stellar system
depends on the role of three-body binaries formed among the black holes. For a
system with $v\gta 100\kms$ binaries merge by gravitational radiation at some
hardness instead of being ejected. The critical hardness, at which the
collision time and the merger time become comparable, determines the efficiency
of the binary as a heat source. The efficiency is found to be inversely
proportional to the velocity dispersion. For the clusters without serious
reduction in heating efficiency (i.e., velocity dispersion well below 500
$\kms$), heating by three-body binaries have the effect of stopping the
core-collapse. The cluster
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 01:37:32 GMT""}]","2015-06-24"
"astro-ph/9409074","Dmitry Pogosyan","Dmitri Pogosyan and Alexei Starobinsky","Mixed Cold-Hot Dark Matter Model with Falling and Quasi-Flat Initial
  Perturbation Spectra","18 pages, LaTeX file, YITP/U-94-26, postscript figures on request","Astrophys.J. 447 (1995) 465","10.1086/175890",,"astro-ph",,"  The mixed cold-hot dark matter cosmological model (CHDM) with
$\Omega_{tot}=1$ and a falling power-law initial spectrum of Gaussian adiabatic
perturbations ($n>1$) is tested using recent obserbational data. It is shown
that its fit to the data becomes worse with the growth of $n-1$, and may be
considered as unreasonable for $n>1.1$ for all possible values of the Hubble
constant. Thus, the CHDM model with a falling initial spectrum is worse than
the same model with the approximately flat $(|n-1|<0.1)$ spectrum. On the other
hand, the CHDM model provides a rather good fit to the data if $n$ lies in the
range $(0.9-1.0)$, the Hubble constant $H_0 < 60$ km/s/Mpc ($H_0 < 55$ for
$n=1$) and the neutrino energy density $\Omega_{\nu}< 0.25$. So, the CHDM model
provides the best possibility for the realization of the simplest variants of
the inflationary scenario having the effective slope $n\approx (0.95-0.97)$
between galaxy and horizon scales, including a modest contribution of
primordial gravitational wave background to large-angle $\Delta T/T$
fluctuations of the cosmic microwave background (resulting in the increase of
their total {\it rms} amplitude by $(5-10)%$) expected in some variants. A
classification of cosmological models according to the number of fundamental
parameters used to fit observational data is presented, too.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 09:09:23 GMT""}]","2009-10-22"
"astro-ph/9409075","Username","Guinevere Kauffmann","The Observed Properties of High-Redshift Cluster Galaxies","Latex file, 12 pages, postscript figures on request, 994",,"10.1093/mnras/274.1.161",,"astro-ph",,"  We use the semi-analytic models of galaxy formation developed by Kauffmann,
White \& Guiderdoni to generate predictions for the observed properties of
cluster and group galaxies at redshifts between 0 and 0.6. We examine four sets
of cosmological initial conditions: low-density CDM models with and without
cosmological constant, a flat CDM model and a mixed dark matter model. These
models were selected because they span a wide range in cluster formation epoch.
The semi-analytic models that we employ are able to follow both the evolution
of the dark matter component of clusters and the formation and evolution of the
stellar populations of the cluster galaxies. We are thus able to generate model
predictions that can be compared directly with the observational data. In the
low-density CDM models, clusters form at high red- shift and accrete very
little mass at recent times. Our models predict that essentially no evolution
in the observed properties of clusters will have occurred by a redshift of 0.6,
in direct contradiction with the data. In contrast, in the MDM model, both
galaxies and clusters form extremely late. This model predicts evolution which
appears to be too extreme to be in agreement with the observations. The flat
CDM model, which is intermediate in structure formation epoch, is most
successful. This model is able to account for the evolution of the blue
fraction of rich clusters with redshift, the relationship between blue fraction
and cluster richness at different epochs, and the changes in the distribution
of the morphologies of cluster galaxies by a redshift of 0.4.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 09:41:15 GMT""}]","2015-06-24"
"astro-ph/9409076","Perry Gerakines","P.A. Gerakines, W.A. Schutte, J.M. Greenberg, and Ewine F. van
  Dishoeck","The Infrared Band Strengths of H2o, Co and Co2 in Laboratory Simulations
  of Astrophysical Ice Mixtures","17 pages uuencoded compressed Postscript file-- includes all 6
  figures (replaces most recent posting with only figs 2-5)",,,"GERAK-94-2 / Leiden Observatory preprint STW 281-94","astro-ph",,"  Infrared spectroscopic observations toward objects obscured by dense cloud
material show that H$_2$O, CO and, likely, CO$_2$ are important constituents of
interstellar ice mantles. In order to accurately calculate the column densities
of these molecules, it is important to have good measurements of their infrared
band strengths in astrophysical ice analogs. We present the results of
laboratory experiments to determine these band strengths. Improved experimental
methods, relying on simultaneous independent depositions of the molecule to be
studied and of the dominating ice component, have led to accuracies better than
a few percent. Furthermore, the temperature behavior of the infrared band
strengths of CO and H$_2$O are studied. In contrast with previous work, the
strengths of the CO, CO$_2$, and H$_2$O infrared features are found to depend
only weakly on the composition of the ice matrix, and the reversible
temperature dependence of the CO band is found to be weaker than previously
measured for a mixture of CO in H$_2$O.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 11:38:51 GMT""},{""version"":""v2"",""created"":""Fri, 11 Nov 1994 19:55:49 GMT""},{""version"":""v3"",""created"":""Tue, 14 Mar 1995 16:21:00 GMT""}]","2008-02-03"
"astro-ph/9409077",,"Andrew R Liddle and David H Lyth","Trends in Large Scale Structure Observations and the Likelihood of Early
  Reionization","8 pages uuencoded postscript (LaTeX file available from ARL), changes
  include correction of the previously mishandled cosmological constant case
  (leading also to slight changes in abstract and conclusions) plus an update
  of the COBE normalisation","Mon.Not.Roy.Astron.Soc. 273 (1995) 1177","10.1093/mnras/273.4.1177","SUSSEX-AST 94/9-2","astro-ph",,"  With the imminent promise of constraints on the epoch of reionization from
observations of microwave background anisotropies, the question of whether or
not the standard Cold Dark Matter (CDM) model permits early reionization has
been subjected to detailed investigation by various authors, with the
conclusion that reionization may occur at quite high redshift. However, it is
widely accepted that this model is excluded, as when normalised to the COBE
observations it possesses excessive galaxy clustering on scales below tens of
megaparsecs. We examine the trends of observations, first in a fairly model
independent way, and second by considering variants on the standard CDM model
introduced to resolve the observational conflicts. We conclude that the epoch
of reionization favoured by the observational data is typically considerably
later than the standard CDM model suggests, and amongst models which may fit
the observational data only the introduction of a cosmological constant leads
to a reionization redshift close to that of standard CDM.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 15:16:00 GMT""},{""version"":""v2"",""created"":""Wed, 28 Sep 1994 15:35:00 GMT""},{""version"":""v3"",""created"":""Tue, 18 Oct 1994 15:00:00 GMT""}]","2015-06-24"
"astro-ph/9409078",,"G.Vettolani, E.Zucca, A.Cappi, R.Merighi, M.Mignoli, G.Stirpe,
  G.Zamorani, H.MacGillivray, C.Collins, C.Balkowski, J.Alimi, A.Blanchard,
  V.Cayatte, P.Felenbok, S.Maurogordato, D.Proust, G.Chincarini, L.Guzzo,
  D.Maccagni, R.Scaramella, M.Ramella","Preliminary Results from the ESO Slice Project (ESP)","contributed paper at the 35th Herstmonceux Conference on Wide field
  spectroscopy and the Distant Universe; PS file, 6 pages; for figures contact
  zucca@astbo1.bo.cnr.it; BAP #09-1994-029-IRA",,,,"astro-ph",,"  We present the first results of a galaxy redshift survey, ESO Slice Project
(ESP), we are accomplishing as an ESO Key-Project over about 30 square degrees
in a region near the South Galactic Pole. The limiting magnitude is b_J = 19.4.
Observations have been almost completed and about 90% of the data obtained so
far has been reduced providing about 3000 galaxy redshifts. We present some
preliminary results concerning the large scale galaxy distribution and their
luminosity function.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 14:27:42 GMT""}]","2007-05-23"
"cmp-lg/9409012","G. Foster TAO","Marc Dymetman, Julie Brousseau, George Foster, Pierre Isabelle, Yves
  Normandin, Pierre Plamondon","Towards an Automatic Dictation System for Translators: the TransTalk
  Project","Published in proceedings of the International Conference on Spoken
  Language Processing (ICSLP) 94. 4 pages, uuencoded compressed latex source
  with 4 postscript figures",,,,"cmp-lg cs.CL",,"  Professional translators often dictate their translations orally and have
them typed afterwards. The TransTalk project aims at automating the second part
of this process. Its originality as a dictation system lies in the fact that
both the acoustic signal produced by the translator and the source text under
translation are made available to the system. Probable translations of the
source text can be predicted and these predictions used to help the speech
recognition system in its lexical choices. We present the results of the first
prototype, which show a marked improvement in the performance of the speech
recognition task when translation predictions are taken into account.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 15:43:30 GMT""}]","2008-02-03"
"cond-mat/9409114","David Frenkel","Andrey V. Chubukov and David M. Frenkel","Resonant two-magnon Raman scattering in antiferromagnetic insulators","11 pages (REVTeX) + 3 figures in a single postscript file are
  appended in uuencoded format, preprint TCSUH-94:098",,"10.1103/PhysRevLett.74.3057",,"cond-mat",,"  We propose a theory of two-magnon {\it resonant\/} Raman scattering from
antiferromagnetic insulators, which contains information both on the magnetism
and the carrier properties in the lighly doped phases. We argue that the
conventional theory does not work in the resonant regime, in which the energy
of the incident photon is close to the gap between the conduction and valence
bands. We identify the diagram which gives the dominant contribution to Raman
intensity in this regime and show that it can explain the unusual features in
the two-magnon profile and in the two-magnon peak intensity dependence on the
incoming photon frequency.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 18:52:14 GMT""}]","2009-10-22"
