"alg-geom/9410006",,"Barbara Fantechi, Rita Pardini","Automorphisms and moduli spaces of varieties with ample canonical class
  via deformations of abelian covers","30 pages, LaTeX",,,,"alg-geom math.AG",,"  By a recent result of Viehweg, projective manifolds with ample canonical
class have a coarse moduli space, which is a union of quasiprojective
varieties. In this paper, we prove that there are manifolds with ample
canonical class that lie on arbitrarily many irreducible components of the
moduli; moreover, for any finite abelian group $G$ there exist infinitely many
components $M$ of the moduli of varieties with ample canonical class such that
the generic automorphism group $G_M$ is equal to $G$. In order to construct the
examples, we use abelian covers, i.e. Galois cover whose Galois group is finite
and abelian. We prove two results about abelian covers: first, that if the
building data are sufficiently ample, then the natural deformations surject on
the Kuranishi family of $X$; second, that if the building data are sufficiently
ample and generic, then $Aut(X)=G$.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 15:51:18 GMT""}]","2008-02-03"
"astro-ph/9410029","Paolo Marziani","J. W. Sulentic, P. Marziani, T. Zwitter, M. Calvani","Pictor A: A New Double-Peaked Emission Line Quasar","uu-encoded compressed tar of postscript files. Padova Preprint",,"10.1086/187700",,"astro-ph",,"  We obtained a new spectrum for the radio galaxy Pictor~A in December 1993.
Comparison with previous data obtained in 1983 and 1987 shows that the broad
component of the Balmer lines has increased considerably in strength and
complexity. The Balmer lines now show a boxy, double peaked profile with
FWZI$\sim$24000 \kms. Although the 1993 H\a\ profile is reminiscent of
Arp~102B, accretion disk models face immediate difficulty because (1) the
redshifted peak in the profile is considerably stronger than the blue one, and
(2) the red and blue peaks varied at different epochs. The latter finding
strongly favors a predominance of radial motion. We argue that Pictor~A, and
the rare objects with similar extremely broad emission line profiles, are
better understood if the orientation is such that the gas is predominantly
moving along the line of sight (i.e.\ a geometrical extremum).
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 17:01:23 GMT""}]","2009-10-22"
"astro-ph/9410030","Luigi Guzzo","Luigi Guzzo, et al","The ESO All-Southern-Sky Redshift Survey of ROSAT Clusters of Galaxies","to appear in ""Wide-Field Spectroscopy and the Distant Universe"", 35th
  Herstmonceux Conference, 8 pages uuencoded-compressed- tarred LaTeX, 2
  figures available from guzzo@astmim.mi.astro.it, ESOKP-002",,,,"astro-ph",,"  We discuss the rationale and the present status of a large redshift survey
aiming at measuring distances for all the clusters of galaxies detected by the
ROSAT X--ray All--Sky Survey in the southern hemisphere, with flux larger than
$\sim 2\times 10^{-12}$ erg s$^{-1}$ cm$^{-2}$. The survey is being performed
using three ESO telescopes in parallel. The final sample will contain about 700
clusters. It will represent a unique database for the study of the spatial
distribution of clusters, their X--ray luminosity function and their intrinsic
physical properties. Serendipitous results obtained so far include two new
gravitational arc systems in two clusters of galaxies. These findings, obtained
on rather short exposures, confirm the advantage of searching for arcs in
X--ray selected clusters.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 10:44:06 GMT""}]","2007-05-23"
"astro-ph/9410031","Brad Gibson","Brad K. Gibson","On the Influence of Supernova Remnant Thermal Energy in Powering
  Galactic Winds","22 pages, uuencoded compressed PostScript, JRASC in press,
  OUAST/94/?2",,,,"astro-ph",,"  The fundamental tenet of the classical supernovae-driven wind model of
elliptical galaxies is that the residual thermal energy of all supernovae
remnants (SNRs) provide sufficient energy to overcome the binding energy of the
remaining interstellar gas, thereby driving a global galactic wind. We
re-examine model predictions of this epoch of wind ejection t_GW, highlighting
a heretofore underappreciated sensitivity to the adopted remnant thermal energy
formalism, and illustrating cases in which previous work may have substantially
overestimated t_GW. Arguments based upon chemical evolution alone, put forth to
reject the hypothesis of dark matter distributions similar to the luminous
component in spheroids, are shown to be tenuous. Finally, the predicted
enrichment of intracluster gas during the wind phase of cluster ellipticals,
and its relation to the selected SNR interior thermal energy evolutionary
scheme, is addressed. Despite the success of previous wind models, our results
still call into question the correctness of the simple analytical approach used
thus far, and imply that a more appropriate technique should be adopted in the
future.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 14:48:40 GMT""}]","2007-05-23"
"astro-ph/9410032",,"Pedro Ferreira","Cosmic Strings in an Open Universe with Baryonic and Non-Baryonic Dark
  Matter","uu-encoded compressed tar of postscript files, Imperial/TP/94-95/02","Phys.Rev.Lett. 74 (1995) 3522-3525","10.1103/PhysRevLett.74.3522",,"astro-ph hep-ph",,"  We study the effects of cosmic strings on structure formation in open
universes. We calculate the power spectrum of density perturbations for two
class of models: one in which all the dark matter is non baryonic (CDM) and one
in which it is all baryonic (BDM). Our results are compared to the 1 in 6 IRAS
QDOT power spectrum. The best candidates are then used to estimate $\mu$, the
energy per unit length of the string network. Some comments are made on
mechanisms by which structures are formed in the two theories.
","[{""version"":""v1"",""created"":""Tue, 11 Oct 1994 13:05:59 GMT""}]","2009-10-22"
"cmp-lg/9410005","Walker","Susan E. Brennan, Marilyn Walker Friedman, Carl J. Pollard","A Centering Approach to Pronouns","plain latex but includes psfig.tex, 8 pages with one psfig, published
  in 25th Annual Meeting of the Association of Computational Linguistics, 1987","Association of Computational Linguistics 1987, p. 155-162",,,"cmp-lg cs.CL",,"  In this paper we present a formalization of the centering approach to
modeling attentional structure in discourse and use it as the basis for an
algorithm to track discourse context and bind pronouns. As described in Grosz,
Joshi and Weinstein (1986), the process of centering attention on entities in
the discourse gives rise to the intersentential transitional states of
continuing, retaining and shifting. We propose an extension to these states
which handles some additional cases of multiple ambiguous pronouns. The
algorithm has been implemented in an HPSG natural language system which serves
as the interface to a database query application.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 21:59:49 GMT""}]","2008-02-03"
"cmp-lg/9410006","Walker","Marilyn A. Walker","Evaluating Discourse Processing Algorithms","plain latex but includes psfig.tex, 11 pages with one psfig,
  published in 27th Annual Meeting of the ACL, 1989","Association of Computational Linguistics, 1989, p. 251-262",,,"cmp-lg cs.CL",,"  In order to take steps towards establishing a methodology for evaluating
Natural Language systems, we conducted a case study. We attempt to evaluate two
different approaches to anaphoric processing in discourse by comparing the
accuracy and coverage of two published algorithms for finding the co-specifiers
of pronouns in naturally occurring texts and dialogues. We present the
quantitative results of hand-simulating these algorithms, but this analysis
naturally gives rise to both a qualitative evaluation and recommendations for
performing such evaluations in general. We illustrate the general difficulties
encountered with quantitative evaluation. These are problems with: (a) allowing
for underlying assumptions, (b) determining how to handle underspecifications,
and (c) evaluating the contribution of false positives and error chaining.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 21:58:11 GMT""},{""version"":""v2"",""created"":""Tue, 11 Oct 1994 15:31:15 GMT""}]","2008-02-03"
"cond-mat/9410026","Yao-Zhong Zhang","Anthony J. Bracken, Mark D. Gould, Jon R. Links and Yao-Zhong Zhang","A New Supersymmetric and Exactly Solvable Model of Correlated Electrons","10 pages, LaTex. (final version to appear in Phys.Rev.Lett.)","Phys. Rev. Lett. 74 (1995) 2768","10.1103/PhysRevLett.74.2768","UQMATH-94-07","cond-mat hep-th",,"  A new lattice model is presented for correlated electrons on the unrestricted
$4^L$-dimensional electronic Hilbert space $\otimes_{n=1}^L{\bf C}^4$ (where
$L$ is the lattice length). It is a supersymmetric generalization of the
Hubbard model, but differs from the extended Hubbard model proposed by Essler,
Korepin and Schoutens. The supersymmetry algebra of the new model is
superalgebra $gl(2|1)$. The model contains one symmetry-preserving free real
parameter which is the Hubbard interaction parameter $U$, and has its origin
here in the one-parameter family of inequivalent typical 4-dimensional irreps
of $gl(2|1)$. On a one-dimensional lattice, the model is exactly solvable by
the Bethe ansatz.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 22:26:48 GMT""},{""version"":""v2"",""created"":""Tue, 11 Oct 1994 15:26:03 GMT""},{""version"":""v3"",""created"":""Mon, 17 Oct 1994 16:43:30 GMT""},{""version"":""v4"",""created"":""Sat, 5 Nov 1994 14:36:08 GMT""},{""version"":""v5"",""created"":""Wed, 1 Feb 1995 20:41:41 GMT""}]","2009-10-22"
"cond-mat/9410029","Park Hyung-Gyu","Hyunggyu Park, Meesoon Ha, and In-mook Kim","Exact solutions of a restricted ballistic deposition model on a
  one-dimensional staircase","19 pages, REVTEX, 5 figures upon request, INHA-PHYS-94-001",,"10.1103/PhysRevE.51.1047",,"cond-mat",,"  Surface structure of a restricted ballistic deposition(RBD) model is examined
on a one-dimensional staircase with free boundary conditions. In this model,
particles can be deposited only at the steps of the staircase. We set up
recurrence relations for the surface fluctuation width $W$ using generating
function method. Steady-state solutions are obtained exactly given system size
$L$. In the infinite-size limit, $W$ diverges as $L^\alpha$ with the scaling
exponent $\alpha=\frac{1}{2}$. The dynamic exponent $\beta$ $(W\sim t^\beta)$
is also found to be $\frac{1}{2}$ by solving the recurrence relations
numerically. This model can be viewed as a simple variant of the model which
belongs to the Kardar-Parisi-Zhang (KPZ) universality class $(\alpha_{KPZ}=
\frac{1}{2} , \beta_{KPZ}=\frac{1}{3})$. Comparing its deposition time scale
with that of the single-step model, we argue that $\beta$ must be the same as
$\beta_{KPZ}/(1-\beta_{KPZ})$, which is consistent with our finding.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 20:13:39 GMT""}]","2009-10-22"
"cond-mat/9410032","Shivaji Sondhi","S. L. Sondhi, M. P. Gelfand, H. Q. Lin and D. K. Campbell","Off-diagonal Interactions, Hund's Rules and Pair-binding in Hubbard
  Molecules","20p + 5figs, Revtex 3.0, UIUC preprint P-94-10-085",,"10.1103/PhysRevB.51.5943",,"cond-mat",,"  We have studied the effect of including nearest-neighbor, electron-electron
interactions, in particular the off-diagonal (non density-density) terms, on
the spectra of truncated tetrahedral and icosahedral ``Hubbard molecules,''
focusing on the relevance of these systems to the physics of doped C$_{60}$.
Our perturbation theoretic and exact diagonalization results agree with
previous work in that the density-density term suppresses pair-binding.
However, we find that for the parameter values of interest for $C_{60}$ the
off-diagonal terms {\em enhance} pair-binding, though not enough to offset the
suppression due to the density-density term. We also find that the critical
interaction strengths for the Hund's rules violating level crossings in
C$_{60}^{-2}$, C$_{60}^{-3}$ and C$_{60}^{-4}$ are quite insensitive to the
inclusion of these additional interactions.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 16:29:10 GMT""}]","2009-10-22"
"cond-mat/9410033","Dietrich Belitz","K.I.Wysokinski, W.Park, D.Belitz, and T.R.Kirkpatrick","Density Expansion for the Mobility in a Quantum Lorentz Model","17pp., REVTeX, 7 figure attached as 8 postscript files, db/94/4",,"10.1103/PhysRevE.52.612",,"cond-mat",,"  We consider the mobility of electrons in an environment of static hard-sphere
scatterers, which provides a realistic description of electrons in Helium gas.
A systematic expansion in the scatterer density is carried to second order
relative to the Boltzmann result, and the analytic contribution at this order
is derived, together with the known logarithmic term in the density expansion.
It is shown that existing experimental data are consistent with the existence
of the logarithmic term in the density expansion, but more precise experiments
are needed in order to unambiguously detect it. We show that our calculations
provide the necessary theoretical information for such an experiment, and give
a detailed discussion of a suitable parameter range.
","[{""version"":""v1"",""created"":""Mon, 10 Oct 1994 23:03:58 GMT""}]","2009-10-22"
