"adap-org/9410004","Bruce Roberts","M. E. J. Newman (Cornell Theory Center, Cornell University) B. W.
  Roberts (LASSP, Cornell University)","Mass-extinction: Evolution and the effects of external influences on
  unfit species","7 pages of compressed, uuencoded PostScript with imbedded figures","Proc. R. Soc. London B 260, 31 (1995)",,"CULASSP #94042","adap-org nlin.AO q-bio",,"  We present a new model for extinction in which species evolve in bursts or
`avalanches', during which they become on average more susceptible to
environmental stresses such as harsh climates and so are more easily rendered
extinct. Results of simulations and analytic calculations using our model show
a power-law distribution of extinction sizes which is in reasonable agreement
with fossil data. e also see a number of features qualitatively similar to
those seen in the fossil record. For example, we see frequent smaller
extinctions in the wake of a large mass extinction, which arise because there
is reduced competition for resources in the aftermath of a large extinction
event, so that species which would not normally be able to compete can get a
foothold, but only until the next cold winter or bad attack of the flu comes
along to wipe them out.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 14:30:20 GMT""}]","2008-02-03"
"alg-geom/9410018","Guillermo Fernandez del Busto","Guillermo Fern\'andez del Busto","A Matsusaka-type Theorem for Surfaces","9 pages, amstex",,,,"alg-geom math.AG",,"  The purpose of this note is to give an (esentially optimal) effective version
of Matsusaka's Big theorem for smooth projective surfaces.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 1994 21:44:56 GMT""}]","2008-02-03"
"alg-geom/9410019","Bernd Siebert","B.Siebert and G.Tian","Recursive relations for the cohomology ring of moduli spaces of stable
  bundles","15 pages, Latex",,,,"alg-geom math.AG",,"  The authors learnt that similar results have been independently found by
D.Zagier, V.Baranovsky and V.Balaji/A.King/P.Newstead. The corresponding
references have been added (and some typos corrected).
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 02:15:58 GMT""},{""version"":""v2"",""created"":""Fri, 11 Nov 1994 16:16:22 GMT""}]","2008-02-03"
"alg-geom/9410020","Bas Edixhoven","Bas Edixhoven","On the prime-to-$p$ part of the groups of connected components of
  N\'eron models","21 pages, LaTeX, 94-23",,,,"alg-geom math.AG",,"  This article improves certain results of Dino Lorenzini concerning the groups
of connected components of special fibres of N\'eron models of abelian
varieties. Lorenzini has shown the existence of a four step filtration on the
prime-to-$p$ part ($p$ is the residue characteristic), and proved certain
bounds for the successive quotients. We improve these bounds and show that our
bounds are sharp. As an application, we give a complete classification of the
groups that can arise as the prime-to-$p$ part of the group of connected
components of the Neron model of an abelian variety with given dimensions for
the abelian, toric and unipotent part. Hard copies of this preprint are
available.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 09:55:48 GMT""}]","2008-02-03"
"astro-ph/9410060","Gary Steigman","Gary Steigman","Big Bang Nucleosynthesis: Consistency Or Crisis ?","12 pages, LaTex, No figures, OSU-TA-22/94",,,,"astro-ph",,"  The early, hot, dense, expanding Universe was a primordial reactor in which
the light nuclides D, 3He, 4He and 7Li were synthesized in astrophysically
interesting abundances. The challenge to the standard hot big bang model (Big
Bang Nucleosynthesis = BBN) is the comparison between the observed and
predicted abundances, the latter which depend only on the universal abundance
of nucleons. The current status of observations is reviewed and the inferred
primordial abundances are used to confront BBN. This comparison suggests
consistency for BBN for a narrow range in the nucleon abundance but, looming on
the horizon are some potential crises which will be outlined.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 1994 21:10:29 GMT""}]","2007-05-23"
"astro-ph/9410062","Marc Kamionkowski","Marc Kamionkowski","Microlensing by Stars","11 pages, uuencoded, compressed Postscript","Astrophys.J. 442 (1995) L9","10.1086/187803","IASSNS-HEP-94/86, CU-TP-656","astro-ph hep-ph",,"  If stars at the lower end of the main sequence are responsible for the
microlensing events observed in the Galactic bulge, then light from the lensing
star contributes to the observed brightness. The background and lensing stars
generally have different colors, and the relative brightness changes during the
microlensing event. Therefore, microlensing light curves are not perfectly
achromatic if hydrogen-burning stars are the lenses. In most cases, the color
shift will be too small to be observable, but we argue that given the current
microlensing rates, it is plausible that a few color-shifted microlensing
events could be observed in the near future, especially if strategies are
optimized to search for them. Although rare, such an event could potentially
provide a wealth of information: Light curves in two bands can be used to
determine the masses and distances of the two stars as well as the transverse
speed of the lensing star. Light curves in additional wavebands could make the
determination more precise.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 1994 21:07:19 GMT""}]","2009-10-22"
"astro-ph/9410063",,"H. Falcke and O.M. Heinrich","Starving Accretion Disks in the Center of Galaxies: the Examples of Sgr
  A* and M31","A&A in press, 10 pages, compressed PostScript, hardcopy or LaTex
  version available from hfalcke@mpifr-bonn.mpg.de","Astron.Astrophys. 292 (1994) 430",,"MPIFR-Preprint #585","astro-ph",,"  The low accretion rate inferred for the GC source Sgr A* requires a distinct
type of accretion disk -- a starving disk. We investigate the structure of this
type of disk within the framework of thin Keplerian disk models taking into
account relativistic effects, detailed opacitiy tables and turbulent heat
transport. It appears as if starving disks are the perfect realization of
geometrically thin, optically thick disks with well behaved structure
functions. All in all starving disks are very stable structures with high
surface density, high optical depth and long viscous time scales. However,
S-curves in the Sigma-Mdot diagram occur, indicating a thermal limit-cycle
behaviour observable in the IR-NIR with timescales ranging between three years
and some thousand years. We propose that in Sgr A*, the main mass supply for
the disk might be a wind from the surrounding star cluster. As the disk is a
very stable and slowly evolving structure, it will inhibit spherical accretion
and incorporate the inflowing matter in the general accretion flow. The
situation in M31 may be very similar but with a more extreme set of parameters.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 09:09:25 GMT""}]","2007-05-23"
"astro-ph/9410064",,"Devendra Ojha","Kinematical Properties of the Thick Disk of the Galaxy","Postscript file, 5 pages with figures, Contributed talk presented at
  the workshop of The Formation of the Milky Way, Granada (Spain), 5-10
  September 1994",,,,"astro-ph",,"  We try here to find new constraints on thick disk population using samples at
intermediate latitude and North Galactic Pole, which include photometry and
proper motions. The algorithm SEM (Stochastic-Estimation-Maximization; Celeux
\& Deibolt 1986) was used to deconvolve the stellar components up to large
distances above the plane, allowing to study of their statistical properties
independently. The multivariate discriminant analysis (MDA) is used to qualify
the thick disk using observations in multidimensional space (V,B-V,U-B,
$\mu_{l}$ \& $\mu_{b}$).
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 11:21:23 GMT""}]","2007-05-23"
"astro-ph/9410065","Geza Gyuk","Geza Gyuk and Michael S. Turner","MeV Tau Neutrino: Astrophysical and Cosmological Constraints and
  Mischief","13 pages with 12 included figures, self extracting uuencoded
  compressed Postscript file, To appear in the Proceedings of Neutrino '94","Nucl.Phys.Proc.Suppl. 38 (1995) 13-25","10.1016/0920-5632(94)00728-E",,"astro-ph",,"  Terrestrial and ``Heavenly'' experiments severely constrain the mass and
lifetime of an MeV tau neutrino. Irrespective of decay mode, for $\tau_\nu \ga
300\sec$ the mass of the tau neutrino must be either approximately $30\MeV$ or
less than $0.4\MeV$ (Majorana), $15\keV$ (Dirac). If the dominant decay mode
includes electromagnetic daughter products, the mass must be less than
$0.4\MeV$ (Majorana or Dirac) provided $\tau_\nu \ga 2.5\times 10^{-12}\sec$,
$15\keV$ (Dirac) provided $\tau_\nu \ga 10^{-6}\sec (m_\nu /\MeV )$. A tau
neutrino of mass between $1\MeV$ and $30\MeV$ can have a host of interesting
astrophysical and cosmological consequences: relaxing the big-bang
nucleosynthesis bound to the baryon density and the number of neutrino species,
allowing big-bang nucleosynthesis to accommodate a low (less than 22\%) $^4$He
mass fraction or high (greater than $10^{-4}$) deuterium abundance, improving
significantly the agreement between the cold dark matter theory of structure
formation and observations, and helping to explain how type II supernovae
explode. Exploring the MeV mass range not only probes fundamental particle
physics, but also interesting astrophysical and cosmological scenarios.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 14:45:09 GMT""}]","2009-10-22"
"astro-ph/9410066","Michael Vogeley","L. N. da Costa, M. S. Vogeley, M. J. Geller, J. P. Huchra, and C. Park","The Power Spectrum of Galaxies in the Nearby Universe","Accepted for publication in The Astrophysical Journal Letters, Sept.
  23, 1994. 10 pages uuencoded compressed postscript, including two figures.
  JHU-94102001",,"10.1086/187668",,"astro-ph",,"  We compute the power spectrum of galaxy density fluctuations in a recently
completed redshift survey of optically-selected galaxies in the southern
hemisphere (SSRS2). The amplitude and shape of the SSRS2 power spectrum are
consistent with results of the Center for Astrophysics redshift survey of the
northern hemisphere (CfA2), including the abrupt change of slope on a scale of
30-50Mpc/h; these results are reproducible for independent volumes of space and
variations are consistent with the errors estimated from mock surveys. Taken
together, the SSRS2 and CfA2 form a complete sample of 14,383 galaxies which
covers one-third of the sky. The power spectrum of this larger sample continues
to rise on scales up to ~ 200Mpc/h, with weak evidence for flattening on the
largest scales. The SSRS2+CfA2 power spectrum and the power spectrum
constraints implied by COBE are well-matched by an Omega*h ~ 0.2,
Omega+lambda_0=1 CDM model with minimal biasing of optically-selected galaxies.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 15:16:43 GMT""}]","2009-10-22"
"chao-dyn/9410002","Victor Lvov","V.S L'vov and I. Procaccia","""Intermittency"" in Hydrodynamic Turbulence as Intermediate Asymptotic to
  Kolmogorov41 Scaling","RevTeX3","Phys. Rev. Lett. v.74, 2690 (1995)","10.1103/PhysRevLett.74.2690",,"chao-dyn nlin.CD",,"  A synopsis of an analytical theory of scaling in developed turbulence is
proposed on the basis of the Navier-Stokes equations. It is shown that
corrections to the normal Kolmogorov 1941 scaling behavior of the $n$-th order
velocity structure functions are finite Re effects which disappear when the
inertial interval exceeds 5-6 decades. These corrections originate from the
correlation between the velocity differences and energy dissipation which are
characterized by an anomalous (subcritical) exponent. The values of the
experimentally observed scaling indices for the $n$-th order structure
functions for $n$ between 4 and 14 are in agreement with our findings.
","[{""version"":""v1"",""created"":""Thu, 20 Oct 1994 12:39:20 GMT""}]","2009-10-22"
