"acc-phys/9411004",,"C. Travier","High-Brightness Photocathode Electron Sources","PostScript uuencoded file, 18 pages, 5 figures","AIPConf.Proc.335:57-74,1995","10.1063/1.48251","LAL/RT/94-15","acc-phys physics.acc-ph",,"  Most present and future electron accelerators require bright sources.
Invented less than ten years ago, the photo-injector the principle of which is
briefly recalled, has already demonstrated that it can provide very bright
beams. In this paper, the most advanced photo-injector projects are reviewed,
their specific features are outlined, and their major issues are examined. The
state-of-the-art in photocathode and laser technologies is presented. Beam
dynamics issues are also considered since they are essential in the production
of bright beams. Finally, the question of the maturity of photo-injector
technology is addressed.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:59:11 GMT""}]","2008-11-26"
"astro-ph/9411092","Michal Szymanski","M. Szymanski, A. Udalski, J. Kaluzny, M. Kubiak, W. Krzeminski and M.
  Mateo","The Optical Gravitational Lensing Experiment. Follow-Up Observations of
  the Macho Microlensing Event in the Galactic Bulge","5 pages, 2 tables, 2 figures; LaTeX format. Submitted to Acta
  Astronomica. PostScript figures (and text also) available via anonymous ftp
  from (148.81.8.1) ftp://sirius.astrouw.edu.pl/ogle/macho/","Acta Astron. 44 (1994) 387",,"OAUW-11/94","astro-ph",,"  We present follow-up observations of a gravitational microlensing candidate
found by the MACHO collaboration in the Galactic bulge. The photometric data
cover a period near the maximum of the event and may be used to construct
complete light curve. The position of the lensed star in the color magnitude
diagram suggests that it is a Galactic bulge star located on the subgiant
branch.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 17:28:32 GMT""}]","2009-09-25"
"astro-ph/9411093","Grant Gussie","G. T. Gussie and A. R. Taylor","HI and CO Observations of Circumnebular Envelopes of Planetary Nebulae","36 pages, postscript file includes 4 figures, accepted for
  publication in MNRAS, file also available as
  ftp://pandora.phys.utas.edu.au/HI.ps",,"10.1093/mnras/273.3.801",,"astro-ph",,"  21cm spectral-line and continuum observations of ten compact planetary
nebulae have been made with the Very Large Array. Circumnebular atomic hydrogen
is identified in the planetary nebulae SwSt1, M3-35, and possibly in Hu2-1. The
possibility of an inverse correlation between the optical depth of
circumnebular atomic hydrogen and the linear radius of the ionised nebula is
investigated, but not shown to be statistically significant. Observations of
J=2-1CO emission for 22 planetary nebulae and J=3-2CO emission for 16 planetary
nebulae taken with the James Clerk Maxwell Telescope are presented. J=2-1CO
emission is detected in the planetary nebula M1-59, and previous CO detections
in IC5117, M1-16, and NGC6302 are confirmed. J=3-2CO emission is detected in
the planetary nebulae IC 5117, and NGC 6302.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 23:44:05 GMT""}]","2015-06-24"
"astro-ph/9411094","Grant Gussie","G.T.Gussie, A.R.Taylor, P.E.Dewdney, and R.S.Roger","Molecular Photodissociation in the Neutral Envelopesof Planetary Nebulae","36 pages, postscript file includes 8 figures, accepted for
  publication in MNRAS, file also available as
  ftp://pandora.phys.utas.edu.au/IC418.ps",,"10.1093/mnras/273.3.790",,"astro-ph",,"  The dissociation and subsequent ionisation of molecular material in a
detached, spherically symmetric stellar wind is modelled as a star evolves from
the post-asymptotic giant branch phase to a planetary nebula (i.e. from a
stellar effective temperature of Teff=6000K to Teff=33000K). The model is
compared to the observed mass and distribution of ionised and atomic hydrogen
in the planetary nebula IC418. It is found that the mass of circumnebular
atomic hydrogen observed in IC418 can easily be produced by the dissociation of
originally molecular material by the ultraviolet radiation of the central star.
However, the observed spatial distribution of the gas is not accurately
recreated by the current model.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 23:44:15 GMT""}]","2015-06-24"
"astro-ph/9411095","Annie Robin","Annie C. Robin, Michel Creze, Vijay Mohan","How Do the Stellar Disc and Thick Disc Stop ?","Latex 6 pages (crckapbk style). 2 figures upon request or by
  anonymous ftp to ftp://ftp.obs-besancon.fr/pub/outgoing/annie/ Send all
  Comments, questions, requests, etc. to: annie@obs-besancon.fr",,,,"astro-ph",,"  As part of a stellar population sampling program, a series of photometric
probes at various field sizes and depths have been obtained in a low extinction
window in the galactic anticentre direction. Very deep CCD frames probe the
most external parts of the disc, providing strong evidence that the galactic
density scale length for the old disc population is rather short (2.5 kpc) and
drops abruptly beyond 5.5-6 kpc. Deeper frames in the I band allow to estimate
photometric distances and confirm the position of the disc edge. A few stars
are found at larger distances. Their number is exactly what we expect if the
thick disc does not have any cutoff. We discuss the implications for the
formation and evolution of the disc, for the star formation threshold, and for
the origin of the thick disc population.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 16:25:06 GMT""}]","2007-05-23"
"astro-ph/9411096",,"Heino Falcke and Peter L. Biermann","The jet-disk symbiosis. I. Radio to X-ray emission models for quasars","Astronomy & Astrophysics in press LaTeX, 5 PS-figures (hardcopy
  available on request)","Astron.Astrophys.293:665,1995",,"MPIfR-Bonn #584","astro-ph",,"  Starting from the assumption that radio jets and accretion disks are
symbiotic features present in radio loud and radio quiet quasars we scale the
bulk power of radio jets with the accretion power by adding mass- and energy
conservation of the whole jet-disk system to the standard Blandford \& K\""onigl
theory for compact radio cores. The model depends on only few parameters and
can be constrained by observations. Thus we are able to show that radio and
X-ray fluxes (SSC emission) of cores and lobes and typical dimensions of radio
loud quasars are consistent with a jet being produced in the central engine. We
present a synthetic broadband spectrum from radio to X-ray for a jet-disk
system. The only way to explain the high efficiency of radio loud objects is to
postulate that these objects consist of `maximal jets' with `total
equipartition' where the magnetic energy flow of the jet is comparable to the
kinetic jet power and the total jet power is a large fraction of the disk
power. As the number of electrons is limited by the accretion flow, this is
only possible when the minimum Lorentz factor of the electron distribution is
$\gamma_{\rm e,min}\ga100$ ($E\ga 50 {\rm MeV}$) or/and a large number of pairs
are present. Such an electron/positron population would be a necessary
consequence of hadronic interactions and may lead to some interesting effects
in the low frequency self-absorbed spectrum. Emission from radio weak quasars
can be explained with an initially identical jet. The difference between radio
loud and radio weak could be due to a different efficiency in accelerating
relativistic electrons on the sub-parsec scale. Finally we demonstrate that in
order to appease the ravenous hunger of radio loud jets its production must be
somehow linked to the dissipation process in the inner part of the disk.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:42:25 GMT""}]","2011-05-23"
"astro-ph/9411097",,"C. H. Lineweaver, S. Hancock, G. F. Smoot, A. N. Lasenby, R. D.
  Davies, A. J. Banday, C. M. Gutierrez de la Cruz, R. A. Watson, R. Rebolo","Comparison of the COBE DMR and Tenerife Data","15 pages + 4 figs uuencoded compressed postscript, submitted to APJL",,"10.1086/175978",,"astro-ph",,"  We have compared the Tenerife data with the {\it COBE} DMR two-year data in
the declination +40\deg region of the sky observed by the Tenerife experiment.
Using the Galactic plane signal at $\sim 30$ GHz, we show that the two data
sets are cross-calibrated to within 5%. The high Galactic latitude data were
investigated for the presence of common structures with the properties of
cosmic microwave background (CMB) fluctuations. The most prominent feature in
the Tenerife data ($\Delta T \sim 80\mu$K) is evident in both the 53 and 90 GHz
DMR maps and has the Planckian spectrum expected for CMB anisotropy. The
cross-correlation function of the Tenerife and DMR scans is indicative of
common structure and at zero lag has the value $C(0)^{1/2}=34^{+13}_{-15}\:
\mu$K. The combination of the spatial and spectral information from the two
data sets is consistent with the presence of cosmic microwave background
anisotropies common to both. The probability that noise could produce the
observed agreement is less than 5%.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 12:57:35 GMT""}]","2009-10-22"
"astro-ph/9411098","Martin White","M.White, G.Gelmini & J.Silk","Structure Formation with Decaying Neutrinos","13 pages, compressed uuencoded self-unpacking postscript file with 5
  figures and 1 table (included)","Phys.Rev.D51:2669-2676,1995","10.1103/PhysRevD.51.2669","CfPA-94-TH-48, UCLA/94/TEP/37","astro-ph",,"  We consider the effects of a massive, unstable neutrino on the evolution of
large--scale structure and anisotropies in the cosmic microwave background.
Comparison with large--scale structure data allows us to rule out a wide range
of masses and lifetimes for such neutrinos. We also define a range of masses
and lifetimes which delay matter--radiation equality and improve the agreement
with the data of Cold Dark Matter models with critical density.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 07:32:13 GMT""}]","2008-11-26"
"cond-mat/9411095","Martin Plumer","M.L. Plumer, (D\'epartement de Physique, Sherbrooke, Qu\'ebec), A.
  Mailhot (INRS-EAU, Ste.-Foy, Qu\'ebec)","Magnetic Phase Diagram of the Ferromagnetically Stacked Triangular Ising
  Antiferromagnet","6 pages (RevTex 3.0), 8 figures available upon request",,"10.1016/0378-4371(95)00280-4","CRPS -94-26","cond-mat",,"  Histogram Monte-Carlo simulation results are presented for the magnetic-field
-- temperature phase diagram of the Ising model on a stacked triangular lattice
with antiferromagnetic intraplane and ferromagnetic interplane interactions.
Finite-size scaling results for this frustrated system at three points along
the paramagnetic transition boundary are presented which strongly suggest a
line of triciritcal points at low field and a first-order transition line at
higher fields. These results are compared with the corresponding phase diagrams
from conventional mean-field theory as well as from the Monte Carlo mean-field
calculations of Netz and Berker [Phys. Rev. Lett. {\bf 66}, 377 (1991)].
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 16:29:55 GMT""}]","2015-06-25"
"cond-mat/9411096","Antonio Castro Neto","J.M.P.Carmelo and N.M.R.Peres","Ground states of integrable quantum liquids","RevteX 3.0, 43 pages, preprint Univ.Evora, Portugal",,"10.1103/PhysRevB.51.7481",,"cond-mat",,"  Based on a recently introduced operator algebra for the description of a
class of integrable quantum liquids we define the ground states for all
canonical ensembles of these systems. We consider the particular case of the
Hubbard chain in a magnetic field and chemical potential. The ground states of
all canonical ensembles of the model can be generated by acting onto the
electron vacuum (densities $n<1$) or hole vacuum (densities $n>1$), suitable
pseudoparticle creation operators. We also evaluate the energy gaps of the
non-lowest-weight states (non - LWS's) and non-highest-weight states (non -
HWS's) of the eta-spin and spin algebras relative to the corresponding ground
states. For all sectors of parameter space and symmetries the {\it exact ground
state} of the many-electron problem is in the pseudoparticle basis the
non-interacting pseudoparticle ground state. This plays a central role in the
pseudoparticle perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 17:26:51 GMT""}]","2009-10-22"
"dg-ga/9411006","Johannes Huebschmann","Johannes Huebschmann (Max Planck I. f. Math., Bonn)","The singularities of Yang-Mills connections for bundles on a surface. I.
  The local model","14 pages","Math. Z. 220 (1995), 595-609",,,"dg-ga math.DG",,"  Let $\Sigma$ be a closed surface, $G$ a compact Lie group, not necessarily
connected, with Lie algebra $g$, endowed with an adjoint action invariant
scalar product, let $\xi \colon P \to \Sigma$ be a principal $G$-bundle, and
pick a Riemannian metric and orientation on $\Sigma$, so that the corresponding
Yang-Mills equations $$d_A*K_A = 0$$ are defined, where $K_A$ refers to the
curvature of a connection $A$. For every central Yang-Mills connection $A$, the
data induce a structure of unitary representation of the stabilizer $Z_A$ on
the first cohomology group $\roman H^1_A(\Sigma,\roman{ad}(\xi))$ with
coefficients in the adjoint bundle $\roman{ad}(\xi)$, with reference to $A$,
with momentum mapping $\Theta_A$ from $\roman H^1_A(\Sigma,\roman{ad}(\xi))$ to
the dual $z^*_A$ of the Lie algebra $z_A$ of $Z_A$. We show that, for every
central Yang-Mills connection $A$, a suitable Kuranishi map identifies a
neighborhood of zero in the Marsden-Weinstein reduced space $\roman H_A$ for
$\Theta_A$ with a neighborhood of the point $[A]$ in the moduli space of
central Yang-Mills connections on $\xi$.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 21:28:31 GMT""}]","2008-02-03"
