"astro-ph/9411107","Robert Crittenden","R.G. Crittenden, D. Coulson and N.G. Turok","Temperature-Polarization Correlations from Tensor Fluctuations","5 pages, revtex, 5 figures, compressed and uuencoded","Phys.Rev.D52:5402-5406,1995","10.1103/PhysRevD.52.5402","PUPT 94-1514","astro-ph hep-ph",,"  We study the polarization-temperature correlations on the cosmic microwave
sky resulting from an initial scale invariant spectrum of tensor (gravity wave)
fluctuations, such as those which might arise during inflation. The correlation
function has the opposite sign to that for scalar fluctuations on large scales,
raising the possibility of a direct determination of whether the microwave
anisotropies have a significant tensor component. We briefly discuss the
important problem of estimating the expected foreground contamination.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:56:39 GMT""}]","2010-12-13"
"astro-ph/9411108","Pedro Colin","L. Carigi (CIDA, Venezuela), P. Colin, M. Peimbert, and A. Sarmiento
  (IAUNAM, Mexico)","Chemical Evolution of Irregular and Blue Compact Galaxies","26 pages, plain Tex, a postscript version with the figures included
  is available at ftp://132.248.1.7/papers/chem_evolution/irr_bcg.tar ; ApJ
  accepted",,"10.1086/175675",,"astro-ph",,"  We discuss the chemical evolution of metal poor galaxies and conclude that
their oxygen deficiency is not due to: the production of black holes by massive
stars or a varying slope of the Initial Mass Function, IMF, at the high-mass
end. A varying IMF at the low-mass end alone or in combination with: (a) an
outflow of oxygen-rich material, (b) an outflow of well-mixed material, and (c)
the presence of dark matter that does not participate in the chemical evolution
process, is needed to explain their oxygen deficiency. Outflow of material rich
in oxygen helps to account for the large helium to oxygen mass ratio values
derived from these objects, but it works against explaining the carbon to
oxygen mass ratio and the heavy elements minus carbon and oxygen to oxygen mass
ratio values.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 22:51:25 GMT""},{""version"":""v2"",""created"":""Tue, 29 Nov 1994 16:50:40 GMT""}]","2009-10-22"
"astro-ph/9411109","Norbert Zacharias","N.Zacharias, A.L.Fey, J.L.Russell and K.J.Johnston","RORF - a Radio Optical Reference Frame","1 page (LaTeX), IAU Symp.166, The radio catalog is available at
  ftp://maia.usno.navy.mil/rorf , and complete poster paper is available as
  hardcopy from nz@pyxis.usno.navy.mil",,,,"astro-ph",,"  The radio observations are based on dual frequency Mark--III VLBI data from
1979 until the end of 1993. Currently 436 sources define the celestial inertial
frame. A comparison to the JPL94R01 catalog is made. Position vs. time plots of
selected sources show significant apparent non linear proper motions. The
status of the project and recent results from optical observations are
presented.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 12:10:27 GMT""}]","2007-05-23"
"astro-ph/9411110",,"A. Franceschini and P. Andreani (Osservatorio Astronomico - Padova)","Millimeter Observations of a Complete Sample of IRAS Galaxies: Dust
  Emission and Absorption in Spirals","enclosed LateX file needs ApJ style files .STY",,"10.1086/187747","Padova1994-100","astro-ph",,"  We report on observations performed at 1.25 $mm$ of a southern galaxy sample,
selected from the IRAS PSC and complete to $S_{60}=2 Jy$. We detected 18
sources and set significant limits on 10 further objects. We use these data to
discuss the spatial distribution of cold dust, the broad-band far-IR/mm
spectra, the overall amount of dust, the gas-to-dust mass ratio, the dust
optical depth, and the overall extinction, for such a representative galaxy
sample. These results are also supported by a successful comparison with values
inferred for the Galaxy. Because of the favourable observational setup,
selection wavelength and completeness, we believe these data provide an
unbiased view of dust properties in spiral galaxies.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:19:00 GMT""}]","2009-10-22"
"astro-ph/9411111","Michal Jaroszynski","M. Jaroszynski (Warsaw University Observatory, Princeton University
  Observatory) and B. Paczynski(Princeton University Observatory)","The Cosmic Microwave Background Dipole as a Cosmological Effect","14 pages, plain TEX Submitted to ApJ The full postscript version with
  3 figures at ftp://astro.princeton.edu/library/preprints/pop602.ps.Z (88kB,
  compressed). e-mails: mj@orion.astrouw.edu.pl, bp@astro.princeton.edu",,,"POPe-602 (electronic form only)","astro-ph",,"  A conventional explanation of the dipole anisotropy of the cosmic microwave
background (CMB) radiation is in terms of the Doppler effect: our galaxy is
moving with respect to CMB frame with $ \sim 600 ~ km ~ s^{-1} $. However, as
the deep redshift surveys fail to reveal a convergence of the large scale flow
to zero at distances as large as $ d \sim H^{-1} 15,000 ~ km ~ s^{-1} $ (Lauer
& Postman, 1994), the uniqueness of the conventional interpretation has to be
investigated. A possible alternative might be a cosmological entropy gradient,
as suggested by Paczy\'nski & Piran (1990). We find that contrary to that
suggestion a quadrupole anisotropy is generically of the same order of
magnitude as the dipole anisotropy (or larger) not only for adiabatic but also
for iso-curvature initial perturbations. Hence, the observed dipole cannot be
explained with a very large scale perturbation which was initially
iso-curvature.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 14:14:53 GMT""}]","2007-05-23"
"chao-dyn/9411023","Thomas Hesse","R. Aurich, T. Hesse, and F. Steiner (II. Institut fuer Theoretische
  Physik, Universitaet Hamburg)","On the Role of Non-Periodic Orbits in The Semiclassical Quantization of
  the Truncated Hyperbola Billiard","8 pages, uu-encoded ps-file",,"10.1103/PhysRevLett.74.4408","DESY 94-214","chao-dyn nlin.CD",,"  Based on an accurate computation of the first 1851 quantal energy levels of
the truncated hyperbola billiard, we have found an anomalous long-range
modulation in the integrated level density. It is shown that the observed
anomaly can be explained by an additional term in Gutzwiller's trace formula.
This term is given as a sum over families of closed, non-periodic orbits which
are reflected in a point of the billiard boundary where the boundary is
continuously differentiable, but its curvature radius changes discontinuously.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:09:51 GMT""}]","2009-10-22"
"cmp-lg/9411030","B. Srinivas","Aravind K Joshi (University of Pennsylvania)","Complexity of Scrambling: A New Twist to the Competence - Performance
  Distinction","ps, 4 pages, Proceedings of TAG+3, 1994",,,,"cmp-lg cs.CL",,"  In this paper we discuss the following issue: How do we decide whether a
certain property of language is a competence property or a performance
property? Our claim is that the answer to this question is not given a-priori.
The answer depends on the formal devices (formal grammars and machines)
available to us for describing language. We discuss this issue in the context
of the complexity of processing of center embedding (of relative clauses in
English) and scrambling (in German, for example) from arbitrary depths of
embedding.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:57:25 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 14:23:10 GMT""}]","2008-02-03"
"cond-mat/9411118","Xuejun Zhu","Xuejun Zhu, Mark S. Hybertsen, P. B. Littlewood, and Martin C. Nuss","Four-wave mixing and terahertz emission from three-level systems in
  quantum wells: effects of inhomogeneous broadening","Latex file; 4 figures available from xzhu@physics.rutgers.edu;
  Appeared in: PRB vol. 50 11915 (1994)",,"10.1103/PhysRevB.50.11915",,"cond-mat",,"  Using a perturbation theory based on the density-matrix formulation, we study
the nonlinear optical responses of a noninteracting three-level model system to
consecutive coherent pulsed excitations, as realized in several recent
experiments involving excitonic transitions in quantum wells. The terahertz
emission, which is a second order response, and the four-wave mixing signal, a
third order response, are calculated within the rotating-wave approximation, in
the presence of detuning, dephasing, and inhomogeneous broadening. We study the
quantum beats in the photon echo from transient four-wave mixing experiments of
a three-level system. We find that the temporal profile of the photon echo
signal in the four-wave mixing experiments depends very strongly on the amount
of inhomogeneous broadening of the energy levels involed. Both the position and
the intensity of the peaks exhibit a smooth evolution from strong quantum beats
to a conventional photon echo as the inhomogeneous broadening increases. These
features from our noninteracting model system are compared with a recent
experiment, and found to account for a number of experimental observations.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 16:05:07 GMT""}]","2009-10-22"
"cond-mat/9411119","Mike Widom","M. Widom and H. Zhang, Carnegie-Mellon U","Long-Ranged Orientational Order in Dipolar Fluids","3 pages, LaTex, no figures. Submitted as comment to PRL, May 1994",,"10.1103/PhysRevLett.74.2616",,"cond-mat",,"  Recently Groh and Dietrich claimed the thermodynamic state of a dipolar fluid
depends on the shape of the fluid's container. For example, a homogeneous fluid
in a short fat container would phase separate when transferred to a tall skinny
container of identical volume and temperature. Their calculation thus lacks a
thermodynamic limit. We show that removal of demagnetizing fields restores the
true, shape independent, thermodynamic limit. As a consequence, spontaneously
magnetized liquids display inhomogeneous magnetization textures.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 19:56:42 GMT""}]","2009-10-22"
"cond-mat/9411120","N. Chandrabhas","N. Chandrabhas, Ajay K. Sood, D.V.S. Muthu, C.S. Sundar, A. Bharathi,
  Y. Hariharan and C.N.R. Rao","Reversible Pressure-Induced Amorphization in Solid C70 : Raman and
  Photoluminescence Study","To appear in Phys. Rev. Lett., 12 pages, RevTeX (preprint format), 3
  figures available upon request",,"10.1103/PhysRevLett.73.3411",,"cond-mat",,"  We have studied single crystals of $C_{70}$ by Raman scattering and
photoluminescence in the pressure range from 0 to 31.1 GPa. The Raman spectrum
at 31.1 GPa shows only a broad band similar to that of the amorphous carbon
without any trace of the Raman lines of $C_{70}$. After releasing the pressure
from 31.1 GPa, the Raman and the photoluminescence spectra of the recovered
sample are that of the starting $C_{70}$ crystal. These results indicate that
the $C_{70}$ molecules are stable upto 31.1 GPa and the amorphous carbon high
pressure phase is reversible, in sharp contrast to the results on solid
$C_{60}$. A qualitative explaination is suggested in terms of inter- versus
intra-molecular interactions.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:10:00 GMT""}]","2009-10-22"
"cond-mat/9411121","Nandini Trivedi","Nandini Trivedi and Mohit Randeria","Deviations from Fermi-liquid behavior above $T_c$ in 2D short coherence
  length superconductors","4 pages (twocolumn format), 5 Postscript figures",,"10.1103/PhysRevLett.75.312","ANL preprint","cond-mat mtrl-th supr-con",,"  We show that there are qualitative differences between the temperature
dependence of the spin and charge correlations in the normal state of the 2D
attractive Hubbard model using quantum Monte Carlo simulations. The
one-particle density of states shows a pseudogap above $\tc$ with a depleted
$N(0)$ with decreasing $T$. The susceptibility $\cs$ and the low frequency spin
spectral weight track $N(0)$, which explains the spin-gap scaling: $1/T_1T \sim
\cs(T)$. However the charge channel is dominated by collective behavior and the
compressibility $dn/d\mu$ is $T$-independent. This anomalous ``spin-charge
separation'' is shown to exist even at intermediate $|U|$ where the momentum
distribution $n(\bk)$ gives evidence for degenerate Fermi system.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 20:50:30 GMT""}]","2009-10-22"
