"alg-geom/9412001","Wayne Raskind","Wayne M. Raskind","Higher $l$-adic Abel-Jacobi mappings and filtrations on Chow groups","33 pages, Latex. To appear in Duke Math. Journal",,,,"alg-geom math.AG",,"  We define a filtration on the Chow groups of a smooth projective variety X
over a field k by using the cycle map into continuous l-adic etale cohomology.
The main theorem says that if k is a function field in one variable over a
finite field, this filtration for zero cycles is of length at most one modulo
the kernel of the cycle map.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:25:23 GMT""}]","2008-02-03"
"astro-ph/9412002",,"L. Maraschi, G. Fossati, G. Tagliaferri and A. Treves","ROSAT Observations of Blazars from a Polarized Radio Selected Sample","24 pages, uuencoded tar-compressed PostScript file including figures,
  to appear in The Astrophysical Journal. Send all Comments, questions,
  requests, etc. to: fossati@astmiu.mi.astro.it","Astrophys.J. 443 (1995) 578","10.1086/175550","SISSA Ref. 151 / 94 / A","astro-ph",,"  We have observed with ROSAT six blazars from the sample of 31 polarized
objects constructed by Impey and Tapia (1988). Results of the spectral analysis
in the ROSAT band of three objects, PKS 0301-243, PKS 1055+018 and PG 1424+240
are presented here and compared with the three previously published objects.
Using a simple power law model with free absorption a wide range of spectral
slopes is found. Objects with emission lines have flatter X-ray spectra than
lineless objects. Indication of spectral curvature within the X-ray band is
found in the sense of a concavity (soft excess) for the flattest spectrum and a
convexity (soft deficiency) for the steepest one. The X-ray spectral shape is
discussed in relation to the overall energy distribution for the six objects.
The results are compared with other samples of blazars. The X-ray spectral
index, alpha_X, is found to be anticorrelated with the broad band spectral
index alpha_RO and with bolometric luminosity and redshift. It is suggested
that the different spectra of quasar-like and BL Lac-like blazars represent
extremes in a continuous distribution rather than two distinct populations.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 16:52:38 GMT""}]","2009-10-22"
"astro-ph/9412003",,"Angelica de Oliveira-Costa, George F. Smoot","Constraints on the topology of the universe from the 2-yr COBE data","Minor revisions to match published version. 14 pages, with 4 figures
  included. Color figures and links at
  http://www.sns.ias.edu/~angelica/topology.html","Astrophys.J. 448 (1995) 477","10.1086/175977",,"astro-ph",,"  The cosmic microwave background (CMB) is a unique probe of cosmological
parameters and conditions. There is a connection between anisotropy in the CMB
and the topology of the Universe. Adopting a universe with the topology of a
3-Torus, or a universe where only harmonics of the fundamental mode are
allowed, and using 2-years of COBE/DMR data, we obtain constraints on the
topology of the Universe. Previous work constrained the topology using the
slope information and the correlation function of the CMB. We obtain more
accurate results by using all multipole moments, avoiding approximations by
computing their full covariance matrix. We obtain the best fit for a cubic
toroidal universe of scale 7200h^{-1} Mpc for n=1. The data set a lower limit
on the cell size of 4320h^{-1} Mpc at 95% confidence and 5880h^{-1} Mpc at 68%
confidence. These results show that the most probable cell size would be around
1.2 times larger than the horizon scale, implying that the 3-Torus topology is
no longer an interesting cosmological model.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:47:26 GMT""},{""version"":""v2"",""created"":""Wed, 14 May 1997 16:11:12 GMT""}]","2009-10-22"
"astro-ph/9412004","C. Bird","C.M. Bird (U. Kansas), D.S. Davis (GSFC/U. Maryland), T.C. Beers
  (Michigan State)","Subcluster Merger and Galaxy Infall in A2151","To appear in the March 1995 issue of AJ, LaTeX, PostScript text and
  figures available by anonymous ftp from kula.phsx.ukans.edu",,"10.1086/117330",,"astro-ph",,"  We have obtained a 12.5 ksec image of the Hercules Cluster, A2151, with the
{\it ROSAT} PSPC. Comparison of the optical and X-ray data suggest the presence
of at least three distinct subclusters in A2151. The brightest X-ray emission
coincides with the highest-density peak in the galaxy distribution, and is
bimodal. The northern subclump, distinct in position and velocity, has {\it no}
detectable X-ray gas. The eastern subclump, apparent in the optical contour
map, is indistinguishable from the main clump in velocity space but is clearly
visible in the X-ray image. X-ray spectra derived from the central peak of
emission yield a best-fit temperature of 1.6 keV. The emission coincident with
the eastern clump of galaxies is cooler, 0.8 keV, and is outside the 90\%
confidence intervals of the central peak temperature. We suggest that the
eastern and central subclusters have recently undergone a merger event. The
lack of X-ray emission to the north suggests that those galaxies do not form a
physically-distinct structure (i.e. they are not located within a distinct
gravitational potential), but rather that they are falling into the cluster
core along the filament defined by the Hercules Supercluster.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 22:04:16 GMT""}]","2009-10-22"
"astro-ph/9412005","Max Tegmark","Max Tegmark, Emory Bunn","A brute force analysis of the COBE DMR data","16 pages, incl 3 figures. Stone-age postscript replaced by LATeX.
  Latest version at http://www.sns.ias.edu/~max/brute.html (faster from the
  US), from http://www.mpa-garching.mpg.de/~max/brute.html (faster from Europe)
  or from max@ias.edu","Astrophys.J.455:1-6,1995","10.1086/176549",,"astro-ph",,"  More than a dozen papers analyzing the COBE data have now appeared. We review
the different techniques and compare them to a ``brute force"" likelihood
analysis where we invert the full 4038 x 4038 Galaxy-cut pixel covariance
matrix. This method is optimal in the sense of producing minimal error bars,
and is a useful reference point for comparing other analysis techniques. Our
maximum-likelihood estimate of the spectral index and normalization are n=1.15
(0.95) and Q=18.2 (21.3) micro-Kelvin including (excluding) the quadrupole.
Marginalizing over the normalization C_9, we obtain n=1.10 +/- 0.29 (n=0.90 +/-
0.32). When we compare these results with those of the various techniques that
involve a linear ``compression'' of the data, we find that the latter are all
consistent with the brute-force analysis and have error bars that are nearly as
small as the minimal error bars. We therefore conclude that the data
compressions involved in these techniques do indeed retain most of the useful
cosmological information.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 22:54:00 GMT""},{""version"":""v2"",""created"":""Sun, 4 Dec 1994 20:13:33 GMT""},{""version"":""v3"",""created"":""Mon, 27 Nov 1995 17:56:37 GMT""},{""version"":""v4"",""created"":""Sun, 8 Sep 1996 16:52:10 GMT""}]","2008-11-26"
"astro-ph/9412006","M. H. van Kerkwijk","S. R. Kulkarni, K. Matthews, G. Neugebauer, I. N. Reid, M. H. van
  Kerkwijk, G. Vasisht (Palomar Observatory, Caltech)","Optical and Infrared Observations of SGR 1806-20","7 pages, AASTeX (needs LaTeX style files aaspptwo.sty and epsf.sty,
  plus PostScript figure). In case of problems, contact mhvk@astro.caltech.edu","Astroph. J. 440, L61 (1995)","10.1086/187761",,"astro-ph",,"  The soft gamma-ray repeater (SGR) 1806$-$20 is associated with the
center-brightened non-thermal nebula G~10.0$-$0.3, thought to be a plerion. As
in other plerions, a steady \Xray\ source, AX~1805.7$-$2025, has been detected
coincident with the peak of the nebular radio emission. Vasisht et al.\ have
shown that the radio peak has a core-jet appearance, and argue that the core
marks the true position of the SGR. At optical wavelengths, we detect three
objects in the vicinity of the radio core. Only for the star closest to the
core, barely visible in the optical but bright in the infrared ($K=8.4\,$mag.),
the reddening is consistent with the high extinction ($A_V\simeq30\,$mag.) that
has been inferred for AX~1805.7$-$2025. From the absence of CO band absorption,
we infer that the spectral type of this star is earlier than late~G/early~K.
The large extinction probably arises in a molecular cloud located at a distance
of 6$\,$kpc, which means that the star, just like AX~1805.7$-$2025, is in or
behind this cloud. This implies that the star is a supergiant. Since
supergiants are rare, a chance coincidence with the compact radio core is very
unlikely. To our knowledge, there are only three other examples of luminous
stars embedded in non-thermal radio nebulae, SS~433, \mbox{Cir X-1} and
G~70.7+1.2. Given this and the low coincidence probability, we suggest that the
bright star is physically associated with SGR~1806$-$20, making it the first
stellar identification of a high-energy transient.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 01:51:24 GMT""}]","2009-10-22"
"astro-ph/9412007","Philip Mannheim","Philip D. Mannheim (University of Connecticut)","Microlensing, Newton-Einstein Gravity and Conformal Gravity","Plain TeX, 4 pages. To appear in the proceedings of the Fifth Annual
  Astrophysics Conference in Maryland",,"10.1063/1.48383","UCONN-94-10, December, 1994","astro-ph",,"  We discuss some implications of the current round of galactic dark matter
searches for galactic rotation curve systematics and dynamics, and show that
these new data do not invalidate the conformal gravity program of Mannheim and
Kazanas which has been advanced as a candidate alternative to both the standard
second order Newton-Einstein theory and the need for dark matter.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 13:25:52 GMT""}]","2009-10-22"
"astro-ph/9412008","Krzysztof Stanek","K.Z. Stanek, G.R. Knapp, K. Young & T.G. Phillips","Maps of the Molecular Emission Around 18 Evolved Stars","28 pages, uses aaspp.sty file, submitted to ApJ. The full PostScript
  version with 19 figures can be obtained by the anonymous ftp from
  astro.princeton.edu, directory stanek/CO_maps, or through the WWW,
  htpp://astro.princeton.edu/~library/prep.html",,"10.1086/192214","Princeton Observatory Preprint POPe-604 (electronic form only)","astro-ph",,"  We present maps at $20''$ resolution of the molecular emission around 18
evolved stars (14~asymptotic giant branch stars, one supergiant, two
proto-planetary nebulae and one planetary nebula), mostly in the $^{12}$CO(3-2)
line. Almost all molecular envelopes appear to be at least marginally resolved
at this resolution. A substantial fraction of the molecular envelopes show
clear deviations from spherical symmetry in the form of elliptical or bipolar
envelopes. This indicates that there is a need to implement non-spherical mass
loss in current scenarios of the late stages of stellar evolution, in
particular on the asymptotic giant branch.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:50:43 GMT""}]","2009-10-22"
"chao-dyn/9412001","Niall Whelan","N.D. Whelan (Niels Bohr Institute)","Geometric and Diffractive Orbits in the Scattering from Confocal
  Hyperbolae","Written in RevTeX. After \end{document} comes a uuencoded .ps file
  with two figures","Phys. Rev. E 51 (1995), p.3778","10.1103/PhysRevE.51.3778",,"chao-dyn nlin.CD",,"  We study the scattering resonances between two confocal hyperbolae and show
that the spectrum is dominated by the effect of a single periodic orbit. There
are two distinct cases depending on whether the orbit is geometric or
diffractive. A generalization of periodic orbit theory allows us to incorporate
the second possibility. In both cases we also perform a WKB analysis. Although
it is found that the semiclassical approximations work best for resonances with
large energies and narrow widths, there is reasonable agreement even for
resonances with large widths - unlike the two disk scatterer. We also find
agreement with the next order correction to periodic orbit theory.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 09:43:27 GMT""}]","2009-10-22"
"chao-dyn/9412002","Tony Roberts","S.D. Watt (University of Melbourne), A.J. Roberts (University of
  Southern Queensland)","The Construction of Zonal Models of Dispersion in Channels via Matched
  Centre Manifolds","22 pages, standard LaTeX (without the figures), 56K",,,,"chao-dyn nlin.CD",,"  Taylor's model of dispersion simply describes the long-term spread of
material along a pipe, channel or river. However, often we need multi-mode
models to resolve finer details in space and time. Here we construct zonal
models of dispersion via the new principle of matching their long-term
evolution with that of the original problem. Using centre manifold techniques
this is done straightforwardly and systematically. Furthermore, this approach
provides correct initial and boundary conditions for the zonal models. We
expect the proposed principle of matched centre manifold evolution to be useful
in a wide range of modelling problems.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 11:18:57 GMT""}]","2008-02-03"
"comp-gas/9411001","Bruce Boghosian","Bruce M. Boghosian (Center for Computational Science, Boston
  University), Washington Taylor (Center for Theoretical Physics, Massachusetts
  Institute of Technology)","Renormalization of Lattice Gas Transport Coefficients","12 pages, REVTeX",,,"BU-CCS-941001, MIT-CTP-2280","comp-gas hep-lat nlin.CG",,"  A method is described for calculating corrections to the
Boltzmann/Chapman-Enskog analysis of lattice gases due to the buildup of
correlations. It is shown that renormalized transport coefficients can be
calculated perturbatively by summing terms in an infinite series. A
diagrammatic notation for the terms in this series is given, in analogy with
the Feynman diagrams of quantum field theory. This theory is applied to an
example lattice gas and shown to correctly predict experimental deviation from
the Boltzmann prediction.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:16:45 GMT""}]","2008-02-03"
