"alg-geom/9412012","J. M. Landsberg","J.M. Landsberg","On Degenerate Secant and Tangential Varieties and Local Differential
  Geometry","Exposition altered according to the helpful recommendations of the
  referee. AMSTeX",,,,"alg-geom dg-ga math.AG math.DG",,"  We study the local differential geometry of varieties $X^n\subset \Bbb C\Bbb
P^{n+a}$ with degenerate secant and tangential varieties. We show that the
second fundamental form of a smooth variety with degenerate tangential variety
is subject to certain rank restrictions. The rank restrictions imply a slightly
refined version of Zak's theorem on linear normality and a short proof of the
Zak-Fantecchi theorem on the superadditivity of multisecant defects. We show
there is a vector bundle defined over general points of $TX$ whose fibers carry
the structure of a Clifford algebra. This structure implies additional
restrictions of the size of the secant defect. The Clifford algebra structure,
combined with further local computations, yields a new proof of Zak's theorem
on Severi varieties that is substantially shorter than the original. We also
prove local and global results on the dimension of the Gauss image of
degenerate tangential varieties, refining the results in [GH].
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 21:11:02 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 14:21:07 GMT""}]","2008-02-03"
"alg-geom/9412013","Scott R. Nollet","Scott R. Nollet","Even Linkage Classes","26 pages AMS-TeX",,,,"alg-geom math.AG",,"  In this paper the author generalizes the $\E$ and $\N$-type resolutions used
by Martin-Deschamps and Perrin to subschemes of pure codimension in projective
space, and shows that these resolutions are interchanged by the mapping cone
procedure under a simple linkage. Via these resolutions, Rao's correspondence
is extended to give a bijection between even linkage classes of subschemes of
pure codimension two and stable equivalence classes of reflexive sheaves $\E$
satisfying $H^1_*(\E)=0$ and $\ext^1(\E^\vee, \O)=0$. Further, these
resolutions are used to extend the work of Martin-Deschamps and Perrin for
Cohen-Macaulay curves in $\Pthree$ to subschemes of pure codimension two in
$\Pn$. In particular, even linkage classes of such subschemes have the
Lazarsfeld-Rao property and any minimal subscheme for an even linkage class is
directly linked to a minimal subscheme for the dual class.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 04:54:46 GMT""}]","2008-02-03"
"alg-geom/9412014",,"Ugo Bruzzo and Antony Maciocia","Hilbert schemes of points on some K3 surfaces and Gieseker stable
  bundles","8 pages, AMSLaTeX, no figures",,,,"alg-geom math.AG",,"  By using a Fourier-Mukai transform for sheaves on K3 surfaces we show that
for a wide class of K3 surfaces $X$ the punctual Hilbert schemes $\Hilb^n(X)$
can be identified, for all $n\geq 1$, with moduli spaces of Gieseker stable
vector bundles on $X$ of rank $1+2n$. We also introduce a new Fourier-Mukai
type transform for such surfaces.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 12:41:07 GMT""}]","2015-06-30"
"astro-ph/9412043",,"I. Suisalu, E. Saar","An Adaptive Multigrid Solver for High-Resolution Cosmological
  Simulations","plain tex, 16 pages, 8 figures, submitted to Monthly Notices","Mon.Not.Roy.Astron.Soc. 274 (1995) 287-299","10.1093/mnras/274.1.287",,"astro-ph",,"  We have developed an adaptive multigrid code for solving the Poisson equation
in gravitational simulations. Finer rectangular subgrids are adaptively created
in locations where the density exceeds a local level-dependent threshold. We
describe the code, test it in cosmological simulations, and apply it to the
study of the birth and evolution of a typical pancake singularity. The initial
conditions for the pancake are generated on the basis of the theory of
Lagrangian singularities; we follow its evolution for a few collapse times,
finding a rich substructure in the final object. We achieve a spatial
resolution of 1/1024 of the size of the overall computational cube in the
central parts of the pancake, with computing time comparable to that of the
FFT-solvers.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 19:14:16 GMT""}]","2015-06-24"
"astro-ph/9412044","Liliya Rodrigues","L.L. Rodrigues-Williams and M.R.S. Hawkins","Gravitational Lensing of Variability-slected QSO by Galaxy Clusters","3 pages, plain tex, figures available upon request, to appear in
  Proc. of the 5th Annual Astrophysics Conf., College Park, Maryland",,"10.1063/1.48353",,"astro-ph",,"  Distribution and properties of QSOs behind galaxy clusters in the UKJ287
field were studied. QSOs were selected using variability criteria and are
confined to $z \ge 0.4$ and $m_B \le 19.5$. No reddening or obscuration of
background QSOs due to dust in clusters is detected. A statistically
significant positive angular correlation between clusters ($\langle z\rangle
\simeq 0.15$) and QSOs ($0.4 \le z \le 2.2$) on scales of several arcminutes is
found. This number overdensity of QSOs behind clusters is ascribed to weak
gravitational lensing by foreground galaxy clusters. The overdensity of QSOs
increases as their limiting magnitude gets brighter in a way that would be
expected from a simple lensing model derived using Boyle, Shanks \& Peterson
(1988) QSO number counts and an average amplification of $A=2$ due to clusters.
The implied amplification is substantially larger than would be expected from
isothermal sphere clusters with a velocity dispersion $\sigma_v \sim 1000$
km/s.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 22:05:26 GMT""}]","2009-10-22"
"astro-ph/9412045",,"F. Hoyle, G. Burbidge and J.V. Narlikar","Note on a Comment by Edward L. Wright","4 pages, Latex, 2 figures obtained by contacting G. Burbidge at
  btravell@ucsd.edu. Submitted to M.N.R.A.S. for publication",,,,"astro-ph",,"  Recently Wright (1994, preprint) has criticized a paper of ours on the
quasi-steady state cosmology (Hoyle et al. 1994, {\em M.N.R.A.S.,} {\bf 267,}
1007) arguing that the results from a radio source survey by Allington-Smith
(1982 {\em M.N.R.A.S.,} {\bf 199,} 611) show that our model published in the
paper referenced above is incorrect, and claiming farther that this result of
his invalidates the quasi-steady state cosmology. In this paper we have dealt
with his criticisms and have shown that he is wrong.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 00:02:01 GMT""}]","2007-05-23"
"astro-ph/9412046","Larus Thorlacius","P.C. Argyres, A.O. Barvinski, V. Frolov, S.B. Giddings, D.A. Lowe, A.
  Strominger, and L. Thorlacius","Quantum Aspects of Gravity","25 pages, LaTeX, style package snow.sty included in uuencoded file, 2
  figures also included in uuencoded file",,,,"astro-ph gr-qc hep-ph hep-th",,"  Contributions from the G1 Working Group at the APS Summer Study on Particle
and Nuclear Astrophysics and Cosmology in the Next Millennium, Snowmass,
Colorado, June 29 - July 14, 1994.
  V. Frolov and L. Thorlacius: Quantum Aspects of Gravity.
  S.B. Giddings and L. Thorlacius: Introduction to the Information Problem.
  A. Strominger: Two-Dimensional Black Holes and the Information Puzzle.
  V. Frolov: Entropy of Black Holes.
  L. Thorlacius: Black Hole Complementarity.
  D.A. Lowe: Causality in String Theory.
  A.O. Barvinski: Nonlocal Effective Action and Black Holes.
  P.C. Argyres: Universality and Scaling in Black Hole Formation.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 01:29:28 GMT""}]","2007-05-23"
"astro-ph/9412047","Larry Widrow","R. N. Henriksen, Lawrence M. Widrow (Queen's University)","On Stationary, Self-Similar Distributions of a Collisionless,
  Self-Gravitating, Gas","23 pages, regular Tex, figures in separate .uu file to follow",,"10.1093/mnras/276.2.679",,"astro-ph",,"  We study systematically stationary solutions to the coupled Vlasov and
Poisson equations which have `self-similar' or scaling symmetry in phase space.
In particular, we find analytically {\it all} spherically symmetric
distribution functions where the mass density and gravitational potential are
strict power laws in $r$, the distance from the symmetry point. We treat as
special cases, systems built from purely radial orbits and systems that are
isotropic in velocity space. We then discuss systems with arbitrary velocity
space anisotropy finding a new and very general class of distribution
functions. These distributions may prove useful in modelling galaxies.
Distribution functions in cylindrical and planar geometries are also discussed.
Finally, we study spatially spheroidal systems that again exhibit strict
power-law behaviour for the density and potential and find results in agreement
with results published recently.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 15:59:11 GMT""}]","2015-06-24"
"chao-dyn/9412006","Alexander M. Iskoldsky","Konstantin E. Bobrov, Nickolas B. Volkov, Alexander M. Iskoldsky,
  Vyacheslav N. Skokov","Estimation of embedding dimension by experimental data. Part 1","LaTeX, 20 figures (postscript), 350 KB",,,,"chao-dyn nlin.CD",,"  In connection with the investigations of initial stages of appearance of
turbulence in the current-carrying mediums and also the investigations of
relaxation oscillations in thin-film bridges of high-temperature superconductor
$Y Ba_2 Cu_3 O_{7-x}$ some problems of estimation of asymptotical parameters of
chaotic dynamic systems are considered. The mechanism of measuring modes
matching (discretization by time and by amplitude at the limited buffer memory
of registering device) to the fixed procedure of signal handling is discussed.
It is shown that the problem of estimation of embedding dimension can be
reduced to the investigation of sufficiently simple phase transitions at the
integer-valued finite-dimensional lattices.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 05:29:30 GMT""}]","2008-02-03"
"cond-mat/9412060",,"Josef A. Zuk","Introduction to the Supersymmetry Method for the Gaussian Random-Matrix
  Ensembles","36 pages, LaTeX, No figures. New address for correspondence. Some
  misprints corrected and background material added.",,,,"cond-mat hep-th",,"  This article is intended to provide a pedagogical introduction to the
supersymmetry method for performing ensemble-averaging in Gaussian
random-matrix theory. The method is illustrated by a detailed calculation of
the simplest non-trivial physical quantity, namely, the second-order
correlation in the density of states for two different energies within the
spectrum (commonly known as the density-density correlator) for a system
described by a random Hamiltonian matrix belonging to the Gaussian unitary
ensemble.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 18:26:44 GMT""},{""version"":""v2"",""created"":""Sat, 26 Aug 1995 07:28:38 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jul 1996 00:25:20 GMT""}]","2008-02-03"
"cond-mat/9412061",,"Z. Pluhar, H.A. Weidenmueller, J.A. Zuk and C.H. Lewenkopf","Crossover from Orthogonal to Unitary Symmetry for Ballistic Electron
  Transport in Chaotic Microstructures","49 pages, latex, 9 figures as tar-compressed uuencoded file",,"10.1006/aphy.1995.1089",,"cond-mat",,"  We study the ensemble-averaged conductance as a function of applied magnetic
field for ballistic electron transport across few-channel microstructures
constructed in the shape of classically chaotic billiards. We analyse the
results of recent experiments, which show suppression of weak localization due
to magnetic field, in the framework of random-matrix theory. By analysing a
random-matrix Hamiltonian for the billiard-lead system with the aid of
Landauer's formula and Efetov's supersymmetry technique, we derive a universal
expression for the weak-localization contribution to the mean conductance that
depends only on the number of channels and the magnetic flux. We consequently
gain a theoretical understanding of the continuous crossover from orthogonal
symmetry to unitary symmetry arising from the violation of time-reversal
invariance for generic chaotic systems.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 18:50:47 GMT""}]","2015-06-25"
