"alg-geom/9412017","V. Batyrev","Victor V. Batyrev and Lev A. Borisov","On Calabi-Yau Complete Intersections in Toric Varieties","27 pages, Latex",,,,"alg-geom hep-th math.AG",,"  We investigate Hodge-theoretic properties of Calabi-Yau complete
intersections $V$ of $r$ semi-ample divisors in $d$-dimensional toric Fano
varieties having at most Gorenstein singularities. Our main purpose is to show
that the combinatorial duality proposed by second author agrees with the
duality for Hodge numbers predicted by mirror symmetry. It is expected that the
complete verification of mirror symmetry predictions for singular Calabi-Yau
varieties $V$ of arbitrary dimension demands considerations of so called {\em
string-theoretic Hodge numbers} $h^{p,q}_{\rm st}(V)$. We restrict ourselves to
the string-theoretic Hodge numbers $h^{0,q}_{\rm st}(V)$ and $h^{1,q}_{\rm
st}(V)$ $(0 \leq q \leq d-r) which coincide with the usual Hodge numbers
$h^{0,q}(\widehat{V})$ and $h^{1,q}(\widehat{V})$ of a $MPCP$-desingularization
$\widehat{V}$ of $V$.
","[{""version"":""v1"",""created"":""Sun, 18 Dec 1994 20:21:14 GMT""}]","2008-02-03"
"alg-geom/9412018","Gregory Sankaran","G.K. Sankaran","Moduli of Polarised Abelian Surfaces","30 pages, plain TeX (with mssymb), 2 figures",,,,"alg-geom math.AG",,"  The toroidal compactification of the moduli space of complex abelian surfaces
with a polarisation of type (1,p), p a prime, is of general type if p is at
least 173. Happy Christmas.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 11:48:00 GMT""}]","2008-02-03"
"astro-ph/9412065",,"R. Fabbri, V. Natale","On the preferred length scale in the anisotropy field of extragalactic
  IRAS sources","L-aa file, 64 k. To appear in Astronomy & Astrophysics. Figures
  available on request from first Author","Astron.Astrophys.296:289,1995",,,"astro-ph",,"  We investigate the existence and meaning of a preferred length in the
large-scale distribution of 60-micron IRAS sources applying three tests to the
2-dimensional distribution on the celestial sphere, involving respectively the
rms fluctuation and the correlation function of the source number density, and
the peak number statistics. For HDM models we find a best value lambda_0 =
45-55 h^{-1} Mpc for the peak of the spectral function P(k), close to the
preferred wavelength lambda = 30-40 h^{-1} Mpc of naive single-scale
perturbation models. A feature should indeed be generated in this range by the
anticorrelation region of xi(r), although it is not detected by recent Fourier
transform analyses of redshift catalogs. Our tests provide acceptable fits for
CDM models with either Omega = 0.3-0.5 or Omega = 0.1-0.2, in agreement with
results in current literature. However, the quality of such fits is less
satisfactory than for HDM models, with the exception of the peak number
statistics, and we are not able to find a parameter interval satisfying all of
our tests simultaneously. These results may indicate that the cosmic spectrum
is more complicated than the smooth shapes predicted by current theoretical
models.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 08:57:06 GMT""}]","2011-05-23"
"astro-ph/9412066","Thomas Buchert","T. Buchert","Cosmogony of Generic Structures","13 pages, uuencoded compressed ps-file, 5 MByte, missing figure No. 3
  (2.8Mb) can be obtained at
  ftp://ibm-3.mpa-garching.mpg.de/pub/aow/9412066/figchina3.ps.Z","Astrophys.Rep. 1 (1995) 59-70",,,"astro-ph",,"  The problem of formation of generic structures in the Universe is addressed,
whereby first the kinematics of inertial continua for coherent initial data is
considered. The generalization to self--gravitating continua is outlined
focused on the classification problem of singularities and metamorphoses
arising in the density field. Self--gravity gives rise to an internal hierarchy
of structures, and, dropping the assumption of coherence, also to an external
hierarchy of structures dependent on the initial power spectrum of
fluctuations.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 13:02:55 GMT""}]","2007-05-23"
"astro-ph/9412067","Roeland Van Der Marel","E.E. Qian, P.T. de Zeeuw, R.P. van der Marel, C. Hunter","Axisymmetric galaxy models wth central BHs, with an application to M32","22 pages, uuencoded compressed PostScript, without the figures.
  Figures at ftp://eku.ias.edu/pub/marel/qianetalfig.uu","Mon.Not.Roy.Astron.Soc. 274 (1995) 602","10.1093/mnras/274.2.602","STW 272-94 (Sterrewacht Leiden). MNRAS in press (submitted July
  1994; accepted December 1994)","astro-ph",,"  The contour integral method of Hunter & Qian is applied to axisymmetric
galaxy models in which the distribution function (DF) is of the form
f=f(E,L_z), where E and L_z are the classical integrals of motion in an
axisymmetric potential. A practical way to construct the unique even part of
the DF for such systems is presented. It is applied to models, both oblate and
prolate, in which the mass density is stratified on similar concentric
spheroids.
  The spheroids with scale-free densities are discussed in detail. These
provide useful approximations to the behaviour of more realistic models in the
limit of small and large radii. The self-consistent case is treated, as well as
the case in which there are additional contributions to the potential from a
central black hole or dark halo. The range of axis ratios and density profile
slopes is determined for which spheroidal power--law cusps with a central black
hole have a physical two--integral DF.
  More generally, the f(E,L_z) DFs are discussed for a set of spheroidal
`(alpha,beta)-models', characterized by a power-law density cusp with slope
alpha at small radii, and a power-law density fall-off with slope [alpha + 2
beta] at large radii. As an application, the DF is constructed for the
(alpha,beta) model with a 1.8 x 10^6 solar mass black hole used by van der
Marel et al. to interpret their high spatial resolution spectroscopic data for
M32. The results confirm that the model fits the observed line-of-sight
velocity profiles remarkably well. The model is used to calculate predictions
for future spectroscopic observations with the HST.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 15:12:18 GMT""}]","2015-06-24"
"gr-qc/9412049","Heinz-Dieter Conradi","Heinz-Dieter Conradi (RWTH Aachen, Germany)","Quantum Cosmology of Kantowski-Sachs like Models","21 pages, uses LaTeX2e, epsf.sty and float.sty, three figures (50
  kb); changes: one figure added, new interpretation of quantizing procedure
  for the joined model and many minor changes","Class.Quant.Grav. 12 (1995) 2423-2440","10.1088/0264-9381/12/10/005","PHITA 94/64","gr-qc",,"  The Wheeler-DeWitt equation for a class of Kantowski-Sachs like models is
completely solved. The generalized models include the Kantowski-Sachs model
with cosmological constant and pressureless dust. Likewise contained is a
joined model which consists of a Kantowski-Sachs cylinder inserted between two
FRW half--spheres. The (second order) WKB approximation is exact for the wave
functions of the complete set and this facilitates the product structure of the
wave function for the joined model. In spite of the product structure the wave
function can not be interpreted as admitting no correlations between the
different regions. This problem is due to the joining procedure and may
therefore be present for all joined models. Finally, the {s}ymmetric {i}nitial
{c}ondition (SIC) for the wave function is analyzed and compared with the ``no
bouindary'' condition. The consequences of the different boundary conditions
for the arrow of time are briefly mentioned.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 15:57:07 GMT""},{""version"":""v2"",""created"":""Tue, 20 Dec 1994 12:27:45 GMT""},{""version"":""v3"",""created"":""Thu, 13 Jul 1995 17:07:49 GMT""}]","2009-10-22"
"hep-ex/9412012","Eiichi Nakano","E. Nakano, et al. (TOPAZ collaboration)","Measurement of the forward-backward asymmetries for charm- and
  bottom-quark pair productions at $<\sqrt{s}>$=58GeV with electron tagging","19 pages, Latex format (article), 5 figures included. to be published
  in Phys. Lett. B","Phys.Lett.B340:135-142,1994","10.1016/0370-2693(94)91310-2","DPNU-94-32","hep-ex",,"  We have measured, with electron tagging, the forward-backward asymmetries of
charm- and bottom-quark pair productions at $<\sqrt{s} >$=58.01GeV, based on
23,783 hadronic events selected from a data sample of 197pb$^{-1}$ taken with
the TOPAZ detector at TRISTAN. The measured forward-backward asymmetries are
$A_{FB}^c = -0.49 \pm 0.20(stat.) \pm 0.08 (sys.)$ and $A_{FB}^b = -0.64 \pm
0.35(stat.) \pm 0.13 (sys.)$, which are consistent with the standard model
predictions.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 03:15:40 GMT""}]","2010-11-01"
"hep-lat/9412087","Chris Michael","C. Michael and A. McKerrell","Fitting Correlated Hadron Mass Spectrum Data","14 pages, Latex text, followed by 3 postscript figures in
  self-unpacking file. Also available at
  ftp://suna.amtp.liv.ac.uk/pub/cmi/corfit/","Phys.Rev.D51:3745-3750,1995","10.1103/PhysRevD.51.3745","LTH 342","hep-lat",,"  We discuss fitting hadronic Green functions versus time $t$ to extract mass
values in quenched lattice QCD. These data are themselves strongly correlated
in $t$. With only a limited number of data samples, the method of minimising
correlated $\chi^2$ is unreliable. We explore several methods of modelling the
correlations among the data set by a few parameters which then give a stable
and sensible fit even if the data sample is small. In particular these models
give a reliable estimate of the goodness of fit.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 11:08:58 GMT""}]","2008-11-26"
"hep-lat/9412088","Jon Ivar Skullerud","David Henty, Richard Kenway, Brian Pendleton and Jon Ivar Skullerud","Current Renormalisation Constants with an O(a)-improved Fermion Action","8 pages uuencoded compressed postscript file. Article to be submitted
  to Phys.Rev.D","Phys.Rev. D51 (1995) 5323-5326","10.1103/PhysRevD.51.5323","Edinburgh preprint 94/545","hep-lat",,"  Using chiral Ward identities, we determine the renormalisation constants of
bilinear quark operators for the Sheikholeslami-Wohlert action lattice at
beta=6.2. The results are obtained with a high degree of accuracy. For the
vector current renormalisation constant we obtain Z_V=0.817(2)(8), where the
first error is statistical and the second is due to mass dependence of Z_V.
This is close to the perturbative value of 0.83. For the axial current
renormalisation constant we obtain Z_A = 1.045(+10 -14), significantly higher
than the value obtained in perturbation theory. This is shown to reduce the
difference between lattice estimates and the experimental values for the
pseudoscalar meson decay constants, but a significant discrepancy remains. The
ratio of pseudoscalar to scalar renormalisation constants, Z_P/Z_S, is less
well determined, but seems to be slightly lower than the perturbative value.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 11:48:33 GMT""}]","2009-10-28"
"hep-lat/9412089",,"C. Alexandrou, A. Borrelli, S. Guesken, F. Jegerlehner, K. Schilling,
  G. Siegert and R. Sommer","Heavy-light baryonic mass splittings from the lattice","3 pages postscript, Contribution to Lattice'94","Nucl.Phys.Proc.Suppl. 42 (1995) 297-299","10.1016/0920-5632(95)00231-W","UCY-PHY-94/16","hep-lat",,"  We present lattice estimates of the mass of the heavy-light baryons
$\Lambda_b$ and $\Xi_b$ obtained using propagating heavy quarks. For
$\Lambda_b$ our result is $M_{\Lambda_b}=5.728 \pm 0.144 \pm 0.018$ GeV, after
extrapolation to the continuum limit and in the quenched approximation.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 14:53:46 GMT""}]","2009-10-28"
"hep-ph/9412314","Engelhardt Michael","Michael Engelhardt","QCD_{1+1} at large N_F and N_C","7 revtex pages, 2 postscript figures appended","Nucl.Phys.B440:543-554,1995","10.1016/0550-3213(95)00030-V",,"hep-ph",,"  QCD in 1+1 dimensions is examined in the limit of a large number of colors
and flavors. The Hamiltonian matrix is given in a Fock space spanned by 't
Hooft meson states and, for the case of zero fermion mass, a submatrix is
diagonalized numerically to give the low-lying spectrum as a function of $N_F
/N_C $. Pair creation effects generate bound states which are complicated
mixtures of components of different meson number. There are a number of
nontrivial zero modes; in the massive part of the spectrum some states tend to
a well-defined $N_F \gg N_C $ limit while others become unstable and disappear.
The masses of most states remain remarkably constant over a large range of $N_F
/N_C $.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 09:02:16 GMT""}]","2010-11-01"
