"astro-ph/9412088","Houjun Mo","H. J. Mo and S. D. M. White","An analytic model for the gravitational clustering of dark matter haloes","28 pages, uuencoded, 12 figs available on request",,,"MNRAS submitted","astro-ph",,"  We develop a simple analytic model for the gravitational clustering of dark
haloes. The statistical properties of dark haloes are determined from the
initial density field (assumed to be Gaussian) through an extension of the
Press-Schechter formalism. Gravitational clustering is treated by a spherical
model which describes the concentration of dark haloes in collapsing regions.
We test this model against results from a variety of N-body simulations. The
autocorrelation function of dark haloes in such simulations depends
significantly on how haloes are identified. Our predictions agree well with
results based on algorithms which break clusters into subgroups more
efficiently than the standard friends-of-friends algorithm. The agreement is
better than that found by assuming haloes to lie at the present positions of
peaks of the linear density field. We use these techniques to study how the
distribution of haloes is biased with respect to that of the mass. The initial
(Lagrangian) positions of haloes identified at a given redshift and having
circular velocities $v_c=v_c^*(z)$ (i.e. mass equal to the characteristic
nonlinear mass $M^*$ at that redshift) are very weakly correlated with the
linear density field or among themselves. As a result of dynamical evolution,
however, the present-day correlations of these haloes are similar to those of
the mass. Haloes with lower $v_c$ are biased toward regions with negative
overdensity, while those with higher $v_c$ are biased toward regions with
positive overdensity. Among the haloes identified at any given epoch, those
with higher circular velocities are more strongly correlated today. Among the
haloes of given circular velocity, those at higher redshifts are also more
strongly clustered today. In the ``standard CDM'' model, haloes with
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 17:19:57 GMT""}]","2007-05-23"
"cmp-lg/9412007","Markus Walther","Markus Walther (University of Duesseldorf) and Bernd J. Kroeger
  (University of Cologne, Germany)","Coupling Phonology and Phonetics in a Constraint-Based Gestural Model","English version of the German original: Walther, Markus and Kroeger,
  Bernd J. (1994): Phonologie-Phonetikkopplung in einem constraint- basierten
  gesturalen Modell. In: Harald Trost (ed.), Proceedings KONVENS '94, Vienna.
  10 pages, gzip'ed, uuencoded postscript",,,,"cmp-lg cs.CL",,"  An implemented approach which couples a constraint-based phonology component
with an articulatory speech synthesizer is proposed. Articulatory gestures
ensure a tight connection between both components, as they comprise both
physical-phonetic and phonological aspects. The phonological modelling of e.g.
syllabification and phonological processes such as German final devoicing is
expressed in the constraint logic programming language CUF. Extending CUF by
arithmetic constraints allows the simultaneous description of both phonology
and phonetics. Thus declarative lexicalist theories of grammar such as HPSG may
be enriched up to the level of detailed phonetic realisation. Initial acoustic
demonstrations show that our approach is in principle capable of synthesizing
full utterances in a linguistically motivated fashion.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 1994 12:15:04 GMT""}]","2008-02-03"
"cond-mat/9412104",,"J. Igarashi, T. Tonegawa (Kobe Univ.), M. Kaburagi, P. Fulde","Magnetic impurities coupled to quantum antiferromagnets in one dimension","25 pages, plain TeX, 17 figures available on request, to be publised
  in Phys. Rev. B",,"10.1103/PhysRevB.51.5814","KUTCMP-94-10","cond-mat",,"  Magnetic impurities coupled antiferromagnetically to a one-dimensional
Heisenberg model are studied by numerical diagonalization of chains of finite
clusters. By calculating the binding energy and the correlation function, it is
shown that a local singlet develops around each impurity. This holds true for
systems with a single impurity, with two impurities, and for impurities forming
a lattice. The local character of the singlet is found to be little affected by
the presence of other impurity spins. A small effective interaction is found
between a pair of impurity spins, which oscillates depending on impurity
distances. For impurity lattices, the energy spectrum shows a gap which is
found to be much smaller than the binding energy per impurity if the coupling
constants are small. For larger coupling constants, it increases to the same
order of magnitude as the binding energy, indicating that a local singlet is
broken to create excited states. Impurity lattices with ferromagnetic couplings
are also studied and their connection to the Haldane problem is discussed.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 1994 13:39:31 GMT""}]","2009-10-22"
"gr-qc/9412068","Joan Masso","Joseph Libson, Joan Masso, Edward Seidel, Wai-Mo Suen, Paul Walker","Event Horizons in Numerical Relativity I: Methods and Tests","22 pages, LaTeX with RevTeX 3.0 macros, 20 uuencoded gz-compressed
  postscript figures. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/
  Submitted to Physical Review D","Phys.Rev. D53 (1996) 4335-4350","10.1103/PhysRevD.53.4335",,"gr-qc",,"  This is the first paper in a series on event horizons in numerical
relativity. In this paper we present methods for obtaining the location of an
event horizon in a numerically generated spacetime. The location of an event
horizon is determined based on two key ideas: (1) integrating backward in time,
and (2) integrating the whole horizon surface. The accuracy and efficiency of
the methods are examined with various sample spacetimes, including both
analytic (Schwarzschild and Kerr) and numerically generated black holes. The
numerically evolved spacetimes contain highly distorted black holes, rotating
black holes, and colliding black holes. In all cases studied, our methods can
find event horizons to within a very small fraction of a grid zone.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 16:33:58 GMT""}]","2009-10-22"
"gr-qc/9412069","Joan Masso","Peter Anninos, Greg Daues, Joan Masso, Edward Seidel, and Wai-Mo Suen","Horizon Boundary Condition for Black Hole Spacetimes","22 pages, LaTeX with RevTeX 3.0 macros, 21 uuencoded gz-compressed
  postscript figures. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/
  Submitted to Physical Review D","Phys.Rev. D51 (1995) 5562-5578","10.1103/PhysRevD.51.5562",,"gr-qc",,"  It was recently shown that spacetime singularities in numerical relativity
could be avoided by excising a region inside the apparent horizon in numerical
evolutions. In this paper we report on the details of the implementation of
this scheme. The scheme is based on using (1)~a horizon locking coordinate
which locks the coordinate system to the geometry, and (2)~a finite
differencing scheme which respects the causal structure of the spacetime. We
show that the horizon locking coordinate can be affected by a number of shift
conditions, such as a ``distance freezing'' shift, an ``area freezing'' shift,
an ``expansion freezing'' shift, or the minimal distortion shift. The causal
differencing scheme is illustrated with the evolution of scalar fields, and its
use in evolving the Einstein equations is studied. We compare the results of
numerical evolutions with and without the use of this horizon boundary
condition scheme for spherical black hole spacetimes. With the boundary
condition a black hole can be evolved accurately well beyond $t=1000 M$, where
$M$ is the black hole mass.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 16:37:07 GMT""}]","2009-10-22"
"gr-qc/9412070","Joan Masso","Carles Bona, Joan Masso and Joan Stela","Numerical Black Holes: A Moving Grid Approach","12 pages, LaTeX with RevTeX 3.0 macros, 4 uuencoded gz-compressed
  postscript figures. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/
  To appear in Physical Review D","Phys.Rev. D51 (1995) 1639-1645","10.1103/PhysRevD.51.1639",,"gr-qc",,"  Spherically symmetric (1D) black-hole spacetimes are considered as a test for
numerical relativity. A finite difference code, based in the hyperbolic
structure of Einstein's equations with the harmonic slicing condition is
presented. Significant errors in the mass function are shown to arise from the
steep gradient zone behind the black hole horizon, which challenge the
Computational Fluid Dynamics numerical methods used in the code. The formalism
is extended to moving numerical grids, which are adapted to follow horizon
motion. The black hole exterior region can then be modeled with higher
accuracy.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 16:38:28 GMT""}]","2009-10-22"
"gr-qc/9412071","Joan Masso","Carles Bona, Joan Masso, Edward Seidel and Joan Stela","New Formalism for Numerical Relativity","uucompresed PS file. 4 pages including 1 figure. Revised version adds
  a figure showing a comparison between the standard ADM approach and the new
  formulation. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/ Appeared
  in Physical Review Letters 75, 600 (1995)","Phys.Rev.Lett. 75 (1995) 600-603","10.1103/PhysRevLett.75.600",,"gr-qc",,"  We present a new formulation of the Einstein equations that casts them in an
explicitly first order, flux-conservative, hyperbolic form. We show that this
now can be done for a wide class of time slicing conditions, including maximal
slicing, making it potentially very useful for numerical relativity. This
development permits the application to the Einstein equations of advanced
numerical methods developed to solve the fluid dynamic equations, {\em without}
overly restricting the time slicing, for the first time. The full set of
characteristic fields and speeds is explicitly given.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 16:39:05 GMT""},{""version"":""v2"",""created"":""Tue, 1 Aug 1995 18:51:55 GMT""}]","2009-10-22"
"gr-qc/9412072","Ed Seidel","Steven R. Brandt and Edward Seidel","The Evolution of Distorted Rotating Black Holes I: Methods and Tests","22 pages, LaTeX with RevTeX 3.0 macros. 16 uuencoded gz-compressed
  postscript figures. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/
  Submitted to Physical Review D","Phys.Rev. D52 (1995) 856-869","10.1103/PhysRevD.52.856",,"gr-qc",,"  We have developed a new numerical code to study the evolution of distorted,
rotating black holes. We discuss the numerical methods and gauge conditions we
developed to evolve such spacetimes. The code has been put through a series of
tests, and we report on (a) results of comparisons with codes designed to
evolve non-rotating holes, (b) evolution of Kerr spacetimes for which analytic
properties are known, and (c) the evolution of distorted rotating holes. The
code accurately reproduces results of the previous NCSA non-rotating code and
passes convergence tests. New features of the evolution of rotating black holes
not seen in non-rotating holes are identified. With this code we can evolve
rotating black holes up to about $t=100M$, depending on the resolution and
angular momentum. We also describe a new family of black hole initial data sets
which represent rotating holes with a wide range of distortion parameters, and
distorted non-rotating black holes with odd-parity radiation. Finally, we study
the limiting slices for a maximally sliced rotating black hole and find good
agreement with theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 17:48:45 GMT""}]","2009-10-22"
"gr-qc/9412073","Ed Seidel","Steven R. Brandt and Edward Seidel","The Evolution of Distorted Rotating Black Holes II: Dynamics and
  Analysis","26 pages, LaTeX with RevTeX 3.0 macros. 27 uuencoded gz-compressed
  postscript figures. Also available at http://jean-luc.ncsa.uiuc.edu/Papers/
  Submitted to Physical Review D","Phys.Rev. D52 (1995) 870-886","10.1103/PhysRevD.52.870",,"gr-qc",,"  We have developed a numerical code to study the evolution of distorted,
rotating black holes. This code is used to evolve a new family of black hole
initial data sets corresponding to distorted ``Kerr'' holes with a wide range
of rotation parameters, and distorted Schwarzschild black holes with odd-parity
radiation. Rotating black holes with rotation parameters as high as $a/m=0.87$
are evolved and analyzed in this paper. The evolutions are generally carried
out to about $t=100M$, where $M$ is the ADM mass. We have extracted both the
even- and odd-parity gravitational waveforms, and find the quasinormal modes of
the holes to be excited in all cases. We also track the apparent horizons of
the black holes, and find them to be a useful tool for interpreting the
numerical results. We are able to compute the masses of the black holes from
the measurements of their apparent horizons, as well as the total energy
radiated and find their sum to be in excellent agreement with the ADM mass.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 16:52:33 GMT""}]","2009-10-22"
"gr-qc/9412074","Jacques Legare","J. Legare and J. W. Moffat","Test-Particle Motion in the Nonsymmetric Gravitational Theory","8 pages, REVTeX 3.0. Some minor corrections turned into a complete
  rewrite. For the most part, the final results remain unchanged. However the
  approach is different, and more results are supplied",,,"UTPT-94-38","gr-qc",,"  We present a derivation of the equation of motion for a test-particle in the
framework of the nonsymmetric gravitational theory. Three possible couplings of
the test-particle to the non-symmetric gravitational field are explored. The
equation of motion is found to be similar in form to the standard geodesic
equation of general relativity, but with an extra antisymmetric force term
present. The equation of motion is studied for the case of a static,
spherically symmetric source, where the extra force term is found to take the
form of a Yukawa force.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 1994 21:47:48 GMT""},{""version"":""v2"",""created"":""Tue, 30 May 1995 12:59:40 GMT""}]","2008-02-03"
"hep-lat/9412096","Ettore","M. Campostrini, P. Rossi and E. Vicari","Strong coupling expansion of chiral models","2 pages, PostScript file, contribution to conference LATTICE '94","Nucl.Phys.Proc.Suppl. 42 (1995) 601-602","10.1016/0920-5632(95)00323-2","IFUP-TH 65/94","hep-lat",,"  A general precedure is outlined for an algorithmic implementation of the
strong coupling expansion of lattice chiral models on arbitrary lattices. A
symbolic character expansion in terms of connected values of group integrals on
skeleton diagrams may be obtained by a fully computerized approach.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 1994 07:42:45 GMT""}]","2009-10-28"
